[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,幾點,返屋企,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,gei2-dim2,faan1-uk1-kei2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mama,what time,to go home,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,屋企,有,個,老爺鐘,，,一個,鐘,響,一,次,。,噹,、,噹,、,噹,、,噹,、,噹,、,噹,！,6,點鐘,，,媽媽,又,要,返工,，,我,好,唔,開心,。,媽媽,話,：,「,我,會,喺,你,瞓覺,之前,返屋企,。,」,我,問,：,「,噉,即係,幾點,呀,？,」,媽媽,話,：,「,今晚,個,鐘,響,9,下,之前,，,我,就,返,到,嚟,㗎喇,。,你,要,乖乖,聽,爸爸,、,爺爺,話,呀,。,」,我,同,媽媽,講,：,「,好,！,我,會,乖,㗎喇,！,」
application,question,#,2,#,#,you,know,now,(linker),time,(particle),#,please,you,from,picture,inside,circle,out,time,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
噹,！,「,汪,！,」,「,知道,喇,，,吠,一下,即係,1,點鐘,吖嘛,。,就,開飯,㗎喇,。,」,爺爺,摸,摸,狗狗,，,洗,過,手,就,去,廚房,煮飯,。,「,汪,！,汪,！,汪,！,汪,！,汪,！,汪,！,汪,！,汪,！,汪,！,」,我,學,狗狗,噉,大叫,9,下,，,媽媽,係咪,就,會,快啲,返屋企,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dong1,#,#,wong1,#,#,#,zi1-dou3,laa3,#,fai6,jat1-haa5,zik1-hai6,jat1,dim2-zung1,aa1-maa3,#,zau6,hoi1-faan6,gaa3-laa3,#,#,je4-je2,mo2,mo2,gau2-gau2,#,sai2,gwo3,sau2,zau6,heoi3,cyu4-fong2,zyu2-faan6,#,#,wong1,#,wong1,#,wong1,#,wong1,#,wong1,#,wong1,#,wong1,#,wong1,#,wong1,#,#,ngo5,hok6,gau2-gau2,gam2,daai6-giu3,gau2,haa5,#,maa4-maa1,hai6-mai6,zau6,wui5,faai3-di1,faan1-uk1-kei2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(sound),#,#,woof,#,#,#,know,(particle),#,bark,once,that means,1,o'clock,(particle),#,almost,start meal,(particle),#,#,grandfather,touch,touch,doggie,#,wash,-ed,hand,then,go,kitchen,cook meal,#,#,woof,#,woof,#,woof,#,woof,#,woof,#,woof,#,woof,#,woof,#,woof,#,#,I,learn,doggie,in that way,shout,9,time,#,mother,is or isn't,then,will,faster,go home,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
砵,砵,砵,！,3,點鐘,，,黃,巴士,到,站,，,我,接,家姐,放學,。,仲有,6,個,鐘,就,可以,見到,媽媽,，,我,同,家姐,都,好,心急,呀,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but1,but1,but1,#,saam1,dim2-zung1,#,wong4,baa1-si2,dou3,zaam6,#,ngo5,zip3,gaa1-ze1,fong3-hok6,#,zung6-jau5,luk6,go3,zung1,zau6,ho2-ji5,gin3-dou2,maa4-maa1,#,ngo5,tung4,gaa1-ze1,dou1,hou2,sam1-gap1,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honk,honk,honk,#,3,o'clock,#,yellow,bus,arrive,(bus) stop,#,I,pick up,elder sister,after school,#,still have,6,(measure),hour,then,can,see,mama,#,I,and,elder sister,"all, also",very,impatient,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,3,),：,除了,時鐘,、,手錶,，,還有,甚麼,地方,可以,看到,時間,？,請,你,從,圖畫,中,圈,出,可,看到,時間,的,地方,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,saam1,#,#,ceoi4-liu5,si4-zung1,#,sau2-biu1,#,waan4-jau5,sam6-mo1,dei6-fong1,ho2-ji5,hon3-dou3,si4-gaan3,#,cing2,nei5,cung4,tou4-waa2,zung1,hyun1,ceot1,ho2,hon3-dou2,si4-gaan3,dik1,dei6-fong1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,3,#,#,except,clock,#,wristwatch,#,also,what,place,can,see,time,#,please,you,from,picture,inside,circle,out,can,see,time,(linker),place,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,行,返屋企,，,整,埋,個,好,好食,嘅,水果,沙律,下午茶,，,前後,只係,用,咗,半,個,鐘,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5-dei6,haang4,faan1-uk1-kei2,#,zing2,maai4,go3,hou2,hou2-sik6,ge3,seoi2-gwo2,saa1-leot2,haa6-ng5-caa4,#,cin4-hau6,zi2-hai6,jung6,zo2,bun3,go3,zung1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,walk,back home,#,make,also,(measure),very,tasty,(linker),fruit,salad,afternoon tea,#,before and after,just only,use,-en,half,(measure),hour,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,4,),：,你,可以,在,鐘,面,上,，,畫,出,三,時,半,的,時間,嗎,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,sei3,#,#,nei5,ho2-ji5,zoi6,zung1,min2,soeng6,#,waak6,ceot1,saam1,si4,bun3,dik1,si4-gaan3,maa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,4,#,#,you,can,at,clock,surface,top,#,draw,out,three,o'clock,half,(linker),time,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
噹,、,噹,、,噹,、,噹,、,噹,！,每,次,我,同,爸爸,帶,狗狗,嚟,到,狗,公園,，,個,大笨鐘,都,會,響,5,下,。,同,狗狗,玩,下,，,就,唔知,時日,過,啦,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dong1,#,dong1,#,dong1,#,dong1,#,dong1,#,mui5,ci3,ngo5,tung4,baa4-baa1,daai3,gau2-gau2,lei4,dou3,gau2,gung1-jyun2,#,go3,daai6-ban6-zung1,dou1,wui5,hoeng2,ng5,haa5,#,tung4,gau2-gau2,waan2,haa5,#,zau6,m4-zi1,si4-jat6,gwo3,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(sound),#,(sound),#,(sound),#,(sound),#,(sound),#,every,time,I,and,father,bring,doggie,come,to,dog,park,#,(measure),clock tower,also,will,sound,5,time,#,with,doggie,play,a bit,#,then,don't know,time and day,pass,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔經唔覺,……,你哋,知唔知,而家,幾點鐘,？,係,7,點,呀,！,我,食,完,晚飯,，,就,到,狗狗,食飯,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4-ging1-m4-gok3,#,nei5-dei6,zi1-m4-zi1,ji4-gaa1,gei2-dim2-zung1,#,hai6,cat1,dim2,aa3,#,ngo5,sik6,jyun4,maan5-faan6,#,zau6,dou3,gau2-gau2,sik6-faan6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time flies and...,#,you (plural),know or not,now,what time,#,is,7,o'clock,(particle),#,I,eat,finish,dinner,#,then,arrives (time for),doggie,eat meal,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,5,),：,媽媽,還有,多久,才,回到,家,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,ng5,#,#,maa4-maa1,waan4-jau5,do1-gau2,coi4,wui4-dou3,gaa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,5,#,#,mama,still have,how long,then,return to,home,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咇,咇,、,咇,咇,……,鬧鐘,響,，,8,點,半,，,媽媽,仲,未,返屋企,，,我,好,唔,開心,。,爸爸,話,：,「,乖,，,媽媽,就,返,㗎喇,，,等,我,講,個,故仔,你,聽,，,聽聽下,媽媽,就,返,㗎喇,。,喺,好,耐,以前,，,有,個,敲,鐘,人,，,佢,每日,嘅,工作,就係,數,住,時間,嚟,敲,鐘,，,後嚟,有,隻,公雞,嚟,挑戰,佢,……,」,,,,,,,,,,,,,,,,,,,,,,,,
bit1,bit1,#,bit1,bit1,#,naau6-zung1,hoeng2,#,baat3,dim2,bun3,#,maa4-maa1,zung6,mei6,faan1-uk1-kei2,#,ngo5,hou2,m4,hoi1-sam1,#,baa4-baa1,waa6,#,#,gwaai1,#,maa4-maa1,zau6,faan1,gaa3-laa3,#,dang2,ngo5,gong2,go3,gu2-zai2,nei5,teng1,#,teng1-teng1-haa5,maa4-maa1,zau6,faan1,gaa3-laa3,#,hai2,hou2,noi6,ji5-cin4,#,jau5,go3,haau1,zung1,jan4,#,keoi5,mui5-jat6,ge3,gung1-zok3,zau6-hai6,sou2,zyu6,si4-gaan3,lei4,haau1,zung1,#,hau6-lei4,jau5,zek3,gung1-gai1,lei4,tiu1-zin3,keoi5,#,#,,,,,,,,,,,,,,,,,,,,,,,,
beep,beep,#,beep,beep,#,alarm clock,sound,#,8,o'clock,half,#,mama,still,not yet,go home,#,I,very,not,happy,#,father,say,#,#,well-behaved,#,mama,almost,return,(particle),#,let,I,say,(measure),story,you,to listen,#,while listening,mama,then,return,(particle),#,at,very,long time,before,#,have,(measure),knock,clock,person,#,he / she,every day,(linker),work,which is,count,-ing,time,to,knock,clock,#,afterwards,have,(measure),rooster,come,challenge,he / she,#,#,,,,,,,,,,,,,,,,,,,,,,,,
[10-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,6,),：,你,可以,在,鐘,面,上,，,畫,出,八,時,半,的,時間,嗎,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,luk6,#,#,nei5,ho2-ji5,zoi6,zung1,min2,soeng6,#,waak6,ceot1,baat3,si4,bun3,dik1,si4-gaan3,maa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,6,#,#,you,can,at,clock,surface,top,#,draw,out,eight,o'clock,half,(linker),time,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
啪嗒,啪嗒,。,「,汪,！,」,「,媽媽,！,」,我,即刻,跑,去,開門,。,望,下,個,鐘,，,邊個,最,叻,，,知道,媽媽,今晚,有冇,準時,返,到,屋企,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paak1-daap3,paak1-daap3,#,#,wong1,#,#,#,maa4-maa1,#,#,ngo5,zik1-hak1,paau2,heoi3,hoi1-mun4,#,mong6,haa5,go3,zung1,#,bin1-go3,zeoi3,lek1,#,zi1-dou3,maa4-maa1,gam1-maan1,jau5-mou5,zeon2-si4,faan1,dou3,uk1-kei2,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(sound),(sound),#,#,woof,#,#,#,mama,#,#,I,immediately,run,to,open the door,#,look,a bit,(measure),clock,#,who,most,smart,#,know,mama,tonight,have or haven't,be on time,return,to,home,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11-q1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,7,),：,你,知道,現在,幾,時,幾,分,嗎,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,cat1,#,#,nei5,zi1-dou3,jin6-zoi6,gei2,si4,gei2,fan1,maa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,7,#,#,you,know,now,what,hour,what,minute,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11-q2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
