#,jau6-waak6-ze2,Siu2-ling4,nei5,sau2-soeng6,ge3,ping4-gwo2,#,tung1-soeng4,dou1-wui6,jau5,go3,ping4-gwo2,sam1,heoi3,baau1-zyu6,di1,wat6,#,go3,sam1,sik6,lok6-heoi3,bei2,ping4-gwo2,juk6,syun1,di1,#,ping4-gwo2,ge3,wat6,dou1,gei2,daai6-lap1,gaa3,#,hau2-gam2,tung4,mei6-dou6,hai6,ngaang6-ngaang2-dei2,#,fu2-fu2-dei2,gam2,ge3,#,#,,,,,,,,,,,,,,,,,,
#,or,Ling,you,at hand,(linker),apple,#,usually,will always,have,(measure),apple,core,to,to encase,those,pit,#,(measure),core,to eat,(particle),than,apple,pulp,sour,a bit,#,apple,’s,pit,also,quite,big,(particle),#,texture (of a food),and,taste (of a food),is,a bit hard,#,a bit bitter,such,(particle),#,#,,,,,,,,,,,,,,,,,,
[5 Line 17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小玲,問,：,「,點解,生果,咁,好味,，,但係,要,有,啲,唔好食,嘅,核,喺,入面,嘅,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-ling4,man6,#,#,dim2-gaai2,saang1-gwo2,gam3,hou2-mei6,#,daan6-hai6,jiu3,jau5,di1,m4-hou2-sik6,ge3,wat6,hai2,jap6-min6,ge3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ling,to ask,#,#,why,fruit,so,taste good,#,but,to need,have,some,don't taste good,(linker),pit,at,inside,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多多,話,：,「,核,即係,植物,用嚟,繁殖,嘅,種子,。,如果,植物,結果,嘅,時候,，,入面,冇,種子,俾,佢,散播,去,第二啲,地方,，,植物,就,唔,會,有,重生,嘅,機會,。,而家,佢哋,有,核,可以,散播,開去,，,加埋,足夠,嘅,養份,，,例如,泥土,、,空氣,、,水,同,陽光,，,佢哋,就,可以,再次,發芽,生長,。
Do1-do1,waa6,#,#,wat6,zik1-hai6,zik6-mat6,jung6-lai4,faan4-zik6,ge3,zung2-zi2,#,jyu4-gwo2,zik6-mat6,git3-gwo2,ge3,si4-hau6,#,jap6-min6,mou5,zung2-zi2,bei2,keoi5,saan3-bo3,heoi3,dai6-ji6-di1,dei6-fong1,#,zik6-mat6,zau6,m4,wui5,jau5,cung4-sang1,ge3,gei1-wui6,#,ji4-gaa1,keoi5-dei6,jau5,wat6,ho2-ji5,saan3-bo3,hoi1-heoi3,#,gaa1-maai4,zuk1-gau3,ge3,joeng5-fan6,#,lai6-jyu4,nai4-tou2,#,hung1-hei3,#,seoi2,tung4,joeng4-gwong1,#,keoi5-dei6,zau6,ho2-ji5,zoi3-ci3,faat3-ngaa4,sang1-zoeng2,#
Dolly,to say,#,#,pit,is,plant,for,to breed,(linker),seed,#,if,plant,to bear fruit,(linker),time,#,inside,don't have,seed,for,it,to disseminate,to go,other,place,#,plant,as a result,not,will,have,to be reborn,(linker),chance,#,now,they,have,pit,can,to disseminate,to go away,#,coupled with,enough,(linker),nutrient,#,for example,soil,#,air,#,water,and,sunshine,#,they,as a result,can,again,to sprout,to grow,#
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,就好似,你哋,手上,嘅,生果,，,啲,核,我哋,食,完,就,掉,落,地,。,然後,佢,會,喺,特定,嘅,環境,下,長,苗,、,開,好,靚,嘅,花,，,再,變成,果樹,；,到,特定,季節,就,會,結,出,果實,，,吸引,人,、,動物,或者,昆蟲,去,食,。,,,,,,,,,,
#,zau6-hou2-ci5,nei5-dei6,sau2-soeng6,ge3,saang1-gwo2,#,di1,wat6,ngo5-dei6,sik6,jyun4,zau6,diu6,lok6,dei6,#,jin4-hau6,keoi5,wui5,hai2,dak6-ding6,ge3,waan4-ging2,haa6,zoeng2,miu4,#,hoi1,hou2,leng3,ge3,faa1,#,zoi3,bin3-sing4,gwo2-syu6,#,dou3,dak6-ding6,gwai3-zit3,zau6,wui5,git3,ceot1,gwo2-sat6,#,kap1-jan5,jan4,#,dung6-mat6,waak6-ze2,kwan1-cung4,heoi3,sik6,#,,,,,,,,,,
#,just like,you (plural),at hand,(linker),fruit,#,those,pit,we,to eat,finish,then,throw,down,ground,#,then,it,will,at,specific,(linker),environment,under,to grow,seedling,#,to bloom,very,beautiful,(linker),flower,#,then,to become,fruit tree,#,by the time,specific,season,then,will,to form,out,fruit,#,to attract,human,#,animal,or,insect,to go,to eat,#,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,只要,有,一,粒,核,，,幾,細粒,都,可以,長成,大,樹,。,喺,你哋,面前,嘅,呢,棵,樹,，,本身,都,係,埋,喺,地下,嘅,一,粒,小,種子,，,慢慢,至,變到,依家,咁,大,棵,。,唔好,睇小,食,生果,呢個,動作,——,啲,樹,可以,生,到,咁,大,棵,，,都係,靠,我哋,咋,！,」,
#,zi2-jiu3,jau5,jat1,lap1,wat6,#,gei2,sai3-lap1,dou1,ho2-ji5,zoeng2-sing4,daai6,syu6,#,hai2,nei5-dei6,min6-cin4,ge3,nei1,po1,syu6,#,bun2-san1,dou1,hai6,maai4,hai2,dei6-haa2,ge3,jat1,lap1,siu2,zung2-zi2,#,maan6-maan2,zi3,bin3-dou3,ji1-gaa1,gam3,daai6,po1,#,m4-hou2,tai2-siu2,sik6,saang1-gwo2,nei1-go3,dung6-zok3,#,di1,syu6,ho2-ji5,saang1,dou3,gam3,daai6,po1,#,dou1-hai6,kaau3,ngo5-dei6,zaa3,#,#,
#,so long as,have,one,(measure),pit,#,how,small,also,can,to grow into,big,tree,#,at,you (plural),in front of,(linker),this,(measure),tree,#,originally,also,is,to bury,at,ground,(linker),one,(measure),small,seed,#,slowly,only then,to become,now,so,big,(measure),#,do not,to look down on,to eat,fruit,this one,movement,#,those,tree,can,to grow,into,so,big,(measure),#,also,to depend on,we,only,#,#,
