[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ying,at,here,align,-ing,shelf,above,some,spoon,#,completely,don't have,notice,(suffix),behind,(linker),mother,#,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,
就嚟,搞掂,喇,！,再,放,個,波,上去,就,得,喇,！,,,,,,,,,,,,,,,,
zau6-lei4,gaau2-dim6,laa3,#,zoi3,fong3,go3,bo1,soeng5-heoi3,zau6,dak1,laa3,#,,,,,,,,,,,,,,,,
almost,done,already,#,again,put,(measure),ball,on top,then,okay,already,#,,,,,,,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,仲,未,知,阿瑩,想,做,咩,。,,,,,,,,,,,,,,,,,,,,
maa4-maa1,zung6,mei6,zi1,Aa3-jing4,soeng2,zou6,me1,#,,,,,,,,,,,,,,,,,,,,
mother,still,not yet,know,Ying,want,to do,what,#,,,,,,,,,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,準備,！,三,、,二,、,一,，,開始,！,」,阿瑩,好,興奮,噉,輕輕,一,吹,，,個,波,撞,跌,咗,左邊,隻,匙羹,，
#,zeon2-bei6,#,saam1,#,ji6,#,jat1,#,hoi1-ci2,#,#,Aa3-jing4,hou2,hing1-fan5,gam2,hing1-hing1,jat1,ceoi1,#,go3,bo1,zong6,dit3,zo2,zo2-bin1,zek3,ci4-gang1,#
#,ready,#,three,#,two,#,one,#,start,#,#,Ying,very,excited,-ly,lightly,one,blow,#,(measure),ball,hit,to fall,-en,left,(measure),spoon,#
[9b],,,,,,,,,,,,,,,,,,,,,,,,,,,,
然後,一,隻,撞,一,隻,，,最後,一,隻,仲,跌,埋,落,架,……,,,,,,,,,,,,,
jin4-hau6,jat1,zek3,zong6,jat1,zek3,#,zeoi3-hau6,jat1,zek3,zung6,dit3,maai4,lok6,gaa2,#,,,,,,,,,,,,,
then,one,(measure),hit,one,(measure),#,at the end,one,(measure),even,fall,also,down,shelf,#,,,,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,,,,,,
隻,匙羹,跌,落嚟,，,撞到,枱,上面,嚿,薯仔,，,嚿,薯仔,又,慢慢,碌,去,右邊,，,,,,,,,,,,
zek3,ci4-gang1,dit3,lok6-lei4,#,zong6-dou2,toi2,soeng6-min6,gau6,syu4-zai2,#,gau6,syu4-zai2,jau6,maan6-maan2,luk1,heoi3,jau6-bin1,#,,,,,,,,,,
(measure),spoon,fall,down,#,hit,table,on top,(measure),potato,#,(measure),potato,again,slowly,scroll,to go,right,#,,,,,,,,,,
[10b],,,,,,,,,,,,,,,,,,,,,,,,,,,,
咚,、,咚,、,咚,，,一,嚿,撞,一,嚿,……,,,,,,,,,,,,,,,,,
dung1,#,dung1,#,dung1,#,jat1,gau6,zong6,jat1,gau6,#,,,,,,,,,,,,,,,,,
(sound),#,(sound),#,(sound),#,one,piece,hit,one,piece,#,,,,,,,,,,,,,,,,,
[11a],,,,,,,,,,,,,,,,,,,,,,,,,,,,
撞,到,最後,，,枝,麪包,棍,撞到,個,開關掣,，,火,就,開,咗,喇,！,,,,,,,,,,,,
zong6,dou3,zeoi3-hau6,#,zi1,min6-baau1,gwan3,zong6-dou2,go3,hoi1-gwaan1-zai3,#,fo2,zau6,hoi1,zo2,laa3,#,,,,,,,,,,,,
hit,till,the end,#,(measure),bread,stick,hit,(measure),on-off button,#,fire,then,on,-en,already,#,,,,,,,,,,,,
[11b],,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,得,咗,！,」,阿瑩,好,開心,。,,,,,,,,,,,,,,,,,,,,
#,dak1,zo2,#,#,Aa3-jing4,hou2,hoi1-sam1,#,,,,,,,,,,,,,,,,,,,,
#,okay,-en,#,#,Ying,very,happy,#,,,,,,,,,,,,,,,,,,,,
[11c],,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,估,唔到,阿瑩,會,識,得,用,呢啲,嘢,嚟,玩,骨牌,，,而,同時,又,真係,煲到,湯,！,,,,,,,,
maa4-maa1,gu2,m4-dou2,Aa3-jing4,wui5,sik1,dak1,jung6,ni1-di1,je5,lei4,waan2,gwat1-paai2,#,ji4,tung4-si4,jau6,zan1-hai6,bou1-dou2,tong1,#,,,,,,,,
mother,guess,cannot,Ying,will,know,can,use,these,thing,to,play,Domino,#,and,at the same time,again,really,boil,soup,#,,,,,,,,
[11d],,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,忍唔住,嗌,咗,句,：,「,阿瑩,！,」,,,,,,,,,,,,,,,,,,,
keoi5,jan2-m4-zyu6,aai3,zo2,geoi3,#,#,Aa3-jing4,#,#,,,,,,,,,,,,,,,,,,,
she,cannot resist,shout,-en,sentence,#,#,Ying,#,#,,,,,,,,,,,,,,,,,,,
[11e],,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿瑩,嚇,咗,一,跳,，,佢,轉身,望到,企,喺,廚房,門口,嘅,媽媽,，,心諗,：,,,,,,,,,,,
Aa3-jing4,haak3,zo2,jat1,tiu3,#,keoi5,zyun3-san1,mong6-dou2,kei5,hai2,cyu4-fong2,mun4-hau2,ge3,maa4-maa1,#,sam1-nam2,#,,,,,,,,,,,
Ying,frighten,-en,one,jump,#,she,turn around,to look,stand,at,kitchen,doorway,(linker),mother,#,think,#,,,,,,,,,,,
[11f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
死,喇,！,呢次,又,要,俾,媽媽,鬧,喇,！,,,,,,,,,,,,,,,,,,
sei2,laa3,#,ni1-ci3,jau6,jiu3,bei2,maa4-maa1,naau6,laa3,#,,,,,,,,,,,,,,,,,,
die,already,#,this time,again,need,(passive),mother,to scold,already,#,,,,,,,,,,,,,,,,,,
[11g],,,,,,,,,,,,,,,,,,,,,,,,,,,,
正當,佢,以為,媽媽,會,鬧,佢,嗰陣,，,媽媽,跑,過去,攬,住,佢,，,講,咗,句,：,,,,,,,,,
zing3-dong1,keoi5,ji5-wai4,maa4-maa1,wui5,naau6,keoi5,go2-zan6,#,maa4-maa1,paau2,gwo3-heoi3,laam2,zyu6,keoi5,#,gong2,zo2,geoi3,#,,,,,,,,,
just the time,she,think,mother,will,scold,her,that time,#,mother,run,towards there,to hug,-ing,her,#,say,-en,sentence,#,,,,,,,,,
[11h],,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,乜,原來,我哋,阿瑩,係,咁,叻,㗎,！,」,,,,,,,,,,,,,,,,,,
#,mat1,jyun4-loi4,ngo5-dei6,Aa3-jing4,hai6,gam3,lek1,gaa3,#,#,,,,,,,,,,,,,,,,,,
#,what,it turns out,our,Ying,is,so,brilliant,(particle),#,#,,,,,,,,,,,,,,,,,,
[11i],,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿瑩,至,由,驚,轉為,笑,，,攬,住,媽媽,，,話,：,「,媽媽,，,你,都,試,啖,湯,吖,！,,,,,,
Aa3-jing4,zi3,jau4,geng1,zyun2-wai4,siu3,#,laam2,zyu6,maa4-maa1,#,waa6,#,#,maa4-maa1,#,nei5,dou1,si3,daam6,tong1,aa1,#,,,,,,
Ying,then,from,afraid,turn to,laugh,#,hug,-ing,mother,#,say,#,#,mother,#,you,"all, also",try,(measure),soup,(particle),#,,,,,,
[11j],,,,,,,,,,,,,,,,,,,,,,,,,,,,
過多陣,就,飲,得,㗎喇,。,平日,辛苦晒,你,！,」,,,,,,,,,,,,,,,,,,
gwo3-do1-zan6,zau6,jam2,dak1,gaa3-laa3,#,ping4-jat6,san1-fu2-saai3,nei5,#,#,,,,,,,,,,,,,,,,,,
after a while,then,drink,can,(particle),#,ordinary day,thanks for the effort,you,#,#,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,
自此,之後,，,媽媽,冇,再,話,阿瑩,睇,啲,咩,書,，,有時,仲,會,讚,佢,係,「,小,書生,」,添,！,,,,
zi6-ci2,zi1-hau6,#,maa4-maa1,mou5,zoi3,waa6,Aa3-jing4,tai2,di1,me1,syu1,#,jau5-si4,zung6,wui5,zaan3,keoi5,hai6,#,siu2,syu1-sang1,#,tim1,#,,,,
from then,after,#,mother,don't have,again,say,Ying,read,some,what,book,#,sometimes,even,will,praise,her,is,#,little,scholar,#,(particle),#,,,,
