#,keoi5-dei6,gan1-bun2,m4,ming4-baak6,ngo5,go3,man6-tai4,#,#,siu2-ming4,tung4,pang4-jau5,siu2-gong1,pou5-jyun3,#,keoi5,zeoi3,hei1-mong6,ge3,#,hai6,mui5,ci3,leoi5-hang4,ge3,si4-hau6,#,dou1,ho2-ji5,jau5,zung2,fong1-bin6,#,seon3-gaan1,heoi3,jam6-ho4,dei6-fong1,ge3,san4-kei4,lik6-loeng6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,they,in the first place,not,understand,I,(measure),question,#,#,Vishnu,and,friend,Rahul,complain,#,he,most,hope,(linker),#,is,every,time,travel,(linker),time,#,"all, also",can,have,a kind of,convenient,#,instantly,go,any,place,(linker),miraculous,force,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有一日,，,小明,睇到,報紙,上面,一,則,新聞,報道,，,令,佢,非常,興奮,，,上面,寫,住,：,「,超級,高鐵,：,現代,魔氈,」,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5-jat1-jat6,#,siu2-ming4,tai2-dou2,bou3-zi2,soeng6-min6,jat1,zak1,san1-man4,bou3-dou6,#,ling6,keoi5,fei1-soeng4,hing1-fan5,#,soeng6-min6,se2,zyu6,#,#,ciu1-kap1,gou1-tit3,#,jin6-doi6,mo1-zin1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one day,#,Vishnu,saw,newspaper,above,one,(measure),news,report,#,make,he,very,excited,#,above,write,-ing,#,#,super,high speed rail,#,modern,magic carpet,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小明,興沖沖,跑,去,同,小剛,講,：,「,小剛,你,睇,，,係,超級,高鐵,！,佢,仲,會,快,過,火車,同,飛機,添,呀,！,」,小剛,嘅,妹妹,喺,隔籬,聽到,，,都,好,感興趣,，,仲,問,小明,咩,係,超級,高鐵,。,,,,,,,,,,,,,,,,,,,,,,,
siu2-ming4,hing3-cung1-cung1,paau2,heoi3,tung4,siu2-gong1,gong2,#,#,siu2-gong1,nei5,tai2,#,hai6,ciu1-kap1,gou1-tit3,#,keoi5,zung6,wui5,faai3,gwo3,fo2-ce1,tung4,fei1-gei1,tim1,aa3,#,#,siu2-gong1,ge3,mui4-mui2,hai2,gaak3-lei4,teng1-dou2,#,dou1,hou2,gam2-hing3-ceoi3,#,zung6,man6,siu2-ming4,me1,hai6,ciu1-kap1,gou1-tit3,#,,,,,,,,,,,,,,,,,,,,,,,
Vishnu,eagerly,run,to,to,Rahul,say,#,#,Rahul,you,look,#,is,super,high speed rail,#,he,even,will,fast,-er,train,and,airplane,(particle),(particle),#,#,Rahul,’s,younger sister,at,next to,heard,#,"all, also",very,feel interested,#,even,ask,Vishnu,what,is,super,high speed rail,#,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,超級,高鐵,係,一,種,超級,、,超級,、,超級,快,嘅,交通工具,！,報道,話,，,佢,係,利用,磁浮,技術,，,將,列車,放,喺,一,條,又,長,又,大,嘅,真空,管道,入面,。,呢,條,真空,管道,可以,起,喺,地下,或者,地面,，,然後,就,可以,載,住,我哋,四圍,去,。,」,小明,同,佢哋,解釋,，,仲,越,講,越,興奮,。
#,ciu1-kap1,gou1-tit3,hai6,jat1,zung2,ciu1-kap1,#,ciu1-kap1,#,ciu1-kap1,faai3,ge3,gaau1-tung1-gung1-geoi6,#,bou3-dou6,waa6,#,keoi5,hai6,lei6-jung6,ci4-fau4,gei6-seot6,#,zoeng1,lit6-ce1,fong3,hai2,jat1,tiu4,jau6,coeng4,jau6,daai6,ge3,zan1-hung1,gun2-dou6,jap6-min6,#,nei1,tiu4,zan1-hung1,gun2-dou6,ho2-ji5,hei2,hai2,dei6-haa6,waak6-ze2,dei6-min2,#,jin4-hau6,zau6,ho2-ji5,zoi3,zyu6,ngo5-dei6,sei3-wai4,heoi3,#,#,siu2-ming4,tung4,keoi5-dei6,gaai2-sik1,#,zung6,jyut6,gong2,jyut6,hing1-fan5,#
#,super,high speed rail,is,one,type of,super,#,super,#,super,fast,(linker),vehicle,#,report,say,#,it,is,to make use of,magnetic levitation,technology,#,take,train,put,at,one,(measure),also,long,also,big,(linker),vacuum,pipeline,inside,#,this,(measure),vacuum,pipeline,can,build,at,underground,or,on the ground,#,then,then,can,carry,-ing,we,around,go,#,#,Vishnu,to,they,explain,#,even,more,say,more,excited,#
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,超級,高鐵,點,郁,㗎,？,安唔安全,㗎,？,」,小剛,問,。,小明,話,：,「,依家,超級,高鐵,仲,測試,緊,，,但係,報道,話,坐,上去,好,舒服,，,唔,會,好似,坐,過山車,噉,。,科學家,嘅,目標,係,希望,佢,可以,接近,音速,，,用,每,個鐘,1224,公里,嘅,速度,行駛,。,」,,,,,,,,,,,
#,ciu1-kap1,gou1-tit3,dim2,juk1,gaa3,#,on1-m4-on1-cyun4,gaa3,#,#,siu2-gong1,man6,#,siu2-ming4,waa6,#,#,ji1-gaa1,ciu1-kap1,gou1-tit3,zung6,cak1-si3,gan2,#,daan6-hai6,bou3-dou6,waa6,co5,soeng5-heoi3,hou2,syu1-fuk6,#,m4,wui5,hou2-ci5,co5,gwo3-saan1-ce1,gam2,#,fo1-hok6-gaa1,ge3,muk6-biu1,hai6,hei1-mong6,keoi5,ho2-ji5,zip3-gan6,jam1-cuk1,#,jung6,mui5,go3-zung1,jat1-cin1-ji6-baak3-ji6-sap6-sei3,gung1-lei5,ge3,cuk1-dou6,hang4-sai2,#,#,,,,,,,,,,,
#,super,high speed rail,how,to move,(particle),#,safe or not,(particle),#,#,Rahul,ask,#,Vishnu,say,#,#,now,super,high speed rail,even,test,-ing,#,but,report,say,sit,on,very,comfortable,#,not,will,seems,sit,roller coaster,that way,#,scientist,’s,aim,is,hope,it,can,get close to,speed of sound,#,use,every,hour(s),1224,kilometre (km),(linker),speed,travel,#,#,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小剛,問,：,「,即係,我哋,可以,用,搭,飛機,嘅,速度,，,十,幾,分鐘,就,可以,由,灣仔,去,到,屯門,？,平時,我哋,搭,港鐵,或者,巴士,都,要,一個,鐘,！,咁,犀利,，,佢,點,做到,㗎,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-gong1,man6,#,#,zik1-hai6,ngo5-dei6,ho2-ji5,jung6,daap3,fei1-gei1,ge3,cuk1-dou6,#,sap6,gei2,fan1-zung1,zau6,ho2-ji5,jau4,waan1-zai2,heoi3,dou3,tyun4-mun4,#,ping4-si4,ngo5-dei6,daap3,gong2-tit3,waak6-ze2,baa1-si2,dou1,jiu3,jat1-go3,zung1,#,gam3,sai1-lei6,#,keoi5,dim2,zou6-dou2,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul,ask,#,#,that means,we,can,use,take,airplane,(linker),speed,#,ten,several,minute,then,can,from,Wan Chai,go,to,Tuen Mun,#,usually,we,take,MTR,or,bus,"all, also",need,one (measure),hour,#,so,superb,#,it,how,to do,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小明,解釋,：,「,佢,嘅,原理,係噉嘅,：,真空,管道,入面,係,幾乎,冇,任何,空氣,阻力,或,摩擦力,，,冇,咗,呢啲,阻力,影響,，,列車,就,唔,會,減慢,速度,，,可以,好,快,噉,穿過,管道,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-ming4,gaai2-sik1,#,#,keoi5,ge3,jyun4-lei5,hai6-gam2-ge2,#,zan1-hung1,gun2-dou6,jap6-min6,hai6,gei1-fu4,mou5,jam6-ho4,hung1-hei3,zo2-lik6,waak6,mo1-caat3-lik6,#,mou5,zo2,nei1-di1,zo2-lik6,jing2-hoeng2,#,lit6-ce1,zau6,m4,wui5,gaam2-maan6,cuk1-dou6,#,ho2-ji5,hou2,faai3,gam2,cyun1-gwo3,gun2-dou6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vishnu,explain,#,#,it,(linker),principle,is this way,#,vacuum,pipeline,inside,is,almost,don't have,any,air,resistance,or,friction,#,don't have,-en,these,resistance,influence,#,train,then,not,will,slow down,speed,#,can,very,fast,-ly,go through,pipeline,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
實在,太,厲害,喇,！,佢哋,越,諗,越,開心,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sat6-zoi6,taai3,lai6-hoi6,laa3,#,keoi5-dei6,jyut6,nam2,jyut6,hoi1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
really,too,fantastic,(particle),#,they,more,think,more,happy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,但係,我,聽日,都,仲係,要,搭,一個,鐘,巴士,返學,……,」,小明,唔,開心,噉,講,。,雖然,係噉,，,至少,佢,可以,寄望,有一日,搭,到,超級,高鐵,——,佢,夢寐以求,嘅,交通工具,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,daan6-hai6,ngo5,ting1-jat6,dou1,zung6-hai6,jiu3,daap3,jat1-go3,zung1,baa1-si2,faan1-hok6,#,#,siu2-ming4,m4,hoi1-sam1,gam2,gong2,#,seoi1-jin4,hai6-gam2,#,zi3-siu2,keoi5,ho2-ji5,gei3-mong6,jau5-jat1-jat6,daap3,dou2,ciu1-kap1,gou1-tit3,#,keoi5,mung6-mei6-ji5-kau4,ge3,gaau1-tung1-gung1-geoi6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,but,I,tomorrow,also,still,have to,take,one (measure),hour,bus,to go to school,#,#,Vishnu,not,happy,-ly,say,#,although,this way,#,at least,he,can,hope for,one day,take,(suffix),super,high speed rail,#,he,longed-for,(linker),vehicle,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因為,人類,唔同,嘅,夢想,同,無限,嘅,想像,，,至,會,有,唔同,嘅,偉大,發明,問世,。,小明,細細個,就,已經,對,科技,有,好多,唔同,嘅,憧憬,，,你,又,點睇,未來,嘅,科技,發展,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan1-wai6,jan4-leoi6,m4-tung4,ge3,mung6-soeng2,tung4,mou4-haan6,ge3,soeng2-zoeng6,#,zi3,wui5,jau5,m4-tung4,ge3,wai5-daai6,faat3-ming4,man6-sai3,#,siu2-ming4,sai3-sai3-go3,zau6,ji5-ging1,deoi3,fo1-gei6,jau5,hou2-do1,m4-tung4,ge3,cung1-ging2,#,nei5,jau6,dim2-tai2,mei6-loi4,ge3,fo1-gei6,faat3-zin2,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
because,human beings,different,(linker),dream,and,infinite,(linker),imagination,#,then,will,have,different,(linker),great,invention,come out,#,Vishnu,young and small,then,already,to,technology,have,many,different,(linker),fancy,#,you,also,how to see,future,(linker),technology,development,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
