於是,，,佢哋,拎,晒,豬仔錢罌,啲,錢,出嚟,，,但,數嚟數去,都係,得,雞碎咁多,，,唔,夠,錢,買,一,隻,風箏,。,房,入面,嘅,氣氛,突然,變,得,好,沉重,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu1-si6,#,keoi5-dei6,ling1,saai3,zyu1-zai2-cin4-aang1,di1,cin2,ceot1-lei4,#,daan6,sou2-lei4-sou2-heoi3,dou1-hai6,dak1,gai1-seoi3-gam3-do1,#,m4,gau3,cin2,maai5,jat1,zek3,fung1-zang1,#,fong2,jap6-min6,ge3,hei3-fan1,dat6-jin4,bin3,dak1,hou2,cam4-cung5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,#,they,take,all,piggy bank,those,money,out,#,but,counting again and again,also,only have,a few pennies,#,not,enough,money,to buy,one,(measure),kite,#,room,inside,(linker),atmosphere,suddenly,change,(suffix),very,heavy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,冇問題,嘅,，,唔,夠,錢,買,，,可以,自己,整,嘅啫,！,」,Riya,打起精神,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,mou5-man6-tai4,ge3,#,m4,gau3,cin2,maai5,#,ho2-ji5,zi6-gei2,zing2,ge3-zek1,#,#,Riya,daa2-hei2-zing1-san4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,no problem,(particle),#,not,enough,money,to buy,#,can,oneself,make,(particle),#,#,Riya,to regain spirit,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,問,：,「,乜,你,識,整,咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,man6,#,#,mat1,nei5,sik1,zing2,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,ask,#,#,what,you,know,make,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riya,答,：,「,唔識,咪,學,囉,！,只要,我哋,一齊,整,，,冇嘢,難,到,我哋,嘅,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riya,daap3,#,#,m4-sik1,mai5,hok6,lo1,#,zi2-jiu3,ngo5-dei6,jat1-cai4,zing2,#,mou5-je5,naan4,dou2,ngo5-dei6,ge3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riya,reply,#,#,don't know,then,learn,(particle),#,so long as,we,together,make,#,nothing,challenge,(suffix),we,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於是,，,Raju,同,Riya,一齊,夾手夾腳,揾,資料,學,整,風箏,，,又,揾嚟,一,堆,廢紙,，,再,另外,買,咗,一啲,平平哋,嘅,顏色,紙,、,尼龍,線,同,膠紙,。,終於,可以,開始,整,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu1-si6,#,Raju,tung4,Riya,jat1-cai4,gaap3-sau2-gaap3-goek3,wan2,zi1-liu2,hok6,zing2,fung1-zang1,#,jau6,wan2-lei4,jat1,deoi1,fai3-zi2,#,zoi3,ling6-ngoi6,maai5,zo2,jat1-di1,peng4-peng2-dei2,ge3,ngaan4-sik1,zi2,#,nei4-lung4,sin3,tung4,gaau1-zi2,#,zung1-jyu1,ho2-ji5,hoi1-ci2,zing2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
therefore,#,Raju,and,Riya,together,to collaborate,find,material,learn,to make,kite,#,again,find,one,pile,waste paper,#,again,in addition,buy,-en,some,cheap,(linker),colour,paper,#,nylon,thread,and,tape,#,finally,can,begin,to make,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,同,Riya,都,好,俾心機,去,整,——,佢哋,一心,只係,想,整,好,一,隻,風箏,，,將,佢哋,心,入面,嘅,説話,帶,上,天,俾,媽媽,知道,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,tung4,Riya,dou1,hou2,bei2-sam1-gei1,heoi3,zing2,#,keoi5-dei6,jat1-sam1,zi2-hai6,soeng2,zing2,hou2,jat1,zek3,fung1-zang1,#,zoeng1,keoi5-dei6,sam1,jap6-min6,ge3,syut3-waa6,daai3,soeng5,tin1,bei2,maa4-maa1,zi1-dou3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,and,Riya,also,very,pay effort,to,make,#,they,wholeheartedly,just only,want to,make,well,one,(measure),kite,#,put,they,heart,inside,(linker),words,bring,up,sky,to,mother,to know,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
經過,一,番,努力,，,Raju,同,Riya,終於,整,好,風箏,喇,：,有,Raju,鍾意,嘅,藍色,，,Riya,鍾意,嘅,粉紅色,，,仲有,媽媽,鍾意,嘅,紫色,，,佢哋,叫,佢,做,「,愛,的,風箏,」,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ging1-gwo3,jat1,faan1,nou5-lik6,#,Raju,tung4,Riya,zung1-jyu1,zing2,hou2,fung1-zang1,laa3,#,jau5,Raju,zung1-ji3,ge3,laam4-sik1,#,Riya,zung1-ji3,ge3,fan2-hung4-sik1,#,zung6-jau5,maa4-maa1,zung1-ji3,ge3,zi2-sik1,#,keoi5-dei6,giu3,keoi5,zou6,#,oi3,dik1,fung1-zang1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Through,one,(measure),effort,#,Raju,and,Riya,finally,make,well,kite,(particle),#,have,Raju,like,(linker),blue,#,Riya,like,(linker),pink,#,still have,mother,like,(linker),purple,#,they,call,it,to be,#,love,’s,kite,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,喺,風箏,上面,寫,咗,好多,好多,想,同,媽媽,講,嘅,説話,，,過程,越,寫,越,激動,，,結果,佢哋,一路,寫,就,一路,喊,，,眼淚,滴,濕,晒,五顏六色,嘅,紙,——,哎呀,，,隻,風箏,噉就,穿,咗,窿,！,嗰,刻,Raju,同,Riya,呆,咗,，,擘,大,個,口,得,個,窿,……,揾,紙,補,返,好似,唔係,咁,好睇,，,睇嚟,佢哋,又,要,重新,整,過,喇,！,希望,媽媽,在天之靈,會,收到,佢哋,嘅,心意,啦,！,,,,,,,,,,
keoi5-dei6,hai2,fung1-zang1,soeng6-min6,se2,zo2,hou2-do1,hou2-do1,soeng2,tung4,maa4-maa1,gong2,ge3,syut3-waa6,#,gwo3-cing4,jyut6,se2,jyut6,gik1-dung6,#,git3-gwo2,keoi5-dei6,jat1-lou6,se2,zau6,jat1-lou6,haam3,#,ngaan5-leoi6,dik6,sap1,saai3,ng5-ngaan4-luk6-sik1,ge3,zi2,#,aai1-aa3,#,zek3,fung1-zang1,gam2-zau6,cyun1,zo2,lung1,#,go2,hak1,Raju,tung4,Riya,ngoi4,zo2,#,maak3,daai6,go3,hau2,dak1,go3,lung1,#,wan2,zi2,bou2,faan1,hou2-ci5,m4-hai6,gam3,hou2-tai2,#,tai2-lei4,keoi5-dei6,jau6,jiu3,cung4-san1,zing2,gwo3,laa3,#,hei1-mong6,maa4-maa1,zoi6-tin1-zi1-ling4,wui5,sau1-dou2,keoi5-dei6,ge3,sam1-ji3,laa1,#,,,,,,,,,,
they,at,kite,above,write,-en,many,many,want,to,mother,say,(linker),words,#,process,more,write,more,get emotional,#,result,they,while,write,then,while,cry,#,tear,drop,wet,all,colourful,(linker),paper,#,Oh no!,#,(measure),kite,then,has,-en,hole,#,that,moment,Raju,and,Riya,shocked,-en,#,open,big,(measure),mouth,only have,(measure),hole,#,find,paper,to mend,back,seems,is not,so,good-looking,#,seems,they,again,need to,again,make,-ed,(particle),#,hope,mother,soul in heaven,will,receive,they,’s,kindly feeling,(particle),#,,,,,,,,,,
