but,to,Gimmy,speaking,#,money,still,one (measure),very,unfamiliar,(linker),thing,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金仔,問,：,「,錢,係咩,嚟,㗎,？,錢,食唔食,得,㗎,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-zai2,man6,#,#,cin2,hai6-me1,lai4,gaa3,#,cin2,sik6-m4-sik6,dak1,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gimmy,ask,#,#,money,is what,(particle),(particle),#,money,eat or not,can,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,媽媽,就話,：,「,錢,雖然,唔,食,得,，,但係,錢,可以,買,一啲,食,得,嘅,嘢,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa4-baa1,maa4-maa1,zau6-waa6,#,#,cin2,seoi1-jin4,m4,sik6,dak1,#,daan6-hai6,cin2,ho2-ji5,maai5,jat1-di1,sik6,dak1,ge3,je5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,mother,then say,#,#,money,although,cannot,eat,(suffix),#,but,money,can,buy,some,eat,(suffix),(linker),thing,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,，,平時,金仔,最,鍾意,食,嘅,生菜,，,就係,媽媽,攞,住,錢,去,街市,買返嚟,嘅,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,#,ping4-si4,gam1-zai2,zeoi3,zung1-ji3,sik6,ge3,saang1-coi3,#,zau6-hai6,maa4-maa1,lo2,zyu6,cin2,heoi3,gaai1-si5,maai5-faan1-lei4,ge3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it turns out,#,usually,Gimmy,most,like,to eat,(linker),lettuce,#,then is,mother,take,-ing,money,go,street market,to buy and return,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,話,畀,金仔,知,，,原來,好,耐,好,耐,以前,，,大家,都係,靠,換,嘢,嚟,交易,嘅,。,可能,係,用,薯仔,換,生菜,，,又,可能,係,用,蕃茄,換,新,衫,，,又,或者,係,用,一,隻,驢仔,換,一,隻,馬,⋯⋯,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa4-baa1,waa6,bei2,gam1-zai2,zi1,#,jyun4-loi4,hou2,noi6,hou2,noi6,ji5-cin4,#,daai6-gaa1,dou1-hai6,kaau3,wun6,je5,lai4,gaau1-jik6,ge3,#,ho2-nang4,hai6,jung6,syu4-zai2,wun6,saang1-coi3,#,jau6,ho2-nang4,hai6,jung6,faan1-ke2,wun6,san1,saam1,#,jau6,waak6-ze2,hai6,jung6,jat1,zek3,lou4-zai2,wun6,jat1,zek3,maa5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,tell,to,Gimmy,to know,#,it turns out,very,long time,very,long time,before,#,everyone,also is,depend on,exchange,thing,to,trade,(linker),#,possible,is,use,potato,to exchange for,lettuce,#,again,possible,is,use,tomato,to exchange for,new,clothes,#,again,or,is,use,one,(measure),donkey,to exchange for,one,(measure),horse,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,噉樣,始終,唔,方便,。,金仔,鍾意,食,生菜,，,梗係,願意,用,薯仔,換,生菜,啦,，,但係,生菜,嘅,主人,未必,鍾意,食,薯仔,啊,！,要,夾,到,可以,換,嘢,嘅,人,，,又,要,換,得,公平,，,令,大家,都,滿意,，,實在,唔,容易,。,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,gam2-joeng2,ci2-zung1,m4,fong1-bin6,#,gam1-zai2,zung1-ji3,sik6,saang1-coi3,#,gang2-hai6,jyun6-ji3,jung6,syu4-zai2,wun6,saang1-coi3,laa1,#,daan6-hai6,saang1-coi3,ge3,zyu2-jan4,mei6-bit1,zung1-ji3,sik6,syu4-zai2,aa3,#,jiu3,gaap2,dou2,ho2-ji5,wun6,je5,ge3,jan4,#,jau6,jiu3,wun6,dak1,gung1-ping4,#,ling6,daai6-gaa1,dou1,mun5-ji3,#,sat6-zoi6,m4,jung4-ji6,#,,,,,,,,,,,,,,,,,,,,,,,,
but,in this way,after all,not,convenient,#,Gimmy,like,eat,lettuce,#,of course,willing,to use,potato,to exchange for,lettuce,(particle),#,but,lettuce,’s,master,unnecessarily,like,to eat,potato,(particle),#,need to,match,(suffix),can,exchange,thing,(linker),people,#,again,need to,exchange,(suffix),fair,#,make,everyone,"all, also",satisfied,#,really,not,easy,#,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於是,慢慢,開始,出現,錢,呢,樣,嘢,。,大家,都,承認,錢,嘅,價值,，,就,可以,透過,錢,呢,樣,工具,同,其他,人,換,嘢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu1-si6,maan6-maan2,hoi1-ci2,ceot1-jin6,cin2,nei1,joeng6,je5,#,daai6-gaa1,dou1,sing4-jing6,cin2,ge3,gaa3-zik6,#,zau6,ho2-ji5,tau3-gwo3,cin2,nei1,joeng6,gung1-geoi6,tung4,kei4-taa1,jan4,wun6,je5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,slowly,begin,appear,money,this,kind of,thing,#,everyone,"all, also",admit,money,’s,value,#,then,can,through,money,this,kind of,tool,with,other,people,exchange,thing,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交換,嘅,嘢,大大細細,都,得,。,錢,可以,買,到,金仔,平時,喺,屋企,玩,開,嘅,玩具,車,，,又,可以,買,到,馬路,上面,行,緊,嘅,私家車,；,可以,買,到,金仔,房,入面,嘅,模型,屋,，,又,可以,買,到,錢,家,一,家,三,口,住,緊,嘅,呢,間,屋,。,,,,,,,,,,,,,,,,,,
gaau1-wun6,ge3,je5,daai6-daai6-sai3-sai3,dou1,dak1,#,cin2,ho2-ji5,maai5,dou2,gam1-zai2,ping4-si4,hai2,uk1-kei2,waan2,hoi1,ge3,wun6-geoi6,ce1,#,jau6,ho2-ji5,maai5,dou2,maa5-lou6,soeng6-min6,haang4,gan2,ge3,si1-gaa1-ce1,#,ho2-ji5,maai5,dou2,gam1-zai2,fong2,jap6-min6,ge3,mou4-jing4,uk1,#,jau6,ho2-ji5,maai5,dou2,cin4,gaa1,jat1,gaa1,saam1,hau2,zyu6,gan2,ge3,nei1,gaan1,uk1,#,,,,,,,,,,,,,,,,,,
exchange,(linker),thing,big or small,"all, also",okay,#,money,can,buy,(suffix),Gimmy,usually,at,home,play,always,(linker),toy,car,#,again,can,buy,(suffix),road,above,walk,-ing,(linker),private car,#,can,buy,(suffix),Gimmy,room,inside,(linker),model,house,#,again,can,buy,(suffix),Cin's,family,one,family,three,people,live,-ing,(linker),this,(measure),house,#,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金仔,又,問,嘞,：,「,噉,啲,錢,又,係,點,嚟,㗎,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-zai2,jau6,man6,laak3,#,#,gam2,di1,cin2,jau6,hai6,dim2,lai4,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gimmy,again,ask,(particle),#,#,in this way,those,money,also,is,how,to come,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
對,小朋友,嚟講,，,錢,多數,係,大人,畀,嘅,，,例如,爸爸,媽媽,畀,嘅,零用錢,，,新年,向,親戚,逗,嘅,利是,錢,等等,；,大人,就,要,做嘢,嚟,賺錢,，,例如,爸爸,媽媽,要,去,返工,。,所以,爸爸,解釋,返,畀,金仔,聽,：,「,我哋,啲,錢,係,返工,做嘢,賺,返嚟,嘅,。,到,你,大個,做嘢,，,都會,賺,到,自己,嘅,錢,。,」,,,,
deoi3,siu2-pang4-jau5,lai4-gong2,#,cin2,do1-sou3,hai6,daai6-jan4,bei2,ge3,#,lai6-jyu4,baa4-baa1,maa4-maa1,bei2,ge3,ling4-jung6-cin2,#,san1-nin4,hoeng3,can1-cik1,dau6,ge3,lei6-si6,cin2,dang2-dang2,#,daai6-jan4,zau6,jiu3,zou6-je5,lai4,zaan6-cin2,#,lai6-jyu4,baa4-baa1,maa4-maa1,jiu3,heoi3,faan1-gung1,#,so2-ji5,baa4-baa1,gaai2-sik1,faan1,bei2,gam1-zai2,teng1,#,#,ngo5-dei6,di1,cin2,hai6,faan1-gung1,zou6-je5,zaan6,faan1-lei4,ge3,#,dou3,nei5,daai6-go3,zou6-je5,#,dou1-wui5,zaan6,dou2,zi6-gei2,ge3,cin2,#,#,,,,
to,children,speaking,#,money,majority,is,adult,give,(particle),#,for example,father,mother,give,(linker),pocket money,#,new year,towards,relative,ask for,(linker),red packet,money,etc.,#,adult,then,need to,work,to,earn money,#,for example,father,mother,need to,go,to work,#,therefore,father,explain,back,to,Gimmy,listen,#,#,we,those,money,is,go to work,work,to earn,back,(particle),#,to,you,grow up,to work,#,also will,earn,(suffix),oneself,’s,money,#,#,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金仔,又,問,：,「,噉,如果,我,將,啲,錢,埋,喺,地下,，,會唔會,好似,植物,噉,生,返,多啲,錢,出嚟,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-zai2,jau6,man6,#,#,gam2,jyu4-gwo2,ngo5,zoeng1,di1,cin2,maai4,hai2,dei6-haa2,#,wui5-m4-wui5,hou2-ci5,zik6-mat6,gam2,saang1,faan1,do1-di1,cin2,ceot1-lai4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gimmy,again,ask,#,#,in this way,if,I,take,those,money,bury,at,underground,#,will or will not,seems,plant,in that way,grow,back,more,money,out,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,媽媽,聽到,之後,，,吱,一,聲,笑,咗,出嚟,，,一齊,話,：,「,搖錢樹,咩,？,唔會,啦,！,」,但係,媽媽,補充,咗,一,句,：,「,不過,錢,係,有,其他,方法,可以,越,儲,越,多,嘅,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa4-baa1,maa4-maa1,teng1-dou2,zi1-hau6,#,zi1,jat1,seng1,siu3,zo2,ceot1-lei4,#,jat1-cai4,waa6,#,#,jiu4-cin4-syu6,me1,#,m4-wui5,laa1,#,#,daan6-hai6,maa4-maa1,bou2-cung1,zo2,jat1,geoi3,#,#,bat1-gwo3,cin2,hai6,jau5,kei4-taa1,fong1-faat3,ho2-ji5,jyut6,cou5,jyut6,do1,ge2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,mother,heard,after,#,squeak,one,sound,laugh,-en,out,#,together,say,#,#,money tree,(particle),#,will not,(particle),#,#,but,mother,supplement,-en,one,sentence,#,#,however,money,is,have,other,method,can,more,save,more,many,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,話,，,小朋友,想,儲錢,嘅話,，,除咗,可以,將,錢,放,入,豬仔錢罌,之外,，,仲,可以,放,喺,其他,地方,，,例如,銀行,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,waa6,#,siu2-pang4-jau5,soeng2,cou5-cin2,ge3-waa6,#,ceoi4-zo2,ho2-ji5,zoeng1,cin2,fong3,jap6,zyu1-zai2-cin4-aang1,zi1-ngoi6,#,zung6,ho2-ji5,fong3,hai2,kei4-taa1,dei6-fong1,#,lai6-jyu4,ngan4-hong4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,say,#,children,want to,save money,if,#,except,can,take,money,to put,into,piggy bank,except,#,even,can,put,at,other,place,#,for example,bank,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如果,金仔,將,錢,放,入,銀行,，,一,段,時間,之後,，,銀行,就,會,畀,返,少少,錢,金仔,，,呢啲,錢,就,叫做,「,利息,」,。,如果,啲,錢,唔,攞走,，,利息,就,會,加埋,一齊,滾,啊,滾,，,滾,啊,滾,，,變,得,越嚟越多,。,,,,,,,,,,,,,,,,,,,,,,,,
jyu4-gwo2,gam1-zai2,zoeng1,cin2,fong3,jap6,ngan4-hong4,#,jat1,dyun6,si4-gaan3,zi1-hau6,#,ngan4-hong4,zau6,wui5,bei2,faan1,siu2-siu2,cin2,gam1-zai2,#,nei1-di1,cin2,zau6,giu3-zou6,#,lei6-sik1,#,#,jyu4-gwo2,di1,cin2,m4,lo2-zau2,#,lei6-sik1,zau6,wui5,gaa1-maai4,jat1-cai4,gwan2,aa3,gwan2,#,gwan2,aa3,gwan2,#,bin3,dak1,jyut6-lai4-jyut6-do1,#,,,,,,,,,,,,,,,,,,,,,,,,
if,Gimmy,take,money,put,into,bank,#,one,period of,time,after,#,bank,then,will,to give,back,a bit,money,Gimmy,#,these,money,then,is called,#,interest,#,#,if,some,money,not,take away,#,interest,then,will,add together,together,roll,(particle),roll,#,roll,(particle),roll,#,become,(suffix),more and more,#,,,,,,,,,,,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
只要,慢慢,儲,，,慢慢,儲,，,金仔,嘅,錢,就,會,越,儲,越,多,。,到時,，,金仔,就,可以,買,到,自己,想,要,嘅,嘢,，,例如,零食,、,香蕉,、,蘋果,、,文具,，,甚至,新,電腦,、,新,電腦,檯,、,新,電腦,櫈,——,,,,,,,,,,,,,,,,,,,,,,,,,,
zi2-jiu3,maan6-maan2,cou5,#,maan6-maan2,cou5,#,gam1-zai2,ge3,cin2,zau6,wui5,jyut6,cou5,jyut6,do1,#,dou3-si4,#,gam1-zai2,zau6,ho2-ji5,maai5,dou2,zi6-gei2,soeng2,jiu3,ge3,je5,#,lai6-jyu4,ling4-sik6,#,hoeng1-ziu1,#,ping4-gwo2,#,man4-geoi6,#,sam6-zi3,san1,din6-nou5,#,san1,din6-nou5,toi2,#,san1,din6-nou5,dang3,#,,,,,,,,,,,,,,,,,,,,,,,,,,
so long as,slowly,save,#,slowly,save,#,Gimmy,’s,money,then,will,more,save,more,many,#,by that time,#,Gimmy,then,can,buy,(suffix),oneself,want,to want,(linker),thing,#,for example,snack,#,banana,#,apple,#,stationery,#,even,new,computer,#,new,computer,desk,#,new,computer,chair,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[4f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,爸爸,中途,補充,一,句,：,「,係呀,金仔,，,而且,錢,仲,可以,係,一,種,保障,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1-go3,si4-hau6,#,baa4-baa1,zung1-tou4,bou2-cung1,jat1,geoi3,#,#,hai6-aa3,gam1-zai2,#,ji4-ce2,cin2,zung6,ho2-ji5,hai6,jat1,zung2,bou2-zoeng3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this one,time,#,father,midway,supplement,one,sentence,#,#,yes,Gimmy,#,and that,money,even,can,is,one,kind of,guarantee,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,提起,最近,入,咗,醫院,嘅,嫲嫲,。,爸爸,話,，,嫲嫲,年紀,大,，,機器,壞,，,身體,有,唔少,毛病,都,要,醫,，,呢個,時候,就,要,用,到,錢,。,如果,冇,錢,，,或者,唔,夠,錢,，,嫲嫲,就,得,唔到,應,有,嘅,治療,。,爸爸,望,到,金仔,架,玩具,車,，,諗起,上個月,自己,架,私家車,壞,咗,要,揾,人,整,，,就,繼續,話,：
baa4-baa1,tai4-hei2,zeoi3-gan6,jap6,zo2,ji1-jyun2,ge3,maa4-maa4,#,baa4-baa1,waa6,#,maa4-maa4,nin4-gei2,daai6,#,gei1-hei6,waai6,#,san1-tai2,jau5,m4-siu2,mou4-beng6,dou1,jiu3,ji1,#,nei1-go3,si4-hau6,zau6,jiu3,jung6,dou3,cin2,#,jyu4-gwo2,mou5,cin2,#,waak6-ze2,m4,gau3,cin2,#,maa4-maa4,zau6,dak1,m4-dou2,jing1,jau5,ge3,zi6-liu4,#,baa4-baa1,mong6,dou2,gam1-zai2,gaa3,wun6-geoi6,ce1,#,nam2-hei3,soeng6-go3-jyut6,zi6-gei2,gaa3,si1-gaa1-ce1,waai6,zo2,jiu3,wan2,jan4,zing2,#,zau6,gai3-zuk6,waa6,#
father,mention,recently,enter,-en,hospital,(linker),grandmother ,#,father,say,#,grandmother ,age,big,#,machinery,bad,#,body,have,not few,minor illness,"all, also",need to,cure,#,this one,time,then,need to,use,(suffix),money,#,if,don't have,money,#,or,not,enough,money,#,grandmother,then,gain,cannot,should,have,(linker),treatment,#,father,look,(suffix),Gimmy,(measure),toy,car,#,think of,last month,oneself,(measure),private car,break,-en,need to,find,people,to fix,#,then,continue,to say,#
[4h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,車,壞,咗,要,畀錢,維修,，,人,病,咗,都係,一樣,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ce1,waai6,zo2,jiu3,bei2-cin2,wai4-sau1,#,jan4,beng6,zo2,dou1-hai6,jat1-joeng6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,car,break,-en,ned to,pay,to maintain,#,people,sick,-en,also is,the same,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
講,到,呢度,，,金仔,雖然,冇,可能,完全,明,晒,，,但,都,開始,有,少少,明白,，,錢,究竟,係,一樣,點樣,嘅,嘢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gong2,dou3,nei1-dou6,#,gam1-zai2,seoi1-jin4,mou5,ho2-nang4,jyun4-cyun4,ming4,saai3,#,daan6,dou1,hoi1-ci2,jau5,siu2-siu2,ming4-baak6,#,cin2,gau3-ging2,hai6,jat1-joeng6,dim2-joeng2,ge3,je5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
say,to,here,#,Gimmy,although,don't have,possible,completely,understand,all,#,but,"all, also",begin,have,a bit,understand,#,money,exactly,is,a kind of,how,(linker),thing,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
錢,係咩,嚟,？,錢,係,工具,，,一,種,可以,用嚟,換,嘢,嘅,工具,；,錢,係,可能性,，,只要,有錢,，,就,會,多,好多,選擇,；,錢,仲係,一,種,保障,，,萬一,發生,咩,突發,事,，,有錢,都,可以,幫,到手,⋯⋯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
