jau5,jat1,ci3,ngo5,jau6,hou2,faai3,syu1,zo2,#,jan2-m4-zyu6,gong2,zo2,nei1-go3,nam2-faat3,bei2,biu2-ze2,zi1,#,keoi5,teng1-gin3,zau6,siu3,zyu6,waa6,#,#,ngo5,tai2,gwo3,jat1,bou6,siu2-syut3,#,zyu2-gok3,jau5,gin6,jan2-jing4,dau2-pung4,#,heoi3,dou3,bin1,dou1,ho2-ji5,san4-bat1-zi1-gwai2-bat1-gok3,#,tai2-lei4,nei5,hai6,soeng2,jiu3,ni1,gin6,je5,wo3,#,#,keoi5,jau6,mo2,haa5,ngo5,go3,tau4,#,#,nei5,m4-sai2,m4,hoi1-sam1,wo3,#,zeoi3-do1,ngo5,haa6-ci3,joeng6,haa5,nei5,lo1,#,,,,
have,one,time,I,again,very,fast,lose,-en,#,cannot help,say,-en,this,thought,to,elder cousin sister,know,#,she,heard,then,laugh,-ing,say,#,#,I,read,-ed,one,(measure),novel,#,main character,have,(measure),invisible,cloak,#,go,to,where,"all, also",can,neither gods nor ghosts know,#,seems like,you,is,want to,have,this,(measure),thing,(particle),#,#,she,also,pat,a bit,I,(measure),head,#,#,you,no need,not,happy,(particle),#,at most,I,next time,go easy on,a bit,you,(particle),#,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,隱形,斗篷,？,竟然,有,啲,咁,勁,嘅,嘢,？,」,我,即刻,兩,眼,放,光,：,「,我,先,唔使,你,讓,我,！,我哋,要,堂堂正正,公平,競爭,。,你,等,我,揾到,件,隱形,斗篷,返嚟,，,你,就,知味道,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jan2-jing4,dau2-pung4,#,ging2-jin4,jau5,di1,gam3,ging6,ge3,je5,#,#,ngo5,zik1-hak1,loeng5,ngaan5,fong3,gwong1,#,#,ngo5,sin1,m4-sai2,nei5,joeng6,ngo5,#,ngo5-dei6,jiu3,tong4-tong4-zing3-zing3,gung1-ping4,ging6-zang1,#,nei5,dang2,ngo5,wan2-dou2,gin6,jan2-jing4,dau2-pung4,faan1-lei4,#,nei5,zau6,zi1-mei6-dou6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,invisible,cloak,#,to one's surprise,have,these,so,powerful,(linker),thing,#,#,I,immediately,two,eye,emit,light,#,#,I,of course,no need,you,go easy on,I,#,we,want to,fair and square,fairly,compete,#,you,wait,I,find,(measure),invisible,cloak,to come back,#,you,then,taste defeat,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
想,揾,資料,要,點做,？,梗係,去,圖書館,啦,！,第二日,一早,，,我,就,跑,去,圖書館,揾,一,大,堆,關於,衫,嘅,書,，,啲,書,疊,起上嚟,仲,高,過,我,。,我,每,拎,一本,書,，,都,要,伸,到,隻手,好,長,，,對,腳,又,要,趷,到,好,高,，,仲,辛苦,過,行山,。,不過,嘻,嘻,，,有,咁,多,書,，,我,就,唔,信,揾唔到,傳說,中,嘅,隱形,斗篷,！
soeng2,wan2,zi1-liu2,jiu3,dim2-zou6,#,gang2-hai6,heoi3,tou5-syu1-gun2,laa1,#,dai6-ji6-jat6,jat1-zou2,#,ngo5,zau6,paau2,heoi3,tou5-syu1-gun2,wan2,jat1,daai6,deoi1,gwaan1-jyu1,saam1,ge3,syu1,#,di1,syu1,daap6,hei2-soeng5-lei4,zung6,gou1,gwo3,ngo5,#,ngo5,mui5,ling1,jat1-bun2,syu1,#,dou1,jiu3,san1,dou3,zek3-sau2,hou2,coeng4,#,deoi3,goek3,jau6,jiu3,gat6,dou3,hou2,gou1,#,zung6,san1-fu2,gwo3,haang4-saan1,#,bat1-gwo3,hei1,hei1,#,jau5,gam3,do1,syu1,#,ngo5,zau6,m4,seon3,wan2-m4-dou2,cyun4-syut3,zung1,ge3,jan2-jing4,dau2-pung4,#
want,to find,material,have,how to do,#,of course,to go,library,(particle),#,the next day,early morning,#,I,then,run,to go,library,to find,one,big,pile,regarding,clothes,(linker),book,#,those,book,pile up,as one,even,tall,-er,I,#,I,every time,take,one (measure),book,#,"all, also",need to,stretch,to,(measure) hand,very,long,#,pair,"foot, leg",again,have to,go on tiptoe,to,very,tall,#,even,hard,-er,hiking,#,however,hehe,hehe,#,have,so,many,book,#,I,then,not,believe,cannot find,legend,within,(linker),invisible,cloak,#
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
揭,完,一,頁,又,一,頁,，,原來,衫褲鞋襪,嘅,世界,好,大,，,淨係,物料,，,都,已經,十,隻,手指,數,唔,晒,！,毛冷,啦,，,尼龍,啦,，,棉,啦,，,羊毛,啦,……,剩係,我,而家,身上,着,嘅,，,都,已經,三,四,種,。,再,望,一,望,周圍,睇書,嘅,人,啲,衫,，,研究,下,係咩,質地,——,有啲,分,到,，,有啲,分,唔到,。,真係,好,好玩,啊,！,,,,
kit3,jyun4,jat1,jip6,jau6,jat1,jip6,#,jyun4-loi4,saam1-fu3-haai4-mat6,ge3,sai3-gaai3,hou2,daai6,#,zing6-hai6,mat6-liu2,#,dou1,ji5-ging1,sap6,zek3,sau2-zi2,sou2,m4,saai3,#,mou4-laang1,laa1,#,nei4-lung4,laa1,#,min4,laa1,#,joeng4-mou4,laa1,#,zing6-hai6,ngo5,ji4-gaa1,san1-soeng6,zoek3,ge3,#,dou1,ji5-ging1,saam1,sei3,zung2,#,zoi3,mong6,jat1,mong6,zau1-wai4,tai2-syu1,ge3,jan4,di1,saam1,#,jin4-gau3,haa5,hai6-me1,zat1-dei2,#,jau5-di1,fan1,dou2,#,jau5-di1,fan1,m4-dou2,#,zan1-hai6,hou2,hou2-waan2,aa3,#,,,,
to turn,finish,one,page,again,one,page,#,it turns out,clothing items,(linker),world,very,big,#,just,materials,#,"all, also",already,ten,(particle),fingers,count,not,all,#,yarn,(particle),#,nylon,(particle),#,cotton,(particle),#,wool,(particle),#,just,I,now,on one's body,wear/put on,(linker),#,"all, also",already,three,four,type,#,again,look,one,look,surrounding,read books,(linker),people,those,clothes,#,research,a bit,is what,texture,#,some,classify,able,#,some,classify,not able,#,really,very,fun,(particle),#,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毛鬙鬙,嘅,叫,毛冷,，,冬天,嗰陣,，,媽媽,會,將,佢,親手,織,嘅,冷帽,同,冷,手套,畀,我,戴,。,我,戴,上去,就,暖笠笠,，,畀,風,吹,到,都,唔,覺,凍,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mou4-sang4-sang4,ge3,giu3,mou4-laang1,#,dung1-tin1,go2-zan6,#,maa4-maa1,wui5,zoeng1,keoi5,can1-sau2,zik1,ge3,laang1-mou2,tung4,laang1,sau2-tou3,bei2,ngo5,daai3,#,ngo5,daai3,soeng5-heoi3,zau6,nyun5-lap1-lap1,#,bei2,fung1,ceoi1,dou2,dou1,m4,gok3,dung3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluffy,(linker),to call,yarn,#,winter,that time,#,mama,will,take,she,personally,weave,(linker),yarn hat,and,yarn,glove,give,I,put on,#,I,put on,go up,then,warm and cozy,#,by,wind,blow,(suffix),"all, also",not,feel,cold,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好似,膠,嘅,係,防水,尼龍,，,落雨,着,嘅,雨褸,就係,用,佢,造,。,我,着,佢,喺,身,就,唔,怕,落雨,，,雨水,打,落,雨褸,只會,跣,走,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hou2-ci5,gaau1,ge3,hai6,fong4-seoi2,nei4-lung4,#,lok6-jyu5,zoek3,ge3,jyu5-lau1,zau6-hai6,jung6,keoi5,zou6,#,ngo5,zoek3,keoi5,hai2,san1,zau6,m4,paa3,lok6-jyu5,#,jyu5-seoi2,daa2,lok6,jyu5-lau1,zi2-wui5,sin3,zau2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seems,plastic,(linker),is,waterproof,nylon,#,raining,wear/put on,(linker),raincoat,then is,use,it,to make,#,I,wear/put on,it,at,body,then,not,fear,raining,#,rain water,hit,down to,rain coat,will only,slip,away,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滑,到,跣,手,、,超,好,摸,嘅,係,絲綢,，,媽媽,珍而重之,掛,喺,衣櫃,嘅,旗袍,，,就係,用,棗,紅色,嘅,絲綢,造,。,哥哥,結婚,嗰,日,，,媽媽,就係,着,呢,件,旗袍,，,高貴,又,優雅,，,人人,都,話,好睇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waat6,dou3,sin3,sau2,#,ciu1,hou2,mo2,ge3,hai6,si1-cau4,#,maa4-maa1,zan1-ji4-zung6-zi1,gwaa3,hai2,ji1-gwai6,ge3,kei4-pou2,#,zau6-hai6,jung6,zou2,hung4-sik1,ge3,si1-cau4,zou6,#,go4-go1,git3-fan1,go2,jat6,#,maa4-maa1,zau6-hai6,zoek3,nei1,gin6,kei4-pou2,#,gou1-gwai3,jau6,jau1-ngaa5,#,jan4-jan4,dou1,waa6,hou2-tai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smooth,to,slip,hand,#,super,good,to touch,(linker),is,silk cloth,#,mama,cherishingly,hang,at,wardrobe,(linker),cheongsam,#,then is,use,jujube,red,(linker),silk cloth,to make,#,elder brother,get married,that,day,#,mama,then is,wear/put on,this,(measure),cheongsam,#,noble,also,elegant,#,everyone,"all, also",say,look good,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
硬繃繃,嘅,係,牛仔布,，,隻,色,好似,天空,咁,藍,咁,靚,。,爸爸,有,條,十,幾年,嘅,牛仔褲,，,着,上身,型格,又,舒服,，,而且,好,襟,着,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngaang6-bang1-bang1,ge3,hai6,ngau4-zai2-bou3,#,zek3,sik1,hou2-ci5,tin1-hung1,gam3,laam4,gam3,leng3,#,baa4-baa1,jau5,tiu4,sap6,gei2-nin4,ge3,ngau4-zai2-fu3,#,zoek3,soeng5-san1,jing4-gaak3,jau6,syu1-fuk6,#,ji4-ce2,hou2,kam1,zoek3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard and stiff,(linker),is,denim,#,(measure),colour,seems,sky,so,blue,so,beautiful,#,papa,have,(measure),ten,few years,(linker),jeans,#,wear/put on,on one's body,stylish,and,comfortable,#,and that,very,durable,wear/put on,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,各位,讀者,請,注意,，,圖書館,將,於,5,分鐘,後,停止,服務,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gok3-wai2,duk6-ze2,cing2,zyu3-ji3,#,tou5-syu1-gun2,zoeng1,jyu1,m5,fan1-zung1,hau6,ting4-zi2,fuk6-mou6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,everybody,reader,please,pay attention,#,library,will,at,5,minute,after,stop,service,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
係,圖書館,嘅,關,館,廣播,，,原來,已經,咁,夜,嗱,！,我,嗱嗱聲,執,好,啲,嘢,，,跑,返屋企,。,返,到,屋企,，,表姐,問,我,揾到,隱形,斗篷,未,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai6,tou5-syu1-gun2,ge3,gwaan1,gun2,gwong2-bo3,#,jyun4-loi4,ji5-ging1,gam3,je6,naa4,#,ngo5,laa4-laa2-seng1,zap1,hou2,di1,je5,#,paau2,faan1-uk1-kei2,#,faan1,dou3,uk1-kei2,#,biu2-ze2,man6,ngo5,wan2-dou2,jan2-jing4,dau2-pung4,mei6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,library,(linker),close,facility,broadcast,#,it turns out,already,so,late in the night,(particle),#,I,hurry and,pick up,well,those,thing,#,run,to go home,#,return,arrive,home,#,elder cousin sister,ask,I,found,invisible,cloak,yet or not,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,暫時,未,，,不過,我,揾到,更加,好玩,嘅,嘢,！,」,我,諗,咗,諗,，,又話,：,「,你,都,唔好,咁,快,放心,住,，,雖然,衣着,嘅,世界,好,大,，,但,我,遲早,都會,揾到,隱形,斗篷,嚟,贏,你,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zaam6-si4,mei6,#,bat1-gwo3,ngo5,wan2-dou2,gang3-gaa1,hou2-waan2,ge3,je5,#,#,ngo5,nam2,zo2,nam2,#,jau6-waa6,#,#,nei5,dou1,m4-hou2,gam3,faai3,fong3-sam1,zyu6,#,seoi1-jin4,ji1-zoek3,ge3,sai3-gaai3,hou2,daai6,#,daan6,ngo5,ci4-zou2,dou1-wui5,wan2-dou2,jan2-jing4,dau2-pung4,lai4,jeng4,nei5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,temporarily,not yet,#,however,I,found,more,fun,(linker),thing,#,#,I,think,-en,think,#,then say,#,#,you,"all, also",do not,so,fast,feel relieved,at this moment,#,although,style of clothing,(linker),world,very,big,#,but,I,sooner or later,will,find,invisible,cloak,in order to,win,you,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嗰,晚,瞓覺,，,我,發,咗,個,夢,，,夢,入面,我,有,件,隱形,T恤,，,着,上身,嘅,時候,，,上身,同,手臂,都會,隱形,，,得返,個,頭,、,手掌,同,下身,會,畀人,見到,，,成個人,變,得,好,奇怪,！,我,周圍,跑,，,周圍,跳,，,又,伸手,穿過,自己,身體,！,哈哈哈,，,實在,太,搞笑,，,太,好玩,喇,！,,,,,,,,,,,,,,,,
go2,maan5,fan3-gaau3,#,ngo5,faat3,zo2,go3,mung6,#,mung6,jap6-min6,ngo5,jau5,gin6,jan2-jing4,ti1-seot1,#,zoek3,soeng5-san1,ge3,si4-hau6,#,soeng6-san1,tung4,sau2-bei3,dou1-wui5,jan2-jing4,#,dak1-faan1,go3,tau4,#,sau2-zoeng2,tung4,haa6-san1,wui5,bei2-jan4,gin3-dou2,#,sing4-go3-jan4,bin3,dak1,hou2,kei4-gwaai3,#,ngo5,zau1-wai4,paau2,#,zau1-wai4,tiu3,#,jau6,san1-sau2,cyun1-gwo3,zi6-gei2,san1-tai2,#,haa1-haa1-haa1,#,sat6-zoi6,taai3,gaau2-siu3,#,taai3,hou2-waan2,laa3,#,,,,,,,,,,,,,,,,
that,night,sleep,#,I,have,-en,(measure),dream,#,dream,inside,I,have,(measure),invisible,T-shirt,#,wear/put on,on one's body,(linker),time,#,upper body,and,arm,also will,turn invisible,#,remain,head,head,#,palm,and,lower body,will,by someone,see,#,the whole individual,change,(suffix),very,strange,#,I,all around,run,#,all around,jump,#,again,stretch hand,pass through,oneself,body,#,hahaha,#,really,too,amusing,#,too,fun,(particle),#,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,笑,下,笑,下,就,笑,醒,，,醒,咗,都,仲,繼續,攣弓蝦米,噉,笑,。,摺,緊,衫,嘅,媽媽,走,嚟,問,我,咩事,咁,開心,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,siu3,haa5,siu3,haa5,zau6,siu3,seng2,#,seng2,zo2,dou1,zung6,gai3-zuk6,lyun1-gung1-haa1-mai5,gam2,siu3,#,zip3,gan2,saam1,ge3,maa4-maa1,zau2,lei4,man6,ngo5,me1-si6,gam3,hoi1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,laugh,a bit,laugh,a bit,then,laugh,to wake up,#,wake up,-en,"all, also",even,to continue,bend one's body,-ly,to laugh,#,fold,-ing,clothes,(linker),mama,walk,to come,to ask,I,what matter,so,happy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,哈哈哈,，,我,隱形,咗,啊,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,haa1-haa1-haa1,#,ngo5,jan2-jing4,zo2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hahaha,#,I,invisible,-en,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
