[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,覺得,冇,人,明白,佢,，,真係,好,想,喊,。,成日,有,人,話,男仔,唔應該,喊,，,佢,覺得,噉,諗,有,啲,問題,。,男,同,女,都,好,，,想,喊,，,就,喊,。
keoi5,gok3-dak1,mou5,jan4,ming4-baak6,keoi5,#,zan1-hai6,hou2,soeng2,haam3,#,seng4-jat6,jau5,jan4,waa6,naam4-zai2,m4-jing1-goi1,haam3,#,keoi5,gok3-dak1,gam2,nam2,jau5,di1,man6-tai4,#,naam4,tung4,neoi5,dou1,hou2,#,soeng2,haam3,#,zau6,haam3,#
he,feel,don't have,people,understand,him,#,really,really,want to,cry,#,always,have,people,say,boy,should not,cry,#,he,feel,in this way,think,have,some,problems,#,male,and,female,also,fine,#,want to,cry,#,then,cry,#
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,入,房,，,喊,咗,一陣,，,行,出,房,。,細妹,睇,緊,電視,，,佢哋,一齊,睇,，,睇,到,笑,唔停,。,,,,,,,,,,,,,,
keoi5,jap6,fong2,#,haam3,zo2,jat1-zan6,#,haang4,ceot1,fong2,#,sai3-mui2,tai2,gan2,din6-si6,#,keoi5-dei6,jat1-cai4,tai2,#,tai2,dou3,siu3,m4-ting4,#,,,,,,,,,,,,,,
he,enter,room,#,cry,-ed,a while,#,walk,out,room,#,younger sister,watch,-ing,television,#,they,together,watch,#,watch,to,laugh,non-stop,#,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小朋友,就係,噉樣,，,喊,一陣,，,笑,一陣,，,一,日,就,過,咗,。,大人,唔喊,，,又,唔笑,，,日日,都,好,難,過,。,,,,,,,,,,,,
siu2-pang4-jau5,zau6-hai6,gam2-joeng2,#,haam3,jat1-zan6,#,siu3,jat1-zan6,#,jat1,jat6,zau6,gwo3,zo2,#,daai6-jan4,m4-haam3,#,jau6,m4-siu3,#,jat6-jat6,dou1,hou2,naan4,gwo3,#,,,,,,,,,,,,
children,exactly,in this way,#,cry,a while,#,laugh,a while,#,one,day,as a result,pass,-ed,#,adults,don't cry,#,also,don't laugh,#,every day,all,very,difficult,to pass,#,,,,,,,,,,,,
