Ms. Wong,say,#,class monitor,is,class,’s,representative,#,except,responsible for,help,teacher,maintain,classroom,order,#,also,help,and,serve,schoolmate,#,for example,#,help,roll call,#,distribute,lunch,#,collect,homework,#,if,have,schoolmate,not feeling well,then,have to,accompany,he/she,to go,common room,#,because,class monitor,’s,duty,a lot,#,therefore,class monitor,will,gain,one (measure),merit,reward,#,later,#,Ms. Wong,then,ask,want,to be,class monitor,(linker),schoolmate,raise hand,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,要,做,！,」,好,快,就,有,兩個,同學,舉手,，,佢哋,分別,係,小明,同,家家,。,其實,佢哋,喺,之前,嘅,學期,都,俾,老師,揀,過,做,班長,，,之不過,同學仔,唔,鍾意,佢哋,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,jiu3,zou6,#,#,hou2,faai3,zau6,jau5,loeng5-go3,tung4-hok6,geoi2-sau2,#,keoi5-dei6,fan1-bit6,hai6,siu2-ming4,tung4,gaa1-gaa1,#,kei4-sat6,keoi5-dei6,hai2,zi1-cin4,ge3,hok6-kei4,dou1,bei2,lou5-si1,gaan2,gwo3,zou6,baan1-zoeng2,#,zi1-bat1-gwo3,tung4-hok6-zai2,m4,zung1-ji3,keoi5-dei6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,want,to be,#,#,very,fast,then,have,two (measure),schoolmate,raise hand,#,they,respectively,is,Siu Ming,and,Kary,#,actually,they,at,before,(linker),semester,"all, also",by,teacher,select,-ed,to be,class monitor,#,however,little schoolmates,not,like,they,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小明,成績,好好,，,但,除咗,讀書,之外,，,其他,嘢,乜,都,唔,會,理,。,每逢,小息,，,佢,都,掛住,做功課,同,温書,，,好少,同,其他,同學,玩,同,傾計,。,放學,之後,，,佢,就,即刻,去,補習,，,唔,會,參加,課外,活動,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-ming4,sing4-zik1,hou2-hou2,#,daan6,ceoi4-zo2,duk6-syu1,zi1-ngoi6,#,kei4-taa1,je5,mat1,dou1,m4,wui5,lei5,#,mui5-fung4,siu2-sik1,#,keoi5,dou1,gwaa3-zyu6,zou6-gung1-fo3,tung4,wan1-syu1,#,hou2-siu2,tung4,kei4-taa1,tung4-hok6,waan2,tung4,king1-gai2,#,fong3-hok6,zi1-hau6,#,keoi5,zau6,zik1-hak1,heoi3,bou2-zaap6,#,m4,wui5,caam1-gaa1,fo3-ngoi6,wut6-dung6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu Ming,academic result,very good,#,but,except,study,except,#,other,thing,what,"all, also",not,will,care about,#,whenever,recess,#,he,"all, also",only focused on,do homework,and,do revision,#,seldom,with,other,schoolmate,play,and,chat,#,after school,after,#,he,then,immediately,go,tutoring,#,not,will,join,extracurricular,activity,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,一,次,，,有,同學,喺,佢,面前,跌低,，,跌,到,隻,腳,損,晒,，,但係,身為,班長,嘅,小明,竟然,唔,扶,佢,起身,，,仲,話,要,去,温書,唔,得閒,照顧,佢,。,自此之後,，,同學,都,覺得,小明,淨係,掛住,温書,唔理,人,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5,jat1,ci3,#,jau5,tung4-hok6,hai2,keoi5,min6-cin4,dit3-dai1,#,dit3,dou3,zek3,goek3,syun2,saai3,#,daan6-hai6,san1-wai4,baan1-zoeng2,ge3,siu2-ming4,ging2-jin4,m4,fu4,keoi5,hei2-san1,#,zung6,waa6,jiu3,heoi3,wan1-syu1,m4,dak1-haan4,ziu3-gu3,keoi5,#,zi6-ci2-zi1-hau6,#,tung4-hok6,dou1,gok3-dak1,siu2-ming4,zing6-hai6,gwaa3-zyu6,wan1-syu1,m4-lei5,jan4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,one,time,#,have,schoolmate,at,he,in front of,fall down,#,fall,to,(measure),"foot, leg",injured,all,#,but,being,class monitor,(linker),Siu Ming,to one's surprise,not,hold,he,to get up,#,even,say,have to,go,study,not,available,look after,he,#,since then,#,schoolmate,"all, also",think,Siu Ming,only,focused on,study,don't care,people,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
至於,家家,，,佢,成日,請,同學,食嘢,。,家家,每日,都,帶,好多,零食,返嚟,，,派,畀,同學,食,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi3-jyu1,gaa1-gaa1,#,keoi5,seng4-jat6,ceng2,tung4-hok6,sik6-je5,#,gaa1-gaa1,mui5-jat6,dou1,daai3,hou2-do1,ling4-sik6,faan1-lei4,#,paai3,bei2,tung4-hok6,sik6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as for,Kary,#,she,always,treat,schoolmate,eat things,#,Kary,every day,"all, also",bring,many,snack,come back,#,send,to,schoolmate,to eat,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,話,如果,收,咗,佢,嘅,零食,，,就,要,同,佢,做,朋友,，,聽,晒,佢,話,。,有,次,放學,突然,落,大雨,，,家家,冇,帶,遮,，,就,同,一,位,經常,收,佢,零食,嘅,同學,講,：,「,你,成日,食,我,送,啲,嘢,，,今次,輪到你,幫,我,喇,！,」,之後,一手,拎,咗,人哋,把,遮,走,，,留低,個,同學,喺,學校,等,雨,停,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,waa6,jyu4-gwo2,sau1,zo2,keoi5,ge3,ling4-sik6,#,zau6,jiu3,tung4,keoi5,zou6,pang4-jau5,#,teng1,saai3,keoi5,waa6,#,jau5,ci3,fong3-hok6,dat6-jin4,lok6,daai6-jyu5,#,gaa1-gaa1,mou5,daai3,ze1,#,zau6,tung4,jat1,wai2,ging1-soeng4,sau1,keoi5,ling4-sik6,ge3,tung4-hok6,gong2,#,#,nei5,seng4-jat6,sik6,ngo5,sung3,di1,je5,#,gam1-ci3,leon4-dou3-nei5,bong1,ngo5,laa3,#,#,zi1-hau6,jat1-sau2,ling1,zo2,jan4-dei6,baa2,ze1,zau2,#,lau4-dai1,go3,tung4-hok6,hai2,hok6-haau6,dang2,jyu5,ting4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
she,say,if,receive,-en,she,’s,snack,#,then,have to,with,she,be,friend,#,listen,all,she,say,#,have,time,after school,suddenly,fall,heavy rain,#,Kary,don't have,bring,umbrella,#,then,to,one,(measure),often,receive,she,snack,(linker),schoolmate,say,#,#,you,always,eat,I,give,(linker),thing,#,this time,your turn,to help,I,(particle),#,#,after,a hand,take,-en,others,(measure),umbrella,away,#,stay behind,(measure),schoolmate,at,school,wait,rain,to stop,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後嚟,家家,做,咗,班長,，,就,成日,向,同學,講,：,「,我,係,班長,，,老師,要,我,維持,課堂,秩序,，,你哋,要,聽,我,話,！,」,於是,，,佢,不停,叫,同學,幫,佢,拎,嘢,，,又,叫,人,代,佢,擦,黑板,同,清潔,課室,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hau6-lei4,gaa1-gaa1,zou6,zo2,baan1-zoeng2,#,zau6,seng4-jat6,hoeng3,tung4-hok6,gong2,#,#,ngo5,hai6,baan1-zoeng2,#,lou5-si1,jiu3,ngo5,wai4-ci4,fo3-tong4,dit6-zeoi6,#,nei5-dei6,jiu3,teng1,ngo5,waa6,#,#,jyu1-si6,#,keoi5,bat1-ting4,giu3,tung4-hok6,bong1,keoi5,ling1,je5,#,jau6,giu3,jan4,doi6,keoi5,caat3,hak1-baan2,tung4,cing1-git3,fo3-sat1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
later on,Kary,become,-en,class monitor,#,then,always,to,schoolmate,say,#,#,I,is,class monitor,#,teacher,need ,I,maintain,classroom,order,#,you (plural),need to,listen,I,say,#,#,so,#,she,non-stop,order,schoolmate,to help,she,take,thing,#,also,order,people,substitute,she,wipe,blackboard,and,clean,classroom,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曾經,有,位,同學,，,覺得,佢,冇,盡,班長,責任,而,唔,聽,佢,命令,，,家家,就,喺,收,功課,嘅,時候,，,專登,收埋,佢,份,功課,，,然後,向,老師,講大話,，,話,佢,唔,肯,交功課,，,要,老師,罰,佢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cang4-ging1,jau5,wai2,tung4-hok6,#,gok3-dak1,keoi5,mou5,zeon6,baan1-zoeng2,zaak3-jam6,ji4,m4,teng1,keoi5,ming6-ling6,#,gaa1-gaa1,zau6,hai2,sau1,gung1-fo3,ge3,si4-hau6,#,zyun1-dang1,sau1-maai4,keoi5,fan6,gung1-fo3,#,jin4-hau6,hoeng3,lou5-si1,gong2-daai6-waa6,#,waa6,keoi5,m4,hang2,gaau1-gung1-fo3,#,jiu3,lou5-si1,fat6,keoi5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
once,have,(measure),schoolmate,#,think,she,don't have,utmost,class monitor,responsibility,and,not,listen,she,order,#,Kary,then,at,collect,homework,(linker),time,#,deliberately,hide up,he,(measure),homework,#,then,to,teacher,lie,#,say,he,not,agree,submit homework,#,need,teacher,to punish,he,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王老師,問,佢哋,點解,想,做,班長,。,小明,話,：,「,因為,做,班長,可以,拎,優點,，,拎,到,優點,，,我,嘅,成績,排名,就,會,更,高,！,」,而,家家,就,話,：,「,做,班長,好,勁,，,可以,令,同學,聽,晒,自己,話,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wong4-lou5-si1,man6,keoi5-dei6,dim2-gaai2,soeng2,zou6,baan1-zoeng2,#,siu2-ming4,waa6,#,#,jan1-wai6,zou6,baan1-zoeng2,ho2-ji5,ling1,jau1-dim2,#,ling1,dou2,jau1-dim2,#,ngo5,ge3,sing4-zik1,paai4-ming4,zau6,wui5,gang3,gou1,#,#,ji4,gaa1-gaa1,zau6,waa6,#,#,zou6,baan1-zoeng2,hou2,ging6,#,ho2-ji5,ling6,tung4-hok6,teng1,saai3,zi6-gei2,waa6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms. Wong,ask,they,why,want,to be,class monitor,#,Siu Ming,say,#,#,because,being,class monitor,can,take,merit,#,take,(suffix),merit,#,I,’s,academic result,ranking,then,will,even more,high,#,#,and,Kary,then,say,#,#,being,class monitor,very,great,#,can,make,schoolmate,listen,all,myself,say,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王老師,聽,完,之後,就,擰擰頭,，,再,問,大家,仲,有冇,人,想,做,班長,。,同學仔,你眼望我眼,，,大家,都,唔,講嘢,。,喺,呢個,時候,，,我,舉起,手,——,不過,我,唔係,話,自己,想,做,班長,，,而,係,想,推薦,心兒,做,班長,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wong4-lou5-si1,teng1,jyun4,zi1-hau6,zau6,ning6-ning6-tau2,#,zoi3,man6,daai6-gaa1,zung6,jau5-mou5,jan4,soeng2,zou6,baan1-zoeng2,#,tung4-hok6-zai2,nei5-ngaan5-mong6-ngo5-ngaan5,#,daai6-gaa1,dou1,m4,gong2-je5,#,hai2,nei1-go3,si4-hau6,#,ngo5,geoi2-hei2,sau2,#,bat1-gwo3,ngo5,m4-hai6,waa6,zi6-gei2,soeng2,zou6,baan1-zoeng2,#,ji4,hai6,soeng2,teoi1-zin3,sam1-ji4,zou6,baan1-zoeng2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms. Wong,listen,finish,after,then,shake head,#,again,ask,everyone,still,have or haven't,people,want,to be,class monitor,#,little schoolmates,looking at each other,#,everyone,"all, also",not,speaking,#,at,this,moment,#,I,raise,hand,#,however,I,is not,say,myself,want,to be,class monitor,#,and,is,want,to recommend,Sammy,to be,class monitor,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心兒,雖然,成績,唔,算,好好,，,又,唔,會,成日,請,同學,食嘢,，,不過,佢,好,鍾意,幫,人,。,嗰,位,喺,小明,面前,跌,傷,嘅,同學,，,就,係,由,佢,扶,去,休息室,；,俾,家家,拎,咗,把,遮,嘅,同學,，,最後,亦,因為,心兒,借,把,遮,畀,佢,，,佢,先,唔使,等,到,冇,雨,先,走,。,最後,嗰,位,俾,家家,誣衊,佢,冇,做功課,嘅,同學,，,都,因為,心兒,見到,家家,收埋,佢,份,功課,，,先,唔使,俾,老師,罰,……,點解,我,會,知,咁,多,？,因為,呢,三,個,受到,幫助,嘅,同學,，,全部,都係,我,！
sam1-ji4,seoi1-jin4,sing4-zik1,m4,syun3,hou2-hou2,#,jau6,m4,wui5,seng4-jat6,ceng2,tung4-hok6,sik6-je5,#,bat1-gwo3,keoi5,hou2,zung1-ji3,bong1,jan4,#,go2,wai2,hai2,siu2-ming4,min6-cin4,dit3,soeng1,ge3,tung4-hok6,#,zau6,hai6,jau4,keoi5,fu4,heoi3,jau1-sik1-sat1,#,bei2,gaa1-gaa1,ling1,zo2,baa2,ze1,ge3,tung4-hok6,#,zeoi3-hau6,jik6,jan1-wai6,sam1-ji4,ze3,baa2,ze1,bei2,keoi5,#,keoi5,sin1,m4-sai2,dang2,dou3,mou5,jyu5,sin1,zau2,#,zeoi3-hau6,go2,wai2,bei2,gaa1-gaa1,mou4-mit6,keoi5,mou5,zou6-gung1-fo3,ge3,tung4-hok6,#,dou1,jan1-wai6,sam1-ji4,gin3-dou2,gaa1-gaa1,sau1-maai4,keoi5,fan6,gung1-fo3,#,sin1,m4-sai2,bei2,lou5-si1,fat6,#,dim2-gaai2,ngo5,wui5,zi1,gam3,do1,#,jan1-wai6,nei1,saam1,go3,sau6-dou3,bong1-zo6,ge3,tung4-hok6,#,cyun4-bou6,dou1-hai6,ngo5,#
Sammy,although,academic result,not,considered,very good,#,also,not,will,always,treat,schoolmate,to eat things,#,however,she,very,like,to help,people,#,that,(measure),at,Siu Ming,in front of,fall down,injured,(linker),schoolmate,#,then,is,by,she,hold,to go,common room,#,by,Kary,take,-en,(measure),umbrella,(linker),schoolmate,#,in the end,also,because,Sammy,lend,(measure),umbrella,to,he,#,he,then,no need,to wait,till,no,rain,then,leave,#,in the end,that,(measure),by,Kary,smear,he,don't have,do homework,(linker),schoolmate,#,also,because,Sammy,saw,Kary,hide,his,(measure),homework,#,then,no need,by,teacher,punish,#,why,I,will,know,so,many,#,because,this,three,(measure),receive,help,(linker),schoolmate,#,all,is,I,#
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老師,聽,完,我,嘅,建議,，,就,問,心兒,想唔想,做,班長,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-si1,teng1,jyun4,ngo5,ge3,gin3-ji5,#,zau6,man6,sam1-ji4,soeng2-m4-soeng2,zou6,baan1-zoeng2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,listen,finish,I,’s,advice,#,then,ask,Sammy,want or not,to be,class monitor,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,如果,可以,幫,到,大家,嘅話,，,我,願意,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
