gaa1-ze1,#,gam2,jau6,mou5,dit3-can1,#,zi2-hai6,gok3-dak1,fong3,hai2,nei5,zek3,goek3,soeng6-min6,hou2,syu1-fuk6,ze1,#,,,,,,,,,
elder sister,#,then,again,didn't,fall and hurt,#,just only,to feel,to put,at,you,(measure),"foot, leg",above,very,comfortable,only,#,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,
細妹,：,我,唔係,你,張,櫈,啊,！,,,,,,,,,,,,,,,,,,,
sai3-mui2,#,ngo5,m4-hai6,nei5,zoeng1,dang3,aa3,#,,,,,,,,,,,,,,,,,,,
younger sister,#,I,am not,you,(measure),chair,(particle),#,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,：,我,講,一,件,事,你,聽,，,佢,今日,好,好人,。,佢,幫,我,做,呢啲,做,嗰啲,，,,,,,
ngo5,#,ngo5,gong2,jat1,gin6,si6,nei5,teng1,#,keoi5,gam1-jat6,hou2,hou2-jan4,#,keoi5,bong1,ngo5,zou6,ni1-di1,zou6,go2-di1,#,,,,,
I,#,I,to say,one,(measure),matter,you,to hear,#,he / she ,today,very,nice person,#,he / she ,to help,I,to do,these,to do,those,#,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,
又,幫,我,買,呢啲,買,嗰啲,，,都,冇,問,我,攞,錢,。,,,,,,,,,,,,,
jau6,bong1,ngo5,maai5,ni1-di1,maai5,go2-di1,#,dou1,mou5,man6,ngo5,lo2,cin2,#,,,,,,,,,,,,,
again,to help,I,to buy,these,to buy,those,#,"all, also",don't have,to ask,I,take,money,#,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,
朋友,：,又,會,咁,好人,都,有,嘅,？,,,,,,,,,,,,,,,,,,
pang4-jau5,#,jau6,wui5,gam3,hou2-jan4,dou1,jau5,ge2,#,,,,,,,,,,,,,,,,,,
friend,#,again,will,so,nice person,"all, also",have,(particle),#,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,：,我,啲,嘢食,都,係,佢,畀,我,嘅,，,所以,我,今日,連,pantry,都,冇,入,過,。,,,,,,
ngo5,#,ngo5,di1,je5-sik6,dou1,hai6,keoi5,bei2,ngo5,ge3,#,so2-ji5,ngo5,gam1-jat6,lin4,#,dou1,mou5,jap6,gwo3,#,,,,,,
I,#,I,(measure),food,"all, also",is,he / she,to give,I,(particle),#,therefore,I,today,even,pantry,also,didn't,to enter,to pass,#,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,
朋友,：,咦,，,你,冇,入,過,，,噉,係,邊個,打,爛,咗,你,放,喺,pantry,最,鍾意,嗰,隻,杯,？,,,
pang4-jau5,#,ji2,#,nei5,mou5,jap6,gwo3,#,gam2,hai6,bin1-go3,daa2,laan6,zo2,nei5,fong3,hai2,#,zeoi3,zung1-ji3,go2,zek3,bui1,#,,,
friend,#,Look!,#,you,didn't,to enter,to pass,#,then,is,who,to hit,broken,-en,you,to put,at,pantry,most,to like,that,(measure),cup,#,,,
[3f],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,：,What,?,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,#,#,#,,,,,,,,,,,,,,,,,,,,,,,,
I,#,#,#,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,媽媽,話,：,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,maa4-maa1,waa6,#,,,,,,,,,,,,,,,,,,,,,,,,
I,mother,to say,#,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,
未,夠,十八,歲,，,好多,嘢,唔,畀,做,。,,,,,,,,,,,,,,,,,
mei6,gau3,sap6-baat3,seoi3,#,hou2-do1,je5,m4,bei2,zou6,#,,,,,,,,,,,,,,,,,
not yet,enough,eighteen,age,#,many,thing,not,to let,to do,#,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,
三,級,嘅,嘢,一定,乜,都,唔,畀,睇,，,,,,,,,,,,,,,,,,,
saam1,kap1,ge3,je5,jat1-ding6,mat1,dou1,m4,bei2,tai2,#,,,,,,,,,,,,,,,,,
three,level,(linker),thing,sure,what,all,not,to let,to watch,#,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,出面,又,唔好,亂,咁,識,男仔,。,,,,,,,,,,,,,,,,,,,
hai2,ceot1-min6,jau6,m4-hou2,lyun2,gam3,sik1,naam4-zai2,#,,,,,,,,,,,,,,,,,,,
at,outside,also,do not,random,this way,to know,boy,#,,,,,,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,,
但,有,一,年,我,喺,出面,識,咗,好多,個,男仔,，,,,,,,,,,,,,,,,
daan6,jau5,jat1,nin4,ngo5,hai2,ceot1-min6,sik1,zo2,hou2-do1,go3,naam4-zai2,#,,,,,,,,,,,,,,,
but,have,one,year,I,at,outside,to know,-en,many,(measure),boy,#,,,,,,,,,,,,,,,
[4f],,,,,,,,,,,,,,,,,,,,,,,,,,,
有,佢哋,我,至,平安,返,到,屋企,。,,,,,,,,,,,,,,,,,,,
jau5,keoi5-dei6,ngo5,zi3,ping4-on1,faan1,dou3,uk1-kei2,#,,,,,,,,,,,,,,,,,,,
have,they,I,then,safe,to return,to arrive,home,#,,,,,,,,,,,,,,,,,,,
[4g],,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,我,媽媽,話,：,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,ngo5,maa4-maa1,waa6,#,,,,,,,,,,,,,,,,,,,,,,,
after,I,mother,to say,#,,,,,,,,,,,,,,,,,,,,,,,
[4h],,,,,,,,,,,,,,,,,,,,,,,,,,,
嗰啲,係,好,仔,，,,,,,,,,,,,,,,,,,,,,,,,
go2-di1,hai6,hou2,zai2,#,,,,,,,,,,,,,,,,,,,,,,,
those,is,good,boy,#,,,,,,,,,,,,,,,,,,,,,,,
[4i],,,,,,,,,,,,,,,,,,,,,,,,,,,
就,冇,再,唔,畀,我,喺,出面,識,下,好,嘅,朋友,仔,。,,,,,,,,,,,,,
zau6,mou5,zoi3,m4,bei2,ngo5,hai2,ceot1-min6,sik1,haa2,hou2,ge3,pang4-jau5,zai2,#,,,,,,,,,,,,,
as a result,didn't,again,not,to give,I,at,outside,to know,a little,good,(linker),friend,boy,#,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,食,咗,飯,未,？,使,唔使,留,飯,畀,你,？,」,,,,,,,,,,,,,
#,nei5,sik6,zo2,faan6,mei6,#,sai2,m4-sai2,lau4,faan6,bei2,nei5,#,#,,,,,,,,,,,,,
#,you,to eat,-en,meal,not yet,#,need,no need,to leave,meal,to give,you,#,#,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,
「,得,喇,得,喇,，,好,忙,，,係,噉,先,啦,！,」,嘟,嘟,嘟,……,,,,,,,,,
#,dak1,laa3,dak1,laa3,#,hou2,mong4,#,hai6,gam2,sin1,laa1,#,#,dyut1,dyut1,dyut1,#,,,,,,,,,
#,okay,(particle),okay,(particle),#,very,busy,#,is,then,first,(particle),#,#,beep,beep,beep,#,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,,
N,年,後,。,,,,,,,,,,,,,,,,,,,,,,,,
#,nin4,hau6,#,,,,,,,,,,,,,,,,,,,,,,,,
many,year,after,#,,,,,,,,,,,,,,,,,,,,,,,,
[5d],,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,食,咗,飯,未,？,使,唔使,留,飯,畀,你,？,」,,,,,,,,,,,,,
#,nei5,sik6,zo2,faan6,mei6,#,sai2,m4-sai2,lau4,faan6,bei2,nei5,#,#,,,,,,,,,,,,,
#,you,to eat,-ed,meal,not yet,#,need,no need,to leave,meal,to give,you,#,#,,,,,,,,,,,,,
[5e],,,,,,,,,,,,,,,,,,,,,,,,,,,
「,天氣,凍,咗,，,有冇,着,多,件,衫,？,」,,,,,,,,,,,,,,,,
#,tin1-hei3,dung3,zo2,#,jau5-mou5,zoek3,do1,gin6,saam1,#,#,,,,,,,,,,,,,,,,
#,weather,cold,-en,#,have-or-haven't,wear/put on,more,(measure),clothes,#,#,,,,,,,,,,,,,,,,
[5e],,,,,,,,,,,,,,,,,,,,,,,,,,,
你,又,拎,出嚟,聽,呀,？,,,,,,,,,,,,,,,,,,,,,
nei5,jau6,ling1,ceot1-lai4,teng1,aa4,#,,,,,,,,,,,,,,,,,,,,,
you,again,take,to come out,to hear,(particle),#,,,,,,,,,,,,,,,,,,,,,
[5f],,,,,,,,,,,,,,,,,,,,,,,,,,,
係,喎,，,今日,又,係,6,月,30,號,。,,,,,,,,,,,,,,,,,
hai6,wo3,#,gam1-jat6,jau6,hai6,luk6,jyut6,saam1-sap6,hou6,#,,,,,,,,,,,,,,,,,
is,(particle),#,today,again,is,#,month,#,-th,#,,,,,,,,,,,,,,,,,
[5g],,,,,,,,,,,,,,,,,,,,,,,,,,,
但,噉,有用,咩,？,人,都,已經,唔,喺度,……,,,,,,,,,,,,,,,,,
daan6,gam2,jau5-jung6,me1,#,jan4,dou1,ji5-ging1,m4,hai2-dou6,#,,,,,,,,,,,,,,,,,
but,this way,useful,(particle),#,person,"all, also",already,not,here,#,,,,,,,,,,,,,,,,,
[5h],,,,,,,,,,,,,,,,,,,,,,,,,,,
「,媽媽,！,你,喺,邊,啊,？,」,,,,,,,,,,,,,,,,,,,
#,maa4-maa1,#,nei5,hai2,bin1,aa3,#,#,,,,,,,,,,,,,,,,,,,
#,mother,#,you,at,where,(particle),#,#,,,,,,,,,,,,,,,,,,,
[5i],,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嚟,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,
#,lai4,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,
#,to come,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,
[5j],,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咦,！,呢個,係,邊個,嚟,？,」,,,,,,,,,,,,,,,,,,,
#,ji2,#,ni1-go3,hai6,bin1-go3,lai4,#,#,,,,,,,,,,,,,,,,,,,
#,Look!,#,this one,is,who,(particle),#,#,,,,,,,,,,,,,,,,,,,
[5k],,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,婆婆,啊,。,」,,,,,,,,,,,,,,,,,,,,,,
#,nei5,po4-po2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,
#,you,grandma,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,
[5l],,,,,,,,,,,,,,,,,,,,,,,,,,,
「,婆婆,？,」,,,,,,,,,,,,,,,,,,,,,,,,
#,po4-po2,#,#,,,,,,,,,,,,,,,,,,,,,,,,
#,grandma,#,#,,,,,,,,,,,,,,,,,,,,,,,,
[5m],,,,,,,,,,,,,,,,,,,,,,,,,,,
「,即係,你,媽媽,嘅,媽媽,……,」,,,,,,,,,,,,,,,,,,,,
#,zik1-hai6,nei5,maa4-maa1,ge3,maa4-maa1,#,#,,,,,,,,,,,,,,,,,,,,
#,that means,you,mother,(linker),mother,#,#,,,,,,,,,,,,,,,,,,,,
[5n],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,淨係,想,佢,知道,我,而家,過,得,好好,……,,,,,,,,,,,,,,,,,
ngo5,zing6-hai6,soeng2,keoi5,zi1-dou3,ngo5,ji4-gaa1,gwo3,dak1,hou2-hou2,#,,,,,,,,,,,,,,,,,
I,only,to want,she,to know,I,now,to live,(adverb),very good,#,,,,,,,,,,,,,,,,,
