[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,呢,一,大,片,紫色,唔係,樹,嚟,，,而,係,一,隻,超,巨型,嘅,紫色,雀仔,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,nei1,jat1,daai6,pin3,zi2-sik1,m4-hai6,syu6,lei4,#,ji4,hai6,jat1,zek3,ciu1,geoi6-jing4,ge3,zi2-sik1,zoek3-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it turns out,this,one,big,(measure),purple,is not,tree,(paticle),#,and,is,one,(measure),super,giant,(linker),purple,birdie,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉嘉,從來,未,見,過,咁,大隻,嘅,雀仔,，,仲要,係,紫色,嘅,，,就,更加,冇,見,過,！,嘉嘉,嚇一跳,，,一個,唔,小心,差錯腳,，,跌,咗,落,池塘,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-gaa1,cung4-loi4,mei6,gin3,gwo3,gam3,daai6-zek3,ge3,zoek3-zai2,#,zung6-jiu3,hai6,zi2-sik1,ge3,#,zau6,gang3-gaa1,mou5,gin3,gwo3,#,gaa1-gaa1,haak3-jat1-tiu3,#,jat1-go3,m4,siu2-sam1,caa1-co3-goek3,#,dit3,zo2,lok6,ci4-tong4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karly,ever,not yet,see,-ed,so,big,(linker),birdie,#,even,is,purple,(linker),#,then,even more,don't have,see,-ed,#,Karly,is startled,#,once,not,careful,stumble,#,fall,-en,down,pond,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隻,紫色,雀仔,笑,住,噉,行埋嚟,，,仲,伸,條,頸,出嚟,想,用,個,啄,擔,返,嘉嘉,上,水,面,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zek3,zi2-sik1,zoek3-zai2,siu3,zyu6,gam2,haang4-maai4-lei4,#,zung6,san1,tiu4,geng2,ceot1-lei4,soeng2,jung6,go3,doeng1,daam1,faan1,gaa1-gaa1,soeng5,seoi2,min2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(measure),purple,birdie,smile,-ing,-ly,walk closer,#,even,extend,(measure),neck,out,want to,use,(measure),beak,carry,back,Karly,go up,water,surface,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉嘉,以為,紫色,雀仔,想,食,咗,自己,，,於是,嗱嗱聲,游,返,上,池塘,邊,。,上,到,岸,，,見到,隻,雀仔,仲係,烏低,頭,望住,自己,，,嘉嘉,又,嗱嗱臨,跑,返,屋企,，,將,件,事,話,咗,畀,爸爸,聽,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-gaa1,ji5-wai4,zi2-sik1,zoek3-zai2,soeng2,sik6,zo2,zi6-gei2,#,jyu1-si6,laa4-laa2-seng1,jau4,faan1,soeng5,ci4-tong4,bin1,#,soeng5,dou3,ngon6,#,gin3-dou2,zek3,zoek3-zai2,zung6-hai6,wu1-dai1,tau4,mong6-zyu6,zi6-gei2,#,gaa1-gaa1,jau6,laa4-laa4-lam4,paau2,faan1,uk1-kei2,#,zoeng1,gin6,si6,waa6,zo2,bei2,baa4-baa1,teng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karly,thought,purple,birdie,want to,eat,-en,oneself,#,so,hurriedly,swim,back,up,pond,side,#,go up,to,shore,#,saw,(measure),birdie,still,lower,head,staring at,oneself,#,Karly,again,hurriedly,to run,back,home,#,take,(measure),matter,tell,-en,to,father,to listen,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,一,聽到,就,好,嬲,，,以為,有,怪獸,入侵,咗,條,村,！,於是,佢,召集,村民,，,擸,齊,架生,，,決定,今晚,就,去,趕,隻,紫色,雀仔,出,村,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa4-baa1,jat1,teng1-dou2,zau6,hou2,nau1,#,ji5-wai4,jau5,gwaai3-sau3,jap6-cam1,zo2,tiu4,cyun1,#,jyu1-si6,keoi5,ziu6-zaap6,cyun1-man4,#,laap3,cai4,gaa3-caang1,#,kyut3-ding6,gam1-maan1,zau6,heoi3,gon2,zek3,zi2-sik1,zoek3-zai2,ceot1,cyun1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,once,heard,then,very,angry,#,think,have,monster,invade,-en,(measure),village,#,so,he,call together,villager,#,grab,all,tools,#,decide,tonight,then,to go,expel,(measure),purple,birdie,out,village,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
見到,件,事,搞到,咁,大陣仗,，,嘉嘉,至,開始,仔細,諗返,成,件,事,，,漸漸,覺得,有啲,唔對路,——,其實,隻,紫色,雀仔,由頭到尾,都,冇,傷害,過,佢,，,係,佢,自己,差錯腳,跌,咗,落,池塘,，,之後,紫色,雀仔,都,有,嘗試,救,佢,，,點解,自己,會,一口咬定,佢,係,壞,動物,呢,？,,,,,,,,,,,,,,,,,,,
gin3-dou2,gin6,si6,gaau2-dou3,gam3,daai6-zan6-zoeng6,#,gaa1-gaa1,zi3,hoi1-ci2,zi2-sai3,nam2-faan1,seng4,gin6,si6,#,zim6-zim2,gok3-dak1,jau5-di1,m4-deoi3-lou6,#,kei4-sat6,zek3,zi2-sik1,zoek3-zai2,jau4-tau4-dou3-mei5,dou1,mou5,soeng1-hoi6,gwo3,keoi5,#,hai6,keoi5,zi6-gei2,caa1-co3-goek3,dit3,zo2,lok6,ci4-tong4,#,zi1-hau6,zi2-sik1,zoek3-zai2,dou1,jau5,soeng4-si3,gau3,keoi5,#,dim2-gaai2,zi6-gei2,wui5,jat1-hau2-ngaau5-ding6,keoi5,hai6,waai6,dung6-mat6,ne1,#,,,,,,,,,,,,,,,,,,,
saw,(measure),matter,become,so,big  trouble,#,Karly,then,begin,carefully,recall,whole,(measure),matter,#,gradually,feel,a bit,not make sense,#,actually,(measure),purple,birdie,from beginning to the end,"all, also",don't have,harm,-ed,she,#,is,she,oneself,stumble,fall,-en,down,pond,#,after,purple,birdie,also,have,attempt,to save,she,#,why,oneself,will,instantly and firmly decide,it,is,bad,animal,(particle),#,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,一刻,，,嘉嘉,覺得,好,後悔,，,佢,決定,要,幫,隻,紫色,雀仔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1,jat1-hak1,#,gaa1-gaa1,gok3-dak1,hou2,hau6-fui3,#,keoi5,kyut3-ding6,jiu3,bong1,zek3,zi2-sik1,zoek3-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,moment,#,Karly,feel,very,regret,#,she,decide,to,help,(measure),purple,birdie,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於是,嘉嘉,周圍,去,說服,啲,大人,，,仲,揾,咗,成,班,動物,朋友,幫手,，,希望,可以,證明,隻,紫色,雀仔,係,冇,惡意,嘅,。,喺,嘉嘉,同,其他,動物,嘅,共同,努力,下,，,村民,終於,同意,同,隻,紫色,雀仔,溝通,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu1-si6,gaa1-gaa1,zau1-wai4,heoi3,seoi3-fuk6,di1,daai6-jan4,#,zung6,wan2,zo2,seng4,baan1,dung6-mat6,pang4-jau5,bong1-sau2,#,hei1-mong6,ho2-ji5,zing3-ming4,zek3,zi2-sik1,zoek3-zai2,hai6,mou5,ok3-ji3,ge3,#,hai2,gaa1-gaa1,tung4,kei4-taa1,dung6-mat6,ge3,gung6-tung4,nou5-lik6,haa6,#,cyun1-man4,zung1-jyu1,tung4-ji3,tung4,zek3,zi2-sik1,zoek3-zai2,kau1-tung1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,Karly,around,go,convince,those,adult,#,even,find,-en,whole,group of,animal,friend,to help,#,hope,can,prove,(measure),purple,birdie,is,don't have,malice,(particle),#,at,Karly,and,other,animal,(linker),common,effort,under,#,villager,finally,agree,with,(measure),purple,birdie,communicate,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
紫色,雀仔,話,，,佢,啲,朋友,全部,都,叫,佢,做,阿紫,。,聽,阿紫,講,，,原來,呢個,世界,仲有,好多,唔同,顏色,嘅,雀仔,，,阿紫,同,佢哋,都,有,一個,好,重要,嘅,任務,，,就係,要,將,色彩,帶,到,去,世界,唔同,角落,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi2-sik1,zoek3-zai2,waa6,#,keoi5,di1,pang4-jau5,cyun4-bou6,dou1,giu3,keoi5,zou6,aa3-zi2,#,teng1,aa3-zi2,gong2,#,jyun4-loi4,nei1-go3,sai3-gaai3,zung6-jau5,hou2-do1,m4-tung4,ngaan4-sik1,ge3,zoek3-zai2,#,aa3-zi2,tung4,keoi5-dei6,dou1,jau5,jat1-go3,hou2,zung6-jiu3,ge3,jam6-mou6,#,zau6-hai6,jiu3,zoeng1,sik1-coi2,daai3,dou3,heoi3,sai3-gaai3,m4-tung4,gok3-lok6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple,birdie,say,#,it,’s,friend,all,"all, also",call,it,to be,Violet,#,listen,Violet,say,#,it turns out,this,world,still have,many,different,colour,(linker),birdie,#,Violet,and,they,"all, also",have,one (measure),very,important,(linker),mission,#,which is,need to,take,colour,carry,to,go,the world,different,corner,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿紫,一邊,講,，,一邊,輕,拍,佢,對,翼,，,然後,就,有,好多,細細粒,嘅,嘢,隨,風,四散,。,阿紫,話,，,佢,今次,嘅,任務,係,要,將,紫色,帶,嚟,嘉嘉,呢,條,村,，,嗰啲,細細粒,四圍,飄,嘅,嘢,，,就係,提子,嘅,種子,。,呢啲,種子,長大,之後,，,會,變成,一,種,紫色,嘅,水果,，,細細粒,、,圓碌碌,、,一,串,串,、,好,甜,好,好味,嘅,。
aa3-zi2,jat1-bin1,gong2,#,jat1-bin1,hing1,paak3,keoi5,deoi3,jik6,#,jin4-hau6,zau6,jau5,hou2-do1,sai3-sai3-nap1,ge3,je5,ceoi4,fung1,sei3-saan3,#,aa3-zi2,waa6,#,keoi5,gam1-ci3,ge3,jam6-mou6,hai6,jiu3,zoeng1,zi2-sik1,daai3,lei4,gaa1-gaa1,nei1,tiu4,cyun1,#,go2-di1,sai3-sai3-nap1,sei3-wai4,piu1,ge3,je5,#,zau6-hai6,tai4-zi2,ge3,zung2-zi2,#,nei1-di1,zung2-zi2,zoeng2-daai6,zi1-hau6,#,wui5,bin3-sing4,jat1,zung2,zi2-sik1,ge3,seoi2-gwo2,#,sai3-sai3-nap1,#,jyun4-luk1-luk1,#,jat1,cyun3,cyun3,#,hou2,tim4,hou2,hou2-mei6,ge3,#
Violet,while,say,#,while,softly,flap,it,pair of,wing,#,after that,then,have,many,small,(linker),thing,follow,wind,scatter,#,Violet,say,#,it,this time,(linker),mission,is,need to,to take,purple,carry,to come,Karly,this,(measure),village,#,those,small,around,float,(linker),thing,#,then is,grape,’s,seed,#,these,seed,grow up,after,#,will,become,one,kind of,purple,(linker),fruit,#,small,#,round,#,one,string,string,#,very,sweet,very,tasty,(particle),#
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿紫,又話,，,佢,同,其他,彩色,雀仔,嘅,毛,色,都係,天生,嘅,，,就,好似,人類,一樣,，,會,有,唔同,嘅,膚色,。,無論,對方,係咩,顏色,，,最,緊要,係,要,知道,佢,所,做,嘅,事,啱唔啱,；,唔可以,因為,對方,嘅,顏色,同,自己,唔同,，,就,認定,對方,一定,係,壞,動物,……,,,,,,,,,,,,,,,,,,,
aa3-zi2,jau6-waa6,#,keoi5,tung4,kei4-taa1,coi2-sik1,zoek3-zai2,ge3,mou4,sik1,dou1-hai6,tin1-saang1,ge3,#,zau6,hou2-ci5,jan4-leoi6,jat1-joeng6,#,wui5,jau5,m4-tung4,ge3,fu1-sik1,#,mou4-leon6,deoi3-fong1,hai6-me1,ngaan4-sik1,#,zeoi3,gan2-jiu3,hai6,jiu3,zi1-dou3,keoi5,so2,zou6,ge3,si6,ngaam1-m4-ngaam1,#,m4-ho2-ji5,jan1-wai6,deoi3-fong1,ge3,ngaan4-sik1,tung4,zi6-gei2,m4-tung4,#,zau6,jing6-ding6,deoi3-fong1,jat1-ding6,hai6,waai6,dung6-mat6,#,,,,,,,,,,,,,,,,,,,
Violet,say again,#,it,and,other,multicoloured,birdie,’s,feather,colour,also is,innate,(particle),#,then,to be similar,human beings,the same,#,will,have,different,(linker),skin colour,#,whatever,other party,is what,colour,#,most,important,is,need to,know,he / she,that,do,(linker),matter,correct or not,#,cannot,because,other party,’s,colour,with,oneself,different,#,then,firmly believe,other party,surely,is,bad,animal,#,,,,,,,,,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
經過,今次,之後,，,嘉嘉,學識,用,愛,同,開放,嘅,心,去,面對,新,相識,嘅,朋友,，,唔,會,再,好似,今次,噉,誤會,人哋,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ging1-gwo3,gam1-ci3,zi1-hau6,#,gaa1-gaa1,hok6-sik1,jung6,oi3,tung4,hoi1-fong3,ge3,sam1,heoi3,min6-deoi3,san1,soeng1-sik1,ge3,pang4-jau5,#,m4,wui5,zoi3,hou2-ci5,gam1-ci3,gam2,ng6-wui6,jan4-dei6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experienced,this time,after,#,Karly,learnt,to use,love,and,opened,(linker),heart,to,face,new,meet,(linker),friend,#,not,will,again,seems,this time,this way,misunderstand,others,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好彩,阿紫,冇,介意,俾,人,誤會,呢,件,事,，,仲,同,嘉嘉,做,咗,好朋友,！,喺,阿紫,離開,呢,條,村,之前,，,佢,同,嘉嘉,度過,咗,唔少,快樂,嘅,時光,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hou2-coi2,aa3-zi2,mou5,gaai3-ji3,bei2,jan4,ng6-wui6,nei1,gin6,si6,#,zung6,tung4,gaa1-gaa1,zou6,zo2,hou2-pang4-jau5,#,hai2,aa3-zi2,lei4-hoi1,nei1,tiu4,cyun1,zi1-cin4,#,keoi5,tung4,gaa1-gaa1,dou6-gwo3,zo2,m4-siu2,faai3-lok6,ge3,si4-gwong1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luckily,Violet,don't have,mind,by,people,misunderstand,this,(measure),matter,#,even,with,Karly,be,-en,good friends,#,at,Violet,leave,this,(measure),village,before,#,it,and,Karly,get through,-en,not few,happy,(linker),time,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,不久,嘅,將來,，,呢,條,村,嘅,森林,就,會,多,咗,一,片,紫色,嘅,植物,。,唔知,遲啲,會唔會,又,有,其他,顏色,嘅,雀仔,嚟,到,呢,條,村,，,為,大家,帶,嚟,新,色彩,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,bat1-gau2,ge3,zoeng1-loi4,#,nei1,tiu4,cyun1,ge3,sam1-lam4,zau6,wui5,do1,zo2,jat1,pin3,zi2-sik1,ge3,zik6-mat6,#,m4-zi1,ci4-di1,wui5-m4-wui5,jau6,jau5,kei4-taa1,ngaan4-sik1,ge3,zoek3-zai2,lei4,dou3,nei1,tiu4,cyun1,#,wai6,daai6-gaa1,daai3,lei4,san1,sik1-coi2,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,soon,(linker),future,#,this,(measure),village,’s,forest,then,will,add,-en,one,(measure),purple,(linker),plant,#,don't know,later,will or will not,again,have,other,colour,(linker),birdie,come,to,this,(measure),village,#,in order to,everyone,bring,come,new,colour,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
