ngo5-dei6,jat1,gaa1-jan4,ho2-ji5,waa6,man4-mou5-soeng1-cyun4,#,ngo5-dei6,go3-go3,dou1,jau5,m4-tung4,coi4-nang4,#,baat3,gaa1-ze1,sik1,tiu3-mou5,#,ng5,#,luk6,#,cat1,gaa1-ze1,zau6,hou2-lek1,tek3-bo1,#,zi2-hai6,cat1,gaa1-ze1,ceot1-sai3,mou5-noi2,zau6,jan1-wai6,ji3-ngoi6,mou5,zo2,zek3,goek3,#,tek3,m4-dou2,bo1,#,daan6-hai6,keoi5,dou1,hou2,lok6-gun1,min6-deoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,one,family,can,say,good at arts and martial arts,#,we,everyone,"all, also",have,different,talent,#,eight,elder sister,know,dance,#,five,#,six,#,seven,elder sister,then,good at,playing football,#,just only,seven,elder sister,born,not long,then,because,accident,lose,-en,(measure),"foot, leg",#,kick,cannot,ball,#,but,she,also,very,optimistic,to confront,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你哋,睇下,呢,張,相,，,我哋,嗰陣,喺,公園,玩,，,爬,咗,上,樹,呢,兩個,就係,五,同,六,家姐,，,佢哋,好,曳,㗎,！,有,一,次,大家姐,喺,樹,下,睇書,，,睇,到,瞓著,咗,。,於是,佢哋,靜雞雞,剪,咗,大家姐,啲,頭髮,！,大家姐,一,起身,見到,，,激,到,鬧,咗,佢哋,一,大,餐,！,」,我,諗返,當日,情景,，,忍唔住,笑,咗,出聲,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5-dei6,tai2-haa5,ni1,zoeng1,soeng2,#,ngo5-dei6,go2-zan6,hai2,gung1-jyun2,waan2,#,paa4,zo2,soeng5,syu6,ni1,loeng5-go3,zau6-hai6,ng5,tung4,luk6,gaa1-ze1,#,keoi5-dei6,hou2,jai5,gaa3,#,jau5,jat1,ci3,daai6-gaa1-ze1,hai2,syu6,haa6,tai2-syu1,#,tai2,dou3,fan3-zoek6,zo2,#,jyu1-si6,keoi5-dei6,zing6-gai1-gai1,zin2,zo2,daai6-gaa1-ze1,di1,tau4-faat3,#,daai6-gaa1-ze1,jat1,hei2-san1,gin3-dou2,#,gik1,dou3,naau6,zo2,keoi5-dei6,jat1,daai6,caan1,#,#,ngo5,nam2-faan1,dong1-jat6,cing4-ging2,#,jan2-m4-zyu6,siu3,zo2,ceot1-seng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you (plural),look,this,(measure),photograph,#,we,that time,at,park,play,#,climb,-en,up,tree,these,two,which is,five,and,six,elder sister,#,they,very,naughty,(particle),#,have,one,time,big sister,at,tree,under,read book,#,read,to,fall asleep,-en,#,so,they,quietly,cut,-en,big sister,’s,hair,#,big sister,once,wake up,saw,#,infuriate,to,scold,-en,they,one,big,(measure),#,#,I,recall,that day,scene,#,cannot help,laugh,-en,voice out,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有一日,，,我,同,三,家姐,喺度,踢波,，,突然,有,班,男仔,走埋嚟,，,大聲,話,：,「,女仔,人家,踢,咩,波,呀,？,又,唔,夠,我哋,男仔,嚟,，,畀,個,場,我哋,用,啦,！,你哋,去,玩,公仔,啦,，,哈哈,哈哈,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5-jat1-jat6,#,ngo5,tung4,saam1,gaa1-ze1,hai2-dou6,tek3-bo1,#,dat6-jin4,jau5,baan1,naam4-zai2,zau2-maai4-lei4,#,daai6-seng1,waa6,#,#,neoi5-zai2,jan4-gaa1,tek3,me1,bo1,aa3,#,jau6,m4,gau3,ngo5-dei6,naam4-zai2,lei4,#,bei2,go3,coeng4,ngo5-dei6,jung6,laa1,#,nei5-dei6,heoi3,waan2,gung1-zai2,laa1,#,haa1-haa1,haa1-haa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one day,#,I,and,three,elder sister,right here,play football,#,suddenly,have,class of,boy,come over,#,loudly,say,#,#,girl,being,kick,what,ball,(particle),#,again,not,enough,we,boy,to come,#,give,(measure),court,we,to use,(particle),#,you (plural),go,to play,doll,(particle),#,haha,haha,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,嗰陣,好,嬲,，,唔通,女仔,就,唔,踢,得,波,？,唔,做,得,工程師,？,唔,做,得,醫生,？,男仔,就,一定,叻,過,女仔,？,呢啲,唔係,男仔,專利,嚟,㗎,！,當,我,想,同,佢哋,理論,嗰陣,，,大家姐,出聲,：,「,聽,你哋,噉,講,，,即係,如果,我哋,同,你哋,比賽,，,你哋,贏,梗,啦,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,go2-zan6,hou2,nau1,#,m4-tung1,neoi5-zai2,zau6,m4,tek3,dak1,bo1,#,m4,zou6,dak1,gung1-cing4-si1,#,m4,zou6,dak1,ji1-sang1,#,naam4-zai2,zau6,jat1-ding6,lek1,gwo3,neoi5-zai2,#,ni1-di1,m4-hai6,naam4-zai2,zyun1-lei6,lei4,gaa3,#,dong1,ngo5,soeng2,tung4,keoi5-dei6,lei5-leon6,go2-zan6,#,daai6-gaa1-ze1,ceot1-seng1,#,#,teng1,nei5-dei6,gam2,gong2,#,zik1-hai6,jyu4-gwo2,ngo5-dei6,tung4,nei5-dei6,bei2-coi3,#,nei5-dei6,jeng4,gang2,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,that time,very,angry,#,could it be,girl,then,not,kick,(suffix),ball,#,not,do,can,engineer,#,not,do,can,doctor,#,boy,then,surely,smart,-er,girl,#,these,is not,boy,patent,(particle),(particle),#,when,I,want,to,they,debate,that time,#,big sister,voice out,#,#,heard,you (plural),in this way,say,#,that means,if,we,with,you (plural),competition,#,you (plural),win,certainly,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,喂,！,你哋,有冇,聽到,呀,？,佢哋,想,同,我哋,比賽,喎,！,你哋,連,教練,都,冇,，,又,冇,戰術,，,又,冇,球技,，,人,又,唔,夠,，,仲,想,同,我哋,比,？,哈哈,哈哈,…,..,」,其中,一個,男仔,好,睇唔起,我哋,噉,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wai3,#,nei5-dei6,jau5-mou5,teng1-dou2,aa3,#,keoi5-dei6,soeng2,tung4,ngo5-dei6,bei2-coi3,wo3,#,nei5-dei6,lin4,gaau3-lin6,dou1,mou5,#,jau6,mou5,zin3-seot6,#,jau6,mou5,kau4-gei6,#,jan4,jau6,m4,gau3,#,zung6,soeng2,tung4,ngo5-dei6,bei2,#,haa1-haa1,haa1-haa1,#,#,#,kei4-zung1,jat1-go3,naam4-zai2,hou2,tai2-m4-hei2,ngo5-dei6,gam2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Hey!,#,you (plural),have or haven't,heard,(particle),#,they,want,with,we,competition,(particle),#,you (plural),even,coach,"all, also",don't have,#,again,don't have,tactics,#,again,don't have,skill,#,people,again,not,enough,#,still,want,with,we,compare,#,haha,haha,#,#,#,among,one (measure),boy,really,look down,we,in that way,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雖然,我哋,之間,成日,鬧嚟鬧去,，,但,每,次,有事,我哋,都會,一齊,面對,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seoi1-jin4,ngo5-dei6,zi1-gaan1,seng4-jat6,naau6-lei4-naau6-heoi3,#,daan6,mui5,ci3,jau5-si6,ngo5-dei6,dou1-wui5,jat1-cai4,min6-deoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
although,we,between,always,scold each other,#,but,every,time,have matter,we,always will,together,to confront,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我哋,一共,十,姐妹,，,派,五,個,對,你哋,五,個,乜,都,夠,，,差在,你哋,接唔接受,挑戰,啫,。,」,大家姐,笑,住,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5-dei6,jat1-gung6,sap6,ze2-mui2,#,paai3,ng5,go3,deoi3,nei5-dei6,ng5,go3,mat1,dou1,gau3,#,caa1-zoi6,nei5-dei6,zip3-m4-zip3-sau6,tiu1-zin3,ze1,#,#,daai6-gaa1-ze1,siu3,zyu6,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,we,in total,ten,sisters,#,send,five,(measure),versus,you (plural),five,(measure),whatever,"all, also",enough,#,differ in,you (plural),accept or not,challenge,(particle),#,#,big sister,smile,-ing,to ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嚟,咪,嚟,！,你哋,想,冇面,，,我哋,唔,會,阻止,！,」,男仔,咬,住,牙,講,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,lei4,mai5,lei4,#,nei5-dei6,soeng2,mou5-min2,#,ngo5-dei6,m4,wui5,zo2-zi2,#,#,naam4-zai2,ngaau5,zyu6,ngaa4,gong2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,come,then,come,#,you (plural),want to,lose face,#,we,not,will,stop,#,#,boy,bite,-ing,tooth,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大家姐,細細個,就,同,爸爸,一齊,睇,唔同,球,類,運動,，,研究,戰術,，,冇耐,仲,做,埋,學校,球隊,嘅,助教,。,以,大家姐,嘅,戰術,，,加埋,三,、,五,同,六,家姐,嘅,球技,，,最後,我哋,五,個,女仔,大,勝,對手,十,比,零,！,之後,班,男仔,咩,聲,都,冇,出,就,走,咗,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daai6-gaa1-ze1,sai3-sai3-go3,zau6,tung4,baa4-baa1,jat1-cai4,tai2,m4-tung4,kau4,leoi6,wan6-dung6,#,jin4-gau3,zin3-seot6,#,mou5-noi2,zung6,zou6,maai4,hok6-haau6,kau4-deoi2,ge3,zo6-gaau3,#,ji5,daai6-gaa1-ze1,ge3,zin3-seot6,#,gaa1-maai4,saam1,#,ng5,tung4,luk6,gaa1-ze1,ge3,kau4-gei6,#,zeoi3-hau6,ngo5-dei6,ng5,go3,neoi5-zai2,daai6,sing3,deoi3-sau2,sap6,bei2,ling4,#,zi1-hau6,baan1,naam4-zai2,me1,seng1,dou1,mou5,ceot1,zau6,zau2,zo2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big sister,young and small,then,with,father,together,to watch,different,ball,type,sports,#,study,tactics,#,not long,even,be,also,school,team,’s,assistant coach,#,take,big sister,’s,tactics,#,also,three,#,five,and,six,elder sister,’s,skill,#,at the end,we,five,(measure),girl,big,win,opponent,ten,to,zero,#,after,class of,boy,what,sound,"all, also",don't have,out,then,leave,-en,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左邊,係,三,家姐,，,右邊,係,二,家姐,——,唔好,睇,佢哋,噉,，,佢哋,好,聰明,㗎,！,頭先,講,嗰,班,男仔,咪,輸,咗,波,嘅,，,佢哋,之後,唔服氣,，,居然,第二日,再,嚟,公園,，,話,要,同,我哋,鬥,智,！,佢哋,有,六,個,中六,學生,，,仲要,讀書,好似,幾好,。,見,佢哋,「,武,」,唔得,，,就嚟,「,文,」,鬥,，,我哋,笑,咗,出聲,！,講,讀書,，,我哋,都,有,高手,，,就係,二,同,三,家姐,！,班,男仔,好衰,，,見,我哋,兩個,中五,學生,，,特登,問,啲,中六,嘅,問題,。
zo2-bin1,hai6,saam1,gaa1-ze1,#,jau6-bin1,hai6,ji6,gaa1-ze1,#,m4-hou2,tai2,keoi5-dei6,gam2,#,keoi5-dei6,hou2,cung1-ming4,gaa3,#,tau4-sin1,gong2,go2,baan1,naam4-zai2,mai6,syu1,zo2,bo1,ge2,#,keoi5-dei6,zi1-hau6,m4-fuk6-hei3,#,geoi1-jin4,dai6-ji6-jat6,zoi3,lei4,gung1-jyun2,#,waa6,jiu3,tung4,ngo5-dei6,dau3,zi3,#,keoi5-dei6,jau5,luk6,go3,zung1-luk6,hok6-saang1,#,zung6-jiu3,duk6-syu1,hou2-ci5,gei2-hou2,#,gin3,keoi5-dei6,#,mou5,#,m4-dak1,#,zau6-lai4,#,man4,#,dau3,#,ngo5-dei6,siu3,zo2,ceot1-seng1,#,gong2,duk6-syu1,#,ngo5-dei6,dou1,jau5,gou1-sau2,#,zau6-hai6,ji6,tung4,saam1,gaa1-ze1,#,baan1,naam4-zai2,hou2-seoi1,#,gin3,ngo5-dei6,loeng5-go3,zung1-ng5,hok6-saang1,#,dak6-dang1,man6,di1,zung1-luk6,ge3,man6-tai4,#
left,is,three,elder sister,#,right,is,two,elder sister,#,do not,see,they,in this way,#,they,very,intelligent,(particle),#,just now,say,that,class of,boy,eventually,lose,-en,ball game,(particle),#,they,later,not convinced,#,unexpectedly,the next day,again,come to,park,#,say,want to,with,we,compete,intelligence,#,they,have,six,(measure),form 6,student,#,even,study,seems,quite good,#,see,they,#,martial arts,#,not okay,#,here come,#,arts,#,fight,#,we,laugh,-en,out,#,talkling about,study,#,we,also,have,master,#,which is,two,and,three,elder sister,#,class of,boy,very mean,#,see,we,two,form 5,pupil,#,deliberately,ask,some,form 6,(linker),question,#
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,我,兩個,姐姐,笑,咗,笑,，,二,家姐,就,話,：,「,理科,（,即係,數學,、,化學,等等,）,題目,交,畀,你,，,其他,等,我,嚟,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6,ngo5,loeng5-go3,ze4-ze1,siu3,zo2,siu3,#,ji6,gaa1-ze1,zau6,waa6,#,#,lei5-fo1,#,zik1-hai6,sou3-hok6,#,faa3-hok6,dang2-dang2,#,tai4-muk6,gaau1,bei2,nei5,#,kei4-taa1,dang2,ngo5,lei4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,I,two,elder sister,laugh,-en,laugh,#,two,elder sister,then,say,#,#,sciences,#,that means,mathematics,#,chemistry,etc.,#,question,hand in,to,you,#,other,let,I,come,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三,家姐,舉,咗,個,「,ok,」,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saam1,gaa1-ze1,geoi2,zo2,go3,#,ok,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
three,elder sister,raise,-en,(measure),#,ok,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
想,知,結果,係,點,？,我哋,都,要,畀,返,啲,面,男仔,嘅,——,我,係,唔會,同,你哋,講,，,佢哋,嗰,次,輸,二十,比,零,㗎,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soeng2,zi1,git3-gwo2,hai6,dim2,#,ngo5-dei6,dou1,jiu3,bei2,faan1,di1,min2,naam4-zai2,ge2,#,ngo5,hai6,m4-wui5,tung4,nei5-dei6,gong2,#,keoi5-dei6,go2,ci3,syu1,ji6-sap6,bei2,ling4,gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
want to,know,result,is,how,#,we,also,have to,give,back,some,face,boy,(particle),#,I,is,will not,to,you (plural),say,#,they,that,time,lose,twenty,to,zero,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,係,我,三,家姐,同,九,家姐,。,三,家姐,真係,好,神奇,，,佢,除咗,讀書,叻,，,仲,畀,人,一,種,親切感,，,好容易,吸引,人,同,佢,做,朋友,。,至於,九,家姐,，,哈,，,同,我,一樣,，,百厭星,一,名,，,但,佢,搞笑,功夫,真係,不得了,，,次次,激嬲,屋企人,都,好,快,哄,得,返,佢哋,，,又係,一個,奇,人,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,hai6,ngo5,saam1,gaa1-ze1,tung4,gau2,gaa1-ze1,#,saam1,gaa1-ze1,zan1-hai6,hou2,san4-kei4,#,keoi5,ceoi4-zo2,duk6-syu1,lek1,#,zung6,bei2,jan4,jat1,zung2,can1-cit3-gam2,#,hou2-jung4-ji6,kap1-jan5,jan4,tung4,keoi5,zou6,pang4-jau5,#,zi3-jyu1,gau2,gaa1-ze1,#,haa1,#,tung4,ngo5,jat1-joeng6,#,baak3-jim3-sing1,jat1,ming4,#,daan6,keoi5,gaau2-siu3,gung1-fu1,zan1-hai6,bat1-dak1-liu5,#,ci3-ci3,gik1-nau1,uk1-kei2-jan4,dou1,hou2,faai3,hung3,dak1,faan1,keoi5-dei6,#,jau6-hai6,jat1-go3,kei4,jan4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,is,I,three,elder sister,and,nine,elder sister,#,three,elder sister,really,very,miraculous,#,she,except,study,brilliant,#,even,give,people,one,type,kindness,#,easily,attract,people,with,she,be,friend,#,as for,nine,elder sister,#,ha,#,with,I,the same,#,naughty girl/boy,one,(measure),#,but,she,funny,Kung Fu,really,terrific,#,every time,infuriate,family,also,very,fast,comfort,(suffix),back,they,#,also,one (measure),special,person,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
