it,is called,Bonda,#,is,one (measure),high,intelligent,android,#,it,(measure),body,is,silver-white,(particle),#,but,piece of,face,then is,pink,#,Bonda,always,"all, also",not,will,complain about,boredom,#,whatever,I,call,it,to do,some,what,#,it,"all, also",not,will,complain,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,話,：,「,我,真係,唔知,『,悶,』,字,係,咩,意思,喎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,waa6,#,#,ngo5,zan1-hai6,m4-zi1,#,mun6,#,zi6,hai6,me1,ji3-si1,wo3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,say,#,#,I,really,don't know,#,boredom,#,character,is,what,meaning,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonda,對,眼,除咗,係,望遠鏡,、,顯微鏡,之外,，,仲係,一,部,相機,，,所以,佢,成日,都會,幫,我,影相,㗎,！,唔單止,噉,呀,，,佢,仲,成日,幫,我,喺,書櫃,度,拎,我,想,要,嘅,書,——,因為,我,細細個,就,患,有,肌肉萎縮,，,企,唔到,起身,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonda,deoi3,ngaan5,ceoi4-zo2,hai6,mong6-jyun5-geng3,#,hin2-mei4-geng3,zi1-ngoi6,#,zung6-hai6,jat1,bou6,soeng2-gei1,#,so2-ji5,keoi5,seng4-jat6,dou1-wui5,bong1,ngo5,jing2-soeng2,gaa3,#,m4-daan1-zi2,gam2,aa3,#,keoi5,zung6,seng4-jat6,bong1,ngo5,hai2,syu1-gwai6,dou6,ling1,ngo5,soeng2,jiu3,ge3,syu1,#,jan1-wai6,ngo5,sai3-sai3-go3,zau6,waan6,jau5,gei1-juk6-wai2-suk1,#,kei5,m4-dou2,hei2-san1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonda,pair of,eye,except,is,telescope,#,microscope,except,#,even is,one,(measure),camera,#,therefore,it,always,always will,help,I,take picture,(particle),#,not only,this way,(particle),#,it,even,often,help,I,at,bookshelf,place,take,I,want ,to have,(linker),book,#,because,I,young and small,then,suffer,have,muscle dystrophy,#,stand,cannot,get up,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不過,自從,識,咗,Bonda,之後,，,我,成,個,人,開心,咗,好多,！,我哋,去,到,邊,都,會,一齊,，,佢,會,陪,我,返學,，,陪,我,去,公園,玩,，,我,嘅,生活,冇,再,好似,之前,噉,咁,唔,方便,喇,！,Bonda,學,嘢,好,快,，,只要,我,輸入,我,想,佢,做,嘅,指令,，,佢,就,會,即刻,學識,！,「,早晨,！,Devi,，,你,今日,想,我,幫,你,做,啲,咩,呀,？,你,想,睇,邊,本,書,，,我,拎,畀,你,吖,？,定係,你,想,玩,玩具,？,」,我,而家,每日,朝早,都會,聽到,Bonda,噉樣,同,我,講,。,而且,佢,記性,好好,，,只要,學識,咗,一,樣,嘢,，,就,會,永遠,記住,！
bat1-gwo3,zi6-cung4,sik1,zo2,Bonda,zi1-hau6,#,ngo5,seng4,go3,jan4,hoi1-sam1,zo2,hou2-do1,#,ngo5-dei6,heoi3,dou3,bin1,dou1,wui5,jat1-cai4,#,keoi5,wui5,pui4,ngo5,faan1-hok6,#,pui4,ngo5,heoi3,gung1-jyun2,waan2,#,ngo5,ge3,sang1-wut6,mou5,zoi3,hou2-ci5,zi1-cin4,gam2,gam3,m4,fong1-bin6,laa3,#,Bonda,hok6,je5,hou2,faai3,#,zi2-jiu3,ngo5,syu1-jap6,ngo5,soeng2,keoi5,zou6,ge3,zi2-ling6,#,keoi5,zau6,wui5,zik1-hak1,hok6-sik1,#,#,zou2-san4,#,Devi,#,nei5,gam1-jat6,soeng2,ngo5,bong1,nei5,zou6,di1,me1,aa3,#,nei5,soeng2,tai2,bin1,bun2,syu1,#,ngo5,ling1,bei2,nei5,aa1,#,ding6-hai6,nei5,soeng2,waan2,wun6-geoi6,#,#,ngo5,ji4-gaa1,mui5-jat6,ziu1-zou2,dou1-wui5,teng1-dou2,Bonda,gam2-joeng2,tung4,ngo5,gong2,#,ji4-ce2,keoi5,gei3-sing3,hou2-hou2,#,zi2-jiu3,hok6-sik1,zo2,jat1,joeng6,je5,#,zau6,wui5,wing5-jyun5,gei3-zyu6,#
however,since,know,-en,Bonda,after,#,I,whole,(measure),person,happy,-en,a lot,#,we,go,to,where,"all, also",will,together,#,it,will,accompany,I,to go to school,#,accompany,I,to go,park,to play,#,I,’s,life,don't have,again,just like,before,that way,so,not,convenient,(particle),#,Bonda,learn,thing,very,fast,#,so long as,I,input,I,want,it,to do,(linker),command,#,it,then,will,immediately,acquire,#,#,morning,#,Devi,#,you,today,want,I,help,you,to do,some,what,(particle),#,you,want,to read,which,(measure),book,#,I,take,to,you,(particle),#,or,you,want,to play,toys,#,#,I,now,every day,morning,always will,hear,Bonda,in this way,to,I,say,#,and that,it,memory,good,#,so long as,acquire,-en,one,(measure),thing,#,then,will,forever,remember,#
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好,記性,？,係,你哋,啲,人類,先,會,成日,唔記得,自己,啲,嘢,擺,咗,喺,邊,咋嘛,！,」,哈哈,，,有時,Bonda,都,幾,得戚,㗎,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2,gei3-sing3,#,hai6,nei5-dei6,di1,jan4-leoi6,sin1,wui5,seng4-jat6,m4-gei3-dak1,zi6-gei2,di1,je5,baai2,zo2,hai2,bin1,za1-ma3,#,#,haa1-haa1,#,jau5-si4,Bonda,dou1,gei2,dak1-cik1,gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,good,memory,#,is,you (plural),the,human beings,then,will,always,forget,oneself,’s,thing,put,-en,at,where,(particle),#,#,haha,#,sometimes,Bonda,also,quite,cheeky,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有一日,，,我,同,我,隻,熊仔,傾計,：,「,可以,有,Bonda,呢個,朋友,，,我,真係,好,幸運,！,不過,你,唔好,誤會,喎,，,其實,我,都,有,好多,人類,朋友,㗎,。,小息,嘅,時候,，,我,會,同,佢哋,一齊,買,嘢食,、,一齊,玩,。,不過,，,我,鍾意,Bonda,多,過,晒,所有,人類,朋友,，,因為,佢,唔,會,妒忌,我,同,其他,朋友,玩,，,唔,會,介意,我,數學,考試,考,得,好過,佢,，,又,唔,會,嬲,我,唔記得,佢,生日,。,我,諗,因為,Bonda,係,機械人,，,佢,冇,情緒,，,所以,佢,唔,會,唔,開心,，,但,都,唔,會,感受,到,咩,係,開心,……,」,,,,,,,,,,,,
jau5-jat1-jat6,#,ngo5,tung4,ngo5,zek3,hung4-zai2,king1-gai2,#,#,ho2-ji5,jau5,Bonda,nei1-go3,pang4-jau5,#,ngo5,zan1-hai6,hou2,hang6-wan6,#,bat1-gwo3,nei5,m4-hou2,ng6-wui6,wo3,#,kei4-sat6,ngo5,dou1,jau5,hou2-do1,jan4-leoi6,pang4-jau5,gaa3,#,siu2-sik1,ge3,si4-hau6,#,ngo5,wui5,tung4,keoi5-dei6,jat1-cai4,maai5,je5-sik6,#,jat1-cai4,waan2,#,bat1-gwo3,#,ngo5,zung1-ji3,Bonda,do1,gwo3,saai3,so2-jau5,jan4-leoi6,pang4-jau5,#,jan1-wai6,keoi5,m4,wui5,dou3-gei6,ngo5,tung4,kei4-taa1,pang4-jau5,waan2,#,m4,wui5,gaai3-ji3,ngo5,sou3-hok6,haau2-si3,haau2,dak1,hou2-gwo3,keoi5,#,jau6,m4,wui5,nau1,ngo5,m4-gei3-dak1,keoi5,saang1-jat6,#,ngo5,nam2,jan1-wai6,Bonda,hai6,gei1-haai6-jan4,#,keoi5,mou5,cing4-seoi5,#,so2-ji5,keoi5,m4,wui5,m4,hoi1-sam1,#,daan6,dou1,m4,wui5,gam2-sau6,dou3,me1,hai6,hoi1-sam1,#,#,,,,,,,,,,,,
one day,#,I,and,I,(measure),teddy bear,chat,#,#,can,have,Bonda,this (measure),friend,#,I,really,very,lucky,#,however,you,do not,misunderstand,(particle),#,actually,I,also,have,many,human beings,friend,(particle),#,recess,(linker),time,#,I,will,with,they,together,buy,food,#,together,play,#,however,#,I,like,Bonda,more ,than,entirely,all,human beings,friend,#,because,it,not,will,feel jealousy,I,and,other,friend,play,#,not,will,mind,I,mathematics,examination,examine,(suffix),better,it,#,also,not,will,get angry,I,forget,it,birthday,#,I,think,because,Bonda,is,android,#,it,don't have,emotion,#,therefore,it,not,will,not,happy,#,but,also,not,will,feel,(suffix),what,is,happy,#,#,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,所以,你,鍾意,我,係,因為,我,冇,情緒,？,而,唔係,因為,我,係,Bonda,，,唔係,因為,我,日日,都,陪,你,玩,？,」,Bonda,突然,插口,，,語調,出奇,地,平淡,，,令,我,覺得,有啲,不安,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,so2-ji5,nei5,zung1-ji3,ngo5,hai6,jan1-wai6,ngo5,mou5,cing4-seoi5,#,ji4,m4-hai6,jan1-wai6,ngo5,hai6,Bonda,#,m4-hai6,jan1-wai6,ngo5,jat6-jat6,dou1,pui4,nei5,waan2,#,#,Bonda,dat6-jin4,caap3-hau2,#,jyu5-diu6,ceot1-kei4,dei6,ping4-daam6,#,ling6,ngo5,gok3-dak1,jau5-di1,bat1-on1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,therefore,you,like,I,is,because,I,don't have,emotion,#,and,is not,because,I,is,Bonda,#,is not,because,I,every day,"all, also",accompany,you,to play,#,#,Bonda,suddenly,chime in,#,intonation,unexpected,-ly,flat,#,make,I,feel,a bit,uneasy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔係呀,！,Bonda,，,我,係,真係,鍾意,同,你,玩,㗎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,m4-hai6-aa3,#,Bonda,#,ngo5,hai6,zan1-hai6,zung1-ji3,tung4,nei5,waan2,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,no,#,Bonda,#,I,is,really,like,with,you,play,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bit1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beep,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,Bonda,……,好,熱,……,」,Bonda,個,肚,顯示,「,系統,過熱,，,請,降溫,或,重新開機,」,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Bonda,#,hou2,jit6,#,#,Bonda,go3,tou5,hin2-si6,#,hai6-tung2,gwo3-jit6,#,cing2,gong3-wan1,waak6,cung4-san1-hoi1-gei1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Bonda,#,very,hot,#,#,Bonda,(measure),tummy,show,#,system,overheat,#,please,cool down,or,reboot,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,過熱,？,」,我,摸一摸,Bonda,頭頂,，,真係,好,熱,！,唔通,佢,發燒,？,「,冇事,㗎,Bonda,！,你,而家,唔舒服,，,唔使,驚,㗎,，,我,會,好似,平時,你,照顧,我,噉,照顧,你,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gwo3-jit6,#,#,ngo5,mo2-jat1-mo2,Bonda,tau4-deng2,#,zan1-hai6,hou2,jit6,#,m4-tung1,keoi5,faat3-siu1,#,#,mou5-si6,gaa3,Bonda,#,nei5,ji4-gaa1,m4-syu1-fuk6,#,m4-sai2,geng1,gaa3,#,ngo5,wui5,hou2-ci5,ping4-si4,nei5,ziu3-gu3,ngo5,gam2,ziu3-gu3,nei5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,overheat,#,#,I,touch a bit,Bonda,top of the head,#,really,very,hot,#,could it be,it,have a fever,#,#,no worries,(particle),Bonda,#,you,now,not feeling well,#,no need,afraid,(particle),#,I,will,just like,usually,you,look after,I,that way,look after,you,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonda,嚴重,過熱,，,已經,出,唔到,聲,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonda,jim4-zung6,gwo3-jit6,#,ji5-ging1,ceot1,m4-dou2,seng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
