Jingwei,reply,#,#,even if,I,do,one thousand,year,#,ten thousands,year,#,do,till,the end of the world,#,do,till,universe,to die out,#,I,"all, also",have to,take,you,fill up,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大海,話,：,「,點解,你,咁,憎,我,呢,？,」,精衛,回答,：,「,你,奪走,咗,我,年輕,嘅,生命,。,你,害,得,我,一個,，,就,會,再,害,第二,個,、,第三,個人,。,如果,我,唔,將,你,填平,，,你,就,會,害死,更,多,嘅,人,！,」,,,,,,,,,,,,,,,,,,
daai6-hoi2,waa6,#,#,dim2-gaai2,nei5,gam3,zang1,ngo5,ne1,#,#,zing1-wai6,wui4-daap3,#,#,nei5,dyut6-zau2,zo2,ngo5,nin4-hing1,ge3,sang1-ming6,#,nei5,hoi6,dak1,ngo5,jat1-go3,#,zau6,wui5,zoi3,hoi6,dai6-ji6,go3,#,dai6-saam1,go3-jan4,#,jyu4-gwo2,ngo5,m4,zoeng1,nei5,tin4-ping4,#,nei5,zau6,wui5,hoi6-sei2,gang3,do1,ge3,jan4,#,#,,,,,,,,,,,,,,,,,,
ocean,say,#,#,why,you,so,hate,I,(particle),#,#,Jingwei,answer,#,#,you,take away,-en,I,young,(linker),life,#,you,harm,(suffix),I,one (measure),#,then,will,again,harm,second,(measure),#,third,individual,#,if,I,not,take,you,fill up,#,you,then,will,kill,even more,many,(linker),people,#,#,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
精衛,不停,來回,飛,，,佢,一路,飛,，,一路,擔,石仔,或者,樹枝,。,過,咗,一,年,、,十,年,、,一百,年,，,佢,都,冇,停,過,。,過,咗,一萬,年,，,佢,嘅,決心,依然,有增無減,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zing1-wai6,bat1-ting4,loi4-wui4,fei1,#,keoi5,jat1-lou6,fei1,#,jat1-lou6,daam1,sek6-zai2,waak6-ze2,syu6-zi1,#,gwo3,zo2,jat1,nin4,#,sap6,nin4,#,jat1-baak3,nin4,#,keoi5,dou1,mou5,ting4,gwo3,#,gwo3,zo2,jat1-maan6,nin4,#,keoi5,ge3,kyut3-sam1,ji1-jin4,jau5-zang1-mou4-gaam2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingwei,without stop,back and forth,fly,#,she,while,fly,#,while,carry,pebble,or,branch,#,pass,-en,one,year,#,ten,year,#,one hundred,year,#,she,"all, also",don't have,stop,-ed,#,pass,-en,ten thousands,year,#,she,(linker),determination,still,only increases,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就算,佢,嘅,力量,係,幾咁,微小,，,佢,相信,終,有,一日,，,佢,可以,將,東面,嘅,大海,填平,！,只要,精衛,一日,喺度,，,一日,佢,都,唔,會,停,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zau6-syun3,keoi5,ge3,lik6-loeng6,hai6,gei2-gam3,mei4-siu2,#,keoi5,soeng1-seon3,zung1,jau5,jat1-jat6,#,keoi5,ho2-ji5,zoeng1,dung1-min6,ge3,daai6-hoi2,tin4-ping4,#,zi2-jiu3,zing1-wai6,jat1-jat6,hai2-dou6,#,jat1-jat6,keoi5,dou1,m4,wui5,ting4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
even if,she,’s,power,is,how,tiny,#,she,believe,eventually,have,one day,#,she,can,take,East,(linker),ocean,fill up,#,so long as,Jingwei,one day,right here,#,one day,she,"all, also",not,will,stop,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
