one day,#,Tian Ji,bump into,one,(measure),very,intelligent,(linker),general,#,he,is called,Sun Bin,#,Sun Bin,say,#,#,Tian Ji,#,you,no need,afraid,#,I,have,one (measure),method,#,guarantee,you,every time,horse racing,"all, also",win,#,so that,you,no need,lose,money,aside,#,even,every time,also will,win,money,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
田忌,唔明白,，,佢,問,孫臏,：,「,你,係咪,想,揾,人,訓練,我,啲,馬,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tin4-gei6,m4-ming4-baak6,#,keoi5,man6,syun1-ban3,#,#,nei5,hai6-mai6,soeng2,wan2,jan4,fan3-lin6,ngo5,di1,maa5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tian Ji,not understand,#,he,ask,Sun Bin,#,#,you,is or isn't,want to,find,people,train,I,those,horse,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孫臏,答,：,「,完全,唔使,訓練,你,啲,馬,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syun1-ban3,daap3,#,#,jyun4-cyun4,m4-sai2,fan3-lin6,nei5,di1,maa5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Bin,reply,#,#,completely,no need,train,you,those,horse,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
田忌,又,問,：,「,噉,你,係咪,想,換,走,我,啲,馬,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tin4-gei6,jau6,man6,#,#,gam2,nei5,hai6-mai6,soeng2,wun6,zau2,ngo5,di1,maa5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tian Ji,again,ask,#,#,then,you,is or isn't,want to,swap,away,I,those,horse,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孫臏,答,：,「,一樣,唔使,，,乜,馬,都,唔使,換,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syun1-ban3,daap3,#,#,jat1-joeng6,m4-sai2,#,mat1,maa5,dou1,m4-sai2,wun6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Bin,reply,#,#,the same,no need,#,whatever,horse,"all, also",no need,to swap,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
田忌,好,驚,噉,話,：,「,乜,都,唔,做,，,咪又係,輸,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tin4-gei6,hou2,geng1,gam2,waa6,#,#,mat1,dou1,m4,zou6,#,mai6-jau6-hai6,syu1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tian Ji,very,afraid,-ly,say,#,#,whatever,"all, also",not,do,#,still going to,lose,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孫臏,好,有,自信,噉,答,：,「,信,我,啦,，,跟住,我,做,，,一定,會,贏,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syun1-ban3,hou2,jau5,zi6-seon3,gam2,daap3,#,#,seon3,ngo5,laa1,#,gan1-zyu6,ngo5,zou6,#,jat1-ding6,wui5,jeng4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Bin,very,have,confidence,-ly,reply,#,#,trust,I,(particle),#,follow,I,do,#,surely,will,win,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冇幾耐,，,又,到,咗,賽馬,日,。,齊威王,非常之,有,自信,，,佢,望住,田忌,話,：,「,呢次,我,又,嚟,贏,晒,你,啲,錢,喇,！,」,田忌,好,驚,，,唔知,點算,，,而,孫臏,就,自信,十足,噉,企,喺,田忌,隔籬,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mou5-gei2-noi1,#,jau6,dou3,zo2,coi3-maa5,jat6,#,cai4-wai1-wong4,fei1-soeng4-zi1,jau5,zi6-seon3,#,keoi5,mong6-zyu6,tin4-gei6,waa6,#,#,ni1-ci3,ngo5,jau6,lai4,jeng4,saai3,nei5,di1,cin2,laa3,#,#,tin4-gei6,hou2,geng1,#,m4-zi1,dim2-syun3,#,ji4,syun1-ban3,zau6,zi6-seon3,sap6-zuk1,gam2,kei5,hai2,tin4-gei6,gaak3-lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not long,#,again,arrive,-en,horse racing,day,#,King Wei of Qi,extremely,have,confidence,#,he,look at,Tian Ji,say,#,#,this time,I,again,come,to win,all,you,’s,money,(particle),#,#,Tian Ji,very,afraid,#,don't know,what to do,#,and,Sun Bin,then,confidence,100 percent,-ly,stand,at,Tian Ji,beside,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第一,場,比賽,開始,喇,！,孫臏,派,咗,田忌,嘅,下等,馬,，,去,對戰,齊威王,嘅,上等,馬,。,第一,場,比賽,仍然,係,輸,，,田忌,驚,到,面,都,青,埋,，,但係,孫臏,依然,好,有,自信,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dai6-jat1,coeng4,bei2-coi3,hoi1-ci2,laa3,#,syun1-ban3,paai3,zo2,tin4-gei6,ge3,haa6-dang2,maa5,#,heoi3,deoi3-zin3,cai4-wai1-wong4,ge3,soeng6-dang2,maa5,#,dai6-jat1,coeng4,bei2-coi3,jing4-jin4,hai6,syu1,#,tin4-gei6,geng1,dou3,min6,dou1,ceng1,maai4,#,daan6-hai6,syun1-ban3,ji1-jin4,hou2,jau5,zi6-seon3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first,(measure),competition,begin,(particle),#,Sun Bin,send,-en,Tian Ji,’s,lower-rank,horse,#,to,face off against,King Wei of Qi,’s,upper-rank,horse,#,first,(measure),competition,still,is,lose,#,Tian Ji,afraid,to the extent,face,"all, also",yellow-green,also,#,but,Sun Bin,still,very,have,confidence,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,喺,第二,場,比賽,，,孫臏,派,田忌,嘅,上等,馬,，,去,對戰,齊威王,嘅,中等,馬,。,雖然,田忌,嘅,上等,馬,贏,唔到,齊威王,嘅,上等,馬,，,但係,要,贏,佢,嘅,中等,馬,，,真係,一啲,難度,都,冇,——,田忌,終於,贏,咗,第一,場,比賽,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,hai2,dai6-ji6,coeng4,bei2-coi3,#,syun1-ban3,paai3,tin4-gei6,ge3,soeng6-dang2,maa5,#,heoi3,deoi3-zin3,cai4-wai1-wong4,ge3,zung1-dang2,maa5,#,seoi1-jin4,tin4-gei6,ge3,soeng6-dang2,maa5,jeng4,m4-dou2,cai4-wai1-wong4,ge3,soeng6-dang2,maa5,#,daan6-hai6,jiu3,jeng4,keoi5,ge3,zung1-dang2,maa5,#,zan1-hai6,jat1-di1,naan4-dou6,dou1,mou5,#,tin4-gei6,zung1-jyu1,jeng4,zo2,dai6-jat1,coeng4,bei2-coi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afterwards,at,second,(measure),competition,#,Sun Bin,send,Tian Ji,’s,upper-rank,horse,#,to go,face off against,King Wei of Qi,’s,middle-rank,horse,#,although,Tian Ji,’s,upper-rank,horse,win,cannot,King Wei of Qi,’s,upper-rank,horse,#,but,have to,win,he,’s,middle-rank,horse,#,really,a bit,difficulty,"all, also",don't have,#,Tian Ji,finally,win,-en,first,(measure),competition,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最後,係,第三,場,比賽,，,孫臏,派,田忌,嘅,中等,馬,，,去,對戰,齊威王,嘅,下等,馬,。,諗,都,唔使,諗,，,田忌,又,贏,多,場,。,三,場,比賽,，,田忌,贏,咗,兩,場,，,輸,咗,一,場,：,三,盤,兩,勝,，,田忌,終於,贏,咗,齊威王,！,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeoi3-hau6,hai6,dai6-saam1,coeng4,bei2-coi3,#,syun1-ban3,paai3,tin4-gei6,ge3,zung1-dang2,maa5,#,heoi3,deoi3-zin3,cai4-wai1-wong4,ge3,haa6-dang2,maa5,#,nam2,dou1,m4-sai2,nam2,#,tin4-gei6,jau6,jeng4,do1,coeng4,#,saam1,coeng4,bei2-coi3,#,tin4-gei6,jeng4,zo2,loeng5,coeng4,#,syu1,zo2,jat1,coeng4,#,saam1,pun4,loeng5,sing3,#,tin4-gei6,zung1-jyu1,jeng4,zo2,cai4-wai1-wong4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
at the end,is,third,(measure),competition,#,Sun Bin,send,Tian Ji,(linker),middle-rank,horse,#,to go,face off against,King Wei of Qi,’s,lower-rank,horse,#,think,"all, also",no need,to think,#,Tian Ji,again,win,more,(measure),#,three,(measure),competition,#,Tian Ji,win,-en,two,(measure),#,lose,-en,one,(measure),#,three,round,two,win,#,Tian Ji,finally,win,-en,King Wei of Qi,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同樣,都係,呢啲,馬,，,用,原本,嘅,方法,，,田忌,就,會,輸,；,但係,調,一,調,出場,次序,，,田忌,就,贏,。,孫臏,係咪,好,聰明,呢,？,呢個,故事,話,畀,我哋,聽,，,力敵,唔得,嘅,時候,，,就,要,智取,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tung4-joeng6,dou1-hai6,ni1-di1,maa5,#,jung6,jyun4-bun2,ge3,fong1-faat3,#,tin4-gei6,zau6,wui5,syu1,#,daan6-hai6,diu6,jat1,diu6,ceot1-coeng4,ci3-zeoi6,#,tin4-gei6,zau6,jeng4,#,syun1-ban3,hai6-mai6,hou2,cung1-ming4,ne1,#,ni1-go3,gu3-si6,waa6,bei2,ngo5-dei6,teng1,#,lik6-dik6,m4-dak1,ge3,si4-hau6,#,zau6,jiu3,zi3-ceoi2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
similarly,all is,these,horse,#,use,original,(linker),method,#,Tian Ji,then,will,lose,#,but,rearrange,one,rearrange,go on stage,order,#,Tian Ji,then,win,#,Sun Bin,is or isn't,very,smart,(particle),#,this,story,tell,to,we,to listen,#,fight with strength,not okay,(linker),time,#,then,need to,play smart,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
