keoi5,kyut3-ding6,daai3,siu2-ming4,tung4,daai6-bei6,heoi3,wan2,faa1-ji1-ji1,#,faa1-ji1-ji1,hai6,gung4-gung1,go3,neoi2,#,jau6,hai6,fo1-hok6,lou5-si1,#,jat1-ding6,wui5,zi1,dim2-gaai2,#,,,,,,,,,,,,,,,,,,,,,
he,to decide,bring,Siu Ming,and,Big Nose,to go,to find,Aunt Faa,#,Aunt Faa,is,grandfather,(measure),daughter,#,also,is,science,teacher,#,sure,will,know,why,#,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,爸爸,。,」,花姨姨,見到,公公,，,就,放低,手上,本,書,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,baa4-baa1,#,#,faa1-ji1-ji1,gin3-dou2,gung4-gung1,#,zau6,fong3-dai1,sau2-soeng6,bun2,syu1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,father,#,#,Aunt Faa,see,grandfather,#,then,put down,at hand,(measure),book,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,花花,，,你,知唔知,點解,紙船,識,浮,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,faa1-faa1,#,nei5,zi1-m4-zi1,dim2-gaai2,zi2-syun4,sik1,fau4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Faa,#,you,know or not,why,paper ship,know,float,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花姨姨,見到,小明,同,大鼻,個,好奇,樣,，,就,知道,條,問題,一定,係,呢,兩,個,小朋友,問,嘅,。,,,,,,,,,,,,,,,,,,,,,,,,,
faa1-ji1-ji1,gin3-dou2,siu2-ming4,tung4,daai6-bei6,go3,hou3-kei4,joeng2,#,zau6,zi1-dou3,tiu4,man6-tai4,jat1-ding6,hai6,nei1,loeng5,go3,siu2-pang4-jau5,man6,ge3,#,,,,,,,,,,,,,,,,,,,,,,,,,
Aunt Faa,see,Siu Ming,and,Big Nose,(measure),curious,look,#,then,know,(measure),question,sure,is,these,two,(measure),children,to ask,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,笑笑口,，,請,公公,入,房,坐,，,又,叫,小明,同,大鼻,出去,拎,一,桶,水,同,一,個,盤,返嚟,。,,,,,,,,,,,,,,,,,,,,,,
keoi5,siu3-siu3-hau2,#,ceng2,gung4-gung1,jap6,fong2,co5,#,jau6,giu3,siu2-ming4,tung4,daai6-bei6,ceot1-heoi3,ling1,jat1,tung2,seoi2,tung4,jat1,go3,pun4,faan1-lai4,#,,,,,,,,,,,,,,,,,,,,,,
she,smile,#,ask,grandfather,enter,room,to sit,#,also,call,Siu Ming,and,Big Nose,to go outside,bring,one,bucket,water,and,one,(measure),plate,to come back,#,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
等,咗,冇,幾,耐,，,小明,同,大鼻,就,好,辛苦,噉,搬,咗,一,大,桶,水,入嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,
dang2,zo2,mou5,gei2,noi6,#,siu2-ming4,tung4,daai6-bei6,zau6,hou2,san1-fu2,gam2,bun1,zo2,jat1,daai6,tung2,seoi2,jap6-lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,
wait,-ed,not,quite,long time,#,Siu Ming,and,Big Nose,then,very,hard,in this way,to move,-ed,one,big,bucket,water,come in,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花姨姨,將,準備好,嘅,蘋果,同,匙羹,放,喺,檯,面,，,跟住,叫,大鼻,將,啲,水,倒,落,個,盤,度,。,,,,,,,,,,,,,,,,,,,,,,,
faa1-ji1-ji1,zoeng1,zeon2-bei6-hou2,ge3,ping4-gwo2,tung4,ci4-gang1,fong3,hai2,toi2,min2,#,gan1-zyu6,giu3,daai6-bei6,zoeng1,di1,seoi2,dou2,lok6,go3,pun4,dou6,#,,,,,,,,,,,,,,,,,,,,,,,
Aunt Faa,take,well prepared,-,apple,and,spoon,to put,at,table,surface,#,and then,to call,Big Nose,take,some,water,pour,to,(measure),plate,place,#,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,爸爸,，,你,試下,將,個,蘋果,放,落,水,度,，,再,輕輕,撳,佢,落去,。,」,花姨姨,同,公公,講,。,,,,,,,,,,,,,,,,,,,,,,
#,baa4-baa1,#,nei5,si3-haa5,zoeng1,go3,ping4-gwo2,fong3,lok6,seoi2,dou6,#,zoi3,heng1-heng1,gam6,keoi5,lok6-heoi3,#,#,faa1-ji1-ji1,tung4,gung4-gung1,gong2,#,,,,,,,,,,,,,,,,,,,,,,
#,father,#,you,try,to take,(measure),apple,put,down to,water,place,#,again,gently,press,it,to go down,#,#,Aunt Faa,to,grandfather,say,#,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公公,將,蘋果,放,落,水,，,再,用,尾指,推,佢,落去,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gung4-gung1,zoeng1,ping4-gwo2,fong3,lok6,seoi2,#,zoi3,jung6,mei5-zi2,teoi1,keoi5,lok6-heoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandfather,take,apple,put,down to,water,#,then,use,little finger,push,it,to go down,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哎呀,！,好多,水,倒,咗,出嚟,啊,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aai1-aa3,#,hou2-do1,seoi2,dou2,zo2,ceot1-lai4,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oh!,#,so much,water,spill,-ed,come out,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公公,一,鬆,手,，,粒,蘋果,就,浮,返,上,水,面,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gung4-gung1,jat1,sung1,sau2,#,nap1,ping4-gwo2,zau6,fau4,faan1,soeng5,seoi2,min2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandfather,once,let go,hand,#,(measure),apple,then,float,back,up,water,surface,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,小明,，,呢度,有,幾多,水,倒,咗,出嚟,啊,？,」,花姨姨,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,siu2-ming4,#,nei1-dou6,jau5,gei2-do1,seoi2,dou2,zo2,ceot1-lai4,aa3,#,#,faa1-ji1-ji1,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Siu Ming,#,here,have,how much,water,spill,-ed,come out,(particle),#,#,Aunt Faa,to ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小明,望,望,檯,面,，,又,望,望,地下,嘅,水,，,話,：,「,應該,有,一,杯,水,。,」,,,,,,,,,,,,,,,,,,,,,,,,
siu2-ming4,mong6,mong6,toi2,min2,#,jau6,mong6,mong6,dei6-haa2,ge3,seoi2,#,waa6,#,#,jing1-goi1,jau5,jat1,bui1,seoi2,#,#,,,,,,,,,,,,,,,,,,,,,,,,
Siu Ming,look,look,table,surface,#,again,look,look,floor,’s,water,#,say,#,#,should,have,one,cup,water,#,#,,,,,,,,,,,,,,,,,,,,,,,,
[7c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,冇錯,。,」,花姨姨,點頭,，,繼續,講,：,「,蘋果,放,落,水,之後,，,有,一,杯,左右,嘅,水,倒,咗,出嚟,，,而,蘋果,就,浮,緊,。,」,,,,,,,,,,,,,
#,mou5-co3,#,#,faa1-ji1-ji1,dim2-tau4,#,gai3-zuk6,gong2,#,#,ping4-gwo2,fong3,lok6,seoi2,zi1-hau6,#,jau5,jat1,bui1,zo2-jau6,ge3,seoi2,dou2,zo2,ceot1-lai4,#,ji4,ping4-gwo2,zau6,fau4,gan2,#,#,,,,,,,,,,,,,
#,right,#,#,Aunt Faa,nod,#,continue,to say,#,#,apple,put,down to,water,after,#,there is,one,cup,more or less,of,water,spill,-ed,to come out,#,and,apple,then,float,-ing,#,#,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花姨姨,望下,桶,水,，,又,問,：,「,大鼻,，,你,可唔可以,幫,我,倒,滿,個,盤,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,
faa1-ji1-ji1,mong6-haa5,tung2,seoi2,#,jau6,man6,#,#,daai6-bei6,#,nei5,ho2-m4-ho2-ji5,bong1,ngo5,dou2,mun5,go3,pun4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
Aunt Faa,look,bucket,water,#,again,to ask,#,#,Big Nose,#,you,can or cannot,help,me,pour,full,(measure),plate,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,今,次,你哋,試下,放,匙羹,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gam1,ci3,nei5-dei6,si3-haa5,fong3,ci4-gang1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,this,time,you,try,to put,spoon,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小明,一,放,匙羹,落,水,，,匙羹,就,即刻,沉,落,水,底,，,得,少少,水,倒,咗,出嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-ming4,jat1,fong3,ci4-gang1,lok6,seoi2,#,ci4-gang1,zau6,zik1-hak1,cam4,lok6,seoi2,dai2,#,dak1,siu2-siu2,seoi2,dou2,zo2,ceot1-lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,
Siu Ming,once,put,spoon,down to,water,#,spoon,then,at once,sink,down to,water,bottom,#,just,a bit,water,spill,-ed,to come out,#,,,,,,,,,,,,,,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你哋,見到,啦,，,蘋果,放,落,水,嗰陣,，,推,咗,好多,水,出嚟,，,然後,佢,就,浮,咗,起身,。,」,,,,,,,,,,,,,,,,,,,,,,
#,nei5-dei6,gin3-dou2,laa1,#,ping4-gwo2,fong3,lok6,seoi2,go2-zan6,#,teoi1,zo2,hou2-do1,seoi2,ceot1-lai4,#,jin4-hau6,keoi5,zau6,fau4,zo2,hei2-san1,#,#,,,,,,,,,,,,,,,,,,,,,,
#,you,see,(particle),#,apple,put,down to,water,that time,#,push,-ed,so much,water,to come out,#,then,it,as a result,float,-ed,back up,#,#,,,,,,,,,,,,,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,即係,同,瀉,出嚟,嘅,水,有關,？,」,大鼻,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zik1-hai6,tung4,se2,ceot1-lai4,ge3,seoi2,jau5-gwaan1,#,#,daai6-bei6,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,that means,and,spill,come out,-,water,related,#,#,Big Nose,to ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,冇錯,，,如果,將,瀉,出嚟,嘅,水,同,蘋果,一齊,磅重,，,就,會,發現,蘋果,比,推,出去,嘅,水,更加,輕,，,即係,話,蘋果,將,重,過,自己,重量,嘅,水,推,咗,出去,，,所以,佢,就,浮,到,。,」
#,mou5-co3,#,jyu4-gwo2,zoeng1,se2,ceot1-lai4,ge3,seoi2,tung4,ping4-gwo2,jat1-cai4,bong6-cung5,#,zau6,wui5,faat3-jin6,ping4-gwo2,bei2,teoi1,ceot1-heoi3,ge3,seoi2,gang3-gaa1,heng1,#,zik1-hai6,waa6,ping4-gwo2,zoeng1,cung5,gwo3,zi6-gei2,cung5-loeng6,ge3,seoi2,teoi1,zo2,ceot1-heoi3,#,so2-ji5,keoi5,zau6,fau4,dou2,#,#
#,right,#,if,take,spill,come out,-,water,and,apple,together,weigh,#,then,will,find out,apple,compare,push,to get out,-,water,more,light,#,that means,to say,apple,to take,heavy,than,oneself,weight,-,water,push,-ed,to get out,#,therefore,it,then,float,can,#,#
[9d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,但係,匙羹,推,出去,嘅,水,少,咁,多,，,即係,話,……,」,公公,話,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,daan6-hai6,ci4-gang1,teoi1,ceot1-heoi3,ge3,seoi2,siu2,gam3,do1,#,zik1-hai6,waa6,#,#,gung4-gung1,waa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,but,spoon,push,to get out,-,water,few,so,many,#,that means,to say,#,#,grandfather,to say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,即係,話,匙羹,推,出去,啲,水,仲,輕,過,佢,自己,嘅,重量,，,所以,佢,就,沉,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,
#,zik1-hai6,waa6,ci4-gang1,teoi1,ceot1-heoi3,di1,seoi2,zung6,hing1,gwo3,keoi5,zi6-gei2,ge3,cung5-loeng6,#,so2-ji5,keoi5,zau6,cam4,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,
#,that means,to say,spoon,push,to get out,’s,water,still,light,than,it,oneself,’s,weight,#,therefore,it,then,sink,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,噉,海,上面,啲,船,呢,？,佢哋,重,過,匙羹,咁,多,，,點解,又,浮,到,？,」,小明,問,。,,,,,,,,,,,,,,,,,,,,,,,
#,gam2,hoi2,soeng6-min6,di1,syun4,ne1,#,keoi5-dei6,cung5,gwo3,ci4-gang1,gam3,do1,#,dim2-gaai2,jau6,fau4,dou2,#,#,siu2-ming4,man6,#,,,,,,,,,,,,,,,,,,,,,,,
#,then,sea,above,’s,ship,(particle),#,they,heavy,than,spoon,so,much,#,why,also,float,can,#,#,Siu Ming,to ask,#,,,,,,,,,,,,,,,,,,,,,,,
[10b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,就,好似,蘋果,噉,，,海,上面,嘅,船,大,到,可以,將,重,過,自己,嘅,水,推,出去,。,而且,海洋,嘅,水,多,好多,㗎,！,噉,佢,咪,可以,浮,囉,！,」,,,,,,,,,
#,zau6,hou2-ci5,ping4-gwo2,gam2,#,hoi2,soeng6-min6,ge3,syun4,daai6,dou3,ho2-ji5,zoeng1,cung5,gwo3,zi6-gei2,ge3,seoi2,teoi1,ceot1-heoi3,#,ji4-ce2,hoi2-joeng4,ge3,seoi2,do1,hou2-do1,gaa3,#,gam2,keoi5,mai6,ho2-ji5,fau4,lo1,#,#,,,,,,,,,
#,just,like,apple,in this way,#,sea,above,’s,ship,big,to,can,take,heavy,than,oneself,-,water,push,to get out,#,and,ocean,’s,water,more,much,(particle),#,then,it,(particle),can,float,(particle),#,#,,,,,,,,,
[11a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,原來,係噉,，,我,明白,啦,！,」,小明,話,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jyun4-loi4,hai6-gam2,#,ngo5,ming4-baak6,laa1,#,#,siu2-ming4,waa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,it turns out,like that,#,I,understand,(particle),#,#,Siu Ming,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,噉,我哋,可以,出去,放,紙船,未,啊,？,」,大鼻,已經,好,心急,要,去,玩,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gam2,ngo5-dei6,ho2-ji5,ceot1-heoi3,fong3,zi2-syun4,mei6,aa3,#,#,daai6-bei6,ji5-ging1,hou2,sam1-gap1,jiu3,heoi3,waan2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,then,we,can,get out,to put,paper ship,yet,(particle),#,#,Big Nose,already,very,hurry,want,to go,play,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,可以,，,不過,玩,完,記得,帶,走,啲,紙船,,，,如果唔係,會,整,污糟,條,河,㗎,！,」,花姨姨,分,咗,啲,顏色,紙,畀,佢哋,。,,,,,,,,,,,,,,,,
#,ho2-ji5,#,bat1-gwo3,waan2,jyun4,gei3-dak1,daai3,zau2,di1,zi2-syun4,,#,jyu4-gwo2-m4-hai6,wui5,zing2,wu1-zou1,tiu4,ho4,gaa3,#,#,faa1-ji1-ji1,fan1,zo2,di1,ngaan4-sik1,zi2,bei2,keoi5-dei6,#,,,,,,,,,,,,,,,,
#,can,#,but,play,finish,remember,bring,away,the,paper ship,,#,otherwise,will,make,dirty,(measure),river,(particle),#,#,Aunt Faa,divide,-ed ,some,colour,paper,to,them,#,,,,,,,,,,,,,,,,
[12a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,死,喇,！,」,小明,諗起,今朝,放,嘅,紙船,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,sei2,laa3,#,#,siu2-ming4,nam2-hei3,gam1-ziu1,fong3,ge3,zi2-syun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Oh no!,(particle),#,#,Siu Ming,think of,this morning,put,-,paper ship,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係咪,唔記得,收,返,啲,船,呢,？,」,公公,拎,咗,幾,隻,白色,紙船,出嚟,——,係,佢哋,今朝,放,嘅,紙船,呀,！,,,,,,,,,,,,,,,,,,,,
#,hai6-mai6,m4-gei3-dak1,sau1,faan1,di1,syun4,ne1,#,#,gung4-gung1,ling1,zo2,gei2,zek3,baak6-sik1,zi2-syun4,ceot1-lai4,#,hai6,keoi5-dei6,gam1-ziu1,fong3,ge3,zi2-syun4,aa4,#,,,,,,,,,,,,,,,,,,,,
#,is or isn't,forget,collect,back,the,ship,(particle),#,#,grandfather,take,-ed,a few,(measure),white,paper ship,to come out,#,are,they,this morning,put,-,paper ship,(particle),#,,,,,,,,,,,,,,,,,,,,
[12c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小明,同,大鼻,笑,咗,笑,，,就,同,公公,一齊,出去,放,紙船,啦,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-ming4,tung4,daai6-bei6,siu3,zo2,siu3,#,zau6,tung4,gung4-gung1,jat1-cai4,ceot1-heoi3,fong3,zi2-syun4,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu Ming,and,Big Nose,laugh,-ed,laugh,#,then,and,grandfather,together,get out,to put,paper ship,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
