#,Sigh!,#,I,"all, also",not understand,#,tram,and,I,obviously,so,similar,#,why,he,take,-en,so,many,year,third place,#,I,then,forever,rank,so,back,#,#,Light Rail,think,everyone,"all, also",is,along,-ing,train track,walk slowly,#,just only,responsible for,(linker),area,different,#,even,oneself,(linker),capacity,compare to,tram,even,high,#,but,ranking,forever,"all, also",no better than,tram,#,more,think,more,to feel wronged,#,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
當,地鐵,仲,想,安慰,輕鐵,嘅,時候,，,佢,嘅,勁敵,出現,喇,——,就係,巴士,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dong1,dei6-tit3,zung6,soeng2,on1-wai3,hing1-tit3,ge3,si4-hau6,#,keoi5,ge3,ging6-dik6,ceot1-jin6,laa3,#,zau6-hai6,baa1-si2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
when,MTR,still,want,to comfort,Light Rail,(linker),time,#,he,(linker),adversary,appear,(particle),#,which is,bus,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,地鐵,，,又係,同,你,決一死戰,嘅,時候,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dei6-tit3,#,jau6-hai6,tung4,nei5,kyut3-jat1-sei2-zin3,ge3,si4-hau6,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,MTR,#,again,with,you,death match,(linker),time,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,今年,多,咗,屯馬線,，,我,好,有,信心,贏,到,你,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gam1-nin4,do1,zo2,tyun4-maa5-sin3,#,ngo5,hou2,jau5,seon3-sam1,jeng4,dou2,nei5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,this year,more,-en,Tuen Ma Line,#,I,very,have,confidence,to win,(suffix),you,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雖然,巴士,同,地鐵,每,年,都,爭,第一,、,二,名,，,但,其實,佢哋,嘅,感情,一啲,都,唔,差,，,因為,佢哋,都,覺得,冇,咗,對方,唔得,——,大家,都係,走遍,港九新界,為,市民,服務,，,少,咗,一個,，,另一,個,都,未必,撐,得,住,。,,,,,,,,,,,,,,,,,,,,,,,,,,
seoi1-jin4,baa1-si2,tung4,dei6-tit3,mui5,nin4,dou1,zaang1,dai6-jat1,#,ji6,meng2,#,daan6,kei4-sat6,keoi5-dei6,ge3,gam2-cing4,jat1-di1,dou1,m4,caa1,#,jan1-wai6,keoi5-dei6,dou1,gok3-dak1,mou5,zo2,deoi3-fong1,m4-dak1,#,daai6-gaa1,dou1-hai6,zau2-pin3,gong2-gau2-san1-gaai3,wai6,si5-man4,fuk6-mou6,#,siu2,zo2,jat1-go3,#,ling6-jat1,go3,dou1,mei6-bit1,caang1,dak1,zyu6,#,,,,,,,,,,,,,,,,,,,,,,,,,,
although,bus,and,MTR,every,year,also,compete,the first,#,second,place,#,but,actually,they,’s,relationship,a bit,"all, also",not,bad,#,because,they,"all, also",feel,don't have,-en,each other,not okay,#,everyone,also,go around,"Hong Kong Island, Kowloon & New Territories",in order to,citizen,serve,#,less,-en,one (measure),#,another,(measure),"all, also",unnecessarily,support,can,-ing,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地鐵,係,輕鐵,最好,嘅,朋友,，,輕鐵,知道,自己,多少,係,叨,咗,地鐵,嘅,光,，,先,摱車邊,上,到,榜,。,佢,黯然,行埋,一邊,，,點知,就,咁,唔好彩,遇到,電車,！,電車,有,種,港島,區,獨有,嘅,高傲,，,佢,都,唔係,第一,次,笑,西北,係,鄉下,地區,㗎喇,：,,,,,,,,,,,,,,,,,,,,,
dei6-tit3,hai6,hing1-tit3,zeoi3-hou2,ge3,pang4-jau5,#,hing1-tit3,zi1-dou3,zi6-gei2,do1-siu2,hai6,tou1,zo2,dei6-tit3,ge3,gwong1,#,sin1,maan1-ce1-bin1,soeng5,dou2,bong2,#,keoi5,am2-jin4,haang4-maai4,jat1-bin1,#,dim2-zi1,zau6,gam3,m4-hou2-coi2,jyu6-dou3,din6-ce1,#,din6-ce1,jau5,zung2,gong2-dou2,keoi1,duk6-jau5,ge3,gou1-ngou6,#,keoi5,dou1,m4-hai6,dai6-jat1,ci3,siu3,sai1-bak1,hai6,hoeng1-haa2,dei6-keoi1,gaa3-laa3,#,,,,,,,,,,,,,,,,,,,,,
MTR,is,Light Rail,best,(linker),friend,#,Light Rail,know,oneself,more or less,is,favor from,-en,MTR,(linker),honour,#,then,get benefit by following along,get on,can,list,#,he,dark and dim-looking,walk over,on the side,#,unexpectedly,then,so,unluckily,bump into,tram,#,tram,have,type,Hong Kong Island,area,unique,(linker),proud,#,he,also,is not,first,time,tease,North-west,is,countryside,area,(particle),#,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,輕鐵,，,不如,你,退賽,啦,，,有時,畀人,搞錯,我,係,你,呢,個,大嚿衰,，,我,真係,覺得,好,失禮,囉,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hing1-tit3,#,bat1-jyu4,nei5,teoi3-coi3,laa1,#,jau5-si4,bei2-jan4,gaau2-co3,ngo5,hai6,nei5,nei1,go3,daai6-gau6-seoi1,#,ngo5,zan1-hai6,gok3-dak1,hou2,sat1-lai5,lo1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Light Rail,#,how about,you,quit the competition,(particle),#,sometimes,by someone,mistaken,I,is,you,this,(measure),big stupid guy,#,I,really,feel,very,embarrased,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,喂,你,唔好,咁,過份,喎,！,輕鐵,都,為,香港,付出,咗,好多,㗎,！,」,地鐵,即刻,走過嚟,為,輕鐵,出頭,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wai3,nei5,m4-hou2,gam3,gwo3-fan6,wo3,#,hing1-tit3,dou1,wai6,hoeng1-gong2,fu6-ceot1,zo2,hou2-do1,gaa3,#,#,dei6-tit3,zik1-hak1,zau2-gwo3-lai4,wai6,hing1-tit3,ceot1-tau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Hey!,you,do not,so,go too far,(particle),#,Light Rail,"all, also",for,Hong Kong,contribute,-en,a lot,(particle),#,#,MTR,immediately,come over,for,Light Rail,stand up for,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唉,呀,，,大佬,嚟,嗱,？,我,走,先,喇,，,話晒,港島線,最近,已經,夠,多,風波,——,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,aai1,aa4,#,daai6-lou2,lai4,naa4,#,ngo5,zau2,sin1,laa3,#,waa6-saai3,gong2-dou2-sin3,zeoi3-gan6,ji5-ging1,gau3,do1,fung1-bo1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Sigh!,(particle),#,big bro,coming,(particle),#,I,go,first,(particle),#,afterall,Island Line,recently,already,enough,many,disturbance,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,再,蝦,佢,，,我,聽朝,就,畀啲顏色,你,睇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,zoi3,haa1,keoi5,#,ngo5,ting1-ziu1,zau6,bei2-di1-ngaan4-sik1,nei5,tai2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,again,bully,he,#,I,tomorrow morning,then,give all one's got,you,look,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明明,原本,係,輕鐵,同,電車,之間,嘅,爭執,，,唔知,幾時,變,咗,地鐵,欺壓,電車,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ming4-ming4,jyun4-bun2,hai6,hing1-tit3,tung4,din6-ce1,zi1-gaan1,ge3,zang1-zap1,#,m4-zi1,gei2-si4,bin3,zo2,dei6-tit3,hei1-aat3,din6-ce1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obviously,originally,is,Light Rail,and,tram,between,(linker),dispute,#,don't know,when,change,-en,MTR,bully,tram,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,肅靜,！,」,天星小輪,爺爺,一,出聲,，,大家,立即,粒,聲,都,唔,敢,出,。,爺爺,喺,國外,極具,人氣,，,但,佢,一啲,都,唔,囂,，,咁,多,年,嚟,都係,以,主持人,身份,參與,，,極具,威嚴,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,suk1-zing6,#,#,tin1-sing1-siu2-leon4,je4-je2,jat1,ceot1-seng1,#,daai6-gaa1,lap6-zik1,nap1,seng1,dou1,m4,gam2,ceot1,#,je4-je2,hai2,gwok3-ngoi6,gik6-geoi6,jan4-hei3,#,daan6,keoi5,jat1-di1,dou1,m4,hiu1,#,gam3,do1,nin4,lai4,dou1-hai6,ji5,zyu2-ci4-jan4,san1-fan2,caam1-jyu5,#,gik6-geoi6,wai1-jim4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,silence!,#,#,Star Ferry,grandfather,once,voice out,#,everyone,immediately,(measure),sound,"all, also",not,dare,emit,#,grandfather,at,overseas,extremely have,popularity,#,but,he,a bit,"all, also",not,arrogant,#,so,many,year,over,also,as,host,identity,to participate,#,extremely have,dignity,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,既然,大家,咁,積極,，,我哋,就,提早,公佈,結果,啦,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gei3-jin4,daai6-gaa1,gam3,zik1-gik6,#,ngo5-dei6,zau6,tai4-zou2,gung1-bou3,git3-gwo2,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,now that,everyone,so,active,#,we,then,in advance,announce,result,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,首先,，,要,頒,個,特別,服務,獎,：,山頂纜車,。,」,聽到,天星小輪,爺爺,讀,出,自己,個,名,，,山頂纜車,爺爺,即刻,嚇,到,彈,起,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,sau2-sin1,#,jiu3,baan1,go3,dak6-bit6,fuk6-mou6,zoeng2,#,saan1-deng2-laam6-ce1,#,#,teng1-dou2,tin1-sing1-siu2-leon4,je4-je2,duk6,ceot1,zi6-gei2,go3,meng2,#,saan1-deng2-laam6-ce1,je4-je2,zik1-hak1,haak3,dou3,daan6,hei2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,first of all,#,need,to present,(measure),special,service,award,#,Peak Tram,#,#,heard,Star Ferry,grandfather,read,out,oneself,(measure),name,#,Peak Tram,grandfather,immediately,shock,to,bounce,up,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,又,驚,又,喜,噉,話,：,「,呵,呵,呵,，,估,唔到,我,一把年紀,仲有,獎,攞,，,希望,大家,之後,都,多多,支持,下,後生仔,昂坪360,啦,！,」,纜車,喺,隔籬,怕怕醜醜,噉,耷晒頭,，,場面,就,好似,長輩,拖,住,細蚊仔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,jau6,ging1,jau6,hei2,gam2,waa6,#,#,ho1,ho1,ho1,#,gu2,m4-dou3,ngo5,jat1-baa2-nin4-gei2,zung6-jau5,zoeng2,lo2,#,hei1-mong6,daai6-gaa1,zi1-hau6,dou1,do1-do1,zi1-ci4,haa5,hau6-saang1-zai2,ngong4-peng4-saam1-luk6-ling4,laa1,#,#,laam6-ce1,hai2,gaak3-lei4,paa3-paa3-cau2-cau2,gam2,dap1-saai3-tau4,#,coeng4-min2,zau6,hou2-ci5,zoeng2-bui3,to1,zyu6,sai3-man1-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,also,surprised,also,happy,-ly,say,#,#,ooh,ooh,ooh,#,guess,cannot,I,at this age,still have,award,to take,#,hope,everyone,after,"all, also",more,support,a bit,young people,Ngong Ping 360,(particle),#,#,cable car,at,next to,shy,-ly,lower one's head,#,scene,then,look like,elder,hold,-ing,child,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
然後,天星小輪,爺爺,拎,出,今年,嘅,排名,表,，,每,個,名,下面,都,有,小小,嘅,評語,：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jin4-hau6,tin1-sing1-siu2-leon4,je4-je2,ling1,ceot1,gam1-nin4,ge3,paai4-ming4,biu2,#,mui5,go3,meng2,haa6-min6,dou1,jau5,siu2-siu2,ge3,ping4-jyu5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,Star Ferry,grandfather,take,out,this year,(linker),ranking,list,#,every,(measure),name,below,"all, also",have,small,(linker),comment,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,地鐵,：,唔使,轉嚟轉去,真係,好,方便,，,加,密,啲,班次,就,更好,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1,dei6-tit3,#,m4-sai2,zyun3-lai4-zyun3-heoi3,zan1-hai6,hou2,fong1-bin6,#,gaa1,mat6,di1,baan1-ci3,zau6,gang3-hou2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MTR,#,no need,change around,really,very,convenient,#,increase,frequent,-er,schedule,then,better,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,巴士,：,有,公路,站,係,方便,咗,，,但,幾時,先,可以,唔,塞車,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji6,baa1-si2,#,jau5,gung1-lou6,zaam6,hai6,fong1-bin6,zo2,#,daan6,gei2-si4,sin1,ho2-ji5,m4,sak1-ce1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bus,#,have,highway,stop,is,convenient,-en,#,but,when,then,can,no,traffic jam,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,輕鐵,：,原來,屯天元,都,有,好多,景點,；,輕鐵,站,有,靜,嘅,郊區,又,有,嘈,嘅,市區,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saam1,hing1-tit3,#,jyun4-loi4,tyun4-tin1-jyun4,dou1,jau5,hou2-do1,ging2-dim2,#,hing1-tit3,zaam6,jau5,zing6,ge3,gaau1-keoi1,jau6,jau5,cou4,ge3,si5-keoi1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Light Rail,#,it turns out,Tuen Mun-Tin Shui Wai-Yuen Long,"all, also",have,many,scenic spot,#,Light Rail,station,have,quiet,(linker),countryside,also,have,noisy,(linker),urban area,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,電車,：,香港人,嘅,回憶,就係,叮叮,，,好多,明星,都,喺度,拍嘢,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sei3,din6-ce1,#,hoeng1-gong2-jan4,ge3,wui4-jik1,zau6-hai6,ding1-ding1,#,hou2-do1,ming4-sing1,dou1,hai2-dou6,paak3-je5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,tram,#,Hongkongers,(linker),memory,is,tram,#,many,star,"all, also",right here,to film,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,渡輪,：,放假,去,離島,、,放工,過海,，,都,舒服,寫意,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ng5,dou6-leon4,#,fong3-gaa3,heoi3,lei4-dou2,#,fong3-gung1,gwo3-hoi2,#,dou1,syu1-fuk6,se2-ji3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ferry,#,holiday,go to,outlying island,#,off work,cross harbour,#,"all, also",comfortable,leisurely and carefree,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,私家車,：,出,唔到,關,就,遊,勻,香港,啦,，,舒適,度,第一,，,不過,冇,位,泊車,扣,晒,分,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luk6,si1-gaa1-ce1,#,ceot1,m4-dou2,gwaan1,zau6,jau4,wan4,hoeng1-gong2,laa1,#,syu1-sik1,dou6,dai6-jat1,#,bat1-gwo3,mou5,wai2,paak3-ce1,kau3,saai3,fan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,private car,#,get out,cannot,border,then,travel,all,Hong Kong,(particle),#,comfortable,rate,number one,#,however,don't have,lot,parking,deduct,all,marks,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,電單車,：,大家,都,兩個轆,，,梗係,揀,架,唔使,自己,郁,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat1,din6-daan1-ce1,#,daai6-gaa1,dou1,loeng5-go3-luk1,#,gang2-hai6,gaan2,gaa3,m4-sai2,zi6-gei2,juk1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
