go4-go1,bong1,ngo5,zoek3,haai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder brother,help,I,put on,shoes,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,一齊,出去,。,哥哥,同,我,一齊,踩單車,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5-dei6,jat1-cai4,ceot1-heoi3,#,go4-go1,tung4,ngo5,jat1-cai4,caai2-daan1-ce1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,together,go out,#,elder brother,and,I,together,ride bicycle,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哥哥,睇,好,大,本,嘅,書,，,本,書,講,雀仔,。,我,都,好,鍾意,雀仔,，,我,鍾意,同,哥哥,一齊,睇,呢,本,書,。,哥哥,好,鍾意,喺,本,書,入面,寫字,。,,,,,,,,,,,,
go4-go1,tai2,hou2,daai6,bun2,ge3,syu1,#,bun2,syu1,gong2,zoek3-zai2,#,ngo5,dou1,hou2,zung1-ji3,zoek3-zai2,#,ngo5,zung1-ji3,tung4,go4-go1,jat1-cai4,tai2,ni1,bun2,syu1,#,go4-go1,hou2,zung1-ji3,hai2,bun2,syu1,jap6-min6,se2-zi6,#,,,,,,,,,,,,
elder brother,read,very,big,(measure),(linker),book,#,(measure),book,talk about,little bird,#,I,also,very,like,little bird,#,I,like,with,elder brother,together,read,this,(measure),book,#,elder brother,very,like,at,(measure),book,inside,write words,#,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,係,我,嘅,書包仔,，,入面,有,一,支,鉛筆,。,哎呀,！,今日,我,唔記得,帶,擦膠,呀,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ni1-go3,hai6,ngo5,ge3,syu1-baau1-zai2,#,jap6-min6,jau5,jat1,zi1,jyun4-bat1,#,aai1-aa3,#,gam1-jat6,ngo5,m4-gei3-dak1,daai3,caat3-gaau1,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,is,I,’s,little schoolbag,#,inside,have,one,(measure),pencil,#,Oh no!,#,today,I,forget,to bring,eraser,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三,點鐘,放學,，,哥哥,鍾意,同,三,個,好朋友,一齊,去,公園,打波,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saam1,dim2-zung1,fong3-hok6,#,go4-go1,zung1-ji3,tung4,saam1,go3,hou2-pang4-jau5,jat1-cai4,heoi3,gung1-jyun2,daa2-bo1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
three,o'clock,after school,#,elder brother,like,with,three,(measure),good friends,together,to go,park,play ball games,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,喺,公園,坐低,，,睇,哥哥,同,佢,啲,朋友,一齊,打波,。,哥哥,入波,，,我,拍手,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,hai2,gung1-jyun2,co5-dai1,#,tai2,go4-go1,tung4,keoi5,di1,pang4-jau5,jat1-cai4,daa2-bo1,#,go4-go1,jap6-bo1,#,ngo5,paak3-sau2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,at,park,sit down,#,watch,elder brother,and,he,’s,friends,together,play ball games,#,elder brother,goal,#,I,clap hands,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,好,熱,，,哥哥,買,雪條,畀,我哋,食,。,佢,買,咗,五,條,，,我,、,哥哥,、,同埋,佢,三,個,好朋友,，,個個,都,有得,食,，,一,人,一,條,。,我,同,哥哥,講,：,「,多謝,哥哥,！,」,,,
gam1-jat6,hou2,jit6,#,go4-go1,maai5,syut3-tiu2,bei2,ngo5-dei6,sik6,#,keoi5,maai5,zo2,ng5,tiu4,#,ngo5,#,go4-go1,#,tung4-maai4,keoi5,saam1,go3,hou2-pang4-jau5,#,go3-go3,dou1,jau5-dak1,sik6,#,jat1,jan4,jat1,tiu4,#,ngo5,tung4,go4-go1,gong2,#,#,do1-ze6,go4-go1,#,#,,,
today,very,hot,#,elder brother,buy,ice-lolly,to,we,to eat,#,he,buy,-en,five,(measure),#,I,#,elder brother,#,and,he,three,(measure),good friends,#,everyone,"all, also",get to,eat,#,one,person,one,(measure),#,I,to,elder brother,say,#,#,thank you,elder brother,#,#,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六,點,喇,，,要,返屋企,食飯,喇,！,我,同,哥哥,講,：,「,哥哥,！,要,返屋企,食飯,喇,！,爸爸,媽媽,等,緊,我哋,㗎,！,」,哥哥,同,佢,啲,朋友,講,：,「,拜拜,！,」,跟住,哥哥,拖,住,我,一齊,行,返屋企,。
luk6,dim2,laa3,#,jiu3,faan1-uk1-kei2,sik6-faan6,laa3,#,ngo5,tung4,go4-go1,gong2,#,#,go4-go1,#,jiu3,faan1-uk1-kei2,sik6-faan6,laa3,#,baa4-baa1,maa4-maa1,dang2,gan2,ngo5-dei6,gaa3,#,#,go4-go1,tung4,keoi5,di1,pang4-jau5,gong2,#,#,baai1-baai3,#,#,gan1-zyu6,go4-go1,to1,zyu6,ngo5,jat1-cai4,haang4,faan1-uk1-kei2,#
six,o'clock,(particle),#,have to,go home,to have meal,(particle),#,I,to,elder brother,say,#,#,elder brother,#,have to,go home,to have meal,(particle),#,father,mother,wait,-ing,we,(particle),#,#,elder brother,to,he,’s,friends,say,#,#,bye bye,#,#,and then,elder brother,hold (hand),-ing,I,together,walk,to go home,#
