that,(measure),help,Jenny,#,this,(measure),help,Ming,#,also,have,one,(measure),small,bird,to go,help,Jackie,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小靜,想,瞓,瞓唔着,，,佢,同,佢,隻,雀仔,講,︰,「,我,要,數,雀仔,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-zing6,soeng2,fan3,fan3-m4-zoek3,#,keoi5,tung4,keoi5,zek3,zoek3-zai2,gong2,#,#,ngo5,jiu3,sou2,zoek3-zai2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenny,want,to sleep,cannot sleep,#,she,to,she,(measure),bird,say,#,#,I,want,to count,bird,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雀仔,飛,上,天,，,叫,埋,佢,啲,朋友仔,。,一,隻,、,兩,隻,、,三,隻,、,四,隻,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zoek3-zai2,fei1,soeng5,tin1,#,giu3,maai4,keoi5,di1,pang4-jau5-zai2,#,jat1,zek3,#,loeng5,zek3,#,saam1,zek3,#,sei3,zek3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,fly,up to,sky,#,call,also,it,’s,little friends,#,one,(measure),#,two,(measure),#,three,(measure),#,four,(measure),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小靜,瞓着,咗,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-zing6,fan3-zoek3,zo2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenny,fall asleep,-en,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大明,聽日,要,踢波,，,天空,落雨,落,唔,停,。,佢,對,住,天空,叫,︰,「,唔該,出,太陽,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dai6-ming4,ting1-jat6,jiu3,tek3-bo1,#,tin1-hung1,lok6-jyu5,lok6,m4,ting4,#,keoi5,deoi3,zyu6,tin1-hung1,giu3,#,#,m4-goi1,ceot1,taai3-joeng4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ming,tomorrow,want,to play football,#,sky,raining,rain,not,stop,#,he,towards,-ing,sky,to shout,#,#,please,come out,sun,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大明,隻,雀仔,飛,上,天,，,轉,咗,十,個,圈,，,啲,雨,就,停,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dai6-ming4,zek3,zoek3-zai2,fei1,soeng5,tin1,#,zyun3,zo2,sap6,go3,hyun1,#,di1,jyu5,zau6,ting4,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ming,(measure),bird,fly,up to,sky,#,turn,-en,ten,(measure),circle,#,the,rain,then,stop,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小澄澄,個,公公,，,上個月,去,咗,天,嗰度,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-cing4-cing2,go3,gung4-gung1,#,soeng6-go3-jyut6,heoi3,zo2,tin1,go2-dou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie,(measure),grandfather,#,last month,go,-en,sky,there,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姨姨,話,俾,佢,知,，,公公,有,個,新,屋企,，,唔,會,再,返嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji1-ji1,waa6,bei2,keoi5,zi1,#,gung4-gung1,jau5,go3,san1,uk1-kei2,#,m4,wui5,zoi3,faan1-lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auntie,say,to,he,know,#,grandfather,have,(measure),new,home,#,not,will,again,come back,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叔叔,又,話,要,送,一,隻,新,手錶,畀,公公,，,同埋,新,電視,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suk1-suk1,jau6,waa6,jiu3,sung3,jat1,zek3,san1,sau2-biu1,bei2,gung4-gung1,#,tung4-maai4,san1,din6-si6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncle,also,say,need to,give,one,(measure),new,wristwatch,to,grandfather,#,and,new,television,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小澄澄,見到,好,大,火,，,就噉樣,，,公公,嘅,手錶,電視,就,冇,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-cing4-cing2,gin3-dou2,hou2,daai6,fo2,#,zau6-gam2-joeng2,#,gung4-gung1,ge3,sau2-biu1,din6-si6,zau6,mou5,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie,saw,very,big,fire,#,in this way,#,grandfather,’s,wristwatch,television,then,don't have,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小澄澄,成日,見,唔到,公公,，,夜晩,望,住,個,天空,。,佢,見到,有,隻,小,雀仔,，,喺,佢,頭,上,飛,。,佢,同,雀仔,講,︰,「,我,好,想,見,公公,。,」,雀仔,飛,上,天,。,小澄澄,喺,個,天空,度,，,見到,公公,對,住,佢,笑,。
siu2-cing4-cing2,sing4-jat6,gin3,m4-dou2,gung4-gung1,#,je6-maan5,mong6,zyu6,go3,tin1-hung1,#,keoi5,gin3-dou2,jau5,zek3,siu2,zoek3-zai2,#,hai2,keoi5,tau4,soeng6,fei1,#,keoi5,tung4,zoek3-zai2,gong2,#,#,ngo5,hou2,soeng2,gin3,gung4-gung1,#,#,zoek3-zai2,fei1,soeng5,tin1,#,siu2-cing4-cing2,hai2,go3,tin1-hung1,dou6,#,gin3-dou2,gung4-gung1,deoi3,zyu6,keoi5,siu3,#
Jackie,always,meet,cannot,grandfather,#,at night,stare,-ing,(measure),sky,#,he,saw,have,(measure),small,bird,#,at,he,head,above,fly,#,he,to,bird,say,#,#,I,very,want,to meet,grandfather,#,#,bird,fly,up to,sky,#,Jackie,at,(measure),sky,place,#,saw,grandfather ,towards,-ing,he,smile,#
