[1],,,,,,,,,,,,,,,,,,,,,,,
she,see,space,ship,don't have,all,electricity,#,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,
哎吔,！,呢度,有,月餅,，,但係,冇,地方,叉電,。,,,,,,,,,,,,,
ai1-jaa3,#,ni1-dou6,jau5,jyut6-beng2,#,daan6-hai6,mou5,dei6-fong1,caa1-din6,#,,,,,,,,,,,,,
Oh!,#,here,have,moon cake,#,but,don't have,place,battery charging,#,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,
佢,飛,嗰陣,太,趕,，,冇,話,畀,人,聽,佢,要,去,乜嘢,地方,！,,,,,,,
keoi5,fei1,go2-zan6,taai3,gon2,#,mou5,waa6,bei2,jan4,teng1,keoi5,jiu3,heoi3,mat1-je5,dei6-fong1,#,,,,,,,
she,fly,that time,too,hurry,#,didn't,say,to,people,to hear,she,have to,go to,what,place,#,,,,,,,
[14a],,,,,,,,,,,,,,,,,,,,,,,
已經,夜,喇,，,龍,仔,龍,女,唔見,媽媽,，,一齊,喺,屋企,喊,。,,,,,,,,
ji5-ging1,je6,laa3,#,lung4,zai2,lung4,neoi2,m4-gin3,maa4-maa1,#,jat1-cai4,hai2,uk1-kei2,haam3,#,,,,,,,,
already,night,already,#,dragon,son,dragon,daughter,don't see,mother,#,together,at,home,cry,#,,,,,,,,
[14b],,,,,,,,,,,,,,,,,,,,,,,
獅子,先生,同,龍,仔,龍,女,講,：,,,,,,,,,,,,,,,
si1-zi2,sin1-saang1,tung4,lung4,zai2,lung4,neoi2,gong2,#,,,,,,,,,,,,,,,
lion,Mr.,with,dragon,son,dragon,daughter,say,#,,,,,,,,,,,,,,,
[14c],,,,,,,,,,,,,,,,,,,,,,,
「,不如,我哋,一齊,上,山,，,揾,太空,船,！,」,,,,,,,,,,,,
#,bat1-jyu4,ngo5-dei6,jat1-cai4,soeng5,saan1,#,wan2,taai3-hung1,syun4,#,#,,,,,,,,,,,,
#,it would be better to,we,together,go up,hill,#,to find,space,ship,#,#,,,,,,,,,,,,
[15],,,,,,,,,,,,,,,,,,,,,,,
最後,，,佢哋,見到,龍,媽媽,飛,返嚟,。,,,,,,,,,,,,,,,
zeoi3-hau6,#,keoi5-dei6,gin3-dou2,lung4,maa4-maa1,fei1,faan1-lai4,#,,,,,,,,,,,,,,,
at the end,#,they,see,dragon,mother,fly,come back,#,,,,,,,,,,,,,,,
[16],,,,,,,,,,,,,,,,,,,,,,,
龍,媽媽,冇,坐,太空,船,，,自己,飛,，,飛,咗,好耐,！,,,,,,,,,,
lung4,maa4-maa1,mou5,co5,taai3-hung1,syun4,#,zi6-gei2,fei1,#,fei1,zo2,hou2-noi6,#,,,,,,,,,,
dragon,mother,didn't,sit,space,ship,#,oneself,fly,#,fly,-ed,a very long time,#,,,,,,,,,,
[17a],,,,,,,,,,,,,,,,,,,,,,,
佢哋,大家,都,好,開心,，,仲,叫,嗰,個,地方,做,「,九龍,」,。,,,,,,,,
keoi5-dei6,daai6-gaa1,dou1,hou2,hoi1-sam1,#,zung6,giu3,go2,go3,dei6-fong1,zou6,#,Gau2-Lung4,#,#,,,,,,,,
they,everyone,all,very,happy,#,even,call,that,(measure),place,to be,#,Kowloon,#,#,,,,,,,,
[17b],,,,,,,,,,,,,,,,,,,,,,,
即係,九,條,龍,！,,,,,,,,,,,,,,,,,,,
zik1-hai6,gau2,tiu4,lung4,#,,,,,,,,,,,,,,,,,,,
that means,nine,(measure),dragon,#,,,,,,,,,,,,,,,,,,,
[18a],,,,,,,,,,,,,,,,,,,,,,,
佢哋,都,冇,唔記得,好,好人,嘅,獅子,先生,。,,,,,,,,,,,,,,
keoi5-dei6,dou1,mou5,m4-gei3-dak1,hou2,hou2-jan4,ge3,si1-zi2,sin1-saang1,#,,,,,,,,,,,,,,
they,all,didn't,forget,very,nice person,-,lion,Mr.,#,,,,,,,,,,,,,,
[18b],,,,,,,,,,,,,,,,,,,,,,,
「,獅子山,」,就係,同,龍,仔,龍,女,一齊,等,媽媽,嘅,獅子,先生,。,,,,,,,,
#,si1-zi2-saan1,#,zau6-hai6,tung4,lung4,zai2,lung4,neoi2,jat1-cai4,dang2,maa4-maa1,ge3,si1-zi2,sin1-saang1,#,,,,,,,,
#,Lion Rock,#,is,with,dragon,son,dragon,daughter,together,wait,mother,-,lion,Mr.,#,,,,,,,,
[19],,,,,,,,,,,,,,,,,,,,,,,
記得,啊,！,去,邊度,都,一定,要,同,人,講,！,,,,,,,,,,,,
gei3-dak1,aa3,#,heoi3,bin1-dou6,dou1,jat1-ding6,jiu3,tung4,jan4,gong2,#,,,,,,,,,,,,
remember,(particle),#,go to,where,also,must,have to,with,people,say,#,,,,,,,,,,,,
[20],,,,,,,,,,,,,,,,,,,,,,,
電話,有時,會,冇,電,㗎,。,同埋,，,我哋,唔識,飛,㗎,！,,,,,,,,,,
din6-waa2,jau5-si4,wui5,mou5,din6,gaa3,#,tung4-maai4,#,ngo5-dei6,m4-sik1,fei1,gaa3,#,,,,,,,,,,
telephone,sometimes,will,don't have,electricity,(particle),#,and,#,we,don't know,fly,(particle),#,,,,,,,,,,
