till,I,cut,open,(measure),paper,-,time,#,grandmother,walk,-ed,come here,#,she,intend to,come,to help,me,paste,pictures,#,grandmother,say,#,#,Aa Small,#,you,cut,(suffix),good,#,#,I,smile,-ing,say,#,#,of course,(particle),#,very,easy,(particle),#,thank,grandmother,#,#,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,貼,圖,嘅,時候,爺爺,幫,我,寫,，,爺爺,話,：,「,阿細,好,叻,女,啊,！,」,我,跟住,答,：,「,唔係,啊,爺爺,，,係,有,你哋,幫,我,，,我,先,做,到,！,」,,,,,,,,,,
ngo5,tip3,tou4,ge3,si4-hau6,je4-je2,bong1,ngo5,se2,#,je4-je2,waa6,#,#,Aa3-sai3,hou2,lek1,neoi2,aa3,#,#,ngo5,gan1-zyu6,daap3,#,#,m4-hai6,aa3,je4-je2,#,hai6,jau5,nei5-dei6,bong1,ngo5,#,ngo5,sin1,zou6,dou2,#,#,,,,,,,,,,
I,paste,pictures,-,time,grandfather,help,me,write,#,grandfather,say,#,#,Aa Small,very,clever,girl,(particle),#,#,I,and then,reply,#,#,no,(particle),grandfather,#,is,have,you,helped,me,#,I,then,do,can,#,#,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,寫,書,嘅,時候,哥哥,幫,我,將,啲,紙,釘,埋,一齊,。,哥哥,笑,住,話,：,「,我,細妹,大個,女,喇,。,」,我,講,：,「,好嘢,，,哥哥,都,話,我,做,得,好,。,」,,,,,,,,,
ngo5,se2,syu1,ge3,si4-hau6,go4-go1,bong1,ngo5,zoeng1,di1,zi2,deng1,maai4,jat1-cai4,#,go4-go1,siu3,zyu6,waa6,#,#,ngo5,sai3-mui2,daai6-go3,neoi2,laa3,#,#,ngo5,gong2,#,#,hou2-je5,#,go4-go1,dou1,waa6,ngo5,zou6,dak1,hou2,#,#,,,,,,,,,
I,write,book,-,time,elder brother,help,me,put,those,paper,staple,(suffix),together,#,elder brother,smile,-ing,say,#,#,I,younger sister,grown up,girl,already,#,#,I,say,#,#,Hurray!,#,elder brother,also,say,I,do,(suffix),good,#,#,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,好,開心,幫,我,出,書,，,本,書,係,我哋,一齊,出,嘅,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,hou2,hoi1-sam1,bong1,ngo5,ceot1,syu1,#,bun2,syu1,hai6,ngo5-dei6,jat1-cai4,ceot1,ge3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,very,happy,to help,me,publish,book,#,(measure),book,is,we,together,publish,-,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好,開心,啊,，,我,有,一,本,書,喇,，,我哋,一齊,睇,書,啦,。,係,喎,！,唔記得,幫,本,書,改名,，,你哋,有冇,好,主意,啊,？,,,,,,,,,,,,,,,,,,,,
hou2,hoi1-sam1,aa3,#,ngo5,jau5,jat1,bun2,syu1,laa3,#,ngo5-dei6,jat1-cai4,tai2,syu1,laa1,#,hai6,wo3,#,m4-gei3-dak1,bong1,bun2,syu1,goi2-meng2,#,nei5-dei6,jau5-mou5,hou2,zyu2-ji3,aa3,#,,,,,,,,,,,,,,,,,,,,
very,happy,(particle),#,I,have,one,(measure),book,(particle),#,we,together,read,book,(particle),#,yes,(particle),#,forget,to help,(measure),book,get a name,#,you,have or don't have,good,ideas,(particle),#,,,,,,,,,,,,,,,,,,,,
