[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
免費,雪條,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min5-fai3,syut3-tiu2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
free of charge,ice-lolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
炎炎夏日,，,藍天,白雲,，,小美,喺,天台,望住,隻,錶,，,佢,等,緊,咩,呢,？,佢,等,緊,雪條,車,嚟,呀,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小美,話,：,「,爸爸,同,媽媽,每,人,要,食,1,支,雪條,，,細佬,又,要,食,1,支,。,」,小美,一路,數,手指,，,一路,計數,。,小美,話,：,「,1,加,1,再,加,1,，,等如,……,3,。,但係,一,支,雪條,要,5,蚊,，,3,支,雪條,要,……,」,小美,突然,醒起,：,「,我,知,啦,，,要,用,乘數,！,5,乘以,3,，,老師,教,嘅,九因歌,係,……,五,一,如,五,，,五,二,得,一,十,，,五,三,……,」
siu2-mei5,waa6,#,#,baa4-baa1,tung4,maa4-maa1,mui5,jan4,jiu3,sik6,jat1,zi1,syut3-tiu2,#,sai3-lou2,jau6,jiu3,sik6,jat1,zi1,#,#,siu2-mei5,jat1-lou6,sou2,sau2-zi2,#,jat1-lou6,gai3-sou3,#,siu2-mei5,waa6,#,#,jat1,gaa1,jat1,zoi3,gaa1,jat1,#,dang2-jyu4,#,saam1,#,daan6-hai6,jat1,zi1,syut3-tiu2,jiu3,ng5,man1,#,saam1,zi1,syut3-tiu2,jiu3,#,#,siu2-mei5,dat6-jin4,sing2-hei2,#,#,ngo5,zi1,laa3,#,jiu3,jung6,sing4-sou3,#,ng5,sing4-ji5,saam1,#,lou5-si1,gaau3,ge3,gau2-jan1-go1,hai6,#,ng5,jat1,jyu4,ng5,#,ng5,ji6,dak1,jat1,sap6,#,ng5,saam1,#,#
May,say,#,#,papa,and,mama,each,person,have to,eat,1,(measure),ice-lolly,#,younger brother,also,have to,eat,1,(measure),#,#,May,while,count,finger,#,while,calculate,#,May,say,#,#,1,plus,1,again,plus,1,#,equals,#,3,#,but,one,(measure),ice-lolly,need,5,dollars,#,3,(measure),ice-lolly,need,#,#,May,suddenly,recall,#,#,I,know,(particle),#,have to,use,multiplication,#,5,times,3,#,teacher,teach,(linker),Multiplication Song,is,#,five,one,equals,five,#,five,two,get,one,ten,#,five,three,#,#
[4-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,1,),:,每,支,雪條,5,元,，,3,支,雪條,共,付,多少,元,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,jat1,#,#,mui5,zi1,syut3-tiu2,ng5,jyun4,#,saam1,zi1,syut3-tiu2,gung6,fu6,do1-siu2,jyun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,1,#,#,every,(measure),ice-lolly,5,dollar,#,3,(measure),ice-lolly,altogether,pay,how many,dollar,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,但,我,又,記得,細佬,講,過,，,嫲嫲,成日,話,唔,食,雪條,，,但,其實,佢,夜晚,會,偷食,！,成日,講大話,，,所以,佢,至,會,甩,晒,啲,大牙,……,」,老伯伯,問,：,「,噉,你,而家,即係,要,幾多,支,呀,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,daan6,ngo5,jau6,gei3-dak1,sai3-lou2,gong2,gwo3,#,maa4-maa4,seng4-jat6,waa6,m4,sik6,syut3-tiu2,#,daan6,kei4-sat6,keoi5,je6-maan5,wui5,tau1-sik6,#,seng4-jat6,gong2-daai6-waa6,#,so2-ji5,keoi5,zi3,wui5,lat1,saai3,di1,daai6-ngaa4,#,#,lou5-baak3-baak3,man6,#,#,gam2,nei5,ji4-gaa1,zik1-hai6,jiu3,gei2-do1,zi1,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,but,I,also,remember,younger brother,say,-ed,#,grandmama,all the time,say,not,eat,ice-lolly,#,but,actually,she,night,will,eat secretly,#,all the time,tell untruth,#,therefore,she,then,will,fall off,all,those,molar,#,#,old gentleman,ask,#,#,then,you,now,that is,want,how many,(measure),(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小美,好,苦惱,，,佢,要,慢慢,計數,，,佢,細細聲,講,：,「,3,加,1,等如,4,，,5,再,乘以,4,即係,五,四,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-mei5,hou2,fu2-nou5,#,keoi5,jiu3,maan6-maan2,gai3-sou3,#,keoi5,sai3-sai3-seng1,gong2,#,#,saam1,gaa1,jat1,dang2-jyu4,sei3,#,ng5,zoi3,sing4-ji5,sei3,zik1-hai6,ng5,sei3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,very,distressed,#,she,have to,slowly,calculate,#,she,small and low voice,say,#,#,3,plus,1,equals,4,#,5,again,times,4,that is,five,four,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,2,),:,小美,想,要,多少,支,雪條,？,她,總共,需,多少,元,買,雪條,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,ji6,#,#,siu2-mei5,soeng2,jiu3,do1-siu2,zi1,syut3-tiu2,#,taa1,zung2-gung6,seoi1,do1-siu2,jyun4,maai5,syut3-tiu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,2,#,#,May,want,to have,how many,(measure),ice-lolly,#,she,in total,need,how many,dollar,to buy,ice-lolly,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老伯伯,打斷,小美,：,「,仲有,你,自己,呢,？,你,都,好,鍾意,食,雪條,㗎喎,。,」,「,係,喎,！,」,小美,拍,一下,手,，,笑,住,話,：,「,哈哈,！,我,都,唔記得,要,計,埋,自己,嗰,份,添,！,等,我,又,計,下,幾多錢,先,。,4,加,1,等如,5,，,5,乘,5,即係,五,五,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-baak3-baak3,daa2-tyun5,siu2-mei5,#,#,zung6-jau5,nei5,zi6-gei2,ne1,#,nei5,dou1,hou2,zung1-ji3,sik6,syut3-tiu2,gaa3-wo3,#,#,#,hai6,wo3,#,#,siu2-mei5,paak3,jat1-haa5,sau2,#,siu3,zyu6,waa6,#,#,haa1-haa1,#,ngo5,dou1,m4-gei3-dak1,jiu3,gai3,maai4,zi6-gei2,go2,fan6,tim1,#,dang2,ngo5,jau6,gai3,haa5,gei2-do1-cin2,sin1,#,sei3,gaa1,jat1,dang2-jyu4,ng5,#,ng5,sing4,ng5,zik1-hai6,ng5,ng5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old gentleman,interrupt,May,#,#,still have,you,oneself,(particle),#,you,also,very,like,eat,ice-lolly,(particle),#,#,#,right,(particle),#,#,May,clap,once,hand,#,laugh,-ing,say,#,#,haha,#,I,"all, also",forget,have to,count,also,oneself,that,portion,(particle),#,let,I,also,calculate,a bit,how much,then,#,4,plus,1,equals,5,#,5,times,5,that is,five,five,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,3,),:,買,5,支,雪條,，,小美,共,需,付,多少,元,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,saam1,#,#,maai5,ng5,zi1,syut3-tiu2,#,siu2-mei5,gung6,seoi1,fu6,do1-siu2,jyun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,3,#,#,buy,5,(measure),ice-lolly,#,May,altogether,need to,pay,how many,dollar,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小美,畀,完,錢,，,好,開心,噉,拎,咗,雪條,準備,食,住,走,。,突然,，,一,隻,雀仔,飛,過,，,一下,搶,走,咗,小美,支,雪條,！,小美,好,唔,開心,，,因為,佢,頭先,已經,用,晒,身上,嘅,25,蚊,喇,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-mei5,bei2,jyun4,cin2,#,hou2,hoi1-sam1,gam2,ling1,zo2,syut3-tiu2,zeon2-bei6,sik6,zyu6,zau2,#,dat6-jin4,#,jat1,zek3,zoek3-zai2,fei1,gwo3,#,jat1-haa5,coeng2,zau2,zo2,siu2-mei5,zi1,syut3-tiu2,#,siu2-mei5,hou2,m4,hoi1-sam1,#,jan1-wai6,keoi5,tau4-sin1,ji5-ging1,jung6,saai3,san1-soeng6,ge3,ji6-sap6-ng5,man1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,pay,finish,money,#,very,happy,-ly,take,-en,ice-lolly,ready to,eat,-ing,to leave,#,suddenly,#,one,(measure),birdie,fly,pass,#,with one move,grab,away,-en,May,(measure),ice-lolly,#,May,very,not,happy,#,because,she,just now,already,use,all,on oneself,(linker),25,dollar,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,4,),:,小美,現在,剩餘,多少,元,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,sei3,#,#,siu2-mei5,jin6-zoi6,sing6-jyu4,do1-siu2,jyun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,4,#,#,May,now,remains,how many,dollar,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老伯伯,見到,小美,想,喊,，,唔忍心,，,就,主動,送,多,一,支,雪條,畀,佢,。,小美,即刻,開心,返,晒,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-baak3-baak3,gin3-dou2,siu2-mei5,soeng2,haam3,#,m4-jan2-sam1,#,zau6,zyu2-dung6,sung3,do1,jat1,zi1,syut3-tiu2,bei2,keoi5,#,siu2-mei5,zik1-hak1,hoi1-sam1,faan1,saai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old gentleman,see,May,want to,cry,#,can't bear to watch,#,then,actively,give,more,one,(measure),ice-lolly,to,she,#,May,immediately,happy,back,all,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,5,),:,老伯伯,的,雪條,車,內,剩餘,多少,支,雪條,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,ng5,#,#,lou5-baak3-baak3,dik1,syut3-tiu2,ce1,noi6,sing6-jyu4,do1-siu2,zi1,syut3-tiu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,#,#,#,old gentleman,’s,ice-lolly,trolley,inside,remains,how many,(measure),ice-lolly,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老伯伯,推,住,佢,架,雪條,車,繼續,叫,賣,，,小美,呢個,時候,至,發現,，,原來,成條街,嘅,小朋友,都,流,晒,口水,等,緊,老伯伯,啲,雪條,！,甚至,有,小朋友,為咗,唔,俾,爸爸,媽媽,發現,，,要,靜靜雞,喺,窗口,吊,個,購物,籃,落嚟,買,！,咁,好味,嘅,雪條,，,你,要唔要,食,一,支,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-baak3-baak3,teoi1,zyu6,keoi5,gaa3,syut3-tiu2,ce1,gai3-zuk6,giu3,maai6,#,siu2-mei5,nei1-go3,si4-hau6,zi3,faat3-jin6,#,jyun4-loi4,seng4-tiu4-gaai1,ge3,siu2-pang4-jau5,dou1,lau4,saai3,hau2-seoi2,dang2,gan2,lou5-baak3-baak3,di1,syut3-tiu2,#,sam6-zi3,jau5,siu2-pang4-jau5,wai6-zo2,m4,bei2,baa4-baa1,maa4-maa1,faat3-jin6,#,jiu3,zing6-zing6-gai1,hai2,coeng1-hau2,diu3,go3,gau3-mat6,laam2,lok6-lei4,maai5,#,gam3,hou2-mei6,ge3,syut3-tiu2,#,nei5,jiu3-m4-jiu3,sik6,jat1,zi1,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old gentleman,push,-ing,he,(measure),ice-lolly,trolley,continue,call,to sell,#,May,this,moment,then,find out,#,it turns out,the whole street,(linker),children,"all, also",drool,all,saliva,wait,-ing,old gentleman,those,ice-lolly,#,even,have,children,in order to,not,let,papa,mama,find out,#,have to,sneakily,at,window,hang,(measure),shopping,basket,come down,to buy,#,so,tasty,(linker),ice-lolly,#,you,want or not,eat,one,(measure),(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,6,),:,你,想,買,多少,支,雪條,呢,？,你,共,需,付,多少,元,買,雪條,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,luk6,#,#,nei5,soeng2,maai5,do1-siu2,zi1,syut3-tiu2,ne1,#,nei5,gung6,seoi1,fu6,do1-siu2,jyun4,maai5,syut3-tiu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,6,#,#,you,want to,buy,how many,(measure),ice-lolly,(particle),#,you,altogether,need to,pay,how many,dollar,to buy,ice-lolly,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
答案,：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daap3-on3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
answer,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,1,),5,x,3,＝,15,,共,付,15,元,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jat1,#,ng5,sing4-ji5,saam1,dang2-jyu4,sap6-ng5,,gung6,fu6,sap6-ng5,jyun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,1,#,5,times,3,equals,15,,altogether,pay,15,dollar,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,2,),四,支,,5,x,4,＝,20,,共,需,20,元,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ji6,#,sei3,zi1,,ng5,sing4-ji5,sei3,dan2-jyu1,ji6-sap6,,gung6,seoi1,ji6-sap6,jyun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,2,#,four,(measure),,5,times,4,equals,20,,altogether,need,20,dollar,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,3,),5,x,5,＝,25,,共,需,付,25,元,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,#,#,ng5,sing4-ji5,ng5,dang2-jyu4,ji6-sap6-ng5,,gung6,seoi1,fu6,ji6-sap6-ng5,jyun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,3,#,5,times,5,equals,25,,altogether,need to,pay,25,dollar,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
