[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,要,去,海洋公園,玩,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,jiu3,heoi3,hoi2-joeng4-gung1-jyun2,waan2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,want,to go,Ocean Park,to play,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
當,同學仔,都,好,開心,噉,講,緊,去,邊度,玩,嘅,時候,，,突然,聽到,思思,話,想,去,海洋公園,，,大家,都,好,興奮,！,因為,大家,都,好,想,去,海洋公園,玩,！,,,,,,,,,,,,,
dong1,tung4-hok6-zai2,dou1,hou2,hoi1-sam1,gam2,gong2,gan2,heoi3,bin1-dou6,waan2,ge3,si4-hau6,#,dat6-jin4,teng1-dou2,si1-si1,waa6,soeng2,heoi3,hoi2-joeng4-gung1-jyun2,#,daai6-gaa1,dou1,hou2,hing1-fan5,#,jan1-wai6,daai6-gaa1,dou1,hou2,soeng2,heoi3,hoi2-joeng4-gung1-jyun2,waan2,#,,,,,,,,,,,,,
when,little classmate,"all, also",very,happy,-ly,talk,-ing,to go,where,to play,(linker),time,#,suddenly,hear,Ceci,say,want,to go,Ocean Park,#,everyone,"all, also",very,excited,#,because,everyone,"all, also",very,want,to go,Ocean Park,to play,#,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嗰度,可以,玩,過山車,，,又,可以,玩,水,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,go2-dou6,ho2-ji5,waan2,gwo3-saan1-ce1,#,jau6,ho2-ji5,waan2,seoi2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,there,can,play,roller coaster,#,again,can,play,water,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,又,可以,睇到,好多,唔同,嘅,動物,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jau6,ho2-ji5,tai2-dou2,hou2-do1,m4-tung4,ge3,dung6-mat6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,again,can,see,many,different,(linker),animal,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係,囉,！,我,都,想,一齊,玩,啊,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hai6,lo1,#,ngo5,dou1,soeng2,jat1-cai4,waan2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,yes,(particle),#,I,"all, also",want,together,to play,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,一,人,一,句,，,睇嚟,大家,真係,好,開心,，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,jat1,jan4,jat1,geoi3,#,tai2-lei4,daai6-gaa1,zan1-hai6,hou2,hoi1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,one,person,one,sentence,#,seems,everyone,really,very,happy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直到,琪琪,講,咗,句,：,「,不過,，,啲,飛,好,貴,喎,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zik6-dou3,Kei4-kei2,gong2,zo2,geoi3,#,#,bat1-gwo3,#,di1,fei1,hou2,gwai3,wo3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
until,Ki Ki,say,-en,sentence,#,#,but,#,those,ticket,very,expensive,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
然後,大家,就,望住,思思,，,話,：,「,思思,你,就,好,啦,，,咁,有錢,可以,去,海洋公園,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
jin4-hau6,daai6-gaa1,zau6,mong6-zyu6,Si1-si1,#,waa6,#,#,Si1-si1,nei5,zau6,hou2,laa1,#,gam3,jau5-cin2,ho2-ji5,heoi3,hoi2-joeng4-gung1-jyun2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
after that,everyone,then,look at,Ceci,#,say,#,#,Ceci,you,so,good,(particle),#,so,rich,can,go,Ocean Park,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
思思,就,話,：,「,我,都,係,用,我,自己,儲,嘅,錢,買,飛,㗎咋,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si1-si1,zau6,waa6,#,#,ngo5,dou1,hai6,jung6,ngo5,zi6-gei2,cou5,ge3,cin2,maai5,fei1,gaa3-zaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceci,then,say,#,#,I,also,is,use,I,oneself,save,(linker),money,to buy,ticket,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,冇錯,，,我哋,個個,都,可以,去,海洋公園,玩,！,」,黃,老師,笑,住,講,：,「,如果,我哋,都,好似,思思,噉,，,每日,儲,少少,錢,，,就,會,夠,錢,去,海洋公園,㗎喇,！,」,,,,,,,,,
#,mou5-co3,#,ngo5-dei6,go3-go3,dou1,ho2-ji5,heoi3,hoi2-joeng4-gung1-jyun2,waan2,#,#,Wong4,lou5-si1,siu3,zyu6,gong2,#,#,jyu4-gwo2,ngo5-dei6,dou1,hou2-ci5,si1-si1,gam2,#,mui5-jat6,cou5,siu2-siu2,cin2,#,zau6,wui5,gau3,cin2,heoi3,hoi2-joeng4-gung1-jyun2,gaa3-laa3,#,#,,,,,,,,,
#,correct,#,we,everyone,"all, also",can,go,Ocean Park,to play,#,#,Wong,teacher,laugh,-ing,say,#,#,if,we,"all, also",look like,Ceci,in that way,#,every day,save,a bit,money,#,then,will,enough,money,to go,Ocean Park,(particle),#,#,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就係噉,，,大家,都,開始,咗,儲錢,大計,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zau6-hai6-gam2,#,daai6-gaa1,dou1,hoi1-ci2,zo2,cou5-cin2,daai6-gai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in this way,#,everyone,"all, also",begin,-en,saving money,big plan,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,同學,整,玩具,同,公仔,，,再,賣,畀,朋友,；,有,同學,幫,小朋友,補習,；,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5,tung4-hok6,zing2,wun6-geoi6,tung4,gung1-zai2,#,zoi3,maai6,bei2,pang4-jau5,#,jau5,tung4-hok6,bong1,siu2-pang4-jau5,bou2-zaap6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,schoolmate,make,toys,and,doll,#,again,sell,to,friend,#,have,schoolmate,help,children,tutoring,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,同學,就,食,少,啲,雪榚,，,將,屋企人,畀,佢,嘅,零用錢,儲起,；,有,同學,就,幫,親人,照顧,狗仔,——,大家,都,揾,咗,好多,錢,，,再,全部,儲起,！,為,嘅,都,係,同一,個,目標,，,就,係,一齊,去,海洋公園,！
jau5,tung4-hok6,zau6,sik6,siu2,di1,syut3-gou1,#,zoeng1,uk1-kei2-jan4,bei2,keoi5,ge3,ling4-jung6-cin2,cou5-hei2,#,jau5,tung4-hok6,zau6,bong1,can1-jan4,ziu3-gu3,gau2-zai2,#,daai6-gaa1,dou1,wan2,zo2,hou2-do1,cin2,#,zoi3,cyun4-bou6,cou5-hei2,#,wai6,ge3,dou1,hai6,tung4-jat1,go3,muk6-biu1,#,zau6,hai6,jat1-cai4,heoi3,hoi2-joeng4-gung1-jyun2,#
have,schoolmate,just,eat,less,some,ice-cream,#,take,family,give,him / her,(linker),pocket money,to save,#,have,schoolmate,then,help,family members,look after,puppy,#,everyone,"all, also",earn,-en,a lot of,money,#,again,all,save,#,in order to,(linker),"all, also",is,the same,(measure),aim,#,that,is,together,go,Ocean Park,#
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暑假,話咁快,就,完,咗,，,同學,帶,咗,自己,儲,到,嘅,零用錢,返嚟,數下,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syu2-gaa3,waa6-gam3-faai3,zau6,jyun4,zo2,#,tung4-hok6,daai3,zo2,zi6-gei2,cou5,dou2,ge3,ling4-jung6-cin2,faan1-lei4,sou2-haa5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summer vacation,so fast,already,finish,-en,#,schoolmate,bring,-en,oneself,save,can,(linker),pocket money,to come back,to count,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黃,老師,話,：,「,睇嚟,大家,都,儲,咗,好多,錢,，,應該,可以,一齊,去,海洋公園,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wong4,lou5-si1,waa6,#,#,tai2-lei4,daai6-gaa1,dou1,cou5,zo2,hou2-do1,cin2,#,jing1-goi1,ho2-ji5,jat1-cai4,heoi3,hoi2-joeng4-gung1-jyun2,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wong,teacher,say,#,#,seems,everyone,"all, also",save,-en,many,money,#,should,can,together,to go,Ocean Park,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所有,人,都,開心,到,跳,起,，,不過,小明,就,好似,唔係,咁,開心,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so2-jau5,jan4,dou1,hoi1-sam1,dou3,tiu3,hei2,#,bat1-gwo3,Siu2-ming4,zau6,hou2-ci5,m4-hai6,gam3,hoi1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,people,"all, also",happy,(suffix),jump,up,#,however,Little Ming,then,look like,not,so,happy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
琪琪,走,過去,問,佢,點解,唔,開心,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei4-kei2,zau2,gwo3-heoi3,man6,keoi5,dim2-gaai2,m4,hoi1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ki Ki,go,over,to ask,him,why,not,happy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,小明,冇,儲,到,錢,，,唔,可以,同,佢哋,一齊,去,海洋公園,。,因為,佢,隻,狗仔,最近,病,咗,，,佢,拎,咗,筆,錢,帶,佢,睇醫生,……,,,,,,,,,,,,,,,,,
jyun4-loi4,Siu2-ming4,mou5,cou5,dou3,cin2,#,m4,ho2-ji5,tung4,keoi5-dei6,jat1-cai4,heoi3,hoi2-joeng4-gung1-jyun2,#,jan1-wai6,keoi5,zek3,gau2-zai2,zeoi3-gan6,beng6,zo2,#,keoi5,lik1,zo2,bat1,cin2,daai3,keoi5,tai2-ji1-sang1,#,,,,,,,,,,,,,,,,,
it turns out,Little Ming,don't have,save,(suffix),money,#,not,can,with,they,together,to go,Ocean Park,#,because,he,(measure),puppy,recently,sick,-en,#,he,take,-en,(measure),money,to bring,it,to see doctor,#,,,,,,,,,,,,,,,,,
[11a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同學仔,聽到,小明,話,佢,去,唔到,，,一時,唔知,講,咩,好,——,因為,大家,本身,係,諗住,成,班,一齊,去,嘅,……,,,,,,,,,,,,,,,,,,,,,,,,
tung4-hok6-zai2,teng1-dou2,Siu2-ming4,waa6,keoi5,heoi3,m4-dou2,#,jat1-si4,m4-zi1,gong2,me1,hou2,#,jan1-wai6,daai6-gaa1,bun2-san1,hai6,nam2-zyu6,sing4,baan1,jat1-cai4,heoi3,ge3,#,,,,,,,,,,,,,,,,,,,,,,,,
little classmake,hear,Little Ming,say,he,go,cannot,#,for a short while,don't know,say,what,good,#,because,everyone,originally,is,thinking about,whole,class,together,to go,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,
[11b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,一陣,，,思思,話,：,「,不如,我哋,每,人,再,儲,多,少少,錢,，,幫,小明,買,飛,吖,？,」,,,,,,,,,,,,,,,,,,,,,,,,
gwo3,zo2,jat1-zan6,#,si1-si1,waa6,#,#,bat1-jyu4,ngo5-dei6,mui5,jan4,zoi3,cou5,do1,siu2-siu2,cin2,#,bong1,Siu2-ming4,maai5,fei1,aa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,
pass,-en,a while,#,Ceci,say,#,#,how about,we,every,person,again,save,more,a bit,money,#,help,Little Ming,to buy,ticket,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,
[11c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全,班,同學,都,話,好,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyun4,baan1,tung4-hok6,dou1,waa6,hou2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole,class,schoolmate,"all, also",say,good,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終於,，,大家,可以,一齊,去,海洋公園,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung1-jyu1,#,daai6-gaa1,ho2-ji5,jat1-cai4,heoi3,hoi2-joeng4-gung1-jyun2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at last,#,everyone,can,together,go,Ocean Park,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個個,都,玩,得,好,開心,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go3-go3,dou1,waan2,dak1,hou2,hoi1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everyone,"all, also",play,(suffix),very,happy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
開心,，,唔只,因為,可以,去,海洋公園,，,仲,因為,可以,全,班,一齊,去,，,一個,都,冇,少,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoi1-sam1,#,m4-zi2,jan1-wai6,ho2-ji5,heoi3,hoi2-joeng4-gung1-jyun2,#,zung6,jan1-wai6,ho2-ji5,cyun4,baan1,jat1-cai4,heoi3,#,jat1-go3,dou1,mou5,siu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happy,#,not only,because,can,go,Ocean Park,#,also,because,can,whole,class,together,go,#,one,"all, also",don't have,less,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好多,時候,，,只要,人人,都,行,多,一,步,，,好多,問題,都,可以,輕易,解決,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hou2-do1,si4-hau6,#,zi2-jiu3,jan4-jan4,dou1,haang4,do1,jat1,bou6,#,hou2-do1,man6-tai4,dou1,ho2-ji5,hing1-ji6,gaai2-kyut3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
many,time,#,as long as,everyone,"all, also",walk,more,one,step,#,many,problem,"all, also",can,easily,be resolved,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
