#,sai2-jung6,haau1-cyun2,kap1-jan5-hei3,hau6,#,,,,,,,,,
#,use,asthma,inhaler,after,#,,,,,,,,,
[25],,,,,,,,,,,,,,
老師,：,而家,好,啲,未,呀,？,需唔需要,再,噴,多,下,呀,？
lou5-si1,#,ji4-gaa1,hou2,di1,mei6,aa3,#,seoi1-m4-seoi1-jiu3,zoi3,pan3,do1,haa5,aa3,#
teacher,#,now,good,more,not yet,(particle),#,need or not need,again,spray,more,time,(ptcl.),#
[26],,,,,,,,,,,,,,
志明,：,唔使,啦,，,好,返,好多,。,,,,,,
zi3-ming4,#,m4-sai2,laa1,#,hou2,faan2,hou2-do1,#,,,,,,
Chi Ming,#,no need,(particle),#,good,again,a lot,#,,,,,,
[27],,,,,,,,,,,,,,
老師,：,需唔需要,送,你,去,醫院,呀,？,,,,,,
lou5-si1,#,seoi1-m4-seoi1-jiu3,sung3,nei5,heoi3,ji1-jyun2,aa3,#,,,,,,
teacher,#,need or not need,send,you,to go,hospital,(particle),#,,,,,,
[28],,,,,,,,,,,,,,
志明,：,唔使,去,醫院,，,唔該,晒,。,,,,,,
zi3-ming4,#,m4-sai2,heoi3,ji1-jyun2,#,m4-goi1,saai3,#,,,,,,
Chi Ming,#,no need,go,hospital,#,Thanks,all,#,,,,,,
[29],,,,,,,,,,,,,,
偉俊,：,當,有,人,哮喘,發作,時,，,叫,佢哋,先,坐低,休息,，
wai5-zeon3,#,dong1,jau5,jan4,haau1-cyun2,faat3-zok3,si4,#,giu3,keoi5-dei6,sin1,co5-dai1,jau1-sik1,#
Wai Chun,#,as,there is,human,asthma,attack,situation,#,call,them,first,sit down,take a break,#
[30],,,,,,,,,,,,,,
慢慢,呼吸,，,唔使,驚,，,同埋,幫助,佢哋,,,,,,
maan6-maan2,fu1-kap1,#,m4-sai2,geng1,#,tung4-maai4,bong1-zo6,keoi5-dei6,,,,,,
slowly,breathe,#,no need,afraid,#,and,help,them,,,,,,
[31],,,,,,,,,,,,,,
使用,哮喘,吸入器,，,,,,,,,,,,,
sai2-jung6,haau1-cyun2,kap1-jap6-hei3,#,,,,,,,,,,,
use,asthma,inhaler,#,,,,,,,,,,,
[32],,,,,,,,,,,,,,
仲,要,儘快,話,俾,大人,知,。,,,,,,,
zung6,jiu3,zeon6-faai3,waa6,bei2,daai6-jan4,zi1,#,,,,,,,
still,have to,as soon as possible,say,to,adult,know,#,,,,,,,
