#,jat1-zou2,gong2,zo2,daap3,baa1-si2,#,nei5,jau6,hai6-dou1-jiu3,co5,din6-ce1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,early on,say,-en,take,bus,#,you,again,still want,sit,tram,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我哋,又,唔係,趕時間,，,咁,急,做咩,啫,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5-dei6,jau6,m4-hai6,gon2-si4-gaan3,#,gam3,gap1,zou6-me1,ze1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,we,again,is not,in a hurry,#,so,hurrying,why,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其實,佢,噉,講,又,冇錯,嘅,，,電車,本身,就,好,慢,，,如果,趕時間,我哋,一早,坐,咗,巴士,啦,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei4-sat6,keoi5,gam2,gong2,jau6,mou5-co3,ge3,#,din6-ce1,bun2-san1,zau6,hou2,maan6,#,jyu4-gwo2,gon2-si4-gaan3,ngo5-dei6,jat1-zou2,co5,zo2,baa1-si2,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actually,she,this way,say,also,not wrong,(particle),#,tram,originally,which is,very,slow,#,if,in a hurry,we,early on,sit,-en,bus,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叮,──,叮,──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ding1,#,ding1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ding),#,(ding),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,由,鰂魚涌,出發,，,一直,坐,到,去,西營盤,。,阿莎,又,好似,平時,噉,上去,上層,坐,車尾,個,位,。,電車,冇,窗,，,啲,風,係噉,由,外面,吹,入嚟,，,撞正,夏天,，,啲,風,係,熱,嘅,，,而且,我,成日,覺得,電車,入面,有,浸,罨,味,，,但,又,講唔出,具體,係,咩,味,。,呢,架,老嘢,真係,好,慢,，,我哋,放工,已經,六點,幾,，,由,公司,行,到,電車站,已經,熱,到,我,成,件,恤衫,濕,晒,。,望住,窗,外,一,架,一,架,巴士,喺,身邊,駛,過,，,我,開始,燥燥地,。,,,,,,,,,,,,,,,,,,,,,,,,
ngo5-dei6,jau4,zak1-jyu4-cung1,ceot1-faat3,#,jat1-zik6,co5,dou3,heoi3,sai1-jing4-pun4,#,aa3-saa1,jau6,hou2-ci5,ping4-si4,gam2,soeng5-heoi3,soeng6-cang4,co5,ce1-mei5,go3,wai2,#,din6-ce1,mou5,coeng1,#,di1,fung1,hai6-gam2,jau4,ngoi6-min6,ceoi1,jap6-lei4,#,zong6-zeng3,haa6-tin1,#,di1,fung1,hai6,jit6,ge3,#,ji4-ce2,ngo5,sing4-jat6,gok3-dak1,din6-ce1,jap6-min6,jau5,zam3,ap1,mei6,#,daan6,jau6,gong2-m4-ceot1,geoi6-tai2,hai6,me1,mei6,#,ni1,gaa3,lou5-je5,zan1-hai6,hou2,maan6,#,ngo5-dei6,fong3-gung1,ji5-ging1,luk6-dim2,gei2,#,jau4,gung1-si1,haang4,dou3,din6-ce1-zaam6,ji5-ging1,jit6,dou3,ngo5,seng4,gin6,seot1-saam1,sap1,saai3,#,mong6-zyu6,coeng1,ngoi6,jat1,gaa3,jat1,gaa3,baa1-si2,hai2,san1-bin1,sai2,gwo3,#,ngo5,hoi1-ci2,cou3-cou2-dei2,#,,,,,,,,,,,,,,,,,,,,,,,,
we,from,Quarry Bay,start,#,keep on,sit,to,go,Sai Ying Pun,#,Sally,again,seems,as usual,that way,go up,upper level,to sit,back of the vehicle,(measure),seat,#,tram,don't have,(sealed) window,#,those,wind,continuously,from,outside,blow,in,#,coincidentally it is,summer,#,some,wind,is,hot,(particle),#,and that,I,always,feel,tram,inside,have,(measure),musty,smell,#,but,also,cannot tell,definitively,is,what,smell,#,this,(measure),old thing,really,very,slow,#,we,off work,already,six o'clock,something,#,from,company,walk,to,tram station,already,hot,to,I,whole,(measure),shirt,wet,all,#,staring,window,outside,one,(measure),one,(measure),bus,at,beside,drive,pass,#,I,begin,a bit grumpy,#,,,,,,,,,,,,,,,,,,,,,,,,
[1g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,喂,，,嚟,吖,，,我,幫,你,影,張,相,。,」,阿莎,走,咗,去,我,對面,坐低,，,然後,拎,起,菲林,相機,對,住,我,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wai3,#,lai4,aa1,#,ngo5,bong1,nei5,jing2,zoeng1,soeng2,#,#,aa3-saa1,zau2,zo2,heoi3,ngo5,deoi3-min6,co5-dai1,#,jin4-hau6,ling1,hei2,fei1-lam2,soeng2-gei1,deoi3,zyu6,ngo5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Hey!,#,come,(particle),#,I,help,you,take,(measure),photograph,#,#,Sally,go,-en,over,I,opposite,sit down,#,then,take,up,film,camera,towards,-ing,I,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,又,影,呀,？,你,啲,技術,得唔得,㗎,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jau6,jing2,aa4,#,nei5,di1,gei6-seot6,dak1-m4-dak1,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,again,take,(particle),#,you,those,skill,okay or not,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,畀,啲,反應,先,啦,你,，,你,啲,動作,好,遲鈍,呀,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,bei2,di1,faan2-jing3,sin1,laa1,nei5,#,nei5,di1,dung6-zok3,hou2,ci4-deon6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,give,some,reaction,first,(particle),you,#,you,those,movement,very,clumsy,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,配合,返,架,電車,啫,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,pui3-hap6,faan1,gaa3,din6-ce1,ze1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,coordinate,back,(measure),tram,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1k],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咔嚓,──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaa4-caat4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(camera click),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其實,我,一直,都,唔知,佢,影,成,點,，,因為,佢,影,咁,耐,相,，,一,張,都,冇,俾,我,睇,過,。,每,次,問,佢,拎,返,嚟,睇,，,佢,都,話,未,拎,去,曬,。,不過,睇,佢,揸,機,個,動作,就,知,唔,會,影,得,靚,——,佢,連,自己,隻,手指,入,咗,鏡,都,唔知,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei4-sat6,ngo5,jat1-zik6,dou1,m4-zi1,keoi5,jing2,sing4,dim2,#,jan1-wai6,keoi5,jing2,gam3,noi6,soeng2,#,jat1,zoeng1,dou1,mou5,bei2,ngo5,tai2,gwo3,#,mui5,ci3,man6,keoi5,ling1,faan1,lai4,tai2,#,keoi5,dou1,waa6,mei6,ling1,heoi3,saai3,#,bat1-gwo3,tai2,keoi5,zaa1,gei1,go3,dung6-zok3,zau6,zi1,m4,wui5,jing2,dak1,leng3,#,keoi5,lin4,zi6-gei2,zek3,sau2-zi2,jap6,zo2,geng3,dou1,m4-zi1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actually,I,keep on,"all, also",don't know,she,take,have,how,#,because,she,take,so,long time,photograph,#,one,(measure),"all, also",don't have,give,I,to look,-ed,#,every,time,ask,she,take,back,to,look,#,she,"all, also",say,not yet,take,to,develop (film),#,however,see,she,hold,camera,(measure),movement,then,know,not,will,take,(suffix),good-looking,#,she,even,oneself,(measure),finger,enter,-en,camera lens,"all, also",don't know,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
影,完,我,之後,，,阿莎,又,好,快,轉,返,身,，,對,住,條,街,亂,影,一,通,。,我,由,細,到,大,都,好,憎,坐,電車,，,不過,阿莎,就,好,鍾意,。,我哋,都係,住,西營盤,，,以前,基本上,日日,都,坐,電車,返學,，,就算,就嚟,遲到,都好,，,阿莎,都,要,坐,電車,，,佢,對,電車,有,種,奇怪,嘅,執著,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing2,jyun4,ngo5,zi1-hau6,#,aa3-saa1,jau6,hou2,faai3,zyun3,faan1,san1,#,deoi3,zyu6,tiu4,gaai1,lyun6,jing2,jat1,tung1,#,ngo5,jau4,sai3,dou3,daai6,dou1,hou2,zang1,co5,din6-ce1,#,bat1-gwo3,aa3-saa1,zau6,hou2,zung1-ji3,#,ngo5-dei6,dou1-hai6,zyu6,sai1-jing4-pun4,#,ji5-cin4,gei1-bun2-soeng6,jat6-jat6,dou1,co5,din6-ce1,faan1-hok6,#,zau6-syun3,zau6-lai4,ci4-dou3,dou1-hou2,#,aa3-saa1,dou1,jiu3,zo6,din6-ce1,#,keoi5,deoi3,din6-ce1,jau5,zung2,kei4-gwaai3,ge3,zap1-zoek6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take,finish,I,after,#,Sally,again,very,fast,turn,back,body,#,towards,-ing,(measure),street,randomly,take,one,(measure),#,I,from,small,to,big,"all, also",very,hate,to sit,tram,#,however,Sally,then,very,like,#,we,also is,live,Sai Ying Pun,#,before,basically,every day,"all, also",sit,tram,to go to school,#,even if,almost,late,still good,#,Sally,"all, also",want,to sit,tram,#,she,to,tram,have,(measure),strange,(linker),fixation,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,唔,覺得,電車,係,香港,嘅,清泉,嚟,嘅,咩,？,個個,做乜,都,要,趕住,去,投胎,噉,，,係,得,佢,堅持,慢慢行,，,細細,欣賞,身邊,嘅,事物,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,m4,gok3-dak1,din6-ce1,hai6,hoeng1-gong2,ge3,cing1-cyun4,lai4,ge3,me1,#,go3-go3,zou6-mat1,dou1,jiu3,gon2-zyu6,heoi3,tau4-toi1,gam2,#,hai6,dak1,keoi5,gin1-ci4,maan6-maan2-haang4,#,sai3-sai3,jan1-soeng2,san1-bin1,ge3,si6-mat6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,not,feel,tram,is,Hong Kong,(linker),oasis,(particle),(particle),(particle),#,everyone,for what,"all, also",have to,in a hurry,to go,reincarnate,that way,#,is,only,it,persist to,walk slowly,#,detailedly,appreciate,beside,(linker),thing,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係呀,係呀,，,就,連,啲,阿伯,都係,香港,嘅,清泉,添,。,今日,實,遲到,喇,，,我哋,留堂,班,見,啦,八婆,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hai6-aa3,hai6-aa3,#,zau6,lin4,di1,aa3-baak3,dou1-hai6,hoeng1-gong2,ge3,cing1-cyun4,tim1,#,gam1-jat6,sat6,ci4-dou3,laa3,#,ngo5-dei6,lau4-tong4,baan1,gin3,laa1,baat3-po4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,yes,yes,#,then,even,those,old man,also is,Hong Kong,(linker),oasis,(particle),#,today,must,late,(particle),#,we,detention,class,meet,(particle),nosy woman,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出嚟,做嘢,之後,，,咁啱,我哋,又係,喺,鰂魚涌,返工,，,於是,又,變,返,中學,嗰陣,噉,成日,一齊,坐車,，,只不過,今次,唔係,返學,，,而,係,放工,。,諗落,原來,我哋,由,小學,開始,，,計計埋埋,都,識,咗,十,幾,年,，,周圍,嘅,人,都,以為,我哋,拍緊拖,，,但,其實,我哋,只係,住,得,近,，,加上,我,阿媽,又係,阿莎,阿媽,啲,雀友,，,我哋,先,成日,一齊,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceot1-lai4,zou6-je5,zi1-hau6,#,gam3-ngaam1,ngo5-dei6,jau6-hai6,hai2,zak1-jyu4-cung1,faan1-gung1,#,jyu1-si6,jau6,bin3,faan1,zung1-hok6,go2-zan6,gam2,sing4-jat6,jat1-cai4,co5-ce1,#,zi2-bat1-gwo3,gam1-ci3,m4-hai6,faan1-hok6,#,ji4,hai6,fong3-gung1,#,nam2-lok6,jyun4-loi4,ngo5-dei6,jau4,siu2-hok6,hoi1-ci2,#,gai3-gai3-maai4-maai4,dou1,sik1,zo2,sap6,gei2,nin4,#,zau1-wai4,ge3,jan4,dou1,ji5-wai4,ngo5-dei6,paak3-gan2-to1,#,daan6,kei4-sat6,ngo5-dei6,zi2-hai6,zyu6,dak1,kan5,#,gaa1-soeng5,ngo5,aa3-maa1,jau6-hai6,aa3-saa1,aa3-maa1,di1,zoek3-jau5,#,ngo5-dei6,sin1,sing4-jat6,jat1-cai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
come out,to work,after,#,incidentally,we,also is,at,Quarry Bay,to go to work,#,so,again,change,back to,secondary school,that time,that way,always,together,to ride a car,#,however,this time,is not,go to school,#,and,is,off work,#,as I think of it,it turns out,we,from,primary school,begin,#,summing it up,"all, also",know,-en,ten,several,year,#,surrounding,(linker),people,"all, also",think,we,in a relationship,#,but,actually,we,just only,live,(suffix),close,#,plus,I,Mum,also is,Sally,Mum,’s,Mahjong friend,#,we,first,always,together,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叮,──,叮,──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ding1,#,ding1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ding),#,(ding),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
