maa4-maa1,jap6-heoi3,Aa3-jan1,gaan1,fong2,#,gwo2-jin4,gin3-dou2,keoi5,jau6,hai2,cong4,soeng6,tai2-syu1,#,Aa3-jan1,zi1-cin4,sing4-jat6,dou1,nei1,hai2,cong4,soeng6,tai2-syu1,#,so2-ji5,nei1-ci3,jat1-ding6,jau6,hai6,tai2-syu1,tai2,dou3,m4-gei3-dak1,zou6-gung1-fo3,laa1,#,,,,,,,,,,,,,,,,,,,,,
mother,enter,Yan,(measure),room,#,really,see,she,again,at,bed,above,read book,#,Yan,before,always,also,hide,at,bed,above,read book,#,therefore,this time,surely,again,is,read book,read,to,forget,do homework,(particle),#,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿欣,最,鍾意,睇書,，,每日,都,不斷,睇書,。,喺,屋企,、,學校,、,公園,都,會,不停,睇書,。,每,次,睇書,嘅,時候,，,佢,都,會,好,專心,，,聽,唔到,媽媽,叫,佢,。,阿欣,睇,完,一,本,又,一,本,，,佢,希望,睇,晒,世界上,所有,嘅,書,！,
Aa3-jan1,zeoi3,zung1-ji3,tai2-syu1,#,mui5-jat6,dou1,bat1-dyun6,tai2-syu1,#,hai2,uk1-kei2,#,hok6-haau6,#,gung1-jyun2,dou1,wui5,bat1-ting4,tai2-syu1,#,mui5,ci3,tai2-syu1,ge3,si4-hau6,#,keoi5,dou1,wui5,hou2,zyun1-sam1,#,teng1,m4-dou2,maa4-maa1,giu3,keoi5,#,Aa3-jan1,tai2,jyun4,jat1,bun2,jau6,jat1,bun2,#,keoi5,hei1-mong6,tai2,saai3,sai3-gaai3-soeng6,so2-jau5,ge3,syu1,#,
Yan,most,like,to read book,#,every day,"all, also",continuously,read book,#,at,home,#,school,#,park,"all, also",will,non-stop,read book,#,every,time,read book,(linker),time,#,she,"all, also",will,very,focus,#,hear,cannot,mother,call,her,#,Yan,read,finish,one,(measure),again,one,(measure),#,she,hope,read,all,world,all,(linker),book,#,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之前,，,有,同學,問,阿欣,點解,咁,鍾意,睇書,？,打機,仲,好,啦,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-cin4,#,jau5,tung4-hok6,man6,Aa3-jan1,dim2-gaai2,gam3,zung1-ji3,tai2-syu1,#,daa2-gei1,zung6,hou2,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
before,#,have,schoolmate,ask,Yan,why,so,like,to read book,#,play computer games,even more,good,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿欣,話,因為,睇書,好,開心,！,睇書,可以,睇到,好多,好,靚,嘅,公仔,，,又,可以,學到,好多,字,。,啲,字,有,好多,唔同,意思,，,唔同,字,又,會,組成,唔同,句子,，,而,句子,組成,嘅,故事,就係,書,！,睇書,可以,睇到,好多,故事,，,好似,去,咗,另一個,世界,噉,！
Aa3-jan1,waa6,jan1-wai6,tai2-syu1,hou2,hoi1-sam1,#,tai2-syu1,ho2-ji5,tai2-dou2,hou2-do1,hou2,leng3,ge3,gung1-zai2,#,jau6,ho2-ji5,hok6-dou2,hou2-do1,zi6,#,di1,zi6,jau5,hou2-do1,m4-tung4,ji3-si1,#,m4-tung4,zi6,jau6,wui5,zou2-sing4,m4-tung4,geoi3-zi2,#,ji4,geoi3-zi2,zou2-sing4,ge3,gu3-si6,zau6-hai6,syu1,#,tai2-syu1,ho2-ji5,tai2-dou2,hou2-do1,gu3-si6,#,hou2-ci5,heoi3,zo2,ling6-jat1-go3,sai3-gaai3,gam2,#
Yan,say,because,reading books,very,happy,#,reading books,can,see,many,very,beautiful,(linker),doll,#,again,can,learn,many,word,#,the,word,have,many,different,meaning,#,different,word,again,can,form,different,sentence,#,and also,sentence,form,(linker),story,that is,book,#,reading books,can,see,many,story,#,seems,go,-en,another,world,in this way,#
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不過,有一日,，,阿欣,終於,發現,一個,睇書,大,問題,——,就係,學校,圖書館,入面,所有,嘅,書,，,都,已經,俾,佢,睇,晒,喇,！,佢,好,想,再,睇,多啲,書,，,佢,係噉,揾,、,係噉,揾,，,想,睇下,仲有,冇,書,係,佢,未,睇,嘅,……,,,,,
bat1-gwo3,jau5-jat1-jat6,#,Aa3-jan1,zung1-jyu1,faat3-jin6,jat1-go3,tai2-syu1,daai6,man6-tai4,#,zau6-hai6,hok6-haau6,tou5-syu1-gun2,jap6-min6,so2-jau5,ge3,syu1,#,dou1,ji5-ging1,bei2,keoi5,tai2,saai3,laa3,#,keoi5,hou2,soeng2,zoi3,tai2,do1-di1,syu1,#,keoi5,hai6-gam2,wan2,#,hai6-gam2,wan2,#,soeng2,tai2-haa5,zung6-jau5,mou5,syu1,hai6,keoi5,mei6,tai2,ge3,#,,,,,
but,one day,#,Yan,eventually,find out,one,reading books,big,question,#,that is,school,library,inside,all,(linker),book,#,"all, also",already,by,her,read,all,(particle),#,she,very,want,again,to read,more,book,#,she,keep doing,find,#,keep doing,find,#,want,to take a look,still have,don't have,book,is,she,not yet,read,(particle),#,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
揾嚟揾去,，,佢,都,唔見,有,新,書,。,阿欣,好,唔,開心,，,忍唔住,喊,咗,出嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wan2-lei4-wan2-heoi3,#,keoi5,dou1,m4-gin3,jau5,san1,syu1,#,Aa3-jan1,hou2,m4,hoi1-sam1,#,jan2-m4-zyu6,haam3,zo2,ceot1-lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
searching around,#,she,"all, also",cannot see,have,new,book,#,Yan,very,not,happy,#,cannot help,cry,-en,out,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喊喊下,，,佢,岳高,頭,，,突然,發現,書櫃,最,上,幾,層,仲有,好多,書,！,啲,書,全部,都,放,得,好,高,，,所以,佢,之前,都,冇為意到,。,嗰度,啲,書,都,係,佢,未,睇,過,嘅,，,佢,即刻,開心,返,晒,！,,,,,,,,,
haam3-haam3-haa5,#,keoi5,ngok6-gou1,tau4,#,dat6-jin4,faat3-jin6,syu1-gwai6,zeoi3,soeng6,gei2,cang4,zung6-jau5,hou2-do1,syu1,#,di1,syu1,cyun4-bou6,dou1,fong3,dak1,hou2,gou1,#,so2-ji5,keoi5,zi1-cin4,dou1,mou5-wai6-ji3-dou3,#,go2-dou6,di1,syu1,dou1,hai6,keoi5,mei6,tai2,gwo3,ge3,#,keoi5,zik1-hak1,hoi1-sam1,faan1,saai3,#,,,,,,,,,
while crying,#,she,raise,head,#,suddenly,find out,bookcase,most,top,several,layer,still have,many,book,#,those,book,all,"all, also",put,(suffix),very,high,#,therefore,she,before,"all, also",didn't notice,#,there,those,book,"all, also",is,she,not yet,read,-en,(linker),#,she,immediately,happy,back,all,#,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,而家,問題,係,佢,唔,夠,高,拎,嗰度,啲,書,。,阿欣,諗,：,我,要,點,先,可以,拎到,上面,啲,書,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6,ji4-gaa1,man6-tai4,hai6,keoi5,m4,gau3,gou1,lik1,go2-dou6,di1,syu1,#,Aa3-jan1,nam2,#,ngo5,jiu3,dim2,sin1,ho2-ji5,lik1-dou2,soeng6-min6,di1,syu1,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,now,question,is,she,not,enough,tall,take,there,those,book,#,Yan,think,#,I,need to,how,then,can,take,above,those,book,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,呢個,時候,，,阿欣,見到,阿明,同,阿文,入,咗,圖書館,。,佢,諗起,以前,同,媽媽,玩,騎膊馬,，,就,即刻,叫,佢哋,嚟,幫手,！,阿文,抱,起,阿明,，,阿明,抱,起,阿欣,，,一個,抱,一個,噉,，,阿欣,就嚟,拎到,上面,啲,書,喇,……,,,,,,,
hai2,nei1-go3,si4-hau6,#,Aa3-jan1,gin3-dou2,Aa3-ming4,tung4,Aa3-man4,jap6,zo2,tou5-syu1-gun2,#,keoi5,nam2-hei3,ji5-cin4,tung4,maa4-maa1,waan2,ke4-bok3-maa5,#,zau6,zik1-hak1,giu3,keoi5-dei6,lei4,bong1-sau2,#,Aa3-man4,pou5,hei2,Aa3-ming4,#,Aa3-ming4,pou5,hei2,Aa3-jan1,#,jat1-go3,pou5,jat1-go3,gam2,#,Aa3-jan1,zau6-lei4,lik1-dou2,soeng6-min6,di1,syu1,laa3,#,,,,,,,
at,this,time,#,Yan,see,Ming,and,Man,enter,-en,library,#,she,think of,before,with,mother,play,shoulder ride,#,then,immediately,call,them,to come,to help,#,Man,carry,up,Ming,#,Ming,carry,up,Yan,#,one,carry,one,in this way,#,Yan,almost,take,above,those,book,(particle),#,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,哎吔,！,」,阿文,好,快,就,冇,力,抬,佢哋,，,佢,同,阿明,都,跌,咗,落地,！,好彩,阿欣,及時,捉住,書櫃,邊,，,冇,跌,到,落去,，,但,都,仲係,好,驚險,！,,,,,,,,,,,,,,,,,,,
#,ai1-jaa3,#,#,Aa3-man4,hou2,faai3,zau6,mou5,lik6,toi4,keoi5-dei6,#,keoi5,tung4,Aa3-ming4,dou1,dit3,zo2,lok6-dei6,#,hou2-coi2,Aa3-jan1,kap6-si4,zuk1-zyu6,syu1-gwai6,bin1,#,mou5,dit3,dou3,lok6-heoi3,#,daan6,dou1,zung6-hai6,hou2,ging1-him2,#,,,,,,,,,,,,,,,,,,,
#,Oh!,#,#,Man,very,fast,then,don't have,strength,lift,them,#,he,and,Ming,"all, also",fall,-en,on the ground,#,luckily,Yan,timely,catch,bookcase,edge,#,didn't,fall,to,go down,#,but,"all, also",still,very,thrilling,#,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,小心,啊,！,」,突然,，,好,高,好,高,嘅,高老師,出現,，,佢,捉住,阿欣,，,將,佢,放,返,落地,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,siu2-sam1,aa3,#,#,dat6-jin4,#,hou2,gou1,hou2,gou1,ge3,Gou1-lou5-si1,ceot1-jin6,#,keoi5,zuk1-zyu6,Aa3-jan1,#,zoeng1,keoi5,fong3,faan1,lok6-dei6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,careful,(particle),#,#,suddenly,#,very,tall,very,tall,(linker),Miss Ko,appear,#,she,catching,Yan,#,put,her,put,back,on the ground,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,冇事,吖嘛,？,你,頭先,做咩,上,到,咁,高,啊,？,」,高老師,問,阿欣,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,mou5-si6,aa1-maa3,#,nei5,tau4-sin1,zou6-me1,soeng5,dou3,gam3,gou1,aa3,#,#,Gou1-lou5-si1,man6,Aa3-jan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,alright,correct?,#,you,just now,why,go up,to,so,high,(particle),#,#,Miss Ko,ask,Yan,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿欣,指住,上面,啲,書,，,話,好,想,拎,嗰啲,書,睇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jan1,zi2-zyu6,soeng6-min6,di1,syu1,#,waa6,hou2,soeng2,lik1,go2-di1,syu1,tai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yan,point at,above,those,book,#,say,very,want,to take,those,book,to read,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
然後,，,高老師,二話不説,就,又,抱,起,阿欣,，,阿欣,好,開心,噉,拎,咗,好多,書,落嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jin4-hau6,#,Gou1-lou5-si1,ji6-waa6-bat1-syut3,zau6,jau6,pou5,hei2,Aa3-jan1,#,Aa3-jan1,hou2,hoi1-sam1,gam2,lik1,zo2,hou2-do1,syu1,lok6-lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,#,Miss Ko,without saying a word,then,again,lift,up,Yan,#,Yan,very,happy,in this way,take,-en,many,book,down,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[16a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,，,阿欣,滿,手,係,書,噉,問,高老師,點解,可以,生,得,咁,高,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,#,Aa3-jan1,mun5,sau2,hai6,syu1,gam2,man6,Gou1-lou5-si1,dim2-gaai2,ho2-ji5,saang1,dak1,gam3,gou1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afterward,#,Yan,full,hand,is,book,this way,ask,Miss Ko,why,can,grow,(suffix),so,tall,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[16b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高老師,話,佢,以前,都,唔,高,，,係,後尾,佢,食,多,咗,飯,，,飲,多,咗,水,，,做,多,咗,運動,，,先,變,到,而家,咁,高,咋,！,,,,,,,,,,,,,,,,,,,,,,,,
Gou1-lou5-si1,waa6,keoi5,ji5-cin4,dou1,m4,gou1,#,hai6,hau6-mei1,keoi5,sik6,do1,zo2,faan6,#,jam2,do1,zo2,seoi2,#,zou6,do1,zo2,wan6-dung6,#,sin1,bin3,dou3,ji4-gaa1,gam3,gou1,zaa3,#,,,,,,,,,,,,,,,,,,,,,,,,
Miss Ko,say,she,before,"all, also",not,tall,#,is,later on,she,eat,more,-en,rice,#,drink,more,-en,water,#,do,more,-en,sports,#,then,change,to,now,so,tall,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,
[16c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不過,阿欣,好似,冇,聽到,高老師,講嘢,，,因為,佢,又,開始,好,專心,噉,睇書,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bat1-gwo3,Aa3-jan1,hou2-ci5,mou5,teng1-dou3,Gou1-lou5-si1,gong2-je5,#,jan1-wai6,keoi5,jau6,hoi1-ci2,hou2,zyun1-sam1,gam2,tai2-syu1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,Yan,seems,didn't,hear,Miss Ko,speaking,#,because,she,again,begin,very,focus,in this way,read book,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
