,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
賣,晒,舖頭,前面,張,枱,上面,嘅,涼茶,之後,，,爺爺,又,喺,茶壺,倒,返,一,碗,碗,出嚟,。,然後,佢,叫,埋,我,一齊,行,入,舖頭,後面,，,幫,佢,將,啲,藥材,加,落去,一,大煲,水,入面,煲,。,爸爸,返工,嗰陣,，,我,就,會,喺,爺爺,間,涼茶,舖,幫手,。,過,咗,冇耐,，,嗰,一,大煲,水,就,變,咗,深,啡色,，,仲,傳,嚟,好,香,嘅,中藥,味,。,,,,,,
maai6,saai3,pou3-tau2,cin4-min6,zoeng1,toi2,soeng6-min6,ge3,loeng4-caa4,zi1-hau6,#,je4-je2,jau6,hai2,caa4-wu2,dou2,faan1,jat1,wun2,wun2,ceot1-lei4,#,jin4-hau6,keoi5,giu3,maai4,ngo5,jat1-cai4,haang4,jap6,pou3-tau2,hau6-min6,#,bong1,keoi5,zoeng1,di1,joek6-coi4,gaa1,lok6-heoi3,jat1,daai6-bou1,seoi2,jap6-min6,bou1,#,baa4-baa1,faan1-gung1,go2-zan6,#,ngo5,zau6,wui5,hai2,je4-je2,gaan1,loeng4-caa4,pou2,bong1-sau2,#,gwo3,zo2,mou5-noi2,#,go2,jat1,daai6-bou1,seoi2,zau6,bin3,zo2,sam1,fe1-sik1,#,zung6,cyun4,lei4,hou2,hoeng1,ge3,zung1-joek6,mei6,#,,,,,,
sell,all,shop,front,(measure),table,above,(linker),herbal tea,after,#,grandfather,again,at,teapot,pour,back,one,bowl of,bowl of,out,#,then,he,call,also,I,together,walk,into,shop,behind,#,help,he,take,some,medical herbs,to add,down,one,big pot of,water,inside,to boil,#,father,go to work,that time,#,I,then,will,at,grandfather,(measure),herbal tea,shop,to help,#,pass,-en,not long,#,that,one,big pot of,water,then,change,-en,deep,brown,#,even,pass,come,very,fragrant,(linker),Chinese medicine,taste,#,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,最,鍾意,嘅,都係,茶葉蛋,嘅,香味,，,爺爺,每,次,煲,好,一,煲,，,都會,攞,一個,畀,我,食,。,我,就,坐,喺,天花板,嘅,大,風扇,下面,邊,食,邊,吹,涼,風,。,把,風扇,已經,用,咗,好,耐,，,另外,地下,嘅,綠色,紙皮石,地板,、,木,枱,櫈,同埋,裝,涼茶,嗰啲,銅,壺,，,都係,由,爺爺,細個,開始,用,到,依家,。,,,,,,,,,,,,,,,
ngo5,zeoi3,zung1-ji3,ge3,dou1-hai6,caa4-jip6-daan2,ge3,hoeng1-mei6,#,je4-je2,mui5,ci3,bou1,hou2,jat1,bou1,#,dou1-wui5,lo2,jat1-go3,bei2,ngo5,sik6,#,ngo5,zau6,co5,hai2,tin1-faa1-baan2,ge3,daai6,fung1-sin3,haa6-min6,bin1,sik6,bin1,ceoi1,loeng4,fung1,#,baa2,fung1-sin3,ji5-ging1,jung6,zo2,hou2,noi6,#,ling6-ngoi6,dei6-haa2,ge3,luk6-sik1,zi2-pei4-sek6,dei6-baan2,#,muk6,toi2,dang3,tung4-maai4,zong1,loeng4-caa4,go2-di1,tung4,wu2,#,dou1-hai6,jau4,je4-je2,sai3-go3,hoi1-ci2,jung6,dou3,ji1-gaa1,#,,,,,,,,,,,,,,,
I,most,like,(linker),always is,tea egg,’s,fragrance,#,grandfather,every,time,boil,well,one,pot,#,always will,take,one (meaure),to,I,to eat,#,I,then,sit,at,ceiling,(linker),big,fan,below,while,eat,while,blow,cool,wind,#,(measure),fan,already,use,-en,very,long time,#,in addition,floor,(linker),green,abaculus/tessera,floor,#,wooden,table,chair,and,contain,herbal tea,those,copper,kettle,#,also is,by,grandfather,young,begin,to use,till,now,#,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,食,緊,茶葉蛋,嘅,時候,，,爺爺,就,會,喺,隔籬,同,我,講,以前,嘅,故仔,。,喺,二十,世紀,初,嘅,時候,，,爺爺,嘅,爺爺,為咗,逃避,戰亂,而,嚟,到,香港,，,住,咗,喺,黃大仙,。,當時,社會,大家,都,好,窮,，,有,感冒,唔舒服,就,唯有,飲,涼茶,。,因為,爺爺,嘅,爺爺,本身,係,做,中醫,，,所以,時不時,都會,幫,人,睇病,。,佢,有,一,條,祖傳,秘方,，,最後,仲,開,埋,呢,間,涼茶,舖,。
ngo5,sik6,gan2,caa4-jip6-daan2,ge3,si4-hau6,#,je4-je2,zau6,wui5,hai2,gaak3-lei4,tung4,ngo5,gong2,ji5-cin4,ge3,gu2-zai2,#,hai2,ji6-sap6,sai3-gei2,co1,ge3,si4-hau6,#,je4-je2,ge3,je4-je2,wai6-zo2,tou4-bei6,zin3-lyun6,ji4,lei4,dou3,hoeng1-gong2,#,zyu6,zo2,hai2,wong4-daai6-sin1,#,dong1-si4,se5-wui2,daai6-gaa1,dou1,hou2,kung4,#,jau5,gam2-mou6,m4-syu1-fuk6,zau6,wai4-jau5,jam2,loeng4-caa4,#,jan1-wai6,je4-je2,ge3,je4-je2,bun2-san1,hai6,zou6,zung1-ji1,#,so2-ji5,si4-bat1-si4,dou1-wui5,bong1,jan4,tai2-beng6,#,keoi5,jau5,jat1,tiu4,zou2-cyun4,bei3-fong1,#,zeoi3-hau6,zung6,hoi1,maai4,nei1,gaan1,loeng4-caa4,pou2,#
I,eat,-ing,tea egg,(linker),time,#,grandfather,then,will,at,beside,with,I,tell,in the past,(linker),story,#,at,twenty,century,first,(linker),time,#,grandfather,’s,grandfather,in order to,evade,war-caused turmoil,and,come,to,Hong Kong,#,live,-en,at,Wong Tai Sin,#,that time,society,everyone,also,very,poor,#,have,flu,not comfortable,then,can only,drink,herbal tea,#,because,grandfather,’s,grandfather,himself,is,be,Chinese medicine practitioners,#,therefore,sometimes,also will,help,people,make diagnosis,#,he,have,one,(measure),ancestral,secret recipe,#,in the end,even,open,also,this,(measure),herbal tea,shop,#
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爺爺,話,佢,細個,嘅,時候,都會,幫,佢,爺爺,煲,涼茶,，,由,朝,做到,晚,。,嗰陣時,嘅,涼茶,舖,有,好多,人,，,大家,一邊,飲,涼茶,一邊,傾計,。,入面,仲有,電視機,同,點唱機,，,啲人,會,嚟,睇,電視,同,聽歌,。,附近,又,有,好多,賣,日用品,嘅,地攤,同埋,賣,小食,嘅,檔口,，,好,墟冚,。,但係,依家,啲,後生仔,唔,飲,涼茶,，,佢哋,都係,鍾意,飲,珍珠奶茶,同,水果,茶,多啲,。,,,,,,,
je4-je2,waa6,keoi5,sai3-go3,ge3,si4-hau6,dou1-wui5,bong1,keoi5,je4-je2,bou1,loeng4-caa4,#,jau4,ziu1,zou6-dou3,maan5,#,go2-zan6-si4,ge3,loeng4-caa4,pou2,jau5,hou2-do1,jan4,#,daai6-gaa1,jat1-bin1,jam2,loeng4-caa4,jat1-bin1,king1-gai2,#,jap6-min6,zung6-jau5,din6-si6-gei1,tung4,dim2-coeng3-gei1,#,di1-jan4,wui5,lei4,tai2,din6-si6,tung4,teng1-go1,#,fu6-gan6,jau6,jau5,hou2-do1,maai6,jat6-jung6-ban2,ge3,dei6-taan1,tung4-maai4,maai6,siu2-sik6,ge3,dong3-hau2,#,hou2,heoi1-ham6,#,daan6-hai6,ji1-gaa1,di1,hau6-saang1-zai2,m4,jam2,loeng4-caa4,#,keoi5-dei6,dou1-hai6,zung1-ji3,jam2,zan1-zyu1-naai5-caa4,tung4,seoi2-gwo2,caa4,do1-di1,#,,,,,,,
grandfather,say,he,young,(linker),time,also will,help,he,grandfather,to boil,herbal tea,#,from,morning,work to,night,#,at that time,(linker),herbal tea,shop,have,many,people,#,everyone,on one hand,drink,herbal tea,on one hand,chat,#,inside,even have,television,and,Jukebox,#,those people,will,come,watch,TV,and,listen to songs,#,nearby,also,have,many,sell,daily necessities,(linker),street stall,and,sell,snack,(linker),stall,#,very,bustling,#,but,now,those,young people,not,drink,herbal tea,#,they,all is,like,to drink,Bubble tea,and,fruit,tea,more,#,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,想像,唔到,爺爺,所,講,嘅,黃金,時代,究竟,係,點樣,，,因為,依家,會,嚟,涼茶,舖,飲,涼茶,嘅,人,越嚟越少,。,最近,，,周圍,好多,舊,舖頭,都,開始,閂門,唔,做,生意,，,亦都,多,咗,啲,反對,標語,，,又,有,街坊,陸續,搬走,。,我,聽,啲人,講,話,呢,區,就嚟,要,重建,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,soeng2-zoeng6,m4-dou2,je4-je2,so2,gong2,ge3,wong4-gam1,si4-doi6,gau3-ging2,hai6,dim2-joeng2,#,jan1-wai6,ji1-gaa1,wui5,lei4,loeng4-caa4,pou2,jam2,loeng4-caa4,ge3,jan4,jyut6-lei4-jyut6-siu2,#,zeoi3-gan6,#,zau1-wai4,hou2-do1,gau6,pou3-tau2,dou1,hoi1-ci2,saan1-mun4,m4,zou6,saang1-ji3,#,jik6-dou1,do1,zo2,di1,faan2-deoi3,biu1-jyu5,#,jau6,jau5,gaai1-fong1,luk6-zuk6,bun1-zau2,#,ngo5,teng1,di1-jan4,gong2,waa6,nei1,keoi1,zau6-lei4,jiu3,cung4-gin3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,imagine,cannot,grandfather,that,say,(linker),golden,age,exactly,is,how,#,because,now,will,come to,herbal tea,shop,to drink,herbal tea,(linker),people,fewer and fewer,#,recently,#,surrounding,many,old,shop,"all, also",begin to,close,not,do,business,#,also,more,-en,some,opposing,slogan,#,also,have,neighbours,continually,move away,#,I,hear,people,say,saying that,this,area,almost,have to,reconstruct,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,有一日,，,有,幾,個,着,住,西裝,嘅,男人,嚟,到,，,話,要,揾,爺爺,傾,關於,間,涼茶,舖,嘅,事,。,嗰,晚,，,爸爸,同,爺爺,傾,咗,好,耐,，,爸爸,想,爺爺,賣,咗,間,舖,，,留,返,啲,錢,送,我,去,外國,讀書,，,爺爺,最後,應承,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,jau5-jat1-jat6,#,jau5,gei2,go3,zoek3,zyu6,sai1-zong1,ge3,naam4-jan2,lei4,dou3,#,waa6,jiu3,wan2,je4-je2,king1,gwaan1-jyu1,gaan1,loeng4-caa4,pou2,ge3,si6,#,go2,maan5,#,baa4-baa1,tung4,je4-je2,king1,zo2,hou2,noi6,#,baa4-baa1,soeng2,je4-je2,maai6,zo2,gaan1,pou3,#,lau4,faan1,di1,cin2,sung3,ngo5,heoi3,ngoi6-gwok3,duk6-syu1,#,je4-je2,zeoi3-hau6,jing1-sing4,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after,one day,#,have,several,(measure),wear,-ing,suit,(linker),men,come,here,#,say,have to,find,grandfather,discuss,regarding,(measure),herbal tea,shop,(linker),matter,#,that,night,#,father,and,grandfather,discuss,-en,very,long time,#,father,want,grandfather,sell,-en,(measure),shop,#,keep,back,some,money,send,I,go to,foreign country,to study,#,grandfather,eventually,promise,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,我,問,爺爺,會唔會,唔捨得,間,涼茶,舖,，,爺爺,調轉頭,問,我,：,「,你,覺得,涼茶,係咩,味,？,」,我,話,：,「,係,苦,嘅,。,」,爺爺,話,：,「,涼茶,一,飲,落,口,你,會,覺得,苦,，,但係,飲,完,之後,你,個,口,會,有,回甘,，,你,會,覺得,係,甜,嘅,。,」,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,ngo5,man6,je4-je2,wui5-m4-wui5,m4-se2-dak1,gaan1,loeng4-caa4,pou2,#,je4-je2,diu6-zyun3-tau4,man6,ngo5,#,#,nei5,gok3-dak1,loeng4-caa4,hai6-me1,mei6,#,#,ngo5,waa6,#,#,hai6,fu2,ge3,#,#,je4-je2,waa6,#,#,loeng4-caa4,jat1,jam2,lok6,hau2,nei5,wui5,gok3-dak1,fu2,#,daan6-hai6,jam2,jyun4,zi1-hau6,nei5,go3,hau2,wui5,jau5,wui4-gam1,#,nei5,wui5,gok3-dak1,hai6,tim4,ge3,#,#,,,,,,,,,,,,,,,,,,,,,,,,
after,I,ask,grandfather,will or will not,not willing to part,(measure),herbal tea,shop,#,grandfather,inversely,ask,I,#,#,you,feel,herbal tea,is what,taste,#,#,I,say,#,#,is,bitter,(particle),#,#,grandfather,say,#,#,herbal tea,once,drink,down to,mouth,you,will,feel,bitter,#,but,drink,finish,after,you,(measure),mouth,will,have,sweet aftertaste,#,you,will,feel,is,sweet,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
涼茶,舖,頭,上面,把,大風扇,一直,轉,呀,轉,，,轉,到,開始,有啲,噪音,。,我,同,爺爺,講,話,我,想,間,涼茶,舖,一直,做,落去,，,但係,爺爺,同,我,講,話,佢,想,有,多啲,時間,同,我,周圍,去,玩,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loeng4-caa4,pou2,tau4,soeng6-min6,baa2,daai6-fung1-sin3,jat1-zik6,zyun3,aa3,zyun3,#,zyun3,dou3,hoi1-ci2,jau5-di1,cou3-jam1,#,ngo5,tung4,je4-je2,gong2,waa6,ngo5,soeng2,gaan1,loeng4-caa4,pou2,jat1-zik6,zou6,lok6-heoi3,#,daan6-hai6,je4-je2,tung4,ngo5,gong2,waa6,keoi5,soeng2,jau5,do1-di1,si4-gaan3,tung4,ngo5,zau1-wai4,heoi3,waan2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese herbal tea,shop,head,above,(measure),big fan,keep on,rotate,(particle),rotate,#,rotate,to,begin,have some,noise,#,I,and,grandfather,say,saying that,I,want,(measure),herbal tea,shop,keep on,do,go down,#,but,grandfather,to,I,say,saying that,he,want to,have,more,time,with,I,around,go,to play,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
