「,我,一,開始,都,以為,家明,係,設,陷阱,嗰啲,壞,人,，,但,好彩,唔係,，,我哋,仲,做,咗,好朋友,添,！,」,班班,笑,住,噉,話,。,,,,,,,,,,,,
#,ngo5,jat1,hoi1-ci2,dou1,ji5-wai4,gaa1-ming4,hai6,cit3,haam6-zeng6,go2-di1,waai6,jan4,#,daan6,hou2-coi2,m4-hai6,#,ngo5-dei6,zung6,zou6,zo2,hou2-pang4-jau5,tim1,#,#,baan1-baan1,siu3,zyu6,gam2,waa6,#,,,,,,,,,,,,
#,I,once,begin,"all, also",think,Ka Ming,is,set,trap,those,bad,people,#,but,luckily,is not,#,we,even,be,-en,good friends,(particle),#,#,Bandi,smile,-ing,-ly,say,#,,,,,,,,,,,,
[6o],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我哋,老鼠,生存,唔,易,，,每,一,次,出去,揾,食,都係,一,場,冒險,。,今次,你,嘅,勇氣,令,你,得到,一,份,友誼,，,你,要,好,好,珍惜,啊,。,」,,,,,,,
#,ngo5-dei6,lou5-syu2,sang1-cyun4,m4,ji6,#,mui5,jat1,ci3,ceot1-heoi3,wan2,sik6,dou1-hai6,jat1,coeng4,mou6-him2,#,gam1-ci3,nei5,ge3,jung5-hei3,ling6,nei5,dak1-dou3,jat1,fan6,jau5-ji4,#,nei5,jiu3,hou2,hou2,zan1-sik1,aa3,#,#,,,,,,,
#,we,mouse,survive,not,easy,#,every,one,time,go out,find,eat,also is,one,(measure),adventure,#,this time,you,’s,courage,make,you,gain,one,(measure),friendship,#,you,need to,well,well,cherish,(particle),#,#,,,,,,,
[6p],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就係噉,，,老鼠仔,班班,繼續,小心翼翼,噉,接觸,外面,嘅,世界,，,同時,內心,期待,住,下次,再,同,家明,一齊,冒險,……,,,,,,,,,,,,,,,,,,,,,
zau6-hai6-gam2,#,lou5-syu2-zai2,baan1-baan1,gai3-zuk6,siu2-sam1-jik6-jik6,gam2,zip3-zuk1,ngoi6-min6,ge3,sai3-gaai3,#,tung4-si4,noi6-sam1,kei4-doi6,zyu6,haa6-ci3,zoi3,tung4,gaa1-ming4,jat1-cai4,mou6-him2,#,,,,,,,,,,,,,,,,,,,,,
Just like that,#,little mouse,Bandi,continue,very careful,-ly,contact,outside,(linker),world,#,at the same time,at heart,expect,-ing,next time,again,with,Ka Ming,together,go adventure,#,,,,,,,,,,,,,,,,,,,,,
