琳琳,話,：,「,噉,我,自己,去,！,揾到,寶物,唔,分,畀,你,！,」,,,,,,,,,,,,,,,,,,,,,
lam4-lam2,waa6,#,#,gam2,ngo5,zi6-gei2,heoi3,#,wan2-dou2,bou2-mat6,m4,fan1,bei2,nei5,#,#,,,,,,,,,,,,,,,,,,,,,
Lily,say,#,#,then,I,myself,go,#,find,treasure,not,share,to,you,#,#,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
娜娜,猶豫,咗,一陣,，,最終,同意,：,「,好,啦,，,我哋,一齊,去,啦,。,你,自己,一個,去,，,我,唔,放心,。,」,,,,,,,,,,,
naa4-naa4,jau4-jyu6,zo2,jat1-zan6,#,zeoi3-zung1,tung4-ji3,#,#,hou2,laa1,#,ngo5-dei6,jat1-cai4,heoi3,laa1,#,nei5,zi6-gei2,jat1-go3,heoi3,#,ngo5,m4,fong3-sam1,#,#,,,,,,,,,,,
Nana,hesitate,-en,a while,#,eventually,agree,#,#,well,(particle),#,we,together,go,(particle),#,you,on one's own,one (measure),go,#,I,not,feel reassured,#,#,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就係噉,，,佢哋,游,到,珊瑚,城堡,。,珊瑚,城堡,好,靚,，,五顏六色,，,咩,形狀,嘅,珊瑚,都,有,，,仲,非常,巨大,。,娜娜,估計,，,呢度,至少,有,十,條,大白鯊,咁,大,。
zau6-hai6-gam2,#,keoi5-dei6,jau4,dou3,saan1-wu4,sing4-bou2,#,saan1-wu4,sing4-bou2,hou2,leng3,#,ng5-ngaan4-luk6-sik1,#,me1,jing4-zong6,ge3,saan1-wu4,dou1,jau5,#,zung6,fei1-soeng4,geoi6-daai6,#,naa4-naa4,gu2-gai3,#,nei1-dou6,zi3-siu2,jau5,sap6,tiu4,daai6-baak6-saa1,gam3,daai6,#
Just like that,#,they,swim,to,coral,castle,#,coral,castle,very,beautiful,#,colourful,#,what,shape,(linker),coral,"all, also",have,#,moreover,very,huge,#,Nana,estimate,#,here,at least,have,ten,(measure),great white shark,so,big,#
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,琳琳,大嗌,：,「,嘩,！,黑色,嗰,嚿,係,咩,嚟,㗎,？,」,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,#,lam4-lam2,daai6-aai3,#,#,waa1,#,hak1-sik1,go2,gau6,hai6,me1,lei4,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,
suddenly,#,Lily,shout,#,#,Wow!,#,black,that,(measure),is,what,(particle),(particle),#,#,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,發現,咗,一,嚿,黑鼆鼆,嘅,橢圓形,物件,。,琳琳,覺得,應該,係,寶物,，,就,咬,住,擔,返屋企,。,,,,,,,,,,,,,,,,
keoi5-dei6,faat3-jin6,zo2,jat1,gau6,haak1-mang1-mang1,ge3,to5-jyun4-jing4,mat6-gin2,#,lam4-lam2,gok3-dak1,jing1-goi1,hai6,bou2-mat6,#,zau6,ngaau5,zyu6,daam1,faan1-uk1-kei2,#,,,,,,,,,,,,,,,,
they,discover,-en,one,(measure),jet-black,(linker),oval,object,#,Lily,think,should,be,treasure,#,then,bite,-ing,carry,to go home,#,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,開門,，,海龜,媽媽,就,鬧,佢哋,：,「,咁,晏,先,返,，,你哋,今日,去,咗,邊,呀,？,」,,,,,,,,,,,,,,,
jat1,hoi1-mun4,#,hoi2-gwai1,maa4-maa1,zau6,naau6,keoi5-dei6,#,#,gam3,aan3,sin1,faan1,#,nei5-dei6,gam1-jat6,heoi3,zo2,bin1,aa3,#,#,,,,,,,,,,,,,,,
once,open the door,#,turtle,mother,then,scold,they,#,#,so,late,then,come back,#,you (plural),today,go,-en,where,(particle),#,#,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
琳琳,嚇,到,口震震,，,一,開口,件,寶物,就,跌,咗,落地,。,,,,,,,,,,,,,,,,,,,,,,,,
lam4-lam2,haak3,dou3,hau2-zan3-zan3,#,jat1,hoi1-hau2,gin6,bou2-mat6,zau6,dit3,zo2,lok6-dei2,#,,,,,,,,,,,,,,,,,,,,,,,,
Lily,frighten,to,stuttering,#,once,open one's mouth,(measure),treasure,then,fall,-en,down to the ground,#,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海龜,媽媽,即時,嚇親,！,過,咗,陣,，,佢,先,話,：,「,呢,嚿,嘢,，,我,好多,年,前,見,過,。,當時,我,……,」,,,,,,,,,
hoi2-gwai1,maa4-maa1,zik1-si4,haak3-can1,#,gwo3,zo2,zan6,#,keoi5,sin1,waa6,#,#,nei1,gau6,je5,#,ngo5,hou2-do1,nin4,cin4,gin3,gwo3,#,dong1-si4,ngo5,#,#,,,,,,,,,
turtle,mother,immediately,startled,#,pass,-en,a while,#,she,then,say,#,#,this,(measure),thing,#,I,many,year,before,see,-ed,#,at that time,I,#,#,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
娜娜,知道,媽媽,要,講,故事,，,即刻,擔,定,櫈仔,坐,好,。,,,,,,,,,,,,,,,,,,,,,,,,
naa4-naa4,zi1-dou3,maa4-maa1,jiu3,gong2,gu3-si6,#,zik1-hak1,daam1,ding6,dang3-zai2,co5,hou2,#,,,,,,,,,,,,,,,,,,,,,,,,
Nana,know,mother,want to,tell ,story,#,immediately,grab,in preparation,chair,sit,well,#,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
話說,海龜,媽媽,細個,嗰陣,好,鍾意,四圍,玩,。,有,日,佢,如常,岀,門,探險,，,突然,畀,一個,大,網,網,住,，,下,一,秒,就,被,拋,咗,上,一,隻,船,。
waa6-syut3,hoi2-gwai1,maa4-maa1,sai3-go3,go2-zan6,hou2,zung1-ji3,sei3-wai4,waan2,#,jau5,jat6,keoi5,jyu4-soeng4,ceot1,mun4,taam3-him2,#,dat6-jin4,bei2,jat1-go3,daai6,mong5,mong5,zyu6,#,haa6,jat1,miu5,zau6,bei6,paau1,zo2,soeng5,jat1,zek3,syun4,#
It is said that,turtle,mother,young,that time,very,like,around,play,#,have,day,she,as usual,go out,door,explore,#,suddenly,by,one (measure),big,net,to catch (with a net),-ing,#,next,one,second,then,(passive),throw,-en,up,one,(measure),ship,#
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海龜,媽媽,好,驚,！,同時,發現,身邊,仲有,勁,多,海龜,！,,,,,,,,,,,,,,,,,,,,,,,,,
hoi2-gwai1,maa4-maa1,hou2,geng1,#,tung4-si4,faat3-jin6,san1-bin1,zung6-jau5,ging6,do1,hoi2-gwai1,#,,,,,,,,,,,,,,,,,,,,,,,,,
turtle,mother,very,afraid,#,at the same time,find out,around her,still have,super,many,turtle,#,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
然後,，,有,幾,個,人類,行,過嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jin4-hau6,#,jau5,gei2,go3,jan4-leoi6,haang4,gwo3-lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,#,have,several,(measure),human beings,walk,come over,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,個,女人,攞,住,一,嚿,黑鼆鼆,嘅,嘢,，,話,：,「,有,咗,呢個,追蹤器,，,我哋,好,快,就,會,知道,海龜,產卵,嘅,地點,。,」,,,,,,,
jau5,go3,neoi5-jan2,lo2,zyu6,jat1,gau6,haak1-mang1-mang1,ge3,je5,#,waa6,#,#,jau5,zo2,nei1-go3,zeoi1-zung1-hei3,#,ngo5-dei6,hou2,faai3,zau6,wui5,zi1-dou3,hoi2-gwai1,caan2-leon2,ge3,dei6-dim2,#,#,,,,,,,
have,(measure),women,take,-ing,one,(measure),jet-black,(linker),thing,#,say,#,#,have,-en,this,tracking device,#,we,very,fast,then,will,know,turtle,spawning,(linker),location,#,#,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一個,好,肥,嘅,男人,話,：,「,好,。,麻煩,小麗,博士,你,幫,啲,海龜,綁,追蹤器,，,我,同,文傑,入,船艙,傾,少少,嘢,先,。,」,,,,,,,
jat1-go3,hou2,fei4,ge3,naam4-jan2,waa6,#,#,hou2,#,maa4-faan4,siu2-lai6,bok3-si6,nei5,bong1,di1,hoi2-gwai1,bong2,zeoi1-zung1-hei3,#,ngo5,tung4,man4-git6,jap6,syun4-cong1,king1,siu2-siu2,je5,sin1,#,#,,,,,,,
one (measure),very,fat,(linker),man,say,#,#,good,#,might,Lorraine,Dr,you,help,those,turtle,tie,tracking device,#,I,and,Michael,enter,ship cabin,discuss,a bit,thing,first,#,#,,,,,,,
[3f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小麗,幫,海龜,媽媽,綁,好,追蹤器,，,未,綁,第二,隻,就,突然,入,咗,船艙,。,,,,,,,,,,,,,,,,,,,,
siu2-lai6,bong1,hoi2-gwai1,maa4-maa1,bong2,hou2,zeoi1-zung1-hei3,#,mei6,bong2,dai6-ji6,zek3,zau6,dak6-jin4,jap6,zo2,syun4-cong1,#,,,,,,,,,,,,,,,,,,,,
Lorraine,help,turtle,mother,tie,well,tracking device,#,not yet,to tie,second,(measure),then,suddenly,enter,-en,ship cabin,#,,,,,,,,,,,,,,,,,,,,
[3g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,一陣,，,佢,嬲爆爆,噉,行,返嚟,，,拎,起,啲,海龜,掉落,海,，,一,隻,又,一,隻,，,最後,剩低,海龜,媽媽,……,,,,,,,,,,
gwo3,zo2,jat1-zan6,#,keoi5,nau1-baau3-baau3,gam2,haang4,faan1-lei4,#,ling1,hei2,di1,hoi2-gwai1,diu6-lok6,hoi2,#,jat1,zek3,jau6,jat1,zek3,#,zeoi3-hau6,sing6-dai1,hoi2-gwai1,maa4-maa1,#,,,,,,,,,,
pass,-en,a while,#,she,angry,-ly,walk,come back,#,take,up,those,turtle,throw down,sea,#,one,(measure),again,one,(measure),#,at the end,remain,turtle,mother,#,,,,,,,,,,
[3h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文傑,即刻,衝,出嚟,攬,實,海龜,媽媽,，,大嗌,：,「,小麗,！,你,傻,咗,呀,？,」,,,,,,,,,,,,,,,,,,
man4-git6,zik1-hak1,cung1,ceot1-lei4,laam5,sat6,hoi2-gwai1,maa4-maa1,#,daai6-aai3,#,#,siu2-lai6,#,nei5,so4,zo2,aa4,#,#,,,,,,,,,,,,,,,,,,
Michael,immediately,rush,out,to hug,firmly,turtle,mother,#,shout,#,#,Lorraine,#,you,insane/mad,-en,(particle),#,#,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小麗,話,：,「,我哋,講好,咗,，,噉,做,係,為咗,研究,海龜,生態,！,原來,你哋,呃,我,！,一心,淨係,諗住,開,海洋,樂園,賺錢,！,」,,,,,,,,
siu2-lai6,waa6,#,#,ngo5-dei6,gong2-hou2,zo2,#,gam2,zou6,hai6,wai6-zo2,jin4-gau3,hoi2-gwai1,sang1-taai3,#,jyun4-loi4,nei5-dei6,aak1,ngo5,#,jat1-sam1,zing6-hai6,nam2-zyu6,hoi1,hoi2-joeng4,lok6-jyun4,zaan6-cin2,#,#,,,,,,,,
Lorraine,say,#,#,we,promise,-en,#,in this way,do,is,for,research,turtle,ecology,#,it turns out,you (plural),deceive,I,#,wholeheartedly,only,thinking about,open,ocean,amusement park,to earn money,#,#,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文傑,問,：,「,開,海洋,樂園,有,咩,問題,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,
man4-git6,man6,#,#,hoi1,hoi2-joeng4,lok6-jyun4,jau5,me1,man6-tai4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,ask,#,#,open,ocean,amusement park,have,what,problem,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小麗,答,：,「,海龜,只會,喺,同一,個,地方,產卵,。,樂園,會,騷擾,到,海龜,，,令,佢哋,唔,生,BB,，,會,絕種,㗎,！,」,,,,,,,,,
siu2-lai6,daap3,#,#,hoi2-gwai1,zi2-wui5,hai2,tung4-jat1,go3,dei6-fong1,caan2-leon2,#,lok6-jyun4,wui5,sou1-jiu2,dou2,hoi2-gwai1,#,ling6,keoi5-dei6,m4,saang1,bi4-bi1,#,wui5,zyut6-zung2,gaa3,#,#,,,,,,,,,
Lorraine,reply,#,#,turtle,will only,at,same,(measure),place,spawning,#,amusement park,will,disturb,(suffix),turtle,#,make,they,not,give birth,baby,#,will,go extinct,(particle),#,#,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,肥,男人,突然,衝,出嚟,搶,走,海龜,媽媽,，,轉身,就,將,佢,掟,咗,落,海,！,,,,,,,,,,,,,,,,
nei1-go3,si4-hau6,#,fei4,naam4-jan2,dat6-jin4,cung1,ceot1-lei4,coeng2,zau2,hoi2-gwai1,maa4-maa1,#,zyun3-san1,zau6,zoeng1,keoi5,deng3,zo2,lok6,hoi2,#,,,,,,,,,,,,,,,,
this,time,#,fat,man,suddenly,rush,out,grab,away,turtle,mother,#,turn around,then,take,her,throw,-en,down,sea,#,,,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,話,：,「,隻,海龜,仲,綁,住,追蹤器,，,好,快,我哋,就,會,知道,產卵,地點,！,冇人,可以,阻止,我哋,！,」,,,,,,,,,,,,
keoi5,waa6,#,#,zek3,hoi2-gwai1,zung6,bong2,zyu6,zeoi1-zung1-hei3,#,hou2,faai3,ngo5-dei6,zau6,wui5,zi1-dou3,caan2-leon2,dei6-dim2,#,mou5-jan4,ho2-ji5,zo2-zi2,ngo5-dei6,#,#,,,,,,,,,,,,
he,say,#,#,(measure),turtle,still,tie,-ing,tracking device,#,very,fast,we,then,will,know,spawning,location,#,no one,can,stop,we,#,#,,,,,,,,,,,,
[4f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
望住,海龜,媽媽,越,游,越,遠,，,小麗,突然,跳,落,海,！,,,,,,,,,,,,,,,,,,,,,,,,
mong6-zyu6,hoi2-gwai1,maa4-maa1,jyut6,jau4,jyut6,jyun5,#,siu2-lai6,dat6-jin4,tiu3,lok6,hoi2,#,,,,,,,,,,,,,,,,,,,,,,,,
staring,turtle,mother,more,swim,more,far,#,Lorraine,suddenly,jump,down into,sea,#,,,,,,,,,,,,,,,,,,,,,,,,
[4g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,等陣,！,唔好,走,呀,！,」,小麗,一邊,游,向,海龜,媽媽,，,一邊,大叫,。,,,,,,,,,,,,,,,,,,,,
#,dang2-zan6,#,m4-hou2,zau2,aa3,#,#,siu2-lai6,jat1-bin1,jau4,hoeng3,hoi2-gwai1,maa4-maa1,#,jat1-bin1,daai6-giu3,#,,,,,,,,,,,,,,,,,,,,
#,wait,#,do not,go,(particle),#,#,Lorraine,on one hand,swim,towards,turtle,mother,#,on one hand,shout,#,,,,,,,,,,,,,,,,,,,,
[4h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文傑,大嗌,：,「,小麗,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
man4-git6,daai6-aai3,#,#,siu2-lai6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,shout,#,#,Lorraine,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肥,男人,唔理,文傑,阻止,，,直接,揸,走,隻,船,。,,,,,,,,,,,,,,,,,,,,,,,,,,
fei4,naam4-jan2,m4-lei5,man4-git6,zo2-zi2,#,zik6-zip3,zaa1,zau2,zek3,syun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,
fat,man,don't care,Michael,stop,#,direct,drive,away,(measure),ship,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終於,，,小麗,捉,到,媽媽,，,拆,咗,個,追蹤器,——,「,黑色,寶物,」,就係噉,慢慢,沉,入,海底,。,,,,,,,,,,,,,,,,
zung1-jyu1,#,siu2-lai6,zuk1,dou2,maa4-maa1,#,caak3,zo2,go3,zeoi1-zung1-hei3,#,#,hak1-sik1,bou2-mat6,#,zau6-hai6-gam2,maan6-maan2,cam4,jap6,hoi2-dai2,#,,,,,,,,,,,,,,,,
at last,#,Lorraine,catch,(suffix),mother,#,dismantle,-en,(measure),tracking device,#,#,black,treasure,#,in this way,slowly,sink,into,sea bed,#,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,人,一,龜,喺,大海,中心,對望,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1,jan4,jat1,gwai1,hai2,daai6-hoi2,zung1-sam1,deoi3-mong6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one,person,one,turtle,at,ocean,centre,look at each other,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小麗,話,：,「,你,可以,返屋企,喇,，,安全,喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-lai6,waa6,#,#,nei5,ho2-ji5,faan1-uk1-kei2,laa3,#,on1-cyun4,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
Lorraine,say,#,#,you,can,go home,(particle),#,safe,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,
[5d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海龜,媽媽,以為,小麗,係,傳說,中,嘅,人魚,，,所以,一啲,都,唔,擔心,，,轉身,就,游,返屋企,……,,,,,,,,,,,,,,,,,
hoi2-gwai1,maa4-maa1,ji5-wai4,siu2-lai6,hai6,cyun4-syut3,zung1,ge3,jan4-jyu4,#,so2-ji5,jat1-di1,dou1,m4,daam1-sam1,#,zyun3-san1,zau6,jau4,faan1-uk1-kei2,#,,,,,,,,,,,,,,,,,
turtle,mother,thought,Lorraine,is,legend,inside,(linker),mermaid,#,therefore,a bit,"all, also",not,worry,#,turn around,then,swim,to go home,#,,,,,,,,,,,,,,,,,
[5e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聽到,呢度,，,琳琳,話,：,「,媽媽,以前,咁,蠢,嘅,！,世界上,根本,都,冇,人魚,！,」,,,,,,,,,,,,,,,,,,
teng1-dou3,nei1-dou6,#,lam4-lam2,waa6,#,#,maa4-maa1,ji5-cin4,gam3,ceon2,ge2,#,sai3-gaai3-soeng6,gan1-bun2,dou1,mou5,jan4-jyu4,#,#,,,,,,,,,,,,,,,,,,
heard,here,#,Lily,say,#,#,mother,before,so,silly,(particle),#,on earth,in the first place,"all,also",no,mermaid,#,#,,,,,,,,,,,,,,,,,,
[5f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
娜娜,好,傷心,，,問,：,「,小麗,姐姐,係咪,死,咗,喇,？,」,,,,,,,,,,,,,,,,,,,,,,,
naa4-naa4,hou2,soeng1-sam1,#,man6,#,#,siu2-lai6,ze4-ze1,hai6-mai6,sei2,zo2,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,
Nana,very,sad,#,ask,#,#,Lorraine,"""big sister""",is or isn't,die,-en,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,
[5g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海龜,媽媽,喺,自己,個,寶箱,入面,拎,咗,一,張,七彩,膠,片,出嚟,，,上面,有,一,對,人類,母子,。,,,,,,,,,,,,,,,
hoi2-gwai1,maa4-maa1,hai2,zi-gei2,go3,bou2-soeng1,jap6-min6,ling1,zo2,jat1,zoeng1,cat1-coi2,gaau1,pin2,ceot1-lei4,#,soeng6-min6,jau5,jat1,deoi3,jan4-leoi6,mou5-zi2,#,,,,,,,,,,,,,,,
turtle,mother,at,oneself,(measure),treasure,inside,take,-en,one,(measure),colourful,plastic,slice,out,#,above,have,one,pair,human beings,mother and child,#,,,,,,,,,,,,,,,
[5h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,話,：,「,前排,有,船,經過,，,有,人,掉,咗,呢,張,相,落嚟,。,你,睇,，,呢個,就係,小麗,。,」,,,,,,,,,,,,
maa4-maa1,waa6,#,#,cin4-paai2,jau5,syun4,ging1-gwo3,#,jau5,jan4,diu6,zo2,nei1,zoeng1,soeng2,lok6-lei4,#,nei5,tai2,#,nei1-go3,zau6-hai6,siu2-lai6,#,#,,,,,,,,,,,,
mother,say,#,#,a while before,have,ship/boat,pass by,#,have,people,drop,-en,this,(measure),photograph,down,#,you,look,#,this,is,Lorraine,#,#,,,,,,,,,,,,
[5i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
娜娜,反轉,張,相,，,見到,背面,有,一,幅,畫,——,,,,,,,,,,,,,,,,,,,,,,,,,,
naa4-naa4,faan2-zyun3,zoeng1,soeng2,#,gin3-dou2,bui3-min6,jau5,jat1,fuk1,waa2,#,,,,,,,,,,,,,,,,,,,,,,,,,,
Nana,turn,(measure),photograph,#,saw,at the back,have,one,(measure),drawing,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[5j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
畫,入面,有,一,個,人,、,一,隻,海龜,，,仲有,當時,嘅,夕陽,！,,,,,,,,,,,,,,,,,,,,,,
waa2,jap6-min6,jau5,jat1,go3,jan4,#,jat1,zek3,hoi2-gwai1,#,zung6-jau5,dong1-si4,ge3,zik6-joeng4,#,,,,,,,,,,,,,,,,,,,,,,
drawing,inside,have,one,(measure),person,#,one,(measure),turtle,#,still have,that time,(linker),the setting sun,#,,,,,,,,,,,,,,,,,,,,,,
