[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,今年,幾,歲,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po4-po2,gam1-nin2,gei2,seoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandmother,this year,how,old,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,一,個,休閒,嘅,周末,，,大部分,都市,人,仲,瞓,緊,嗰陣,，,有,兩,個,人,好,早,已經,起,咗,身,同,陽光,玩,遊戲,，,佢哋,就係,Putta,同,Putti,。,佢哋,知道,今日,係,婆婆,生日,，,於是,準備,咗,蛋糕,同,佢,慶祝,。,個,蛋糕,雖然,好,靚,，,但,就,係,少,咗,啲,嘢,——,冇錯,，,就係,蠟燭,！,但,究竟,要,插,幾多,枝,蠟燭,至,啱,呢,？,似乎,冇人,知道,婆婆,幾多歲,喎,……
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,諗,咗,一陣,，,然後,慢吞吞,噉,回答,：,「,幾,歲,……,唔記得,喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po4-po2,nam2,zo2,jat1-zan6,#,jin4-hau6,maan6-tan1-tan1,gam2,wui4-daap3,#,#,gei2,seoi3,#,m4-gei3-dak1,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandmother,think,-en,a while,#,then,slow,-ly,answer,#,#,how,old,#,forget,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putti,：,「,婆婆,，,你,點,可以,連,自己,幾,歲,都,唔記得,㗎,？,你,噉樣,以後,點,食,生日,蛋糕,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putti,#,#,po4-po2,#,nei5,dim2,ho2-ji6,lin4,zi6-gei2,gei2,seoi3,dou1,m4-gei3-dak1,gaa3,#,nei5,gam2-joeng2,ji5-hau6,dim2,sik6,saang1-jat6,daan6-gou1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putti,#,#,grandmother,#,you,how,can,even,oneself,how,old,also,forget,(particle),#,you,in this way,in the future,how,to eat,birthday,cake,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,聽,完,笑,咗,笑,，,之後,回應,：,「,幾多歲,真係,咁,重要,咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po4-po2,teng1,jyun4,siu3,zo2,siu3,#,zi1-hau6,wui4-jing3,#,#,gei2-do1-seoi3,zan1-hai6,gam3,zung6-jiu3,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandmother,listen,finish,laugh,-en,laugh,#,after that,respond,#,#,how old,really,so,important,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,同,Putti,異口同聲,噉,答,：,「,梗係,重要,啦,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,tung4,Putti,ji6-hau2-tung4-sing1,gam2,daap3,#,#,gang2-hai6,zung6-jiu3,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,and,Putti,unanimous,-ly,reply,#,#,of course,important,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,見,佢,兩,個,咁,緊張,，,就,好,努力,噉,諗下,自己,到底,幾多歲,，,不過,都係,記,唔,起,。,然後,，,佢,摸,咗,摸,兩,個,乖,孫,個,頭,，,話,：,「,我,真係,唔記得,喇,，,不過,印象中,，,我,五,歲,嗰,年,咁啱,就係,英女皇,到訪,印度,嘅,大日子,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
po4-po2,gin3,keoi5,loeng5,go3,gam3,gan2-zoeng1,#,zau6,hou2,nou5-lik6,gam2,nam2-haa5,zi6-gei2,dou3-dai2,gei2-do1-seoi3,#,bat1-gwo3,dou1-hai6,gei3,m4,hei2,#,jin4-hau6,#,keoi5,mo2,zo2,mo2,loeng5,go3,gwaai1,syun1,go3,tau4,#,waa6,#,#,ngo5,zan1-hai6,m4-gei3-dak1,laa3,#,bat1-gwo3,jan3-zoeng6-zung1,#,ngo5,ng5,seoi3,go2,nin4,gam3-ngaam1,zau6-hai6,jing1-neoi5-wong4,dou3-fong2,jan3-dou6,ge3,daai6-jat6-zi2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandmother,see,he / she,two,(measure),so,nervous,#,then,very,try one's best,-ly,to think,oneself,indeed,how old,#,however,still,remember,not,up,#,then,#,she,pat,-en,pat,two,(measure),well-behaved,grandchildren,(measure),head,#,say,#,#,I,really,forget,(particle),#,however,impression,#,I,five,year-old,that,year,incidentally,is,Queen of England,visit,India,(linker),big day,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,同,Putti,聽到,之後,非常,高興,，,因為,呢個,重要,線索,可以,幫,佢哋,揾,返,婆婆,嘅,真實,年齡,！,佢哋,即刻,二話不說,衝,去,圖書館,，,開始,喺,書架,度,揾,舊,報紙,。,佢哋,好,快,就,查出,英女皇,係,喺,1997,年,去,過,印度,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,tung4,Putti,teng1-dou2,zi1-hau6,fei1-soeng4,gou1-hing3,#,jan1-wai6,nei1-go3,zung6-jiu3,sin3-sok3,ho2-ji5,bong1,keoi5-dei6,wan2,faan1,po4-po2,ge3,zan1-sat6,nin4-ling4,#,keoi5-dei6,zik1-hak1,ji6-waa6-bat1-syut3,cung1,heoi3,tou5-syu1-gun2,#,hoi1-ci2,hai2,syu1-gaa2,dou6,wan2,gau6,bou3-zi2,#,keoi5-dei6,hou2,faai3,zau6,caa4-ceot1,jing1-neoi5-wong4,hai6,hai2,jat1-gau2-gau2-cat1,nin4,heoi3,gwo3,jan3-dou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,and,Putti,heard,after,very,happy,#,because,this one,important,clue,can,help,they,find,back,grandmother,’s,real,age,#,they,immediately,without saying a word,rush,to go,library,#,begin,at,bookshelf,place,to find,old,newspaper,#,they,very,fast,then,find out,Queen of England,is,at,1997,year,go,-ed,India,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,：,「,1997,……,今年,係,2021,年,……,我,計,到,喇,，,婆婆,今年,29,歲,——,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,#,#,jat1-gau2-gau2-cat1,#,gam1-nin4,hai6,ji6-ling4-ji6-jat1,nin4,#,ngo5,gai3,dou2,laa3,#,po4-po2,gam1-nin4,ji6-sap6-gau2,seoi3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,#,#,1997,#,this year,is,2021,year,#,I,calculate,can,(particle),#,grandmother,this year,29,year-old,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putti,聽,完,即刻,大,笑,出聲,，,話,：,「,傻瓜,，,如果,婆婆,今年,29,歲,，,噉,佢,咪,同,隔籬,屋,個,哥哥,同,年,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putti,teng1,jyun4,zik1-hak1,daai6,siu3,ceot1-seng1,#,waa6,#,#,so4-gwaa1,#,jyu4-gwo2,po4-po2,gam1-nin4,ji6-sap6-gau2,seoi3,#,gam2,keoi5,mai5,tung4,gaak3-lei4,uk1,go3,go4-go1,tung4,nin4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putti,listen,finish,immediately,big,laugh,voice out,#,say,#,#,silly boy/girl,#,if,grandmother,this year,29,year-old,#,then,she,is or isn't,with,nearby,house,(measure),elder brother,same,year,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,：,「,冇理由,㗎,，,唔通,婆婆,呃,我哋,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,#,#,mou5-lei5-jau4,gaa3,#,m4-tung1,po4-po2,aak1,ngo5-dei6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,#,#,doesn't make sense,(particle),#,could it be,grandmother,lie to,we,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putti,：,「,婆婆,唔係,呃,我哋,，,佢,係,冇,記性,呀,！,我哋,返去,再,問下,佢,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putti,#,#,po4-po2,m4-hai6,aak1,ngo5-dei6,#,keoi5,hai6,mou5,gei3-sing3,aa3,#,ngo5-dei6,faan1-heoi3,zoi3,man6-haa5,keoi5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putti,#,#,grandmother,is not,lie to,we,#,she,is,don't have,memory,(particle),#,we,go back,again,to ask,she,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於是,，,佢,兩,個,又,跑,返,婆婆,間,屋,度,問,婆婆,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu1-si6,#,keoi5,loeng5,go3,jau6,paau2,faan1,po4-po2,gaan1,uk1,dou6,man6,po4-po2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,#,he / she,two,(measure),again,run,back,grandmother,(measure),house,place,to ask,grandmother,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,見到,佢,兩,個,跑嚟跑去,，,就,問,：,「,點呀,？,知道,我,幾多歲,未,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po4-po2,gin3-dou2,keoi5,loeng5,go3,paau2-lai4-paau2-heoi3,#,zau6,man6,#,#,dim2-aa3,#,zi1-dou3,ngo5,gei2-do1-seoi3,mei6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandmother,saw,he / she,two,(measure),run around,#,then,ask,#,#,how's it going,#,know,I,how old,yet,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,同,Putti,你眼望我眼,，,唔知,點,答,好,。,婆婆,見,佢,兩,個,噉,嘅,反應,，,就,知道,佢哋,揾,唔到,答案,，,於是,笑,到,咔,咔,聲,。,Putti,見,婆婆,根本,冇,在乎,過,自己,幾多歲,，,就,有啲,嬲,噉,同,婆婆,抱怨,：,「,婆婆,，,你,唔想,知道,自己,幾多歲,咩,？,點解,你,可以,一啲,都,唔,關心,㗎,？,」,,,,,,,,,,,,,,,,,
Putta,tung4,Putti,nei5-ngaan5-mong6-ngo5-ngaan5,#,m4-zi1,dim2,daap3,hou2,#,po4-po2,gin3,keoi5,loeng5,go3,gam2,ge3,faan2-jing3,#,zau6,zi1-dou3,keoi5-dei6,wan2,m4-dou2,daap3-on3,#,jyu1-si6,siu3,dou3,kaa1,kaa1,seng1,#,Putti,gin3,po4-po2,gan1-bun2,mou5,zoi6-fu4,gwo3,zi6-gei2,gei2-do1-seoi3,#,zau6,jau5-di1,nau1,gam2,tung4,po4-po2,pou5-jyun3,#,#,po4-po2,#,nei5,m4-soeng2,zi1-dou3,zi6-gei2,gei2-do1-seoi3,me1,#,dim2-gaai2,nei5,ho2-ji5,jat1-di1,dou1,m4,gwaan1-sam1,gaa3,#,#,,,,,,,,,,,,,,,,,
Putta,and,Putti,looking at each other,#,don't know,how,to reply,well,#,grandmother,see,he / she,two,(measure),in this way,(linker),reaction,#,then,know,they,find,cannot,answer,#,so,laugh,to,(sound),(sound),sound,#,Putti,see,grandmother,in the first place,don't,care,-ed,oneself,how old,#,then,a bit,angry,-ly,to,grandmother,complain,#,#,grandmother,#,you,don't want,to know,oneself,how old,(particle),#,why,you,can,a bit,"all, also",not,concerned about,(particle),#,#,,,,,,,,,,,,,,,,,
[3i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,都,開始,附和,：,「,係,囉,！,如果,我,生日,少,噉,枝,蠟燭,，,一定,勁,唔,開心,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,dou1,hoi1-ci2,fu6-wo6,#,#,hai6,lo1,#,jyu4-gwo2,ngo5,saang1-jat6,siu2,gam2,zi1,laap6-zuk1,#,jat1-ding6,ging6,m4,hoi1-sam1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,"all, also",begin,to echo,#,#,yes,(particle),#,if,I,birthday,few,in that way,(measure),candle,#,surely,super,not,happy,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,見,佢,兩,個,咁,著緊,，,反而,笑,得,仲,開心,，,話,：,「,點解,你哋,咁,在乎,我,個,年齡,呢,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po4-po2,gin3,keoi5,loeng5,go3,gam3,zoek6-gan2,#,faan2-ji4,siu3,dak1,zung6,hoi1-sam1,#,waa6,#,#,dim2-gaai2,nei5-dei6,gam3,zoi6-fu4,ngo5,go3,nin4-ling4,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandmother,see,he / she,two,(measure),so,care about,#,on the contrary,laugh,(suffix),even more,happy,#,say,#,#,why,you (plural),so,care,I,(measure),age,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3k],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,同,Putti,又,開始,四目交投,，,然後,異口同聲,噉,話,：,「,因為,我哋,想,幫,你,插,生日,蠟燭,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,tung4,Putti,jau6,hoi1-ci2,sei3-muk6-gaau1-tau4,#,jin4-hau6,ji6-hau2-tung4-sing1,gam2,waa6,#,#,jan1-wai6,ngo5-dei6,soeng2,bong1,nei5,caap3,saang1-jat6,laap6-zuk1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,and,Putti,again,begin,looking at each other,#,then,unanimous,-ly,say,#,#,because,we,want,to help,you,insert,birthday,candle,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3l],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,：,「,點解,生日,就,一定,要,插,返,同,自己,歲數,一樣,嘅,蠟燭,？,生日,嘅,重點,係,蠟燭,咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po4-po2,#,#,dim2-gaai2,saang1-jat6,zau6,jat1-ding6,jiu3,caap3,faan1,tung4,zi6-gei2,seoi3-sou3,jat1-joeng6,ge3,laap6-zuk1,#,saang1-jat6,ge3,zung6-dim2,hai6,laap6-zuk1,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandmother,#,#,why,birthday,then,surely,need,to insert,back,with,oneself,age,the same,(linker),candle,#,birthday,(linker),main point,is,candle,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,兩,個,諗,咗,一陣,，,就,答,：,「,生日,嘅,重點,就,梗係,婆婆,啦,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,loeng5,go3,nam2,zo2,jat1-zan6,#,zau6,daap3,#,#,saang1-jat6,ge3,zung6-dim2,zau6,gang2-hai6,po4-po2,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he / she,two,(measure),think,-en,a while,#,then,reply,#,#,birthday,(linker),main point,then,of course,grandmother,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3n],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
