[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sak1-ce1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,住,屯門,，,不過,唔,近,西鐵,站,，,而,係,喺,碼頭,嗰,邊,。,屯門,對,我,嚟講,算,係,幾,方便,，,設施,齊全,，,有,幾,個,大型,商場,畀人,行街,買,嘢,之餘,，,仲有,唔少,公園,同,遊樂場,，,啱,晒,一家大細,。,呢度,仲有,好多,單車,徑,，,我,有時,都會,沿,住,屯門,河,踩單車,。,行,遠,少少,又,有,海灘,同,郊野,公園,，,可以,約,埋,一,班,朋友,去,游水,行山,。,前排,仲有,套,戲,係,用,屯門,做,背景,，,拍,到,我,屋企,周圍,嘅,風景,好,靚,——,其實,我,都,幾,鍾意,屯門,。
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,讀,嘅,小學,、,中學,都係,喺,屋企,附近,，,行路,就,到,；,之後,我,讀,中文大學,，,返學,我,會,搭,小巴,到,上水,再,轉,火車,，,所以,一直,唔使,點樣,用,到,屯門,公路,。,就算,有時,搭,巴士,出,九龍,經過,，,我,都,唔,覺得,有,咩,特別,。,但,當,開始,返工,，,日日,搭,巴士,要,行,屯門,公路,之後,，,我,先,發覺,呢度,成日,有,交通,意外,！,雖然,多數,都,只係,小,case,，,但係,每,次,都會,搞到,條,路,大,塞車,。,,,,,,,,,,,,,,,,
ngo5,duk6,ge3,siu2-hok6,#,zung1-hok6,dou1-hai6,hai2,uk1-kei2,fu6-gan6,#,haang4-lou6,zau6,dou3,#,zi1-hau6,ngo5,duk6,zung1-man4-daai6-hok6,#,faan1-hok6,ngo5,wui5,daap3,siu2-baa1,dou3,soeng6-seoi2,zoi3,zyun3,fo2-ce1,#,so2-ji5,jat1-zik6,m4-sai2,dim2-joeng2,jung6,dou2,tyun4-mun4,gung1-lou6,#,zau6-syun3,jau5-si4,daap3,baa1-si2,ceot1,gau2-lung4,ging1-gwo3,#,ngo5,dou1,m4,gok3-dak1,jau5,me1,dak6-bit6,#,daan6,dong1,hoi1-ci2,faan1-gung1,#,jat6-jat6,daap3,baa1-si2,jiu3,haang4,tyun4-mun4,gung1-lou6,zi1-hau6,#,ngo5,sin1,faat3-gok3,nei1-dou6,seng4-jat6,jau5,gaau1-tung1,ji3-ngoi6,#,seoi1-jin4,do1-sou3,dou1,zi2-hai6,siu2,kei1-si2,#,daan6-hai6,mui5,ci3,dou1-wui5,gaau2-dou3,tiu4,lou6,daai6,sak1-ce1,#,,,,,,,,,,,,,,,,
I,study,(linker),primary school,#,secondary school,also is,at,home,nearby,#,walking,then,arrive,#,after,I,study,Chinese University,#,go to school,I,will,take,minibus,to,Sheung Shui,again,change,train,#,therefore,has always been,no need,how to,use,(suffix),Tuen Mun,highway,#,even if,sometimes,take,bus,to go out,Kowloon,pass by,#,I,"all, also",not,feel,have,what,special,#,but,as,begin,to go to work,#,every day,take,bus,have to,go,Tuen Mun,highway,after,#,I,then,realise,here,always,have,traffic,accident,#,although,majority,"all, also",just only,small,case,#,but,every,time,also will,make,(measure),road,big,traffic jam,#,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
結果,我,每日,來回,屯門,同,觀塘,，,平均,都,要,用,三,四,個鐘,嚟,搭車,，,仲要,大部分,時間,係,嘥,咗,嚟,塞車,，,真係,搞到,個人,好,忟憎,。,我,要,準時,七,點鐘,出,門口,，,坐,七,點,二,嗰,班,巴士,，,先,有,信心,趕得切,九,點鐘,返,到,公司,。,雖然,未必,日日,塞車,——,順利,嘅話,，,其實,八,點,四,就,會,到,觀塘,，,仲有,少少,時間,畀,我,食,早餐,——,但係,我,都係,唔,敢,遲,過,七,點鐘,出,門口,。,,,,,,,,,,,,,,,,
git3-gwo2,ngo5,mui5-jat6,loi4-wui4,tyun4-mun4,tung4,gun1-tong4,#,ping4-gwan1,dou1,jiu3,jung6,saam1,sei3,go3-zung1,lei4,daap3-ce1,#,zung6-jiu3,daai6-bou6-fan6,si4-gaan3,hai6,saai1,zo2,lei4,sak1-ce1,#,zan1-hai6,gaau2-dou3,go3-jan4,hou2,mang2-zang2,#,ngo5,jiu3,zeon2-si4,cat1,dim2-zung1,ceot1,mun4-hau2,#,co5,cat1,dim2,ji6,go2,baan1,baa1-si2,#,sin1,jau5,seon3-sam1,gon2-dak1-cit3,gau2,dim2-zung1,faan1,dou3,gung1-si1,#,seoi1-jin4,mei6-bit1,jat6-jat6,sak1-ce1,#,seon6-lei6,ge3-waa2,#,kei4-sat6,baat3,dim2,sei3,zau6,wui5,dou3,gun1-tong4,#,zung6-jau5,siu2-siu2,si4-gaan3,bei2,ngo5,sik6,zou2-caan1,#,daan6-hai6,ngo5,dou1-hai6,m4,gam2,ci4,gwo3,cat1,dim2-zung1,ceot1,mun4-hau2,#,,,,,,,,,,,,,,,,
as a result,I,every day,back and forth,Tuen Mun,and,Kwun Tong,#,average,"all, also",have to,use,three,four,hour(s),to,take vehicle,#,even,vast majority,time,is,waste,-en,to,traffic jam,#,really,make,onself,very,grumpy,#,I,have to,be on time,seven,o'clock,go out,doorway,#,take,seven,o'clock,ten minutes,that,class,bus,#,then,have,confidence,make it in time,nine,o'clock,return,to,company,#,although,not necessarily,every day,traffic jam,#,going smoothly,if,#,actually,eight,o'clock,twenty minutes,then,will,arrive,Kwun Tong,#,still have,a bit,time,to,I,to eat,breakfast,#,but,I,also is,not,dare to,late,than,seven,o'clock,to go out,doorway,#,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尋日,放工,搭,巴士,，,又,塞,喇,，,仲要,係,最,壞,情況,：,觀塘,塞,完,到,屯門,塞,。,成,程,車,耐,到,我,喺,巴士,瞓醒,兩,次,，,都,未,落,得,車,。,「,救命,啊,！,塞,到,人,都,癲,喇,！,」,我,忍唔住,post,咗,個,story,上,Instagram,。,冇幾耐,就,有,同事,覆,我,：,「,點解,唔,搭,地鐵,？,」,佢,住,北角,，,我,忍,住,唔,怪,佢,：,「,我,住,得,唔,近,西鐵,站,，,轉,兩,次,車,有啲,麻煩,……,」,,,,,,,,,
cam4-jat6,fong3-gung1,daap3,baa1-si2,#,jau6,sak1,laa3,#,zung6-jiu3,hai6,zeoi3,waai6,cing4-fong3,#,gun1-tong4,sak1,jyun4,dou3,tyun4-mun4,sak1,#,seng4,cing4,ce1,noi6,dou3,ngo5,hai2,baa1-si2,fan3-seng2,loeng5,ci3,#,dou1,mei6,lok6,dak1,ce1,#,#,gau3-meng6,aa3,#,sak1,dou3,jan4,dou1,din1,laa3,#,#,ngo5,jan2-m4-zyu6,post,zo2,go3,story,soeng5,Instagram,#,mou5-gei2-noi6,zau6,jau5,tung4-si6,fuk1,ngo5,#,#,dim2-gaai2,m4,daap3,dei6-tit3,#,#,keoi5,zyu6,bak1-gok3,#,ngo5,jan2,zyu6,m4,gwaai3,keoi5,#,#,ngo5,zyu6,dak1,m4,kan5,sai1-tit3,zaam6,#,zyun3,loeng5,ci3,ce1,jau5-di1,maa4-faan4,#,#,,,,,,,,,
yesterday,off work,take,bus,#,again,Jammed,(particle),#,even,is,most,bad,situation,#,Kwun Tong,jammed,finish,then,Tuen Mun,jammed,#,whole,journey,car,long time,to,I,at,bus,wake up,two,time,#,also,not yet,get off,can,car,#,#,Help!,(particle),#,jammed,to,people,"all, also",crazy,(particle),#,#,I,cannot help,post,-en,(measure),story,up to,Instagram,#,not long later,then,have,colleague,reply,I,#,#,why,not,take,MTR,#,#,he / she,live,North Point,#,I,endure,-ing,not,blame,he / she,#,#,I,live,(suffix),not,close to,West Rail,station,#,change,two,time,car,a bit,troublesome,#,#,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,最,難,忍,嘅,係,，,忽然,有,另一,個,friend,喺,Instagram,tag,我,：,「,見字記得飲水,！,」,大佬,，,我,急,緊,吖,嘛,！,最後,，,我,一,落車,就,衝,咗,入,巴士站,公廁,，,好彩,冇事,——,我,決定,以後,放工,前,都,唔,會,再,飲,咁,多,水,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6,zeoi3,naan4,jan2,ge3,hai6,#,fat1-jin4,jau5,ling6-jat1,go3,friend,hai2,Instagram,tag,ngo5,#,#,gin3-zi6-gei3-dak1-jam2-seoi2,#,#,daai6-lou2,#,ngo5,gap1,gan2,aa1,maa3,#,zeoi3-hau6,#,ngo5,jat1,lok6-ce1,zau6,cung1,zo2,jap6,baa1-si2-zaam6,gung1-ci3,#,hou2-coi2,mou5-si6,#,ngo5,kyut3-ding6,ji5-hau6,fong3-gung1,cin4,dou1,m4,wui5,zoi3,jam2,gam3,do1,seoi2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,most,difficult to,endure,(linker),is,#,suddenly,have,another,(measure),friend,at,Instagram,tag,I,#,#,remember to stay hydrated,#,#,big bro,#,I,urgently need to go to toilet,-ing,(particle),(particle),#,finally,#,I,once,get off,then,rush,-en,to,bus stop,public washroom,#,luckily,alright,#,I,decide,afterwards,off work,before,"all, also",not,will,again,drink,so,much,water,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
