直到,有一日,，,媽媽,掛住,做嘢,，,冇,返屋企,煮飯,畀,我,同,家姐,食,。,我,同,家姐,都,好,肚餓,，,但,又,唔識,嗌,外賣,，,唔知,點算,好,。,於是,我,自告奮勇,下廚,煮,嘢食,。,我,好似,媽媽,平時,噉,煮飯,煲湯,，,順利,煮,好,呢,餐,飯,。,我,同,家姐,終於,有,飯,食,，,家姐,仲,讚,我,煮,得,好味,。,,,,,,,,,,,,,,,,,
zik6-dou3,jau5-jat1-jat6,#,maa4-maa1,gwaa3-zyu6,zou6-je5,#,mou5,faan1-uk1-kei2,zyu2-faan6,bei2,ngo5,tung4,gaa1-ze1,sik6,#,ngo5,tung4,gaa1-ze1,dou1,hou2,tou5-ngo6,#,daan6,jau6,m4-sik1,aai3,ngoi6-maai6,#,m4-zi1,dim2-syun3,hou2,#,jyu1-si6,ngo5,zi6-gou3-fan5-jung5,haa6-cyu4,zyu2,je5-sik6,#,ngo5,hou2-ci5,maa4-maa1,ping4-si4,gam2,zyu2-faan6,bou1-tong1,#,seon6-lei6,zyu2,hou2,nei1,caan1,faan6,#,ngo5,tung4,gaa1-ze1,zung1-jyu1,jau5,faan6,sik6,#,gaa1-ze1,zung6,zaan3,ngo5,zyu2,dak1,hou2-mei6,#,,,,,,,,,,,,,,,,,
until,one day,#,mother,focusing on,work,#,don't have,go home,to cook,for,I,and,elder sister,to eat,#,I,and,elder sister,also,very,hungry,#,but,also,don't know how to,order,food delivery,#,don't know,what to do,good,#,so,I,volunteer,to cook,cook,stuff to eat,#,I,imitate,mother,usually,that way,cook rice,cook soup,#,smoothly and successfully,cook,well,this,(measure),meal,#,I,and,elder sister,finally,have,meal,to eat,#,elder sister,even,praise,I,cook,(suffix),delicious,#,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,返,到,屋企,，,見,我,同,家姐,食,緊,飯,，,佢,好,意外,，,問,我哋,啲,嘢食,係,邊個,煮,。,我,好,興奮,噉,認頭,，,以為,媽媽,一定,會,讚,我,，,點知,媽媽,皺,起,眉頭,話,：,「,你,太,細個,喇,！,唔好,有,下次,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,faan1,dou3,uk1-kei2,#,gin3,ngo5,tung4,gaa1-ze1,sik6,gan2,faan6,#,keoi5,hou2,ji3-ngoi6,#,man6,ngo5-dei6,di1,je5-sik6,hai6,bin1-go3,zyu2,#,ngo5,hou2,hing1-fan5,gam2,jing6-tau4,#,ji5-wai4,maa4-maa1,jat1-ding6,wui5,zaan3,ngo5,#,dim2-zi1,maa4-maa1,zau3,hei2,mei4-tau4,waa6,#,#,nei5,taai3,sai3-go3,laa3,#,m4-hou2,jau5,haa6-ci3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,return,arrive,home,#,see,I,and,elder sister,eat,-ing,meal,#,she,very,surprised,#,ask,we,those,food,is,who,cook,#,I,very,excited,that way,acknowledge,#,assume by mistake,mother,definitely,will,praise,I,#,unexpectedly,mother,knit,up,brows,to say,#,#,you,too,young,(particle),#,do not,have,next time,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
又,有,一,次,，,爸爸,裝修,屋企,。,不過,佢,髹油,髹,得,好,慢,，,啲,顏色,仲要,東,一,忽,西,一,忽,，,好,難睇,。,於是,我,決定,幫,佢,髹油,。,結果,，,牆,上,嘅,顏色,係,好睇,咗,好多,，,但,我,就,唔,小心,整到,成,身,都係,油,。,唔緊要,啦,，,最,緊要,係,啲,顏色,髹,得,靚,呀,嘛,！,,,,,,,,,,,,,,,
jau6,jau5,jat1,ci3,#,baa4-baa1,zong1-sau1,uk1-kei2,#,bat1-gwo3,keoi5,jau4-jau2,jau4,dak1,hou2,maan6,#,di1,ngaan4-sik1,zung6-jiu3,dung1,jat1,fat1,sai1,jat1,fat1,#,hou2,naan4-tai2,#,jyu1-si6,ngo5,kyut3-ding6,bong1,keoi5,jau4-jau2,#,git3-gwo2,#,coeng4,soeng6,ge3,ngaan4-sik1,hai6,hou2-tai2,zo2,hou2-do1,#,daan6,ngo5,zau6,m4,siu2-sam1,zing2-dou3,seng4,san1,dou1-hai6,jau2,#,m4-gan2-jiu3,laa1,#,zeoi3,gan2-jiu3,hai6,di1,ngaan4-sik1,jau4,dak1,leng3,aa1,maa3,#,,,,,,,,,,,,,,,
again,have,one,time,#,father,renovate,home,#,however,he,paint,paint,(suffix),very,slow,#,those,colour,even,east,one,patch,west,one,patch,#,very,ugly,#,so,I,decide,to help,he,paint,#,as a result,#,wall,on top of,(linker),colour,is,look good,-en,a lot,#,but,I,then,not,careful,made,whole,body,is,paint,#,doesn't matter,(particle),#,most,important,is,those,colour,paint,(suffix),beautiful,(particle),(particle),#,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,以為,爸爸,見到,之後,一定,會,讚,我,，,點知,結果,同,上次,一樣,，,我,又,俾,人,鬧,喇,。,雖然,我,幫,咗,佢,，,仲,整到,自己,成,身,都係,油,，,但,佢,反而,鬧,我,：,「,你,太,細個,喇,！,唔好,咁,多事,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,ji5-wai4,baa4-baa1,gin3-dou2,zi1-hau6,jat1-ding6,wui5,zaan3,ngo5,#,dim2-zi1,git3-gwo2,tung4,soeng6-ci3,jat1-joeng6,#,ngo5,jau6,bei2,jan4,naau6,laa3,#,seoi1-jin4,ngo5,bong1,zo2,keoi5,#,zung6,zing2-dou3,zi6-gei2,seng4,san1,dou1-hai6,jau2,#,daan6,keoi5,faan2-ji4,naau6,ngo5,#,#,nei5,taai3,sai3-go3,laa3,#,m4-hou2,gam3,do1-si6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,assume by mistake,father,saw,after,definitely,will,praise,I,#,unexpectedly,result,as,last time,the same,#,I,again,by,people,scold,(particle),#,although,I,help,-en,he,#,even,made,oneself,whole,body,is,paint,#,but,he,on the contrary,scold,I,#,#,you,too,young,(particle),#,do not,so,troublesome,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,好,唔,開心,，,點解,我,明明,幫,咗,佢哋,，,佢哋,都係,鬧,我,？,我,之所以,做,呢啲,事,，,就係,因為,大人,冇,做,好,應份,嘅,事,，,甚至連,做,都,冇,做,。,唔通,我,噉,都,有,錯,？,噉,究竟,我,有,啲,咩,係,可以,做,㗎,呢,？,定係,，,因為,我,太,細個,，,所以,就,乜,都,唔,做,得,？,,,,,,,,,,,,,,,
ngo5,hou2,m4,hoi1-sam1,#,dim2-gaai2,ngo5,ming4-ming4,bong1,zo2,keoi5-dei6,#,keoi5-dei6,dou1-hai6,naau6,ngo5,#,ngo5,zi1-so2-ji5,zou6,nei1-di1,si6,#,zau6-hai6,jan1-wai6,daai6-jan4,mou5,zou6,hou2,jing1-fan6,ge3,si6,#,sam6-zi3-lin4,zou6,dou1,mou5,zou6,#,m4-tung1,ngo5,gam2,dou1,jau5,co3,#,gam2,gau3-ging2,ngo5,jau5,di1,me1,hai6,ho2-ji5,zou6,gaa3,ne1,#,ding6-hai6,#,jan1-wai6,ngo5,taai3,sai3-go3,#,so2-ji5,zau6,mat1,dou1,m4,zou6,dak1,#,,,,,,,,,,,,,,,
I,very,not,happy,#,why,I,obviously,help,-en,they,#,they,still,scold,I,#,I,the reason,do,these,matter,#,is,because,adult,didn't,do,well,responsible,(linker),matter,#,even,do,"all, also",don't have,do,#,could it be,I,in this way,also,have,fault,#,then,exactly,I,have,some,what,is,can,do,(particle),(particle),#,or,#,because,I,too,young,#,therefore,then,whatever,"all, also",not,do,can,#,,,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上,星期,，,我,同,家姐,帶,貓仔,去,公園,玩,。,玩玩下,，,貓仔,竟然,爬,咗,上,樹,，,唔識,落返嚟,。,咁啱,家姐,顧住,踩單車,，,冇,發現到,；,附近,又,冇,大人,，,我,揾,唔到,人,幫手,。,貓仔,喺,樹,上面,好,驚,，,攬,到,棵,樹,實,一,實,。,我,試過,安慰,貓仔,，,等,佢,冇,咁,驚,就,可以,慢慢,爬,返,落嚟,。,可惜,無論,我,講,啲,咩,，,佢,都,仲係,咁,驚,。
soeng6,sing1-kei4,#,ngo5,tung4,gaa1-ze1,daai3,maau1-zai2,heoi3,gung1-jyun2,waan2,#,waan2-waan2-haa5,#,maau1-zai2,ging2-jin4,paa4,zo2,soeng5,syu6,#,m4-sik1,lok6-faan1-lai4,#,gam3-ngaam1,gaa1-ze1,gu3-zyu6,caai2-daan1-ce1,#,mou5,faat3-jin6-dou3,#,fu6-gan6,jau6,mou5,daai6-jan4,#,ngo5,wan2,m4-dou2,jan4,bong1-sau2,#,maau1-zai2,hai2,syu6,soeng6-min6,hou2,geng1,#,laam2,dou3,po1,syu6,sat6,jat1,sat6,#,ngo5,si3-gwo3,on1-wai3,maau1-zai2,#,dang2,keoi5,mou5,gam3,geng1,zau6,ho2-ji5,maan6-maan6,paa4,faan1,lok6-lai4,#,ho2-sik1,mou4-leon6,ngo5,gong2,di1,me1,#,keoi5,dou1,zung6-hai6,gam3,geng1,#
last,week,#,I,and,elder sister,bring,kitty,to go,park,to play,#,while playing,#,kitty,unexpectedly,climb,-en,up,tree,#,don't know,come down,#,incidentally,elder sister,attending,ride bicycle,#,didn't,found out,#,nearby,also,don't have,adult,#,I,find,cannot,people,to help,#,kitty,at,tree,above,very,afraid,#,hug,to,(measure),tree,tight,one,tight,#,I,tried,comfort,kitty,#,let,it,not,so,afraid,then,can,slowly,climb,back,come down,#,pity,whatever,I,say,some,what,#,it,also,still,so,afraid,#
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如果,貓仔,繼續,留,喺,樹,上面,，,我,怕,佢,會,有,危險,。,所以,我,決定,爬,上去,，,救,佢,落嚟,！,好彩,，,棵,樹,都,唔,算,好,高,，,我,順利,抱,返,佢,落嚟,，,總算,有驚無險,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu4-gwo2,maau1-zai2,gai3-zuk6,lau4,hai2,syu6,soeng6-min6,#,ngo5,paa3,keoi5,wui5,jau5,ngai4-him2,#,so2-ji5,ngo5,kyut3-ding6,paa4,soeng5-heoi3,#,gau3,keoi5,lok6-lai4,#,hou2-coi2,#,po1,syu6,dou1,m4,syun3,hou2,gou1,#,ngo5,seon6-lei6,pou5,faan1,keoi5,lok6-lai4,#,zung2-syun3,jau5-ging1-mou4-him2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,kitty,continue,stay,at,tree,above,#,I,fear,it,will,have,danger,#,therefore,I,decide,to climb,up,#,save,it,come down,#,luckily,#,(measure),tree,also,not,considered,very,tall,#,I,smooth and successful,hug,back,it,come down,#,in the end,terrifying but safe,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,帶,貓仔,去,揾,返,家姐,，,家姐,一直,掛住,踩單車,，,完全,唔知,發生,咩,事,。,當,我,講,返,件,事,畀,佢,聽,嘅,時候,，,個,心,仲,諗,：,唔知,家姐,會唔會,好似,爸爸,媽媽,噉,，,話,我,太,細個,，,唔,應該,噉,做,呢,？,點知,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,daai3,maau1-zai2,heoi3,wan2,faan1,gaa1-ze1,#,gaa1-ze1,jat1-zik6,gwaa3-zyu6,caai2-daan1-ce1,#,jyun4-cyun4,m4-zi1,faat3-sang1,me1,si6,#,dong1,ngo5,gong2,faan1,gin6,si6,bei2,keoi5,teng1,ge3,si4-hau6,#,go3,sam1,zung6,nam2,#,m4-zi1,gaa1-ze1,wui5-m4-wui5,hou2-ci5,baa4-baa1,maa4-maa1,gam2,#,waa6,ngo5,taai3,sai3-go3,#,m4,jing1-goi1,gam2,zou6,ne1,#,dim2-zi1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,bring,kitty,to go,to find,back,elder sister,#,elder sister,keep,focusing on,ride bicycle,#,completely,don't know,happen,what,matter,#,as,I,tell,back,(measure),matter,to,she,to listen,(linker),time,#,(measure),heart,even,think,#,don't know,elder sister,will or will not,like,father,mother,in that way,#,say,I,too,young,#,not,should,in this way,do,(particle),#,unexpectedly,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嘩,！,好彩,有,你,，,貓仔,至,冇事,咋,！,你,做,得,好好,呀,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,waa1,#,hou2-coi2,jau5,nei5,#,maau1-zai2,zi3,mou5-si6,zaa3,#,nei5,zou6,dak1,hou2-hou2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Wow!,#,luckily,have,you,#,kitty,then,alright,(particle),#,you,do,(suffix),very well,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聽到,家姐,呢,句,話,，,我,好,開心,！,終於,有,人,認同,我,做,嘅,嘢,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teng1-dou2,gaa1-ze1,nei1,geoi3,waa6,#,ngo5,hou2,hoi1-sam1,#,zung1-jyu1,jau5,jan4,jing6-tung4,ngo5,zou6,ge3,je5,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heard,elder sister,this,(measure),speech,#,I,very,happy,#,finally,have,people,agree,I,do,(linker),thing,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,將,件,事,講,咗,畀,爸爸,媽媽,聽,。,佢哋,聽到,之後,，,抱,起,我,讚,我,叻,。,我,趁機,問,佢哋,：,「,係咪,我,細個,，,所以,好多,嘢,都,唔,做,得,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,zoeng1,gin6,si6,gong2,zo2,bei2,baa4-baa1,maa4-maa1,teng1,#,keoi5-dei6,teng1-dou2,zi1-hau6,#,pou5,hei2,ngo5,zaan3,ngo5,lek1,#,ngo5,can3-gei1,man6,keoi5-dei6,#,#,hai6-mai6,ngo5,sai3-go3,#,so2-ji5,hou2-do1,je5,dou1,m4,zou6,dak1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder sister,take,(measure),matter,tell,-en,to,father,mother,to listen,#,they,heard,after,#,pick,up,me,to praise,I,smart,#,I,sieze the opportunity,to ask,they,#,#,is or isn't,I,young,#,therefore,many,thing,"all, also",not,do,can,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,答,：,「,一個,行為,啱,定,唔,啱,，,唔,關,年紀,事,。,如果,你,係,為咗,幫,人,，,又,唔,會,傷害,到,自己,或者,其他,人,，,就,可以,去,做,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,daap3,#,#,jat1-go3,hang4-wai4,ngaam1,ding6,m4,ngaam1,#,m4,gwaan1,nin4-gei2,si6,#,jyu4-gwo2,nei5,hai6,wai6-zo2,bong1,jan4,#,jau6,m4,wui5,soeng1-hoi6,dou2,zi6-gei2,waak6-ze2,kei4-taa1,jan4,#,zau6,ho2-ji5,heoi3,zou6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,reply,#,#,one (measure),behaviour,correct,or,not,correct,#,not,related to,age,matter,#,if,you,is,because of,help,people,#,also,not,will,harm,(suffix),oneself,or,other,people,#,then,can,go,to do,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,又,話,：,「,係呀,，,所以,除咗,睇,對,錯,，,仲要,睇,能力,。,而,能力,多多少少,係,同,年紀,掛勾,嘅,——,所以,有,啲,嘢,，,爸爸,媽媽,唔,畀,你,做,，,主要,都係,因為,我哋,擔心,你,能力,未,夠,，,夾硬,去,做,反而,整傷,自己,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa4-baa1,jau6,waa6,#,#,hai6-aa3,#,so2-ji5,ceoi4-zo2,tai2,deoi3,co3,#,zung6-jiu3,tai2,nang4-lik6,#,ji4,nang4-lik6,do1-do1-siu2-siu2,hai6,tung4,nin4-gei2,gwaa3-ngau1,ge3,#,so2-ji5,jau5,di1,je5,#,baa4-baa1,maa4-maa1,m4,bei2,nei5,zou6,#,zyu2-jiu3,dou1-hai6,jan1-wai6,ngo5-dei6,daam1-sam1,nei5,nang4-lik6,mei6,gau3,#,gaap3-ngaang2,heoi3,zou6,faan2-ji4,zing2-soeng1,zi6-gei2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,also,say,#,#,right,#,therefore,other than,look at,right,wrong,#,also,look at,ability,#,and,ability,more or less,is,to,age,related,(particle),#,therefore,have,some,thing,#,father,mother,not,let,you,do,#,mainly,is,because,we,worry about,you,ability,not yet,enough,#,forcing,to,do,on the contrary,injure,oneself,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聽,完,佢哋,噉,講,，,我,先,明白,自己,之前,一直,誤解,咗,爸爸,媽媽,嘅,苦心,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teng1,jyun4,keoi5-dei6,gam2,gong2,#,ngo5,sin1,ming4-baak6,zi6-gei2,zi1-cin4,jat1-zik6,ng6-gaai2,zo2,baa4-baa1,maa4-maa1,ge3,fu2-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
listen,finish,they,that way,say,#,I,then,understand,oneself,before,keep on,misunderstand,-en,father,mother,(linker),deliberate intentions,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,不過,，,我哋,都,應該,適時,放手,畀,你,去,學習,同,探索,嘅,……,」,媽媽,有啲,感觸,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,bat1-gwo3,#,ngo5-dei6,dou1,jing1-goi1,sik1-si4,fong3-sau2,bei2,nei5,heoi3,hok6-zaap6,tung4,taam3-sok3,ge2,#,#,maa4-maa1,jau5-di1,gam2-zuk1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,however,#,we,"all, also",should,at the right time,let go of your hand,let,you,go,learn,and,explore,(particle),#,#,mother,a bit,feeling sentimental,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
