[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全部,人,都,好,嫌棄,噉,避開,一,隻,好,污糟,嘅,狗仔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyun4-bou6,jan4,dou1,hou2,jim4-hei3,gam2,bei6-hoi1,jat1,zek3,hou2,wu1-zou1,ge3,gau2-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,people,"all, also",very,dislike,that way,avoid,one,(measure),very,dirty,(linker),puppy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,點解,佢哋,好似,唔,鍾意,我,噉,嘅,？,我,只係,想,揾,佢哋,幫,下,手,……,」,狗仔,好,攰,噉,瞓,喺,垃圾,堆,上面,，,一路,望住,外面,，,好似,等,緊,人,噉,，,個,肚仔,一路,喺度,叫,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dim2-gaai2,keoi5-dei6,hou2-ci5,m4,zung1-ji3,ngo5,gam2,ge2,#,ngo5,zi2-hai6,soeng2,wan2,keoi5-dei6,bong1,haa5,sau2,#,#,gau2-zai2,hou2,gui6,gam2,fan3,hai2,laap6-saap3,deoi1,soeng6-min6,#,jat1-lou6,mong6-zyu6,ngoi6-min6,#,hou2-ci5,dang2,gan2,jan4,gam2,#,go3,tou5-zai2,jat1-lou6,hai2-dou6,giu3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,why,they,seem,not,like,I,that way,(particle),#,I,just only,want to,find,they,give,a bit,helping hand,#,#,puppy,very,tired,that way,sleep,at,trash,pile,above,#,while,staring,outside,#,seem,wait,-ing,people,that way,#,(measure),little tummy,while,right here,call,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,係,一,隻,狗仔,，,我,好,鍾意,同,阿檸,一齊,玩,㗎,！,記得,一個,月,前,我,仲係,半,歲,，,嗰陣,我,住,喺,一個,好,細,嘅,籠,入面,，,籠,外,人來人往,，,仲,成日,聽到,啲人,講咩,「,歡迎光臨,」,。,最後,唔知,做,咗,啲,咩,，,阿檸,就,帶,咗,我,返,佢,屋企,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,hai6,jat1,zek3,gau2-zai2,#,ngo5,hou2,zung1-ji3,tung4,aa3-ling2,jat1-cai4,waan2,gaa3,#,gei3-dak1,jat1-go3,jyut6,cin4,ngo5,zung6-hai6,bun3,seoi3,#,go2-zan6,ngo5,zyu6,hai2,jat1-go3,hou2,sai3,ge3,lung4,jap6-min6,#,lung4,ngoi6,jan4-loi4-jan4-wong5,#,zung6,seng4-jat6,teng1-dou2,di1-jan4,gong2-me1,#,fun1-jing4-gwong1-lam4,#,#,zeoi3-hau6,m4-zi1,zou6,zo2,di1,me1,#,aa3-ling2,zau6,daai3,zo2,ngo5,faan1,keoi5,uk1-kei2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,is,one,(measure),puppy,#,I,very,like to,with,Liam,together,to play,(particle),#,remember,one (measure),month,before,I,still,half,year-old,#,that time,I,live,at,one (measure),very,small,(linker),cage,inside,#,cage,outside,lots of people coming,#,even,all day long,heard,those people,say something,#,welcome,#,#,finally,don't know,do,-en,some,what,#,Liam,then,bring,-en,I,back,he,home,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿檸,好,鍾意,同,我,玩,㗎,，,佢,仲,成日,都,叫,我,畀,隻,手,佢,，,但,「,手,」,即係,咩,呀,？,佢,係咪,諗住,請,我,食嘢,？,好,呀,，,好,呀,！,我,就,坐,喺度,等,佢,畀,嘢,我,食,。,有時,佢,又,會,將,啲,樹枝,拋,到,好,遠,，,到底,想,點,呢,？,唔明,呀,！,跟住,佢,好似,有啲,嬲,嬲,哋,噉,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-ling2,hou2,zung1-ji3,tung4,ngo5,waan2,gaa3,#,keoi5,zung6,seng4-jat6,dou1,giu3,ngo5,bei2,zek3,sau2,keoi5,#,daan6,#,sau2,#,zik1-hai6,me1,aa3,#,keoi5,hai6-mai6,nam2-zyu6,ceng2,ngo5,sik6-je5,#,hou2,aa3,#,hou2,aa3,#,ngo5,zau6,co5,hai2-dou6,dang2,keoi5,bei2,je5,ngo5,sik6,#,jau5-si4,keoi5,jau6,wui5,zoeng1,di1,syu6-zi1,paau1,dou3,hou2,jyun5,#,dou3-dai2,soeng2,dim2,ne1,#,m4-ming4,aa3,#,gan1-zyu6,keoi5,hou2-ci5,jau5-di1,nau1,nau1,dei2,gam2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam,very,like to,with,I,to play,(particle),#,he,even,all day long,"all, also",call,I,give,(measure),hand,he,#,but,#,hand,#,that means,what,(particle),#,he,is or isn't,thinking about,treat,I,eat,#,good,(particle),#,good,(particle),#,I,then,sit,right here,wait,he,give,thing,I,to eat,#,sometimes,he,again,will,take,some,branch,throw,to,very,far,#,to the end,want to,how,(particle),#,not understand,(particle),#,and then,he,seem,a bit,angry,angry,a bit,that way,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兩個,星期,之後,，,阿檸,已經,好少,理,我,喇,。,有時,我,揾,佢,玩,，,佢,會,好,大聲,鬧,我,，,我,肚餓,都,唔,敢,出聲,，,我,好,驚,佢,鬧,我,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loeng5-go3,sing1-kei4,zi1-hau6,#,aa3-ling2,ji5-ging1,hou2-siu2,lei5,ngo5,laa3,#,jau5-si4,ngo5,wan2,keoi5,waan2,#,keoi5,wui5,hou2,daai6-seng1,naau6,ngo5,#,ngo5,tou5-ngo6,dou1,m4,gam2,ceot1-seng1,#,ngo5,hou2,geng1,keoi5,naau6,ngo5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two,week,after,#,Liam,already,few,care about,I,(particle),#,sometimes,I,find,he,to play,#,he,will,very,loudly,scold,I,#,I,hungry,"all, also",not,dare to,voice out,#,I,very,afraid,he,scold,I,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,有一日,，,阿檸,爸爸,開車,帶,我哋,出去,玩,。,坐車,嗰陣,，,好似,聽到,阿檸,爸爸,話,：,「,買,咗,兩個,星期,就,唔要,嗱,？,」,我,唔知,佢,講緊,咩,，,但,我,好,開心,呀,！,好,耐,冇,出,過,去,喇,！,嗰日,落好大雨,，,阿檸,拖,住,我,去,到,一個,垃圾,堆,，,叫,我,喺度,等,佢,。,我,乖乖,哋,喺度,等,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,jau5-jat1-jat6,#,aa3-ling2,baa4-baa1,hoi1-ce1,daai3,ngo5-dei6,ceot1-heoi3,waan2,#,co5-ce1,go2-zan6,#,hou2-ci5,teng1-dou2,aa3-ling2,baa4-baa1,waa6,#,#,maai5,zo2,loeng5-go3,sing1-kei4,zau6,m4-jiu3,naa4,#,#,ngo5,m4-zi1,keoi5,gong2-gan2,me1,#,daan6,ngo5,hou2,hoi1-sam1,aa3,#,hou2,noi6,mou5,ceot1,gwo3,heoi3,laa3,#,go2-jat6,lok6-hou2-daai6-jyu5,#,aa3-ling2,to1,zyu6,ngo5,heoi3,dou3,jat1-go3,laap6-saap3,deoi1,#,giu3,ngo5,hai2-dou6,dang2,keoi5,#,ngo5,gwaai1-gwaai1,dei2,hai2-dou6,dang2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suddenly,one day,#,Liam,father,drive car,bring,we,get out,to play,#,ride a car,that time,#,seem,heard,Liam,father,say,#,#,buy,-en,two,week,then,abandon,(particle),#,#,I,don't know,he,talking about,what,#,but,I,very,happy,(particle),#,very,long time,don't have,go,-ed,out,(particle),#,that day,rain heavily,#,Liam,drag,-ing,I,to go,to,one (measure),trash,pile,#,ask,I,right here,wait,he,#,I,well-behaved,that way,right here,to wait,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,由,朝,等,到,晚,，,都,仲,未,見到,阿檸,返嚟,。,我,又,凍,又,肚餓,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,jau4,ziu1,dang2,dou3,maan5,#,dou1,zung6,mei6,gin3-dou2,aa3-ling2,faan1-lai4,#,ngo5,jau6,dung3,jau6,tou5-ngo6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,from,morning,wait,to,night,#,"all, also",still,not yet,see,Liam,come back,#,I,also,cold,also,hungry,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一日,一日,噉,過去,，,喺,呢,段,日子,，,我,肚餓,就,揾,下,垃圾,堆,有冇,嘢食,，,覺得,眼瞓,就,喺,垃圾,堆,度,瞓,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1-jat6,jat1-jat6,gam2,gwo3-heoi3,#,hai2,ni1,dyun6,jat6-zi2,#,ngo5,tou5-ngo6,zau6,wan2,haa5,laap6-saap3,deoi1,jau5-mou5,je5-sik6,#,gok3-dak1,ngaan5-fan3,zau6,hai2,laap6-saap3,deoi1,dou6,fan3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one day,one day,that way,pass,#,at,this,period of,days,#,I,hungry,then,find,a bit,trash,pile,have or haven't,thing to eat,#,feel,sleepy,then,at,trash,pile,there,to sleep,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,咗,今日,，,我,終於,驚覺,阿檸,可能,係,蕩失路,，,就,想,揾,人,幫手,揾,佢,——,佢,依家,一個人,一定,好,驚,㗎喇,！,但,我,辛苦,咗,大半日,，,都係,無功而還,。,正當,我,諗住,返,埋去,垃圾,堆,度,唞,下,，,一,陣,腳步,聲,由,遠,至,近,，,最後,停,咗,喺,我,後面,。,我,以為,係,阿檸,，,即刻,轉頭,一,望,——,原來,唔係,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dou3,zo2,gam1-jat6,#,ngo5,zung1-jyu1,ging1-gok3,aa3-ling2,ho2-nang4,hai6,dong6-sat1-lou6,#,zau6,soeng2,wan2,jan4,bong1-sau2,wan2,keoi5,#,keoi5,ji1-gaa1,jat1-go3-jan4,jat1-ding6,hou2,geng1,gaa3-laa3,#,daan6,ngo5,san1-fu2,zo2,daai6-bun3-jat6,#,dou1-hai6,mou4-gung1-ji4-waan4,#,zing3-dong1,ngo5,nam2-zyu6,faan1,maai4-heoi3,laap6-saap3,deoi1,dou6,tau2,haa5,#,jat1,zan6,goek3-bou6,seng1,jau4,jyun5,zi3,kan5,#,zeoi3-hau6,ting4,zo2,hai2,ngo5,hau6-min6,#,ngo5,ji5-wai4,hai6,aa3-ling2,#,zik1-hak1,zyun3-tau4,jat1,mong6,#,jyun4-loi4,m4-hai6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrive,-en,today,#,I,finally,realise,Liam,possible,is,lost,#,then,want to ,find,people,to help,to find,he,#,he,now,alone,surely,very,afraid,(particle),#,but,I,hard,-en,half a day,#,also is,in vain,#,just the time,I,thinking about,return,go over,trash,pile,place,take rest,a bit,#,one,(measure),footstep,sound,from,far,to,near,#,in the end,stop,-en,at,I,behind,#,I,thought,is,Liam,#,immediately,turn over the head,once,look,#,it turns out,is not,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
係,另一,個,男仔,。,佢,望,咗,我,好,耐,，,跟住,就,走埋嚟,。,嗰時,我,好,驚,佢,會,好似,其他,人,噉,打,我,，,所以,我,即刻,縮,返去,後面,。,佢,停,咗,喺度,，,打開,書包,，,拎,咗,一,包,腸仔,出嚟,，,好似,想,叫,我,一齊,食,。,我,真係,太,肚餓,喇,，,忍唔住,行,上前,食,咗,一,啖,，,見,佢,冇,鬧,我,，,我,就,繼續,食,埋,佢,。,佢,笑,住,同,我,講,：,「,仲,要唔要,呀,？,」,我,點點頭,，,佢,又,拎,多,一,條,俾,我,食,。,跟住,佢,每日,都會,畀,嘢,我,食,，,又,同,我,一齊,玩,……
hai6,ling6-jat1,go3,naam4-zai2,#,keoi5,mong6,zo2,ngo5,hou2,noi6,#,gan1-zyu6,zau6,zau2-maai4-lai4,#,go2-si4,ngo5,hou2,geng1,keoi5,wui5,hou2-ci5,kei4-taa1,jan4,gam2,daa2,ngo5,#,so2-ji5,ngo5,zik1-hak1,suk1,faan1-heoi3,hau6-min6,#,keoi5,ting4,zo2,hai2-dou6,#,daa2-hoi1,syu1-baau1,#,ling1,zo2,jat1,baau1,coeng2-zai2,ceot1-lai4,#,hou2-ci5,soeng2,giu3,ngo5,jat1-cai4,sik6,#,ngo5,zan1-hai6,taai3,tou5-ngo6,laa3,#,jan2-m4-zyu6,haang4,soeng5-cin4,sik6,zo2,jat1,daam6,#,gin3,keoi5,mou5,naau6,ngo5,#,ngo5,zau6,gai3-zuk6,sik6,maai4,keoi5,#,keoi5,siu3,zyu6,tung4,ngo5,gong2,#,#,zung6,jiu3-m4-jiu3,aa3,#,#,ngo5,dim2-dim2-tau4,#,keoi5,jau6,ling1,do1,jat1,tiu4,bei2,ngo5,sik6,#,gan1-zyu6,keoi5,mui5-jat6,dou1-wui5,bei2,je5,ngo5,sik6,#,jau6,tung4,ngo5,jat1-cai4,waan2,#
is,another,(measure),boy,#,he,look at,-en,I,very,long time,#,and then,then,come over,#,at that time,I,very,afraid of,he,will,like,other,people,that way,beat,I,#,therefore,I,immediately,retreat,go back,behind,#,he,stop,-en,right here,#,open,schoolbag,#,take,-en,one,packet of,sausage,out,#,seem,want to,ask,I,together,to eat,#,I,really,too,hungry,(particle),#,cannot resist,to walk,move forward,eat,-en,one,bite,#,see,he,don't have,scold,I,#,I,then,continue,to eat,also,it,#,he,smile,-ing,to,I,say,#,#,still,need or not,(particle),#,#,I,nod,#,he,again,take,more,one,(measure),to give,I,to eat,#,and then,he,every day,always will,give,thing,I,to eat,#,again,with,I,together,to play,#
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大家好,！,我,係,阿明,，,係,個,小學生,。,我,喺,上,星期,開始,見到,街上,有,隻,流浪,狗仔,周圍,走,，,佢,肚餓,就,喺,垃圾,堆,揾,嘢食,，,有時,唔,小心,掂,到,啲,路人,仲,會,俾人,鬧,、,俾人,打,。,見到,佢,噉,，,我,唔忍心,，,於是,用,晒,啲,零用錢,嚟,買,腸仔,俾,佢,食,，,得閒,又,嚟,同,佢,玩,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daai6-gaa1-hou2,#,ngo5,hai6,aa3-ming4,#,hai6,go3,siu2-hok6-saang1,#,ngo5,hai2,soeng6,sing1-kei4,hoi1-ci2,gin3-dou2,gaai1-soeng6,jau5,zek3,lau4-long6,gau2-zai2,zau1-wai4,zau2,#,keoi5,tou5-ngo6,zau6,hai2,laap6-saap3,deoi1,wan2,je5-sik6,#,jau5-si4,m4,siu2-sam1,dim6,dou2,di1,lou6-jan4,zung6,wui5,bei2-jan4,naau6,#,bei2-jan4,daa2,#,gin3-dou2,keoi5,gam2,#,ngo5,m4-jan2-sam1,#,jyu1-si6,jung6,saai3,di1,ling4-jung6-cin2,lai4,maai5,coeng2-zai2,bei2,keoi5,sik6,#,dak1-haan4,jau6,lai4,tung4,keoi5,waan2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi everyone,#,I,is,Mike,#,is,(measure),primary school student,#,I,at,last,week,begin,to see,on the street,have,(measure),stray,puppy,around,go,#,it,hungry,then,at,trash,pile,find,things to eat,#,sometimes,not,careful,touch,(suffix),some,pedestrian,even,will,by someone,scold,#,by someone,beat,#,saw,it,this way,#,I,cannot bear,#,so,use,all,those,pocket money,to,buy,sausage,to,it,to eat,#,free,also,come,with,it,to play,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就係噉,過,咗,一,星期,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zau6-hai6-gam2,gwo3,zo2,jat1,sing1-kei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in this way,pass,-en,one,week,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,決定,帶,隻,狗仔,返屋企,。,雖然,我,好,驚,媽媽,會,鬧,我,，,但,見到,佢,咁,慘,，,我,唔忍心,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
