[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老鼠仔,去,冒險,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-syu2-zai2,heoi3,mou6-him2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
little mouse,go,adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老鼠仔,第一,次,嚟,到,人類,屋企,，,好多,嘢,都係,第一,次,見,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-syu2-zai2,dai6-jat1,ci3,lai4,dou3,jan4-leoi6,uk1-kei2,#,hou2-do1,je5,dou1-hai6,dai6-jat1,ci3,gin3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
little mouse,first,time,come,to,human,home,#,many,thing,also,first,time,see,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,叫,老鼠仔,，,喺,屋企,好,悶,喇,，,所以,我,偷走,出嚟,玩,。,點解,啲,公仔,咁,高,嘅,？,佢,做咩,喺,到,大叫,，,又,跳嚟跳去,呢,？,我,唔明,啊,。,」,爸爸,見到,老鼠仔,好,驚,，,而,媽媽,就,想,捉,住,隻,老鼠仔,。,「,點解,又,多,兩個,公仔,，,佢哋,都,唔同,樣,嘅,。,啊,！,做咩,有,一個,公仔,想,追,我,㗎,，,救命,啊,！,」
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老鼠仔,覺得,有啲,攰,，,所以,坐,咗,喺,婆婆,度,。,婆婆,即刻,驚,到,拎,報紙,亂,打,。,老鼠仔,好,驚,噉,跳,走,咗,。,全部人,都,喺度,揾,老鼠仔,去,咗,邊度,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-syu2-zai2,gok3-dak1,jau5-di1,gui6,#,so2-ji5,co5,zo2,hai2,po4-po2,dou6,#,po4-po2,zik1-haak1,geng1,dou3,ling1,bou3-zi2,lyun6,daa2,#,lou5-syu2-zai2,hou2,geng1,gam2,tiu3,zau2,zo2,#,cyun4-bou6-jan4,dou1,hai2-dou6,wan2,lou5-syu2-zai2,heoi3,zo2,bin1-dou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
little mouse,feel,a bit,tired,#,so,sit,-en,at,grandmother,there,#,grandmother,immediately,afraid,to,take,newspaper,randomly,hit,#,little mouse,very,afraid,-ly,jump,away,-en,#,everyone,all,right here,find,little mouse,go,-en,where,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,係,屋企,入面,最,驚,老鼠仔,嘅,人,。,佢哋,到,依家,都,仲未,揾,到,老鼠仔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa4-baa1,hai6,uk1-kei2,jap6-min6,zeoi3,geng1,lou5-syu2-zai2,ge3,jan4,#,keoi5-dei6,dou3,ji1-gaa1,dou1,zung6-mei6,wan2,dou2,lou5-syu2-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,is,home,inside,most,afraid,little mouse,(linker),person,#,they,till,now,also,not yet,find,-en,little mouse,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,老鼠仔,入咗,一,間,房,。,佢,跳,上去,，,見到,一個,BB,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,lou5-syu2-zai2,jap6-zo2,jat1,gaan3,fong2,#,keoi5,tiu3,soeng5-heoi3,#,gin3-dou2,jat1-go3,bi4-bi1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originally,little mouse,go in,one,(measure),room,#,it,jump,up,#,saw,one (measure),baby,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,點解,呢個,公仔,見到,我,唔,驚,嘅,，,好似,好鍾意,我,噉,㖭,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dim2-gaai2,ni1-go3,gung1-zai2,gin3-dou2,ngo5,m4,geng1,ge2,#,hou2-ci5,hou2-zung1-ji3,ngo5,gam2,tim1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,why,this,doll,see,me,not,afraid,(particle),#,seems,very like,I,in this way,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,佢,跟住,我,走,。,我,行,去,左面,，,佢,又,去,左面,，,點解,呢個,公仔,咁,搞笑,嘅,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,keoi5,gan1-zyu6,ngo5,zau2,#,ngo5,haang4,heoi3,zo2-min6,#,keoi5,jau6,heoi3,zo2-min6,#,dim2-gaai2,ni1-go3,gung1-zai2,gam3,gaau2-siu3,ge2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,he,follow,me,walk,#,I,walk,to,left,#,he,also,go to,left,#,why,this,doll,so,funny,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,老鼠,屋企人,出,晒,嚟,揾,老鼠仔,。,啲人類,見到,，,全部,驚,到,走,晒,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,#,lou5-syu2,uk1-kei2-jan4,ceot1,saai3,lai4,wan2,lou5-syu2-zai2,#,di1-jan4-leoi6,gin3-dou2,#,cyun4-bou6,geng1,dou3,zau2,saai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suddenly,#,mouse,family,out,all,come,to find,little mouse,#,those human,see,#,all,afraid,to,leave,all,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老鼠仔,爸爸,鬧,咗,老鼠仔,一,餐,，,但係,佢,都,仲係,好想,再,嚟,玩,多,一,次,啊,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-syu2-zai2,baa4-baa1,naau6,zo2,lou5-syu2-zai2,jat1,caan1,#,daan6-hai6,keoi5,dou1,zung6-hai6,hou2-soeng2,zoi3,lai4,waan2,do1,jat1,ci3,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
little mouse,father,scold,-en,little mouse,one,(measure),#,but,it,also,still,really want to,again,come,play,more,one,time,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
