[0],,,,,,,,,,,,,,,,,,,,,,,,,,
疫情,系列,,,,,,,,,,,,,,,,,,,,,,,,,
jik6-cing4,hai6-lit6,,,,,,,,,,,,,,,,,,,,,,,,,
pandemic,series,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,
今日,銀包,哥哥,終於,見到,護照,細佬,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,
西裝,哥哥,：,「,知,喇,知,喇,，,你,叻,晒,喇,」,,,,,,,,,,,,,
sai1-zong1,go4-go1,#,#,zi1,laa3,zi1,laa3,#,nei5,lek1,saai3,laa3,#,,,,,,,,,,,,,
suit,elder brother,#,#,know,(particle),know,(particle),#,you,brilliant,all,(particle),#,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,
哥哥,喺,個,櫃,入面,諗,嚟,諗,去,都,唔明,。,,,,,,,,,,,,,,,
go4-go1,hai2,go3,gwai6,jap6-min6,nam2,lai4,nam2,heoi3,dou1,m4-ming4,#,,,,,,,,,,,,,,,
elder brother,at,(measure),cabinet,inside,think,come,think,go,also,don't understand,#,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,又,冇,短,咗,舊,咗,，,點解,主人,唔着,我,？,」,,,,,,,,,,,,
#,ngo5,jau6,mou5,dyun2,zo2,gau6,zo2,#,dim2-gaai2,zyu2-jan4,m4-zoek3,ngo5,#,#,,,,,,,,,,,,
#,I,again,haven't,short,-ed,worn out,-ed,#,why,master,don't wear,me,#,#,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,
細佬,：,「,不如,你,學吓,我,啦,，,包,你,聽日,一定,出,到,櫃,」,,,,,,,,,,
sai3-lou2,#,#,bat1-jyu4,nei5,hok6-haa2,ngo5,laa1,#,baau1,nei5,ting1-jat6,jat1-ding6,ceot1,dou2,gwai6,#,,,,,,,,,,
younger brother,#,#,how about,you,learn,me,(particle),#,guarantee,you,tomorrow,sure,come out,can,cabinet,#,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,
哥哥,：,「,……,」,,,,,,,,,,,,,,,,,,,,,,
go4-go1,#,#,#,#,,,,,,,,,,,,,,,,,,,,,,
elder brother,#,#,#,#,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,
伯伯,喺,社區,中心,有,好多,好,朋友,,,,,,,,,,,,,,,,,,,
baak3-baak3,hai2,se5-keoi1,zung1-sam1,jau5,hou2-do1,hou2,pang4-jau5,,,,,,,,,,,,,,,,,,,
elderly man,at,community,centre,have,many,good,friends,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,
嗰度,仲,有,個,婆婆,同,佢,好,啱傾,,,,,,,,,,,,,,,,,,
go2-dou6,zung6,jau5,go3,po4-po2,tung4,keoi5,hou2,ngaam1-king1,,,,,,,,,,,,,,,,,,
there,even,have,(measure),old woman,with,him,very,have common topics,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,
佢,成日,講,笑話,畀,個,婆婆,聽,,,,,,,,,,,,,,,,,,,
keoi5,sing4-jat6,gong2,siu3-waa2,bei2,go3,po4-po2,teng1,,,,,,,,,,,,,,,,,,,
he,always,tell,jokes,for,(measure),old woman,to hear,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,
佢,今日,一朝早,又,行路,去,中心,揾,個,婆婆,,,,,,,,,,,,,,,,,
keoi5,gam1-jat6,jat1-ziu1-zou2,jau6,haang4-lou6,heoi3,zung1-sam1,wan2,go3,po4-po2,,,,,,,,,,,,,,,,,
he,today,early morning,again,walk,to go to,centre,to find,(measure),old woman,,,,,,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,
但,佢,唔見,婆婆,,,,,,,,,,,,,,,,,,,,,,,
daan6,keoi5,m4-gin3,po4-po2,,,,,,,,,,,,,,,,,,,,,,,
but,he,don't see,old woman,,,,,,,,,,,,,,,,,,,,,,,
[3f],,,,,,,,,,,,,,,,,,,,,,,,,,
到咗,下晝,，,都係,唔見,婆婆,,,,,,,,,,,,,,,,,,,,,
dou3-zo2,haa6-zau3,#,dou1-hai6,m4-gin3,po4-po2,,,,,,,,,,,,,,,,,,,,,
arrived,afternoon,#,still,don't see,old woman,,,,,,,,,,,,,,,,,,,,,
[3g],,,,,,,,,,,,,,,,,,,,,,,,,,
第二,日,，,佢,喺,嗰度,有,三,四,個,朋友,都,唔見,咗,,,,,,,,,,,,,
dai6-ji6,jat6,#,keoi5,hai2,go2-dou6,jau5,saam1,sei3,go3,pang4-jau5,dou1,m4-gin3,zo2,,,,,,,,,,,,,
the next,day,#,he,at,there,have,three,four,(measure),friends,also,disappear,-ed,,,,,,,,,,,,,
[3h],,,,,,,,,,,,,,,,,,,,,,,,,,
之後,佢,有,十四,日,返咗去,屋企,坐,,,,,,,,,,,,,,,,,,,
zi1-hau6,keoi5,jau5,sap6-sei3,jat6,faan1-zo2-heoi3,uk1-kei2,co5,,,,,,,,,,,,,,,,,,,
afterwards,he,have,fourteen,days,went back to,home,to sit,,,,,,,,,,,,,,,,,,,
[3i],,,,,,,,,,,,,,,,,,,,,,,,,,
原來,大家,都,隔離,咗,,,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,daai6-gaa1,dou1,gaak3-lei4,zo2,,,,,,,,,,,,,,,,,,,,,,
it turns out,everyone,all,quarantine,-ed,,,,,,,,,,,,,,,,,,,,,,
[3j],,,,,,,,,,,,,,,,,,,,,,,,,,
第十五,日,應該,見,到,喇,啩,,,,,,,,,,,,,,,,,,,,
dai6-sap6-ng5,jat6,jing1-goi1,gin3,dou2,laa3,gwaa3,,,,,,,,,,,,,,,,,,,,
the fifteenth,day,should,see,can,(particle),(particle),,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,
豬,家姐,：,「,今日,咩,事,，,啲,人,係唔係,未,起身,？,」,,,,,,,,,,,,
zyu1,gaa1-ze1,#,#,gam1-jat6,me1,si6,#,di1,jan4,hai6-m4-hai6,mei6,hei2-san1,#,#,,,,,,,,,,,,
pig,elder sister,#,#,today,what,matter,#,those,people,is or isn't,not yet,get up,#,#,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,
豬,細妹,：,「,係,喎,，,成,條,街,都,冇,人,嘅,…,諗諗吓,，,好似,呢排,已經,係,咁,」,,,,
zyu1,sai3-mui2,#,#,hai6,wo3,#,sing4,tiu4,gaai1,dou1,mou5,jan4,ge2,#,nam2-nam2-haa5,#,hou2-ci5,ni1-paai4,ji5-ging1,hai6,gam2,#,,,,
pig,younger sister,#,#,yes,(particle),#,the whole,(measure),street,all,don't have,people,-,#,thought and thought,#,seems,recently,already,is,in this way,#,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,
豬,家姐,：,「,呢,次,條,街,仲唔係,畀,我哋,行,晒,？,」,,,,,,,,,,,,
zyu1,gaa1-ze1,#,#,ni1,ci3,tiu4,gaai1,zung6-m4-hai6,bei2,ngo5-dei6,haang4,saai3,#,#,,,,,,,,,,,,
pig,elder sister,#,#,this,time,(measure),street,wouldn't it be,give,us,walk,all,#,#,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,
豬,細妹,：,「,不過,人,少,咗,，,嘢食,都,少,咗,啊,…,」,,,,,,,,,,,
zyu1,sai3-mui2,#,#,bat1-gwo3,jan4,siu2,zo2,#,je5-sik6,dou1,siu2,zo2,aa3,#,#,,,,,,,,,,,
pig,younger sister,#,#,but,people,few,-ed,#,food,also,few,-ed,(particle),#,#,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,
豬,家姐,：,「,你,都係,同,我,叫醒,返,啲,人,啦,。,」,,,,,,,,,,,,
zyu1,gaa1-ze1,#,#,nei5,dou1-hai6,tung4,ngo5,giu3-seng2,faan1,di1,jan4,laa1,#,#,,,,,,,,,,,,
pig,elder sister,#,#,you,had better,for,me,wake up,back,those,people,(particle),#,#,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,
呢排,好多,人,都,驚,個,肺,有,事,。,,,,,,,,,,,,,,,,,
ni1-paai4,hou2-do1,jan4,dou1,geng1,go3,fai3,jau5,si6,#,,,,,,,,,,,,,,,,,
recently,many,people,also,afraid,(measure),lung,have,matter,#,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,
A,：,「,你,有冇,事,？,」,,,,,,,,,,,,,,,,,,,
A,#,#,nei5,jau5-mou5,si6,#,#,,,,,,,,,,,,,,,,,,,
A,#,#,you,have or haven't,matter,#,#,,,,,,,,,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,
B,：,「,冇事,冇事,，,我,唔多,去街,，,點會,有,事,？,你又點,？,」,,,,,,,,,,
B,#,#,mou5-si6,mou5-si6,#,ngo5,m4-do1,heoi3-gaai1,#,dim2-wui5,jau5,si6,#,nei5-jau6-dim2,#,#,,,,,,,,,,
B,#,#,all right,all right,#,I,not often,go out,#,how come,have,matter,#,how about you,#,#,,,,,,,,,,
[5d],,,,,,,,,,,,,,,,,,,,,,,,,,
C,：,「,我,個,肺,好,咗,喎,！,」,,,,,,,,,,,,,,,,
C,#,#,ngo5,go3,fai3,hou2,zo2,wo3,#,#,,,,,,,,,,,,,,,,
C,#,#,I,(measure),lung,good,-ed,(particle),#,#,,,,,,,,,,,,,,,,
[5e],,,,,,,,,,,,,,,,,,,,,,,,,,
B,：,「,冇可能,！,你,日日,都,喺,出面,㗎,？,」,,,,,,,,,,,,,,
B,#,#,mou5-ho2-nang4,#,nei5,jat6-jat6,dou1,hai2,ceot1-min6,gaa3,#,#,,,,,,,,,,,,,,
B,#,#,impossible,#,you,every day,all,at,outside,(particle),#,#,,,,,,,,,,,,,,
[5f],,,,,,,,,,,,,,,,,,,,,,,,,,
C,：,「,因為,我,係,地球,！,啲,人,做,少,咗,嘢,，,空氣,污染,就,少,咗,，,,,,,,
C,#,#,jan1-wai6,ngo5,hai6,dei6-kau4,#,di1,jan4,zou6,siu2,zo2,je5,#,hung1-hei3,wu1-jim5,zau6,siu2,zo2,#,,,,,,
C,#,#,because,I,am,the Earth,#,those,people,do,few,-ed,thing,#,air,pollution,as a result,less,-ed,#,,,,,,
[5g],,,,,,,,,,,,,,,,,,,,,,,,,,
我,個,肺,咪,好,咗,囉,。,但,而家,到,我,個,肚,有,事,…,」,,,,,,,,,
ngo5,go3,fai3,mai6,hou2,zo2,lo1,#,daan6,ji4-gaa1,dou3,ngo5,go3,tou5,jau5,si6,#,#,,,,,,,,,
I,(measure),lung,then,good,-ed,(particle),#,but,now,come to,I,(measure),tummy,have,matter,#,#,,,,,,,,,
[5h],,,,,,,,,,,,,,,,,,,,,,,,,,
A,：,「,你,個,肚,有,咩,事,啊,？,」,,,,,,,,,,,,,,,
ei1,#,#,nei5,go3,tou5,jau5,me1,si6,aa3,#,#,,,,,,,,,,,,,,,
A,#,#,you,(measure),tummy,have,what,matter,(particle),#,#,,,,,,,,,,,,,,,
[5i],,,,,,,,,,,,,,,,,,,,,,,,,,
C,：,「,啲,人,食,咁,多,飯盒,…,」,,,,,,,,,,,,,,,,
si1,#,#,di1,jan4,sik6,gam3,do1,faan6-hap2,#,#,,,,,,,,,,,,,,,,
C,#,#,those,people,eat,this,many,boxed meals,#,#,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,
阿狗,：,「,啲,人,都,有,今日,喇,！,之前,佢哋,仲,成日,揾,嘢,包住,我,個,口,，,,,,,,
aa3-gau2,#,#,di1,jan4,dou1,jau5,gam1-jat6,laa3,#,zi1-cin4,keoi5-dei6,zung6,sing4-jat6,wan2,je5,baau1-zyu6,ngo5,go3,hau2,#,,,,,,
Ah dog,#,#,those,people,also,have,today,(particle),#,before,they,even,always,find,things,wrap,I,(measure),mouth,#,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,
而家,到,佢哋,受,喇,！,今,次,仲唔到我,做,佢哋,主人,？,」,,,,,,,,,,,,,
ji4-gaa1,dou3,keoi5-dei6,sau6,laa3,#,gam1,ci3,zung6-m4-dou3-ngo5,zou6,keoi5-dei6,zyu2-jan4,#,#,,,,,,,,,,,,,
now,come to,they,suffer,(particle),#,this,time,wouldn't it be my turn,to be,they,master,#,#,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,
阿貓,：,「,哦,。,」,,,,,,,,,,,,,,,,,,,,,
aa3-maau1,#,#,o4,#,#,,,,,,,,,,,,,,,,,,,,,
Ah cat,#,#,Oh!,#,#,,,,,,,,,,,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,,,,,,,,
細佬,：,「,阿狗,！,」,,,,,,,,,,,,,,,,,,,,,
sai3-lou2,#,#,aa3-gau2,#,#,,,,,,,,,,,,,,,,,,,,,
younger brother,#,#,Ah dog,#,#,,,,,,,,,,,,,,,,,,,,,
[6e],,,,,,,,,,,,,,,,,,,,,,,,,,
阿狗,即刻,跑,去,細佬,度,。,,,,,,,,,,,,,,,,,,,,
aa3-gau2,zik1-hak1,paau2,heoi3,sai3-lou2,dou6,#,,,,,,,,,,,,,,,,,,,,
Ah dog,at once,run,to,younger brother,there,#,,,,,,,,,,,,,,,,,,,,
[6f],,,,,,,,,,,,,,,,,,,,,,,,,,
細佬,：,「,坐,坐,、,手,手,、,轉圈圈,！,」,,,,,,,,,,,,,,,
sai3-lou2,#,#,co5,co5,#,sau2,sau2,#,zyun3-hyun1-hyun1,#,#,,,,,,,,,,,,,,,
younger brother,#,#,sit,sit,#,hand,hand,#,go round,#,#,,,,,,,,,,,,,,,
[6g],,,,,,,,,,,,,,,,,,,,,,,,,,
阿狗,即刻,坐,坐,、,畀,手,手,、,轉圈圈,。,,,,,,,,,,,,,,,,
aa3-gau2,zik1-hak1,co5,co5,#,bei2,sau2,sau2,#,zyun3-hyun1-hyun1,#,,,,,,,,,,,,,,,,
Ah dog,at once,sit,sit,#,give,hand,hand,#,go round,#,,,,,,,,,,,,,,,,
[6h],,,,,,,,,,,,,,,,,,,,,,,,,,
阿狗,：,「,喂,阿貓,！,你,仲,等,啲,咩,，,快啲,過嚟,一齊,做,啦,，,做,咗,會,有,好,嘢食,㗎,！,」
aa3-gau2,#,#,wai3,aa3-maau1,#,nei5,zung6,dang2,di1,me1,#,faai3-di1,gwo3-lai4,jat1-cai4,zou6,laa1,#,zou6,zo2,wui5,jau5,hou2,je5-sik6,gaa3,#,#
Ah dog,#,#,Hey!,Ah cat,#,you,still,wait,the,what,#,faster,come,together,do,(particle),#,do,-ed,will,have,good,food,(particle),#,#
[6i],,,,,,,,,,,,,,,,,,,,,,,,,,
阿貓,：,「,……,」,（,乜嘢,都,唔洗,做,噉,食,緊,細佬,畀,嘅,好,嘢食,）,,,,,,,,
aa3-maau1,#,#,#,#,#,mat1-je5,dou1,m4-sai2,zou6,gam2,sik6,gan2,sai3-lou2,bei2,ge3,hou2,je5-sik6,#,,,,,,,,
Ah cat,#,#,#,#,#,what,all,need not,do,in this way,eat,-ing,younger brother,give,-,good,food,#,,,,,,,,
