ngo5,m4-gin3,jau5,baa1-si2,#,syu1-baau1,jau6,cung5,#,jau5-di1,m4,hoi1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,cannot see,have,bus,#,schoolbag,also,heavy,#,a bit,not,happy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五,分鐘,後,，,有,巴士,喇,。,媽媽,同,我,一齊,上車,。,巴士,入面,有,好多,人,，,好多,都,要,企,。,我,冇,位,坐,，,又,孭,住,個,大,書包,，,唔係,咁,開心,。
ng5,fan1-zung1,hau6,#,jau5,baa1-si2,laa3,#,maa4-maa1,tung4,ngo5,jat1-cai4,soeng5-ce1,#,baa1-si2,jap6-min6,jau5,hou2-do1,jan4,#,hou2-do1,dou1,jiu3,kei5,#,ngo5,mou5,wai2,co5,#,jau6,me1,zyu6,go3,daai6,syu1-baau1,#,m4-hai6,gam3,hoi1-sam1,#
five,minute,later,#,have,bus,(particle),#,mother,with,I,together,get on,#,bus,inside,have,many,people,#,many,also,need to,stand,#,I,don't have,seat,to sit,#,also,carry,-ing,(measure),big,schoolbag,#,is not,so,happy,#
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,同,媽媽,講,：,「,媽媽,，,書包,好,重,，,我,想,坐,下,。,」,,,,,,,,,,,,,,,,,,,,,,,
ngo5,tung4,maa4-maa1,gong2,#,#,maa4-maa1,#,syu1-baau1,hou2,cung5,#,ngo5,soeng2,co5,haa5,#,#,,,,,,,,,,,,,,,,,,,,,,,
I,to,mother,to say,#,#,mother,#,schoolbag,very,heavy,#,I,to want,to sit,a bit,#,#,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,話,：,「,企,一陣,啦,，,冇,位,呀,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,waa6,#,#,kei5,jat1-zan6,laa1,#,mou5,wai2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,to say,#,#,stand,a while,(particle),#,don't have,seat,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,個,叔叔,企,起身,同,我,講,：,「,小朋友,，,呢度,有,個,位,，,你,坐,啦,！,叔叔,唔,坐,喇,。,」,,,,,,,,,,,,,,
jau5,go3,suk1-suk1,kei5,hei2-san1,tung4,ngo5,gong2,#,#,siu2-pang4-jau5,#,ni1-dou6,jau5,go3,wai2,#,nei5,co5,laa1,#,suk1-suk1,m4,co5,laa3,#,#,,,,,,,,,,,,,,
have,(measure),uncle,stand,up,to,I,to say,#,#,child,#,here,have,(measure),seat,#,you,to sit,(particle),#,uncle,not,to sit,(particle),#,#,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,同,叔叔,講,：,「,噉樣,唔好意思,嘅,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,tung4,suk1-suk1,gong2,#,#,gam2-joeng2,m4-hou2-ji3-si1,ge3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,to,uncle,to say,#,#,in this way,so embarassed,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叔叔,話,：,「,唔緊要,，,俾,小朋友,坐,啦,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suk1-suk1,waa6,#,#,m4-gan2-jiu3,#,bei2,siu2-pang4-jau5,co5,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncle,to say,#,#,doesn't matter,#,to give,child,to sit,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,話,：,「,多謝,你,啊,！,細妹,，,講,『,多謝,叔叔,』,啦,！,」,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,waa6,#,#,do1-ze6,nei5,aa3,#,sai3-mui2,#,gong2,#,do1-ze6,suk1-suk1,#,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,
mother,to say,#,#,thank you,you,(particle),#,younger sister,#,to say,#,thank you,uncle,#,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,坐低,之後,，,對,住,叔叔,笑,咗,一,笑,：,「,多謝,叔叔,！,多謝,叔叔,！,」,,,,,,,,,,,,,,,,,,,,,
ngo5,co5-dai1,zi1-hau6,#,deoi3,zyu6,suk1-suk1,siu3,zo2,jat1,siu3,#,#,do1-ze6,suk1-suk1,#,do1-ze6,suk1-suk1,#,#,,,,,,,,,,,,,,,,,,,,,
I,sit down,after,#,face,-ing,uncle,to smile,-en,one,smile,#,#,thank you,uncle,#,thank you,uncle,#,#,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,一陣,，,有,個,婆婆,上,咗,巴士,。,佢,望,一,望,，,架,巴士,企,滿,晒,人,。,,,,,,,,,,,,,,,,,,
gwo3,zo2,jat1-zan6,#,jau5,go3,po4-po2,soeng5,zo2,baa1-si2,#,keoi5,mong6,jat1,mong6,#,gaa3,baa1-si2,kei5,mun5,saai3,jan4,#,,,,,,,,,,,,,,,,,,
to pass,-en,a while,#,have,(measure),old woman,get on,-en,bus,#,she,to look,one,look,#,(measure),bus,stand,full,all,people,#,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冇人,企,起身,。,我,諗,咗,一陣,，,最後,都係,企,咗,起身,，,同,婆婆,講,：,「,婆婆,，,婆婆,！,呢度,有,個,位,，,你,坐,啦,！,我,唔,坐,喇,！,」,,
mou5-jan4,kei5,hei2-san1,#,ngo5,nam2,zo2,jat1-zan6,#,zeoi3-hau6,dou1-hai6,kei5,zo2,hei2-san1,#,tung4,po4-po2,gong2,#,#,po4-po2,#,po4-po2,#,ni1-dou6,jau5,go3,wai2,#,nei5,co5,laa1,#,ngo5,m4,co5,laa3,#,#,,
no one,stand,up,#,I,to think,-en,a while,#,at the end,then,stand,-en,up,#,to,old woman,to say,#,#,granny,#,granny,#,here,have,(measure),seat,#,you,to sit,(particle),#,I,not,to sit,(particle),#,#,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴士,上,嘅,人,都,拍手,話,我,係,「,叻女,」,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa1-si2,soeng6,ge3,jan4,dou1,paak3-sau2,waa6,ngo5,hai6,#,lek1-neoi2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bus,on,(linker),people,"all, also",to clap hands,to say,I,is,#,smart girl,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
