actually,I,also,feel,I,oneself,#,lonely and forlorn,#,,,,,,,,
[4c],,,,,,,,,,,,,,,,
其實,我,希望,唔記得,，,喊,咗,幾多,次,。,,,,,,,
kei4-sat6,ngo5,hei1-mong6,m4-gei3-dak1,#,haam3,zo2,gei2-do1,ci3,#,,,,,,,
actually,I,hope,to forget,#,cry,-en,how many,time,#,,,,,,,
[4d],,,,,,,,,,,,,,,,
其實,我,繼續,畀,機會,你,，,再,試,一,試,。,,,,,
kei4-sat6,ngo5,gai3-zuk6,bei2,gei1-wui6,nei5,#,zoi3,si3,jat1,si3,#,,,,,
actually,I,continue,to give,chance,you,#,again,try,one,try,#,,,,,
[5a],,,,,,,,,,,,,,,,
我,差唔多,已經,唔記得,我,跟,咗,你,幾,年,。,,,,,,
ngo5,caa1-m4-do1,ji5-ging1,m4-gei3-dak1,ngo5,gan1,zo2,nei5,gei2,nin4,#,,,,,,
I,almost,already,forget,I,follow,-en,you,how many,year,#,,,,,,
[5b],,,,,,,,,,,,,,,,
跟,你,咁,多,年,有,幾多,夜晚,失,咗,幾多,眠,。,,,,
gan1,nei5,gam3,do1,nin4,jau5,gei2-do1,je6-maan5,sat1,zo2,gei2-do1,min4,#,,,,
follow,you,so,many,year,have,how many,night,lose,-en,how much,sleep,#,,,,
[5c],,,,,,,,,,,,,,,,
失眠,想,打畀,你,傾計,換,嚟,幾多,個,唔方便,。,,,,,,
sat1-min4,soeng2,daa2-bei2,nei5,king1-gai2,wun6,lei4,gei2-do1,go3,m4-fong1-bin6,#,,,,,,
insomnia,want to,call,you,chat,in exchange,come,how many,(measure),inconvenience,#,,,,,,
[5d],,,,,,,,,,,,,,,,
咁,多,個,唔方便,愛嚟,回應,全部,滄海,同,桑田,。,,,,,,
gam3,do1,go3,m4-fong1-bin6,oi3-lei4,wui4-jing3,cyun4-bou6,cong1-hoi2,tung4,song1-tin4,#,,,,,,
so,many,(measure),inconvenience,used for,respond to,all,"""vast sea""",and,"""farmland""",#,,,,,,
[6a],,,,,,,,,,,,,,,,
上個月,二十九,日,，,下午,四,點,三十,分,。,,,,,,,
soeng6-go3-jyut6,ji6-sap1-gau1,jat6,#,haa6-ng5,sei3,dim2,saam1-sap6,fan1,#,,,,,,,
last month,twenty-nine,-th,#,afternoon,four,o'clock,thirty,minute,#,,,,,,,
[6b],,,,,,,,,,,,,,,,
有人話,喺,火車站,見到,你,攬,女,你,話,你,自己,一個人,。,,,,
jau5-jan4-waa6,hai2,fo2-ce1-zaam6,gin3-dou2,nei5,laam5,neoi2,nei5,waa6,nei5,zi6-gei2,jat1-go3-jan4,#,,,,
somebody says,at,train station,saw,you,hug,girl,you,say,you,oneself,alone,#,,,,
[6c],,,,,,,,,,,,,,,,
我,同,你,一齊,咁,耐,都,仲,未,分,到,邊,一,句,係,真,。
ngo5,tung4,nei5,jat1-cai4,gam3,noi6,dou1,zung6,mei6,fan1,dou2,bin1,jat1,geoi3,hai6,zan1,#
I,with,you,together,so,long time,"all, also",even,not yet,identify,(suffix),which,one,sentence,is,true,#
[6d],,,,,,,,,,,,,,,,
每日,差唔多,嘅,大話,同埋,每日,揾,我,笨,。,,,,,,,
mui5-jat6,caa1-m4-do1,ge3,daai6-waa6,tung4-maai4,mui5-jat6,wan2,ngo5,ban6,#,,,,,,,
every day,similar,(linker),lies,and,every day,look for,I,foolishness,#,,,,,,,
[7a],,,,,,,,,,,,,,,,
我,希望,你,話,嗰個,女仔,只係,你,公司,女,同事,。,,,,,
ngo5,hei1-mong6,nei5,waa6,go2-go3,neoi5-zai2,zi2-hai6,nei5,gung1-si1,neoi2,tung4-si6,#,,,,,
I,hope,you,say,that,girl,just only,you,company,female,colleague,#,,,,,
[7b],,,,,,,,,,,,,,,,
希望,你,親口,同,我,講,你哋,食飯,都,除,二,。,,,,,
hei1-mong6,nei5,can1-hau2,tung4,ngo5,gong2,nei5-dei6,sik6-faan6,dou1,ceoi4,ji6,#,,,,,
hope,you,in person,to,I,say,you (plural),eat meal,also,divide,two,#,,,,,
[7c],,,,,,,,,,,,,,,,
原來,你,可以,由頭到尾,都,只係,當,冇,呢,件,事,。,,,,,
jyun4-loi4,nei5,ho2-ji5,jau4-tau4-dou3-mei5,dou1,zi2-hai6,dong1,mou5,nei1,gin6,si6,#,,,,,
it turns out,you,can,from the begining to the end,"all, also",just only,act as if,don't have,this,(measure),matter,#,,,,,
[7d],,,,,,,,,,,,,,,,
呢個,人,其實,已經,唔,再,值得,我,鍾意,。,,,,,,,
ni1-go3,jan4,kei4-sat6,ji5-ging1,m4,zoi3,zik6-dak1,ngo5,zung1-ji3,#,,,,,,,
this,person,actually,already,not,again,worthy,I,like,#,,,,,,,
[8a],,,,,,,,,,,,,,,,
我,已經,好,攰,同,你,再,冇,感覺,一切,到此為止,。,,,,,
ngo5,ji5-ging1,hou2,gui6,tung4,nei5,zoi3,mou5,gam2-gok3,jat1-cai3,dou3-ci2-wai4-zi2,#,,,,,
I,already,very,tired,with,you,again,don't have,feeling,everything,call it quit,#,,,,,
[8b],,,,,,,,,,,,,,,,
以後,你,有,你,嘅,生活,，,我,乜嘢,都,唔知,。,,,,,
ji5-hau6,nei5,jau5,nei5,ge3,sang1-wut6,#,ngo5,mat1-je5,dou1,m4-zi1,#,,,,,
afterwards,you,have,you,’s,living,#,I,what,"all, also",don't know,#,,,,,
[8c],,,,,,,,,,,,,,,,
唔好,揾,我,唔好,搞,我,機會,唔,再,畀,多,次,。,,,,
m4-hou2,wan2,ngo5,m4-hou2,gaau2,ngo5,gei1-wui6,m4,zoi3,bei2,do1,ci3,#,,,,
do not,look for,I,do not,bother,I,chance,not,again,give,more,time,#,,,,
[8d],,,,,,,,,,,,,,,,
今日,我,決定,做嘢,話,一,就,一,話,二,就,二,。,,,,
gam1-jat6,ngo5,kyut3-ding6,zou6-je5,waa6,jat1,zau6,jat1,waa6,ji6,zau6,ji6,#,,,,
today,I,decide,to work,say,one,then,one,say,two,then,two,#,,,,
