#,dong1-si4,hoeng1-gong2,zung6,mei6,jau5,ji4-gaa1,gam3,sing4-suk6,ho2-kaau3,ge3,gung1-seoi2,hai6-tung2,#,gaa1-gaa1-wu6-wu6,zau6-syun3,jau5,seoi2-hau4,#,jat1,dou3,zai3-seoi2,zau6,mou5,seoi2,ceot1,#,jiu3,paai3,jan4,lok6-lau2-haa6,lo2,seoi2,#,so2-ji5,jiu3,jung6,tit3,tung2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,at that time,Hong Kong,stiill,not yet,have,now,so,developed,reliable,(linker),water supply,system,#,each and every family,even if,have,water pipe,#,once,arrive,water rationing,then,don't have,water,to come out,#,need to,send,people,to go downstairs,to take,water,#,therefore,need to,use,iron,bucket,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,個,桶,咁,細,，,裝,到,水,咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,go3,tung2,gam3,sai3,#,zong1,dou2,seoi2,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,(measure),bucket,so,small,#,carry,can,water,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,裝,到,，,嗰時,你,公公,屋企,窮,，,大,嘅,水桶,又,太,搶手,，,結果,我哋,見到,有,咩,桶,就,買,咩,桶,，,包括,而家,呢個,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zong1,dou2,#,go2-si4,nei5,gung1-gung1,uk1-kei2,kung4,#,daai6,ge3,seoi2-tung2,jau6,taai3,coeng2-sau2,#,git3-gwo2,ngo5-dei6,gin3-dou2,jau5,me1,tung2,zau6,maai5,me1,tung2,#,baau1-kut3,ji4-gaa1,nei1-go3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,carry,can,#,at that time,you,grandfather,family,poor,#,big,(linker),bucket,also,too,sought-after,#,as a result,we,saw,have,whatever,bucket,then,buy,whatever,bucket,#,include,now,this one,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咁,少,水,可以,攞,嚟,做,乜,啊,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gam3,siu2,seoi2,ho2-ji5,lo2,lai4,zou6,mat1,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,so,little,water,can,take,to,do,what,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔好,睇小,個,桶,咁,細,啊,，,佢,夠,我哋,煲,幾,日,嘅,水,㗎啦,！,起碼,唔使,頸渴,冇,水,飲,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,m4-hou2,tai2-siu2,go3,tung2,gam3,sai3,aa3,#,keoi5,gau3,ngo5-dei6,bou1,gei2,jat6,ge3,seoi2,gaa3-laa3,#,hei2-maa5,m4-sai2,geng2-hot3,mou5,seoi2,jam2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,do not,underestimate,(measure),bucket,so,small,(particle),#,it,enough,we,boil,several,day,(linker),water,(particle),#,at least,no need,thirsty,don't have,water,to drink,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,老師,話,一個人,一日,要,飲,八,杯,水,，,你哋,咁,多,人,，,咪,唔,夠,飲,囉,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,lou5-si1,waa6,jat1-go3-jan4,jat1-jat6,jiu3,jam2,baat3,bui1,seoi2,#,nei5-dei6,gam3,do1,jan4,#,mai6,m4,gau3,jam2,lo1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,teacher,say,a person,one day,need,to drink,eight,cup,water,#,you (plural),so,many,people,#,then,not,enough,to drink,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唯有,就住,就住,啦,，,當時,我哋,唔,到,頸渴,都,唔,飲,水,，,怕,嘥,水,。,不過,好彩,，,我哋,每,次,水車,嚟,都,攞,到,水,，,而且,就算,頸渴,都,可以,食,生果,，,靠,入面,嘅,果汁,頂住,先,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wai4-jau5,zau6-zyu6,zau6-zyu6,laa1,#,dong1-si4,ngo5-dei6,m4,dou3,geng2-hot3,dou1,m4,jam2,seoi2,#,paa3,saai1,seoi2,#,bat1-gwo3,hou2-coi2,#,ngo5-dei6,mui5,ci3,seoi2-ce1,lai4,dou1,lo2,dou2,seoi2,#,ji4-ce2,zau6-syun3,geng2-hot3,dou1,ho2-ji5,sik6,saang1-gwo2,#,kaau3,jap6-min6,ge3,gwo2-zap1,ding2-zyu6,sin1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,only,accommodating,accommodating,(particle),#,at that time,we,not,until,thirsty,"all, also",not,drink,water,#,fear,to waste,water,#,however,luckily,#,we,every,time,water wagons,come,"all, also",take,can,water,#,and that,even if,thirsty,also,can,eat,fruit,#,rely,inside,(linker),fruit juice,withstanding,first,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好,聰明,呀,，,我,都,諗,唔到,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2,cung1-ming4,aa4,#,ngo5,dou1,nam2,m4-dou2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,very,clever,(particle),#,I,also,think,cannot,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,傻女,嚟,嘅,，,當時,我哋,生活,艱難,，,要,生活,就,要,諗,計仔,。,我哋,嗰個,年代,，,唔,諗,計仔,就,咩,都,蝕底,過,人,㗎喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,so4-neoi2,lai4,ge3,#,dong1-si4,ngo5-dei6,sang1-wut6,gaan1-naan4,#,jiu3,sang1-wut6,zau6,jiu3,nam2,gai2-zai2,#,ngo5-dei6,go2-go3,nin4-doi6,#,m4,nam2,gai2-zai2,zau6,me1,dou1,sit6-dai2,gwo3,jan4,gaa3-laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,silly girl,(particle),(particle),#,at that time,we,livelihood,tough,#,need to,live,then,need to,think,tactics,#,we,that,era,#,not,think,tactics,then,whatever,"all, also",unfavorable,than,others,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,例如,呢,？,」,阿妹,好,想,知,答案,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,lai6-jyu4,ne1,#,#,aa3-mui2,hou2,soeng2,zi1,daap3-on3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,for example,(particle),#,#,younger sister,very,want,to know,answer,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,例如,當時,制水,，,有時,兩,日,供,一,次,水,，,有時,四,日,供,一,次,水,，,但,中間,啲人,都,可能,唔,夠,水,用,，,就,唯有,諗,辦法,揾,多啲,水,，,譬如,去,附近,山澗,睇下,有冇,水,，,或者,喺,天台,撐起,帆布,嚟,收集,雨水,。,」,,,,,,,,,,,,,,,,,,,,,,,,,
#,lai6-jyu4,dong1-si4,zai3-seoi2,#,jau5-si4,loeng5,jat6,gung1,jat1,ci3,seoi2,#,jau5-si4,sei3,jat6,gung1,jat1,ci3,seoi2,#,daan6,zung1-gaan1,di1-jan4,dou1,ho2-nang4,m4,gau3,seoi2,jung6,#,zau6,wai4-jau5,nam2,baan6-faat3,wan2,do1-di1,seoi2,#,pei3-jyu4,heoi3,fu6-gan6,saan1-gaan3,tai2-haa5,jau5-mou5,seoi2,#,waak6-ze2,hai2,tin1-toi2,caang3-hei2,faan4-bou3,lai4,sau1-zaap6,jyu5-seoi2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
#,for example,at that time,water rationing,#,sometimes,two,day,supply,one,time,water,#,sometimes,four,day,supply,one,time,water,#,but,meanwhile,people,"all, also",possible,not,enough,water,to use,#,then,only,think,way,to find,more,water,#,for example,go,nearby,stream,to take a look,have or haven't,water,#,or,at,rooftop,raise,canvas,to,collect,rain water,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好,犀利,啊,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2,sai1-lei6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,very,awesome,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,逆境,求生,就,係噉,㗎啦,，,媽媽,成長,嗰個,年代,人人,都係,噉,，,冇話,叻唔叻,，,你,都,可以,好似,媽媽,噉,咁,叻,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jik6-ging2,kau4-sang1,zau6,hai6-gam2,gaa3-laa1,#,maa4-maa1,sing4-zoeng2,go2-go3,nin4-doi6,jan4-jan4,dou1-hai6,gam2,#,mou5-waa6,lek1-m4-lek1,#,nei5,dou1,ho2-ji5,hou2-ci5,maa4-maa1,gam2,gam3,lek1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,adversity,survival,then,in this way,(particle),#,mother,grow up,that,era,everyone,also is,in this way,#,wouldn't say,smart or not,#,you,also,can,be like,mother,in that way,so,smart,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好,，,我,要,好似,媽媽,咁,叻,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2,#,ngo5,jiu3,hou2-ci5,maa4-maa1,gam3,lek1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,good,#,I,want,to be like,mother,so,smart,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嗱,，,呢個,桶,呢,，,而家,就,唔,會,再,攞,嚟,裝,食水,㗎喇,，,不過,你,可以,用,佢,裝,半,桶,水喉水,，,落,少少,清潔劑,，,然後,抹下,廚房,啲,牆,啦,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,naa4,#,ni1-go3,tung2,ne1,#,ji4-gaa1,zau6,m4,wui5,zoi3,lo2,lai4,zong1,sik6-seoi2,gaa3-laa3,#,bat1-gwo3,nei5,ho2-ji5,jung6,keoi5,zong1,bun3,tung2,seoi2-hau4-seoi2,#,lok6,siu2-siu2,cing1-git3-zai1,#,jin4-hau6,mut3-haa5,cyu4-fong2,di1,coeng4,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,look,#,this,bucket,(particle),#,now,then,not,will,again,take,to,carry,drinking water,(particle),#,however,you,can,use,it,to carry,half,bucket of,tap water,#,put,a bit,detergent,#,then,wipe,kitchen,(linker),wall,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,good,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,一路,執,屋,，,一路,靜靜地,聽,媽媽,同,阿妹,嘅,對話,。,唔,聽,都,唔知,原來,媽媽,細個,嘅,生活,條件,咁,差,，,亦,開始,明白,媽媽,點解,成日,同,我哋,講,「,你哋,係,唔,會,明白,媽媽,嗰個,年代,嘅,生活,苦,況,」,，,真係,好,慶幸,自己,出生,喺,一個,比較,好,嘅,年代,。,唔知,如果,自己,出生,喺,媽媽,個,年代,，,我,又,會唔會,適應,到,同,生存,到,呢,？
ngo5,jat1-lou6,zap1,uk1,#,jat1-lou6,zing6-zing6-dei6,teng1,maa4-maa1,tung4,aa3-mui2,ge3,deoi3-waa6,#,m4,teng1,dou1,m4-zi1,jyun4-loi4,maa4-maa1,sai3-go3,ge3,sang1-wut6,tiu4-gin2,gam3,caa1,#,jik6,hoi1-ci2,ming4-baak6,maa4-maa1,dim2-gaai2,sing4-jat6,tung4,ngo5-dei6,gong2,#,nei5-dei6,hai6,m4,wui5,ming4-baak6,maa4-maa1,go2-go3,nin4-doi6,ge3,sang1-wut6,fu2,fong3,#,#,zan1-hai6,hou2,hing3-hang6,zi6-gei2,ceot1-sang1,hai2,jat1-go3,bei2-gaau3,hou2,ge3,nin4-doi6,#,m4-zi1,jyu4-gwo2,zi6-gei2,ceot1-sang1,hai2,maa4-maa1,go3,nin4-doi6,#,ngo5,jau6,wui5-m4-wui5,sik1-jing3,dou2,tung4,sang1-cyun4,dou2,ne1,#
I,while,tidy,house,#,while,quietly,listen to,mother,and,younger sister,(linker),dialogue,#,not,listen to,"all, also",don't know,it turns out,mother,young,(linker),livelihood,condition,so,bad,#,also,begin,understand,mother,why,always,to,we,say,#,you (plural),is,not,will,understand,mother,that,era,(linker),livelihood,bitter,condition,#,#,really,very,feel lucky,oneself,born,at,one (measue),comparatively,good,(linker),era,#,don't know,if,oneself,born,at,mother,(measure),age,#,I,again,will or will not,adapt,can,and,survive,can,(particle),#
