(measure),dinosaur,little,so,small,(measure),#,I,guess,I,baby,that time,also,should,big,-er,it,#,I,to,it,say,#,#,how about,I,call,you,dinosaur,little,(particle),#,#,it,very,happy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,又,望,下,四周,，,原來,呢度,仲有,好多,唔同,恐龍,，,有啲,識,飛,，,有啲,識,游水,。,佢哋,唔,會,打交,，,仲,會,好,開心,噉,一齊,玩,。,如果,我,有,架,車,或者,識,飛,就,好,喇,！,噉,我,就,可以,再,行,遠,啲,，,睇,多啲,。,之後,我,晚,晚,都,會,夢,到,同,恐龍,仔,一齊,玩,。,,,,,,,,,,,,,,
ngo5,jau6,mong6,haa5,sei3-zau1,#,jyun4-loi4,nei1-dou6,zung6-jau5,hou2-do1,m4-tung4,hung2-lung4,#,jau5-di1,sik1,fei1,#,jau5-di1,sik1,jau4-seoi2,#,keoi5-dei6,m4,wui5,daa2-gaau1,#,zung6,wui5,hou2,hoi1-sam1,gam2,jat1-cai4,waan2,#,jyu4-gwo2,ngo5,jau5,gaa3,ce1,waak6-ze2,sik1,fei1,zau6,hou2,laa3,#,gam2,ngo5,zau6,ho2-ji5,zoi3,haang4,jyun5,di1,#,tai2,do1-di1,#,zi1-hau6,ngo5,maan5,maan5,dou1,wui5,mung6,dou2,tung4,hung2-lung4,zai2,jat1-cai4,waan2,#,,,,,,,,,,,,,,
I,also,look,a bit,surroundings,#,it turns out,here,still have,many,different,dinosaur,#,some,know,to fly,#,some,know,to swim,#,they,not,will,fight,#,even,will,very,happy,-ly,together,play,#,if,I,have,(measure),car,or,know,to fly,then,good,(particle),#,then,I,as a result,can,further,walk,far,-er,#,look,more,#,after,I,night,night,"all, also",will,dream,(suffix),with,dinosaur,little,together,play,#,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,年,之後,，,恐龍,仔,變,咗,大,恐龍,，,我,估,佢,仲,大隻,過,一,架,車,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1,nin4,zi1-hau6,#,hung2-lung4,zai2,bin3,zo2,daai6,hung2-lung4,#,ngo5,gu2,keoi5,zung6,daai6-zek3,gwo3,jat1,gaa3,ce1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one,year,after,#,dinosaur,little,change,-en,big,dinosaur,#,I,guess,it,even,big,-er,one,(measure),car,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,估,佢,差少少,就,會,大隻,過,一,架,飛機,。,我,以為,我,同,佢,會,一直,開開心心,噉,玩,落去,，,點知,到,我,九,歲,嗰,年,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,gu2,keoi5,caa1-siu2-siu2,zau6,wui5,daai6-zek3,gwo3,jat1,gaa3,fei1-gei1,#,ngo5,ji5-wai4,ngo5,tung4,keoi5,wui5,jat1-zik6,hoi1-hoi1-sam1-sam1,gam2,waan2,lok6-heoi3,#,dim2-zi1,dou3,ngo5,gau2,seoi3,go2,nin4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,guess,it,almost,then,will,big,-er,one,(measure),airplane,#,I,think,I,and,it,will,keep on,very happy,-ly,play,onwards,#,unexpectedly,till,I,nine,year-old,that,year,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,爬,咗,上,恐龍,仔,個,頭,，,好,開心,噉,同,佢,講,：,「,恐龍,仔,，,我,過,埋,今日,就,十,歲,，,大個,仔,喇,！,」,點知,平時,成日,笑,嘅,恐龍,仔,，,呢,次,聽,完,粒,聲,都,唔,出,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,paa4,zo2,soeng5,hung2-lung4,zai2,go3,tau4,#,hou2,hoi1-sam1,gam2,tung4,keoi5,gong2,#,#,hung2-lung4,zai2,#,ngo5,gwo3,maai4,gam1-jat6,zau6,sap6,seoi3,#,daai6-go3,zai2,laa3,#,#,dim2-zi1,ping4-si4,sing4-jat6,siu3,ge3,hung2-lung4,zai2,#,nei1,ci3,teng1,jyun4,lap1,seng1,dou1,m4,ceot1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,climb,-en,up,dinosaur,little,(measure),head,#,very,happy,-ly,to,it,say,#,#,dinosaur,little,#,I,pass,also,today,then,ten,year-old,#,grow up,boy,(particle),#,#,unexpectedly,usually,always,smile,(linker),dinosaur,little,#,this,time,listen,finish,(measure),sound,all,not,out,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恐龍,仔,諗,咗,一陣,，,終於,走,咗,去,蘋果,樹,度,，,笑,住,噉,拎,咗,個,蘋果,畀,我,。,我,好,開心,噉,同,恐龍,仔,講,：,「,多謝,！,我,最,鍾意,食,蘋果,！,」,突然,，,我,聽到,頭,上,有,把,聲,講,：,「,阿魚,。,」,我,嚇,咗,一,跳,，,望,一,望,原來,係,恐龍,仔,！,,,,,,,,,,,,,,
hung2-lung4,zai2,nam2,zo2,jat1-zan6,#,zung1-jyu1,zau2,zo2,heoi3,ping4-gwo2,syu6,dou6,#,siu3,zyu6,gam2,ling1,zo2,go3,ping4-gwo2,bei2,ngo5,#,ngo5,hou2,hoi1-sam1,gam2,tung4,hung2-lung4,zai2,gong2,#,#,do1-ze6,#,ngo5,zeoi3,zung1-ji3,sik6,ping4-gwo2,#,#,dat6-jin4,#,ngo5,teng1-dou2,tau4,soeng6,jau5,baa2,seng1,gong2,#,#,aa3-jyu2,#,#,ngo5,haak3,zo2,jat1,tiu3,#,mong6,jat1,mong6,jyun4-loi4,hai6,hung2-lung4,zai2,#,,,,,,,,,,,,,,
dinosaur,little,think,-en,a while,#,finally,go,-en,to,apple,tree,there,#,smile,-ing,-ly,take,-en,(measure),apple,to give,I,#,I,very,happy,-ly,to,dinosaur,little,say,#,#,thank you,#,I,most,like,to eat,apple,#,#,suddenly,#,I,hear,head,above,have,(measure),sound,say,#,#,Ah Yu,#,#,I,frighten,-en,one,jump,#,look,one,look,it turns out,is,dinosaur,little,#,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,仲,諗住,問,佢,係,幾時,學識,講嘢,，,佢,就,先,一,步,話,：,「,呢,次,可能,係,我哋,最後,一,次,見,喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,zung6,nam2-zyu6,man6,keoi5,hai6,gei2-si4,hok6-sik1,gong2-je5,#,keoi5,zau6,sin1,jat1,bou6,waa6,#,#,nei1,ci3,ho2-nang4,hai6,ngo5-dei6,zeoi3-hau6,jat1,ci3,gin3,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,still,thinking about,ask,it,is,when,learnt,speaking,#,it,then,first,one,step,say,#,#,this,time,probably,is,we,last,one,time,meet,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,吓,！,點解,呀,？,」,我,即刻,問,。,佢,話,：,「,因為,你,已經,大個,仔,喇,。,每,個,小朋友,心,入面,都,有,一個,樂園,，,到,佢哋,十,歲,就,會,消失,……,包括,我,。,好,開心,喺,呢,三,年,識,到,你,，,呢,三,個,蘋果,就,送,畀,你,啦,。,」,「,鈴,鈴,……,」,鬧鐘,響,起,，,我,一,起身,就,望,到,牀,邊,有,三,個,蘋果,。
#,haa2,#,dim2-gaai2,aa3,#,#,ngo5,zik1-hak1,man6,#,keoi5,waa6,#,#,jan1-wai6,nei5,ji5-ging1,daai6-go3,zai2,laa3,#,mui5,go3,siu2-pang4-jau5,sam1,jap6-min6,dou1,jau5,jat1-go3,lok6-jyun4,#,dou3,keoi5-dei6,sap6,seoi3,zau6,wui5,siu1-sat1,#,baau1-kut3,ngo5,#,hou2,hoi1-sam1,hai2,nei1,saam1,nin4,sik1,dou2,nei5,#,nei1,saam1,go3,ping4-gwo2,zau6,sung3,bei2,nei5,laa1,#,#,#,ling1,ling1,#,#,naau6-zung1,hoeng2,hei2,#,ngo5,jat1,hei2-san1,zau6,mong6,dou2,cong4,bin1,jau5,saam1,go3,ping4-gwo2,#
#,what?,#,why,(particle),#,#,I,immediately,ask,#,it,say,#,#,because,you,already,grow up,boy,(particle),#,every,(measure),child,heart,inside,"all, also",have,one (measure),paradise,#,when,they,ten,year-old,then,will,disappear,#,include,I,#,very,happy,during,these,three,year,know,(suffix),you,#,these,three,(measure),apple,then,give,to,you,(particle),#,#,#,(bell ring),(bell ring),#,#,alarm clock,ring,up,#,I,once,get up,instantly,see,(suffix),bed,side,have,three,(measure),apple,#
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自此之後,我,就,冇,再,見,過,恐龍,仔,。,如果,有,人,問,我,嘅,好,朋友,係,邊個,，,我,會,答,：,「,恐龍,仔,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi6-ci2-zi1-hau6,ngo5,zau6,mou5,zoi3,gin3,gwo3,hung2-lung4,zai2,#,jyu4-gwo2,jau5,jan4,man6,ngo5,ge3,hou2,pang4-jau5,hai6,bin1-go3,#,ngo5,wui5,daap3,#,#,hung2-lung4,zai2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
since then,I,then,don't have,again,see,-ed,dinosaur,little,#,if,have,someone,ask,I,’s,good,friend,is,who,#,I,will,answer,#,#,dinosaur,little,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
