I,even,remember,she,nine,years-old,birthday,that,day,#,I,deliberately,take leave,#,ride bicycle,to go,to catch,she,after school,#,unexpectedly,she,once,saw,me,then,puff out one's checks,#,annoyed,-ly,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嗰陣,我,指,住,天空,同,阿女,講,：,「,你,睇下,，,太陽,伯伯,知道,你,今日,生日,，,特登,幫,天空,變,到,咁,藍,嚟,氹,你,開心,！,睇下,個,天空,幾,靚,？,」,,,,,,,,,,,,,,,,,,,,,
go2-zan6,ngo5,zi2,zyu6,tin1-hung1,tung4,aa3-neoi2,gong2,#,#,nei5,tai2-haa5,#,taai3-joeng4,baak3-baak3,zi1-dou3,nei5,gam1-jat6,saang1-jat6,#,dak6-dang1,bong1,tin1-hung1,bin3,dou3,gam3,laam4,lai4,tam3,nei5,hoi1-sam1,#,tai2-haa5,go3,tin1-hung1,gei2,leng3,#,#,,,,,,,,,,,,,,,,,,,,,
that time,I,point,-ing,the sky,with,daughter,say,#,#,you,take a look,#,the sun,uncle,know,you,today,birthday,#,deliberately,help,the sky,to change,to,so,blue,to,cheer up,you,happy,#,take a look,(measure),the sky,how,beautiful,#,#,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿女,聽,完,，,竟然,對住,天空,大,鬧,：,「,一,嚿,雲,都,冇,，,想,曬,死,我,咩,！,係咪,連,個,天,都,唔鍾意,我,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-neoi2,teng1,jyun4,#,ging2-jin4,deoi3-zyu6,tin1-hung1,daai6,naau6,#,#,jat1,gau6,wan4,dou1,mou5,#,soeng2,saai3,sei2,ngo5,me1,#,hai6-mai6,lin4,go3,tin1,dou1,m4-zung1-ji3,ngo5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daughter,hear,finished,#,unexpectedly,towards,sky,loudly,scold,#,#,one,(measure),cloud,all,don't have,#,want to,shine,to die,me,(particle),#,is or isn't,even,(measure),sky,also,not like,me,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
真係,唔知,阿女,發生,咩,事,咁,嬲爆爆,！,好彩,我,嗰,日,早,有,準備,，,拎,咗,佢,最,鍾意,食,嘅,茶點,出嚟,。,我,問,：,「,係咪,有,人,蝦,我,個,女,呀,？,」,,,,,,,,,,,,,,,,,,,
zan1-hai6,m4-zi1,aa3-neoi2,faat3-sang1,me1,si6,gam3,nau1-baau3-baau3,#,hou2-coi2,ngo5,go2,jat6,zou2,jau5,zeon2-bei6,#,ling1,zo2,keoi5,zeoi3,zung1-ji3,sik6,ge3,caa4-dim2,ceot1-lei4,#,ngo5,man6,#,#,hai6-mai6,jau5,jan4,haa1,ngo5,go3,neoi2,aa3,#,#,,,,,,,,,,,,,,,,,,,
really,don't know,daughter,happen,what,matter,so,angry,#,luckily,I,that,day,early,have,prepare,#,take,-en,she,the most,like,to eat,(linker),tea snack,to come out,#,I,ask,#,#,is or isn't,have,people,bully,I,(measure),daughter,(particle),#,#,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿女,見到,有,嘢食,，,心情,至,好返,少少,。,佢,皺,起,眉頭,話,：,「,冇,人,蝦,我,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-neoi2,gin3-dou2,jau5,je5-sik6,#,sam1-cing4,zi3,hou2-faan1,siu2-siu2,#,keoi5,zau3,hei2,mei4-tau4,waa6,#,#,mou5,jan4,haa1,ngo5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daughter,saw,have,food,#,mood,then,get better,a bit,#,she,wrinkle,up,brows,to say,#,#,don't have,people,bully,me,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係,今日,默書,，,我,明明,温,得,好,熟,，,但係,之後,睇,返,本,書,，,先,知,自己,倒轉,咗,啲,字,嚟,寫,。,點解,我,寫,極,都,寫,唔啱,隻,字,？,」,,,,,,,,,,,,,,,,,,,,
#,hai6,gam1-jat6,mak6-syu1,#,ngo5,ming4-ming4,wan1,dak1,hou2,suk6,#,daan6-hai6,zi1-hau6,tai2,faan1,bun2,syu1,#,sin1,zi1,zi6-gei2,dou3-zyun3,zo2,di1,zi6,lai4,se2,#,dim2-gaai2,ngo5,se2,gik6,dou1,se2,m4-ngaam1,zek3,zi6,#,#,,,,,,,,,,,,,,,,,,,,
#,is,today,dictation,#,I,obviously,study,(suffix),very,familiar,#,but,after,look,back,(measure),book,#,then,know,oneself,reverse,-en,some,character,to,write,#,why,I,write,no matter how,also,write,not correct,(measure),character,#,#,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,話,：,「,噉,返學,唔係,淨係,得,默書,嘅,——,不如,我哋,試下,其他,嘢,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,waa6,#,#,gam2,faan1-hok6,m4-hai6,zing6-hai6,dak1,mak6-syu1,ge3,#,bat1-jyu4,ngo5-dei6,si3-haa5,kei4-taa1,je5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,say,#,#,then,go to school,is not,only,have,dictation,(particle),#,how about,we,try,other,thing,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿女,話,：,「,你,唔怕,我,成績,差,，,讀書,唔成,咩,？,爺爺,話,過,，,想,我,讀,好啲,書,，,第時,可以,揸,筆,揾食,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-neoi2,waa6,#,#,nei5,m4-paa3,ngo5,sing4-zik1,caa1,#,duk6-syu1,m4-seng4,me1,#,je4-je2,waa6,gwo3,#,soeng2,ngo5,duk6,hou2-di1,syu1,#,dai6-si4,ho2-ji5,zaa1,bat1,wan2-sik6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daughter,say,#,#,you,not fear,I,academic result,bad,#,study,not successful,(particle),#,grandfather,say,-ed,#,want,I,study,better,book,#,future,can,hold,pen,to make a living,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,聽,完,得啖笑,，,就,隨手,拎,起,啲,顏色筆,，,話,：,「,傻妹,，,係,揸,都,揸,呢啲,筆,先,啦,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,teng1,jyun4,dak1-daam6-siu3,#,zau6,ceoi4-sau2,lik1,hei2,di1,ngaan4-sik1-bat1,#,waa6,#,#,so4-mui1,#,hai6,zaa1,dou1,zaa1,ni1-di1,bat1,sin1,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,hear,finished,gain nothing,#,then,casually,take,up,some,colour pens,#,say,#,#,silly girl,#,is,hold,would rather,hold,these,pens,first,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿女,一開始,就,揀,咗,佢,最,鍾意,嘅,紅色,。,佢,話,：,「,今日,數學,堂,，,老師,教,咗,我哋,咩,叫,立方體,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-neoi2,jat1-hoi1-ci2,zau6,gaan2,zo2,keoi5,zeoi3,zung1-ji3,ge3,hung4-sik1,#,keoi5,waa6,#,#,gam1-jat6,sou3-hok6,tong4,#,lou5-si1,gaau3,zo2,ngo5-dei6,me1,giu3,laap6-fong1-tai2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daughter,at the begining,then,pick,-en,she,the most,like,(linker),red,#,she,say,#,#,today,mathematics,class,#,teacher,teach,-en,we,what,is called,cube,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,一路,講,，,一路,用,畫筆,畫,咗,個,好,四正,嘅,長方體,出嚟,。,佢,冇,用,間尺,，,徒手,就,畫,到,好,直,嘅,線,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,jat1-lou6,gong2,#,jat1-lou6,jung6,waa2-bat1,waak6,zo2,go3,hou2,si3-zeng3,ge3,coeng4-fong1-tai2,ceot1-lei4,#,keoi5,mou5,jung6,gaan3-cek2,#,tou4-sau2,zau6,waak6,dou3,hou2,zik6,ge3,sin3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
she,while,say,#,while,use,drawing pen,draw,-en,(measure),very,good-looking,(linker),cuboid,out,#,she,didn't,use,ruler,#,bare hands,then,draw,can,very,straight,(linker),lines,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,話,要,跟,彩虹,顏色,嘅,次序,嚟,畫,，,所以,第二,支,就,揀,咗,橙色,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,waa6,jiu3,gan1,coi2-hung4,ngaan4-sik1,ge3,ci3-zeoi6,lai4,waak6,#,so2-ji5,dai6-ji6,zi1,zau6,gaan2,zo2,caang2-sik1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
she,say,want to,follow,rainbow,colours,(linker),order,to,draw,#,therefore,the next,(measure),then,pick,-en,orange (colour),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,老師,問,我哋,，,有冇,圓形,球體,嘅,例子,。,我,即刻,舉手,，,話,平時,食,開,嘅,橙,就係,啦,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,lou5-si1,man6,ngo5-dei6,#,jau5-mou5,jyun4-jing4,kau4-tai2,ge3,lai6-zi2,#,ngo5,zik1-hak1,geoi2-sau2,#,waa6,ping4-si4,sik6,hoi1,ge3,caang2,zau6-hai6,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,teacher,ask,us,#,have or not have,circle,sphere,(linker),example,#,I,immediately,raise hand,#,say,usually,eat,often,(linker),oranges,are,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,又,畫,一,個,圓形,，,喺,上面,點,咗,好多,密密麻麻,嘅,細,點,，,好似,一,個,真,嘅,橙,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,jau6,waak6,jat1,go3,jyun4-jing4,#,hai2,soeng6-min6,dim2,zo2,hou2-do1,mat6-mat6-maa4-maa4,ge3,sai3,dim2,#,hou2-ci5,jat1,go3,zan1,ge3,caang2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
she,again,draw,one,(measure),circle,#,at,above,dot,-en,many,close and numerous,(linker),small,dots,#,seems,one,(measure),real,(linker),orange,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
畫,到,最後,，,阿女,揀,咗,紫色,。,佢,話,：,「,老師,叫,我哋,用,啲,想像力,，,將,頭先,講,過,嘅,例子,串,做,一,個,故事,，,用嚟,交,堂課,。,我,畫,咗,一,個,長方形,嘅,窗,，,有,隻,雀仔,喺,出面,飛,入嚟,，,偷偷哋,擔,走,個,橙,。,」
waak6,dou3,zeoi3-hau6,#,aa3-neoi2,gaan2,zo2,zi2-sik1,#,keoi5,waa6,#,#,lou5-si1,giu3,ngo5-dei6,jung6,di1,soeng2-zoeng6-lik6,#,zoeng1,tau4-sin1,gong2,gwo3,ge3,lai6-zi2,cyun3,zou6,jat1,go3,gu3-si6,#,jung6-lei4,gaau1,tong4-fo3,#,ngo5,waak6,zo2,jat1,go3,coeng4-fong1-jing4,ge3,coeng1,#,jau5,zek3,zoek3-zai2,hai2,ceot1-min6,fei1,jap6-lei4,#,tau1-tau1-dei2,daam1,zau2,go3,caang2,#,#
draw,to,the end,#,daughter,pick,-en,purple,#,she,say,#,#,teacher,ask,us,to use,some,imagination,#,take,just now,say,-ed,(linker),example,to link up,to become,one,(measure),story,#,use for,hand in,classwork,#,I,draw,-en,one,(measure),rectangle,(linker),window,#,have,(measure),bird,from,outside,fly,come in,#,secretly,hold in the mouth,away,(measure),orange,#,#
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,見,阿女,揸,住,畫筆,，,有,返,晒,心機,，,就,鼓勵,佢,繼續,諗,多啲,故事,，,再,畫,出嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,gin3,aa3-neoi2,zaa1,zyu6,waa2-bat1,#,jau5,faan1,saai3,sam1-gei1,#,zau6,gu2-lai6,keoi5,gai3-zuk6,nam2,do1-di1,gu3-si6,#,zoi3,waak6,ceot1-lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,saw,daughter,hold,-ing,drawing pen,#,have,back,all,mood,#,then,encourage,her,to continue,to think,more,stories,#,again,draw,out,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿女,話,：,「,我,仲,諗,到,好多,同,動物,有關,嘅,故事,，,例如,青蛙,、,老鼠,、,貓,狗,嗰啲,。,我,諗住,等,到,放假,就,一次過,畫,晒,佢哋,出嚟,……,係,喎,，,爸爸,，,我,可唔可以,要,一,份,生日,禮物,呀,？,」,,,,,,,,,
aa3-neoi2,waa6,#,#,ngo5,zung6,nam2,dou2,hou2-do1,tung4,dung6-mat6,jau5-gwaan1,ge3,gu3-si6,#,lai6-jyu4,cing1-waa1,#,lou5-syu2,#,maau1,gau2,go2-di1,#,ngo5,nam2-zyu6,dang2,dou3,fong3-gaa3,zau6,jat1-ci3-gwo3,waak6,saai3,keoi5-dei6,ceot1-lei4,#,hai6,wo3,#,baa4-baa1,#,ngo5,ho2-m4-ho2-ji5,jiu3,jat1,fan6,saang1-jat6,lai5-mat6,aa3,#,#,,,,,,,,,
daughter,say,#,#,I,even,think,can,many,with,animals,related,(linker),stories,#,for example,frog,#,mouse,#,cat,dog,those,#,I,intend to,wait,until,holiday,then,at one go,draw,all,them,out,#,is,(particle),#,father,#,I,can or cannot,want,one,(measure),birthday,gift,(particle),#,#,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,梗係,話,好,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,gang2-hai6,waa6,hou2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,of course,say,okay,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿女,開心,到,彈,起,：,「,好嘢,！,我,想,要,一,本,畫簿,啊,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-neoi2,hoi1-sam1,dou3,daan6,hei2,#,#,hou2-je5,#,ngo5,soeng2,jiu3,jat1,bun2,waa2-bou2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daughter,happy,to,bounce,up,#,#,Hurray!,#,I,want to,have,one,(measure),drawing notebook,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,冇,諗到,，,當日,我,隨手,拎,起,畫筆,遞,畀,阿女,，,會,換,嚟,依家,屋企,一,個,又,一,個,獎座,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,mou5,nam2-dou3,#,dong1-jat6,ngo5,ceoi4-sau2,lik1,hei2,waa2-bat1,dai6,bei2,aa3-neoi2,#,wui5,wun6,lai4,ji1-gaa1,uk1-kei2,jat1,go3,jau6,jat1,go3,zoeng2-zo6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,haven't,thought,#,that day,I,casually,take,up,drawing pen,to hand over,to,daughter,#,will,exchange,back,now,home,one,(measure),again,one,(measure),trophies,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其實,個個,小朋友,都,係,一,粒,原石,，,只要,肯,用心,發掘,、,打磨,，,佢哋,每,一,個,都,可以,發光,發亮,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei4-sat6,go3-go3,siu2-pang4-jau5,dou1,hai6,jat1,nap1,jyun4-sek6,#,zi2-jiu3,hang2,jung6-sam1,faat3-gwat6,#,daa2-mo4,#,keoi5-dei6,mui5,jat1,go3,dou1,ho2-ji5,faat3-gwong1,faat3-loeng6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actually,every,child,all,is,one,(measure),rough stone,#,so long as,willing to,pay effort,to explore,#,to polish,#,they,every,one,(measure),all,can,glow,shine,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
