[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,游,緊,水,嘅,魚仔,，,我,唔鍾意,；,有,唔郁,嘅,龜仔,，,我,唔鍾意,；,,,,,,,,,,,,,,,,,,,,,,
jau5,jau4,gan2,seoi2,ge3,jyu2-zai2,#,ngo5,m4-zung1-ji3,#,jau5,m4-juk1,ge3,gwai1-zai2,#,ngo5,m4-zung1-ji3,#,,,,,,,,,,,,,,,,,,,,,,
there is,swim,-ing,water,-,little fish,#,I,don't like,#,there is,don't move,-,little turtle,#,I,don't like,#,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,吱吱,叫,嘅,雀仔,，,我,都,唔鍾意,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5,zi1-zi1,giu3,ge3,zoek3-zai2,#,ngo5,dou1,m4-zung1-ji3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
there is,chirp,call,-,bird,#,I,also,don't like,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,媽媽,問,我,鍾意,乜嘢,，,我,話,呢啲,我,全部,唔鍾意,，,我,鍾意,恐龍,。,我,問,爸爸,媽媽,點解,唔帶,我,睇,恐龍,，,佢哋,話,呢,個,世界,再,冇,恐龍,，,我,唔明,。
baa4-baa1,maa4-maa1,man6,ngo5,zung1-ji3,mat1-je5,#,ngo5,waa6,ni1-di1,ngo5,cyun4-bou6,m4-zung1-ji3,#,ngo5,zung1-ji3,hung2-lung4,#,ngo5,man6,baa4-baa1,maa4-maa1,dim2-gaai2,m4-daai3,ngo5,tai2,hung2-lung4,#,keoi5-dei6,waa6,ni1,go3,sai3-gaai3,zoi3,mou5,hung2-lung4,#,ngo5,m4-ming4,#
father,mother,ask,I,like,what,#,I,say,these,I,all,don't like,#,I,like,dinosaurs,#,I,ask,father,mother,why,don't bring,me,to see,dinosaurs,#,they,say,this,(measure),world,anymore,don't have,dinosaur,#,I,don't understand,#
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,諗,嚟,諗,去,諗,咗,成日,都,唔明,，,不過,我,鍾意,諗,嘢,，,應該,有日,會,明白,嘅,！,,,,,,,,,,,,,,,,,
ngo5,nam2,lai4,nam2,heoi3,nam2,zo2,sing4-jat6,dou1,m4-ming4,#,bat1-gwo3,ngo5,zung1-ji3,nam2,je5,#,jing1-goi1,jau5-jat6,wui5,ming4-baak6,ge3,#,,,,,,,,,,,,,,,,,
I,think,come,think,go,think,-ed,the whole day,also,don't understand,#,but,I,like,to think,thing,#,should,someday,will,understand,(particle),#,,,,,,,,,,,,,,,,,
