喺,路,邊,見到,有,個,小朋友,拉住,佢,媽媽,隻,手,玩,。,佢,媽媽,行行下,，,突然,踎,低,畀,咗,一,嚿,橙,個,小朋友,食,。,,,,,,,,,,,,,
hai2,lou6,bin1,gin3-dou2,jau5,go3,siu2-pang4-jau5,laai1-zyu6,keoi5,maa4-maa1,zek3,sau2,waan2,#,keoi5,maa4-maa1,haang4-haang4-haa5,#,dat6-jin4,mau1,dai1,bei2,zo2,jat1,gau6,caang2,go3,siu2-pang4-jau5,sik6,#,,,,,,,,,,,,,
at,road,side,see,there is,(measure),child,pulling,he,mother,(measure),hand,to play,#,he,mother,walked and walked,#,suddenly,kneel,down,give,-ed,one,(measure),orange,(measure),child,to eat,#,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
見到,佢哋,食,橙,我,又,記得,返,，,我,媽媽,都係,好,鍾意,橙,，,我,細個,佢,成日,同,我,分,一,嚿,橙,食,。,之後,每,次,食,橙,，,我,都,有,一,種,幸福,嘅,感覺,。
gin3-dou2,keoi5-dei6,sik6,caang2,ngo5,jau6,gei3-dak1,faan1,#,ngo5,maa4-maa1,dou1-hai6,hou2,zung1-ji3,caang2,#,ngo5,sai3-go3,keoi5,sing4-jat6,tung4,ngo5,fan1,jat1,gau6,caang2,sik6,#,zi1-hau6,mui5,ci3,sik6,caang2,#,ngo5,dou1,jau5,jat1,zung2,hang6-fuk1,ge3,gam2-gok3,#
see,they,eat,orange,I,again,remember,back,#,I,mother,also,really,like,orange,#,I,little,she,always,with,me,share,one,(measure),orange,to eat,#,afterwards,every,time,eat,orange,#,I,also,have,one,type of,happy,-,feel,#
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,放工,，,不如,買,袋,橙,去,媽媽,屋企,食飯,啦,﹗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,fong3-gung1,#,bat1-jyu4,maai5,doi6,caang2,heoi3,maa4-maa1,uk1-kei2,sik6-faan6,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,off work,#,why not,buy,bag of,oranges,to go to,mother,home,to have a meal,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
