jing3-jung6,tai4,#,saam1,#,#,tou4,zung1,jau5,do1-siu2,po1,syu6,#,ze2-se1,syu6,si6,sam6-mo1,jing4-zong6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,3,#,#,picture,inside,have,how many,(measure),tree,#,these,tree,is,what,shape,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
做,咗,咁,多,運動,，,老鼠,肚餓,喇,。,比起,芝士,，,其實,佢,更,鍾意,食,麪包,！,佢,啱啱,揾到,一塊,方包,，,係,長方形,嘅,。,喺,四邊形,當中,，,有,四,個,直角,，,對邊,長度,相等,，,就,叫做,長方形,。,,,,,,,,,
zou6,zo2,gam3,do1,wan6-dung6,#,lou5-syu2,tou5-ngo6,laa3,#,bei2-hei2,zi1-si2,#,kei4-sat6,keoi5,gang3,zung1-ji3,sik6,min6-baau1,#,keoi5,ngaam1-ngaam1,wan2-dou2,jat1-faai3,fong1-baau1,#,hai6,coeng4-fong1-jing4,ge3,#,hai2,sei3-bin1-jing4,dong1-zung1,#,jau5,sei3,go3,zik6-gok3,#,deoi3-bin1,coeng4-dou6,soeng1-dang2,#,zau6,giu3-zou6,coeng4-fong1-jing4,#,,,,,,,,,
do,-en,so,much,exercise,#,mouse,hungry,(particle),#,compared to,cheese,#,actually,it,even more,like to,eat,bread,#,it,just now,find,a piece of,sliced bread,#,is,rectangle,(particle),#,at,quadrilateral,among,#,have,four,(measure),right angle,#,opposite side,length,equal,#,then,be called,rectangle,#,,,,,,,,,
[3q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,4,),﹕,圖,中,還有,哪些,物件,是,長方形,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,sei3,#,#,tou4,zung1,waan4-jau5,naa5-se1,mat6-gin2,si6,coeng4-fong1-jing4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,4,#,#,picture,inside,still have,which ones,object,is,rectangle,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食飽飽,，,玩,返,陣,靜態,遊戲,先,。,佢哋,玩,緊,Scrabble,喎,。,唔知,你哋,平時,又,會,玩,啲,咩,桌上遊戲,呢,？,喺,四邊形,當中,，,有,四,個,直角,，,四,邊,長度,相等,，,就,叫做,正方形,。,,,,,,,,,,,,
sik6-baau2-baau2,#,waan2,faan1,zan6,zing6-taai3,jau4-hei3,sin1,#,keoi5-dei6,waan2,gan2,Scrabble,wo3,#,m4-zi1,nei5-dei6,ping4-si4,jau6,wui5,waan2,di1,me1,coek3-soeng6-jau4-hei3,ne1,#,hai2,sei3-bin1-jing4,dong1-zung1,#,jau5,sei3,go3,zik6-gok3,#,sei3,bin1,coeng4-dou6,soeng1-dang2,#,zau6,giu3-zou6,zing3-fong1-jing4,#,,,,,,,,,,,,
with full bellies,#,play,back,a while,sedentary,game,first,#,they,play,-ing,Scrabble,(particle),#,don't know,you (plural),usually ,also,will,play,some,what,tabletop game,(particle),#,at,quadrilateral,among,#,have,four,(measure),right angle,#,four,side,length,equal,#,then,be called,square,#,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
休息,完,一,輪,，,又,要,出去,放電,喇,！,佢哋,去,咗,公園,放,紙鷂,，,個,紙鷂,又,紅,又,大,，,喺空中,特別,搶眼,，,真係,好,靚,呀,！,,,,,,,,,,,,,,,,,,,,,,
jau1-sik1,jyun4,jat1,leon4,#,jau6,jiu3,ceot1-heoi3,fong3-din6,laa3,#,keoi5-dei6,heoi3,zo2,gung1-jyun2,fong3,zi2-jiu2,#,go3,zi2-jiu2,jau6,hung4,jau6,daai6,#,hai2-hung1-zung1,dak6-bit6,coeng2-ngaan5,#,zan1-hai6,hou2,leng3,aa3,#,,,,,,,,,,,,,,,,,,,,,,
rest,finish,one,round,#,again,have to,get out,use up energy,(particle),#,they,go,-en,park,fly (kites),kite,#,(measure),kite,also,red,also,big,#,in the air,specially,eye-catching,#,really,very,beautiful,(particle),#,,,,,,,,,,,,,,,,,,,,,,
[5q1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,5,),﹕,這個,紙鷂,是,甚麼,形狀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,ng5,#,#,ze2-go3,zi2-jiu2,si6,sam6-mo1,jing4-zong6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,5,#,#,this,kite,is,what,shape,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5q2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,6,),﹕,你,可以,多,畫,一個,菱形,紙鷂,給,牠們,嗎,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,luk6,#,#,nei5,ho2-ji5,do1,waak6,jat1-go3,ling4-jing4,zi2-jiu2,kap1,taa1-mun4,maa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,6,#,#,you,can,more,draw,one (measure),rhombus,kite,give,they (animal),(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,下午茶,時間,喇,，,貓貓,想,揾,蜜糖,搽,麪包,畀,老鼠,食,。,佢,着,晒,成,套,保護,衣,，,好,小心,噉,行,去,蜂巢,拎,蜜糖,。,你,睇唔睇得出,個,蜂巢,係,咩,形狀,？,,,,,,,,,,,,,,,,
dou3,haa6-ng5-caa4,si4-gaan3,laa3,#,maau1-maau1,soeng2,wan2,mat6-tong4,caa4,min6-baau1,bei2,lou5-syu2,sik6,#,keoi5,zoek3,saai3,seng4,tou3,bou2-wu6,ji1,#,hou2,siu2-sam1,gam2,haang4,heoi3,fung1-caau4,ling1,mat6-tong4,#,nei5,tai2-m4-tai2-dak1-ceot1,go3,fung1-caau4,hai6,me1,jing4-zong6,#,,,,,,,,,,,,,,,,
arrive,afternoon tea,time,(particle),#,kitty,want to,find,honey,spread,bread,give,mouse,to eat,#,it,wear,all,whole,set,protect,clothes,#,very,careful,-ly,walk,to,beehive,take,honey,#,you,can or cannot tell,(measure),beehive,is,what,shape,#,,,,,,,,,,,,,,,,
[6q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,7,),﹕,數,一,數,，,蜜蜂,巢,有,多少,條,邊,？,蜜蜂,巢,是,甚麼,形狀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,cat1,#,#,sou2,jat1,sou2,#,mat6-fung1,caau4,jau5,do1-siu2,tiu4,bin1,#,mat6-fung1,caau4,si6,sam6-mo1,jing4-zong6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,7,#,#,count,one,count,#,honeybee,hive,have,how many,(measure),side,#,honeybee,hive,is,what,shape,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玩,咗,成日,，,差唔多,要,瞓覺,喇,！,貓貓,好,注重,乾淨,衛生,，,瞓覺,前,會,刷牙,，,順便,照,下,鏡,，,執,下,個,樣,。,貪靚,嘅,貓貓,就,連,塊,鏡,都,靚,過人,，,係,藍色,橢圓形,嘅,。,你,知唔知,橢圓形,同,圓形,有,咩,唔同,呀,？
waan2,zo2,seng4-jat6,#,caa1-m4-do1,jiu3,fan3-gaau3,laa3,#,maau1-maau1,hou2,zyu3-zung6,gon1-zeng6,wai6-sang1,#,fan3-gaau3,cin4,wui5,caat3-ngaa4,#,seon6-bin2,ziu3,haa5,geng3,#,zap1,haa5,go3,joeng2,#,taam1-leng3,ge3,maau1-maau1,zau6,lin4,faai3,geng3,dou1,leng3,gwo3-jan4,#,hai6,laam4-sik1,to5-jyun4-jing4,ge3,#,nei5,zi1-m4-zi1,to5-jyun4-jing4,tung4,jyun4-jing4,jau5,me1,m4-tung4,aa3,#
play,-en,whole day,#,almost,have to,sleep,(particle),#,kitty,very,emphasise,cleaniness,hygiene,#,sleep,before,will,brush teeth,#,while ,facing (mirror),a bit,mirror,#,tidy,a bit,(measure),face,#,fastidious,(linker),kitty,then,even,piece of,mirror,also,beautiful,than others,#,is,blue,oval,(particle),#,you,know or not,oval,and,circle,have,what,different,(particle),#
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時間,過,得,真係,快,，,又係,時候,講,bye,bye,！,講,bye,bye,前,，,等,我,考,下,你,，,仲,記唔記得,呢啲,係,咩,形狀,？,,,,,,,,,,,,,,,,,,,,,,,,,,
si4-gaan3,gwo3,dak1,zan1-hai6,faai3,#,jau6-hai6,si4-hau6,gong2,bye,bye,#,gong2,bye,bye,cin4,#,dang2,ngo5,haau2,haa5,nei5,#,zung6,gei3-m4-gei3-dak1,nei1-di1,hai6,me1,jing4-zong6,#,,,,,,,,,,,,,,,,,,,,,,,,,,
time,pass,(suffix),really,fast,#,again is,time,to say,bye,bye,#,say,bye,bye,before,#,let,I,test,a bit,you,#,still,remember or not,these,are,what,shape,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[8q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,8,),﹕,請,你,把,平面圖形,及,它們,的,名字,連,起來,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,baat3,#,#,cing2,nei5,baa2,ping4-min2-tou4-jing4,kap6,taa1-mun4,dik1,ming4-zi6,lin4,hei2-loi4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,8,#,#,please,you,put,plane shape,and,they ,’s,name,connect,up,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
答案,：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daap3-on3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
answer,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,1,),圓形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jat1,#,jyun4-jing4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,1,#,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,2,),有,三,條,邊,、,三,隻,角,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ji6,#,jau5,saam1,tiu4,bin1,#,saam1,zek3,gok3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,2,#,have,three,(measure),side,#,three,(measure),angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,3,),有,12,棵,樹,，,三角形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,saam1,#,jau5,sap6-ji6,fo2,syu6,#,saam1-gok3-jing4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,3,#,have,12,(measure),tree,#,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,4,),綠色,外,框,、,綠色,相架,、,綠色,方格,背景,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,sei3,#,luk6-sik1,ngoi6,kwaang1,#,luk6-sik1,soeng2-gaa2,#,luk6-sik1,fong1-gaak3,bui3-ging2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,4,#,green,outside,frame,#,green,photo frame,#,green,checkered,background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,5,),菱形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ng5,#,ling4-jing4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,5,#,rhombus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,6,),(,見,下,圖,例子,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,luk6,#,#,gin3,haa6,tou4,lai6-zi2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,6,#,#,see,below,picture,example,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,7,),6,條,邊,，,六邊形,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,cat1,#,luk6,tiu4,bin1,#,luk6-bin1-jing4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,7,#,6,(measure),side,#,hexagon,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,8,),(,見,下,圖,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,baat3,#,#,gin3,haa6,tou4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,8,#,#,see,below,picture,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
