又,有,另一,啲人,話,，,有一日,江淹,喺,個,涼亭,入面,瞓著,咗,。,佢,發,咗,一個,夢,，,夢見,另一,位,古代,嘅,文學家,，,叫做,郭璞,。,郭璞,同,佢,講,：,「,好,耐,之前,我,借,咗,一,枝,有,五,隻,顏色,嘅,筆,畀,你,，,你,借,咗,好多,年,，,而家,係,時候,還,返,畀,我,啦,。,」,江淹,摸,一,摸,心口,，,真係,有,支,好,靚,嘅,五,色,筆,，,於是,就,還,返,畀,郭璞,。,江淹,夢,醒,之後,，,就,再,寫,唔,出,好,嘅,詩詞歌賦,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau6,jau5,ling6-jat1,di1-jan4,waa6,#,jau5-jat1-jat6,gong1-jim1,hai2,go3,loeng4-ting2,jap6-min6,fan3-zoek6,zo2,#,keoi5,faat3,zo2,jat1-go3,mung6,#,mung6-gin3,ling6-jat1,wai2,gu2-doi6,ge3,man4-hok6-gaa1,#,giu3-zou6,gwok3-pok3,#,gwok3-pok3,tung4,keoi5,gong2,#,#,hou2,noi6,zi1-cin4,ngo5,ze3,zo2,jat1,zi1,jau5,ng5,zek3,ngaan4-sik1,ge3,bat1,bei2,nei5,#,nei5,ze3,zo2,hou2-do1,nin4,#,ji4-gaa1,hai6,si4-hau6,waan4,faan1,bei2,ngo5,laa3,#,#,gong1-jim1,mo2,jat1,mo2,sam1-hau2,#,zan1-hai6,jau5,zi1,hou2,leng3,ge3,ng5,sik1,bat1,#,jyu1-si6,zau6,waan4,faan1,bei2,gwok3-pok3,#,gong1-jim1,mung6,seng2,zi1-hau6,#,zau6,zoi3,se2,m4,ceot1,hou2,ge3,si1-ci4-go1-fu3,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
also,have,other,people,say,#,one day,Jiang Yan,at,(measure),gazebo,inside,asleep,-en,#,he,dream,-en,one (measure),dream,#,dream,another,(measure),ancient times,(linker),writer,#,called,Guo Pu,#,Guo Pu,to,he,say,#,#,very,long time,before,I,lend,-en,one,(measure),have,five,(measure),colour,(linker),pen,to,you,#,you,borrow,-en,many,year,#,now,is,time,to return,back,to,I,(particle),#,#,Jiang Yan,feel,one,feel,chest,#,really,have,(measure),very,beautiful,(linker),five,colour,pen,#,so,then,return,back,to,Guo Pu,#,Jiang Yan,dream,wake up,after,#,then,again,write,not,out,good,(linker),poetry and songs,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因為,呢,兩個,傳說,，,大家,都,話,江,郎,嘅,才華,已經,用,曬,，,於是,就,有,「,江,郎,才,盡,」,呢個,成語,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan1-wai6,nei1,loeng5-go3,cyun4-syut3,#,daai6-gaa1,dou1,waa6,gong1,long4,ge3,coi4-waa4,ji5-ging1,jung6,saai3,#,jyu1-si6,zau6,jau5,#,gong1,long4,coi4,zeon6,#,nei1-go3,sing4-jyu5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
because,this,two (measure),legend,#,everyone,"all, also",say,Jiang,young man,’s,talent,already,use,all,#,so,then,have,#,Jiang,young man,talent,all or limit,#,this,idiom,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聽,完,江淹,嘅,故事,，,係咪,覺得,好,慘,呢,？,不如,我哋,聽,返,啲,開心,嘅,故事,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teng1,jyun4,gong1-jim1,ge3,gu3-si6,#,hai6-mai6,gok3-dak1,hou2,caam2,ne1,#,bat1-jyu4,ngo5-dei6,teng1,faan1,di1,hoi1-sam1,ge3,gu3-si6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
listen,finish,Jiang Yan,(linker),story,#,is or isn't,feel,very,miserable,(particle),#,how about,we,listen,back,some,happy,(linker),story,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,好,耐,好,耐,之前,，,又,有,另一,位,好,出名,嘅,詩人,，,佢,叫做,李白,。,李白,細個,嗰陣,，,讀書,唔,勤力,，,成日,偷懶,。,有一日,，,李白,路過,一,條,小,溪,，,小,溪,旁邊,有,一,位,老太太,。,呢,位,老太太,揸,住,一,條,好,粗,嘅,鐵,柱,喺度,磨,。,李白,覺得,好,奇怪,，,就,問,老太太,做,緊,乜,。,老太太,話,：,「,我,想,將,條,鐵,柱,磨,成,一,枝,針,。,」,聽,完,之後,，,李白,好,感動,：,如果,連,一,條,咁,粗,嘅,鐵,柱,都,可以,磨,成,針,，,只要,努力,，,天下間,冇,嘢,係,做唔到,！,於是,李白,就,好,努力,畀心機,讀書,，,最終,成為,出色,嘅,大,詩人,。
hai2,hou2,noi6,hou2,noi6,zi1-cin4,#,jau6,jau5,ling6-jat1,wai2,hou2,ceot1-meng2,ge3,si1-jan4,#,keoi5,giu3-zou6,lei5-baak6,#,lei5-baak6,sai3-go3,go2-zan2,#,duk6-syu1,m4,kan4-lik6,#,sing4-jat6,tau1-laan5,#,jau5-jat1-jat6,#,lei5-baak6,lou6-gwo3,jat1,tiu4,siu2,kai1,#,siu2,kai1,pong4-bin1,jau5,jat1,wai2,lou5-taai3-taai2,#,nei1,wai2,lou5-taai3-taai2,zaa1,zyu6,jat1,tiu4,hou2,cou1,ge3,tit3,cyu5,hai2-dou6,mo4,#,lei5-baak6,gok3-dak1,hou2,kei4-gwaai3,#,zau6,man6,lou5-taai3-taai2,zou6,gan2,mat1,#,lou5-taai3-taai2,waa6,#,#,ngo5,soeng2,zoeng1,tiu4,tit3,cyu5,mo4,sing4,jat1,zi1,zam1,#,#,teng1,jyun4,zi1-hau6,#,lei5-baak6,hou2,gam2-dung6,#,jyu4-gwo2,lin4,jat1,tiu4,gam3,cou1,ge3,tit3,cyu5,dou1,ho2-ji5,mo4,sing4,zam1,#,zi2-jiu3,nou5-lik6,#,tin1-haa6-gaan1,mou5,je5,hai6,zou6-m4-dou2,#,jyu1-si6,lei5-baak6,zau6,hou2,nou5-lik6,bei2-sam1-gei1,duk6-syu1,#,zeoi3-zung1,sing4-wai4,ceot1-sik1,ge3,daai6,si1-jan4,#
at,very,long time,very,long time,before,#,also,have,another one,(measure),very,famous,(linker),poet,#,he,is called,Li Bai,#,Li Bai,little,that time,#,study,not,diligent,#,all day long,slack off,#,one day,#,Li Bai,pass by,one,(measure),small,creek,#,small,creek,side,have,one,(measure),old lady,#,this,(measure),old lady,hold,-ing,one,(measure),very,thick,(linker),iron,rod,right here,grind,#,Li Bai,think,very,strange,#,then,ask,old lady,do,-ing,what,#,old lady,say,#,#,I,want to,make,(measure),iron,rod,grind,to become,one,(measure),needle,#,#,listen,finish,after,#,Li Bai,very,touched,#,if,even,one,(measure),so,thick,(linker),iron,rod,also,can,grind,to be,needle,#,so long as,try one's best,#,in the world,don't have,thing,is,cannot do,#,so,Li Bai,then,very,try one's best,put effort,to study,#,eventually,become,outstanding,(linker),big,poet,#
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
當時,有,一個,傳說,，,話,李白,細個,嗰陣,，,發,咗,一個,夢,。,佢,夢見,自己,用,嘅,筆,，,筆,頭,上面,居然,生,出,一,朵,花,，,之後,佢,就,成為,出色,嘅,大,詩人,。,呢個,故事,就係,「,夢,筆,生,花,」,成語,嘅,由來,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dong1-si4,jau5,jat1-go3,cyun4-syut3,#,waa6,lei5-baak6,sai3-go3,go2-zan2,#,faat3,zo2,jat1-go3,mung6,#,keoi5,mung6-gin3,zi6-gei2,jung6,ge3,bat1,#,bat1,tau4,soeng6-min6,geoi1-jin4,saang1,ceot1,jat1,do2,faa1,#,zi1-hau6,keoi5,zau6,sing4-wai4,ceot1-sik1,ge3,daai6,si1-jan4,#,nei1-go3,gu3-si6,zau6-hai6,#,mung6,bat1,sang1,faa1,#,sing4-jyu5,ge3,jau4-loi4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that time,have,one (measure),legend,#,say,Li Bai,little,that time,#,dream,-en,one (measure),dream,#,he,dream,oneself,use,(linker),pen,#,pen,head,above,unexpectedly,grow,out,one,(measure),flower,#,after,he,then,become,outstanding,(linker),big,poet,#,this (measure),story,the is,#,dream,pen,grow,flower,#,idiom,(linker),origin,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔知,呢啲,傳說,係,真,定係,假,嘅,呢,？,你哋,又,有冇,試過,發,關於,「,筆,」,嘅,夢,？,不過,，,江淹,同,李白,之所以,成功,，,都係,離唔開,佢哋,嘅,努力,。,所以,，,各位,小朋友,，,你哋,唔好,諗住,因為,唔想,做功課,，,就,同,爸爸,媽媽,講,，,話,你,發夢,俾人,攞走,咗,支,筆,，,「,江,朗,才,盡,」,呀,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4-zi1,nei1-di1,cyun4-syut3,hai6,zan1,ding6-hai6,gaa2,ge3,ne1,#,nei5-dei6,jau6,jau5-mou5,si3-gwo3,faat3,gwaan1-jyu1,#,bat1,#,ge3,mung6,#,bat1-gwo3,#,gong1-jim1,tung4,lei5-baak6,zi1-so2-ji5,sing4-gung1,#,dou1-hai6,lei4-m4-hoi1,keoi5-dei6,ge3,nou5-lik6,#,so2-ji5,#,gok3-wai2,siu2-pang4-jau5,#,nei5-dei6,m4-hou2,nam2-zyu6,jan1-wai6,m4-soeng2,zou6-gung1-fo3,#,zau6,tung4,baa4-baa1,maa4-maa1,gong2,#,waa6,nei5,faat3-mung6,bei2-jan4,lo2-zau2,zo2,zi1,bat1,#,#,gong1,long5,coi4,zeon6,#,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don't know,these,legend,is,true,or,fake,(particle),(particle),#,you (plural),again,have or haven't,tried,dream,regarding,#,pen,#,(linker),dream,#,however,#,Jiang Yan,and,Li Bai,the reason why,succeed,#,also is,inseparable from,they,’s,effort,#,therefore,#,everybody,children,#,you (plural),do not,thinking about,because,don't want,to do homework,#,then,to,father,mother,say,#,say,you,dream,by someone,take away,-en,(measure),pen,#,#,Jiang,young man,talent,all or limit,#,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
