#,zi3-ming4,gep6,hei2,siu1,gan2,ge3,taan3,#,zyun3-san1,#,gau6,taan3,zong6,dou2,san1-hau6,ge3,wing6-ji4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Chi Ming,pick,up,burn,-ing,-,charcoal,#,turn around,#,(measure),charcoal,hit,to,behind his body,-,Wing Yi,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穎兒,：,哎呀,！,（,手,背,、,手指,紅,咗,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing6-ji4,#,aai1-aa1,#,#,sau2,bui3,#,sau2-zi2,hung4,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wing Yi,#,Ouch!,#,#,hand,back,#,finger,red,-ed,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
志明,：,（,立即,放,低,炭,）,對唔住,呀,！,我,唔知,你,喺,後面,，,有冇,事,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi3-ming4,#,#,lap6-zik1,fong3,dai1,taan3,#,deoi3-m4-zyu6,aa3,#,ngo5,m4-zi1,nei5,hai2,hau6-min6,#,jau5-mou5,si6,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi Ming,#,#,immediately,put,down,charcoal,#,Sorry!,(particle),#,I,don't know,you,at,behind,#,have or have not,matter,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穎兒,：,好,痛,呀,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing6-ji4,#,hou2,tung3,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wing Yi,#,very,painful,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,你,隻,手,紅,咗,呀,，,可能,燒,傷,咗,，,陣間,可能,會,腫,同,起,水泡,。,你,快啲,除,咗,隻,戒指,先,，,然後,用,自來水,沖,最少,十,分鐘,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,nei5,zek3,sau2,hung4,zo2,aa4,#,ho2-nang4,siu1,soeng1,zo2,#,zan6-gaan1,ho2-nang4,wui5,zung2,tung4,hei2,seoi2-pok1,#,nei5,faai3-di1,ceoi4,zo2,zek3,gaai3-zi2,sin1,#,jin4-hau6,jung6,zi6-loi4-seoi2,cung1,zeoi3-siu2,sap6,fan1-zung1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,your,(measure),hand,red,-ed ,(particle),#,maybe,burn,injured,-ed  ,#,in a while,maybe,will,swollen,and,have,blister,#,you,faster,take off,-ed,(measure),ring,first,#,then,use,tap water,rinse,at least,ten,minute,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,十,分鐘,後,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,sap6,fan1-zung1,hau6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ten,minute,later,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,用住,保鮮紙,保護,傷口,先,，,唔好,整,穿,啲,水泡,，,如果,好,嚴重,就,要,去,醫院,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,jung6-zyu6,bou2-sin1-zi2,bou2-wu6,soeng1-hau2,sin1,#,m4-hou2,zing2,cyun1,di1,seoi2-pok1,#,jyu4-gwo2,hou2,jim4-zung6,zau6,jiu3,heoi3,ji1-jyun2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,use,cling film,protect,wound,first,#,do not,make,broken,the,blister,#,if,very,serious,then,need,to go,hospital,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,如果,有,人,燒,傷,，,儘快,移除,傷口,附近,嘅,物品,，,例如,戒指,、,手鐲,、,衣服,等,，,如果,衣服,已經,黐住,咗,喺,傷口,就,唔好,移除,。,然後,立即,用,自來水,沖,最少,十,分鐘,，,噉樣,可以,減少,痛,、,腫,同埋,疤痕,，,仲有,唔好,整,穿,水泡,。,最後,用,保鮮紙,或者,繃帶,包住,傷口,。,如果,傷勢,嚴重,就,要,打,999,去,醫院,。
wai5-zeon3,#,jyu4-gwo2,jau5,Jan4,siu1,soeng1,#,zeon6-faai3,ji4-ceoi4,soeng1-hau2,fu6-gan6,ge3,mat6-ban2,#,lai6-jyu4,gaai3-zi2,#,sau2-zuk6,#,ji1-fuk6,dang2,#,jyu4-gwo2,ji1-fuk6,ji5-ging1,ci1-zyu6,zo2,hai2,soeng1-hau2,zau6,m4-hou2,ji4-ceoi4,#,jin4-hau6,lap6-zik1,jung6,zi6-loi4-seoi2,cung1,zeoi3-siu2,sap6,fan1-zung1,#,gam2-joeng2,ho2-ji5,gaam2-siu2,tung3,#,zung2,tung4-maai4,baa1-han4,#,zung6-jau5,m4-hou2,zing2,cyun1,seoi2-pok1,#,zeoi3-hau6,jung6,bou2-sin1-zi2,waak6-ze2,bang1-daai2,baau1-zyu6,soeng1-hau2,#,jyu4-gwo2,soeng1-sai3,jim4-zung6,zau6,jiu3,daa2,gau2-gau2-gau2,heoi3,ji1-jyun2,#
Wai Chun,#,if,have,people,burn,injured,#,as soon as possible,remove,wound,nearby,-,objects,#,for example,ring,#,bracelet,#,clothing,etc,#,if,clothing,already,stick,-ed,at,wound,then,do not,remove,#,then,immediately,to use,tap water,rinse,at least,ten,minute,#,this,can,reduce,pain,#,swollen,and,scar,#,also,do not,make,broken,blister,#,at the end,use,cling film,or,bandage,to wrap,wound,#,if,condition of the injury,serious,then,need to,call,999,to go,hospital,#
