ji4-maa1,jat1,gin3-dou2,ngo5,gong2-siu3,waa6,ngo5,nei1-go3,jan4-zaa1,,,
aunt,once,see,I,joke,say,I,this,human scum,,,
[14],,,,,,,,,,,
要,個,靚女,等,咁,耐,仲,係咪,人,呀,,
jiu3,go3,leng3-neoi2,dang2,gam3,noi6,zung6,hai6-mai6,jan4,aa3,,
have to,(measure),beautiful woman,wait,so,long time,still,is or isn't,human,(particle),,
[15],,,,,,,,,,,
我,話,你,就,坐,喺度,食,緊,龍蝦,,,
ngo5,waa6,nei5,zau6,co5,hai2-dou6,sik6,gan2,lung4-haa1,,,
I,say,you,then,sit,right here,eat,-ing,lobster,,,
[16],,,,,,,,,,,
我,喺,吐露港,塞,嚟,宜家,塞,到,而家,,,
ngo5,hai2,tou3-lou6-gong2,sak1,lei4,ji4-gaa1,sak1,dou3,ji4-gaa1,,,
I,at,Tolo Harbour,traffic jammed,to,Ikea,jammed,to,now,,,
[17],,,,,,,,,,,
姨媽,話,是但,啦,我哋,行,下,宜家,,,,
ji4-maa1,waa6,si6-daan6,laa1,ngo5-dei6,haang4,haa5,ji4-gaa1,,,,
aunt,say,whatever,(particle),we,walk,a bit,Ikea,,,,
[18],,,,,,,,,,,
行,下,宜家,睇,下,有,咩,啱,我,移,家,
haang4,haa5,ji4-gaa1,tai2,haa5,jau5,me1,ngaam1,ngo5,ji4,gaa1,
walk,a bit,Ikea,look,a bit,have,what,suitable for,I,move,home,
[19],,,,,,,,,,,
我,拖,住,件,如花,其他,人,望,我,型,呀,
ngo5,to1,zyu6,gin6,jyu4-faa1,kei4-taa1,jan4,mong6,ngo5,jing4,aa3,
I,drag,-ing,(measure),"""beautiful as a flower""",other,people,look,I,cool,(particle),
[20],,,,,,,,,,,
今日,姨媽,埋單,我,又,慳返,一,堆,神沙,,,
gam1-jat6,ji4-maa1,maai4-daan1,ngo5,jau6,haan1-faan1,jat1,deoi1,san4-saa1,,,
today,aunt,check the bill,I,again,save back,one,pile of,dimes and nickels,,,
[21],,,,,,,,,,,
終於,行,到,攰,喇,我哋,各自,回家,,,,
zung1-jyu1,haang4,dou3,gui6,laa3,ngo5-dei6,gok3-zi6,wui4-gaa1,,,,
finally,walk,to,tired,(particle),we,individually,go home,,,,
[22],,,,,,,,,,,
回家,之後,我,大膽,問,下,我,個,爸爸,,,
wui4-gaa1,zi1-hau6,ngo5,daai6-daam2,man6,haa5,ngo5,go3,baa4-baa1,,,
come home,after,I,boldly,ask,a bit,I,(measure),father,,,
[23],,,,,,,,,,,
問,下,爸爸,點解,姨媽,咁,似,如花,,,,
man6,haa5,baa4-baa1,dim2-gaai2,ji4-maa1,gam3,ci5,jyu4-faa1,,,,
ask,a bit,father,why,aunt,so,look like,"""beautiful as a flower""",,,,
[24],,,,,,,,,,,
爸爸,一,巴,打,埋嚟,我,就,見暈,喇,,,
baa4-baa1,jat1,baa1,daa2,maai4-lei4,ngo5,zau6,gin3-wan4,laa3,,,
father,one,(measure),slap,come over,I,then,feel dizzy,(particle),,,
