Zengzi,mother,not,believe,#,she,while,weave,cloth,#,while,say,#,#,I,(measure),son,so,respect parents,#,also,so,nice person,#,he,how,possible,will,kill,people,(particle),#,#,Zengzi,mother,say,finish,this,sentence,afterwards,#,don't have,again,pay attention to,those,neighbour,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,幾,日,，,啲,鄰居,又,嚟,，,佢哋,又,話,：,「,你,個,仔,曾子,殺,咗,人,呀,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwo3,zo2,gei2,jat6,#,di1,leon4-geoi1,jau6,lai4,#,keoi5-dei6,jau6,waa6,#,#,nei5,go3,zai2,zang1-zi2,saat3,zo2,jan4,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pass,-en,several,day,#,those,neighbour,again,come,#,they,again,say,#,#,you,(measure),son,Zengzi,kill,-en,people,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曾子,媽媽,依然,係,唔,信,，,佢,照舊,織,住,布,話,：,「,我,個,仔,曾子,係,聖人,孔子,嘅,徒弟,，,有,聖人,孔子,做,佢,老師,，,佢,又,點,可能,殺,人,呢,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zang1-zi2,maa4-maa1,ji1-jin4,hai6,m4,seon3,#,keoi5,ziu3-gau6,zik1,zyu6,bou3,waa6,#,#,ngo5,go3,zai2,zang1-zi2,hai6,sing3-jan4,hung2-zi2,ge3,tou4-dai2,#,jau5,sing3-jan4,hung2-zi2,zou6,keoi5,lou5-si1,#,keoi5,jau6,dim2,ho2-nang4,saat3,jan4,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zengzi,mother,still,is,not,believe,#,she,continue to,weave,-ing,cloth,say,#,#,I,(measure),son,Zengzi,is,Saint,Confucius,(linker),disciple,#,have,Saint,Confucius,to be,he,teacher,#,he,again,how,possible,kill,people,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
又,過,咗,幾,日,，,同,一,班,鄰居,又,嚟,多,次,，,佢哋,繼續,講,：,「,你,個,仔,曾子,真係,殺,咗,人,呀,。,」,呢個,時候,，,曾子,媽媽,終於,開始,識,驚,。,俾,鄰居,噉樣,講,多,幾,講,，,佢,真係,信,咗,佢,個,仔,有,殺,人,，,仲,好,驚,啲,官,會,捉,埋,佢,！,佢,即刻,放低,織布,機器,，,急急腳,爬,牆,走佬,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau6,gwo3,zo2,gei2,jat6,#,tung4,jat1,baan1,leon4-geoi1,jau6,lai4,do1,ci3,#,keoi5-dei6,gai3-zuk6,gong2,#,#,nei5,go3,zai2,zang1-zi2,zan1-hai6,saat3,zo2,jan4,aa3,#,#,nei1-go3,si4-hau6,#,zang1-zi2,maa4-maa1,zung1-jyu1,hoi1-ci2,sik1,geng1,#,bei2,leon4-geoi1,gam2-joeng2,gong2,do1,gei2,gong2,#,keoi5,zan1-hai6,seon3,zo2,keoi5,go3,zai2,jau5,saat3,jan4,#,zung6,hou2,geng1,di1,gun1,wui5,zuk1,maai4,keoi5,#,keoi5,zik1-hak1,fong3-dai1,zik1-bou3,gei1-hei3,#,gap1-gap1-goek3,paa4,coeng4,zau2-lou2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
again,pass,-en,several,day,#,same,one,group of,neighbour,again,come,more,time,#,they,continue,to say,#,#,you,(measure),son,Zengzi,really,kill,-en,people,(particle),#,#,this,moment,#,Zengzi,mother,finally,begin,to know,afraid,#,by,neighbour,in this way,say,more,several,say,#,she,really,believe,-en,she,(measure),son,have,kill,people,#,even,very,afraid,those,official,will,catch,also,she,#,she,immediately,put down,weaving,machine,#,with hurried feet,climb,wall,escape,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人,嘅,説話,，,殺傷力,可以,有,幾,大,呢,？,曾子,人品,咁,好,，,曾子,媽媽,又,咁,信任,曾子,，,但係,俾,鄰居,講,多,幾,次,，,曾子,媽媽,最後,都係,信,咗,自己,個,仔,有,殺,人,。,多,人,講,嘅,説話,係咪,就,可信,？,不如,講,多,個,故仔,，,畀,大家,再,諗,下,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan4,ge3,syut3-waa6,#,saat3-soeng1-lik6,ho2-ji5,jau5,gei2,daai6,ne1,#,zang1-zi2,jan4-ban2,gam3,hou2,#,zang1-zi2,maa4-maa1,jau6,gam3,seon3-jam6,zang1-zi2,#,daan6-hai6,bei2,leon4-geoi1,gong2,do1,gei2,ci3,#,zang1-zi2,maa4-maa1,zeoi3-hau6,dou1-hai6,seon3,zo2,zi6-gei2,go3,zai2,jau5,saat3,jan4,#,do1,jan4,gong2,ge3,syut3-waa6,hai6-mai6,zau6,ho2-seon3,#,bat1-jyu4,gong2,do1,go3,gu2-zai2,#,bei2,daai6-gaa1,zoi3,nam2,haa5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
people,(linker),spoken words,#,deadliness,can,have,how,big,(particle),#,Zengzi,moral character,so,good,#,Zengzi,mother,also,so,trust,Zengzi,#,but,by,neighbour,say,more,several,time,#,Zengzi,mother,eventually,also is,believe,-en,oneself,(measure),son,have,kill,people,#,many,people,say,(linker),spoken words,is or isn't,then,credible,#,how about,tell,more,(measure),story,#,give,everyone,again,think,a bit,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
從前,有,一個,大臣,，,佢,叫做,龐恭,。,龐恭,要,去,好,遠,嘅,地方,出差,，,佢,驚,背後,有,人,講,佢,壞話,，,於是,佢,就,揾,國王,。,龐恭,話,：,「,大王,，,頭先,有,個,人,話,街市,有,隻,老虎,。,唔知,大王,你,信唔信,呢,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cung4-cin4,jau5,jat1-go3,daai6-san4,#,keoi5,giu3-zou6,pong4-gung1,#,pong4-gung1,jiu3,heoi3,hou2,jyun5,ge3,dei6-fong1,ceot1-caai1,#,keoi5,geng1,bui3-hau6,jau5,jan4,gong2,keoi5,waai6-waa2,#,jyu1-si6,keoi5,zau6,wan2,gwok3-wong4,#,pong4-gung1,waa6,#,#,daai6-wong4,#,tau4-sin1,jau5,go3,jan4,waa6,gaai1-si5,jau5,zek3,lou5-fu2,#,m4-zi1,daai6-wong4,nei5,seon3-m4-seon3,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
once upon a time,have,one (measure),minister,#,he,is called,Pong Gung,#,Pong Gung,have to,go,very,far,(linker),place,business trip,#,he,fear,behind,have,people,say,he,bad words,#,so,he,then,seek,the King,#,Pong Gung,say,#,#,my lord,#,just now,have,(measure),person,say,wet market,have,(measure),tiger,#,don't know,my lord,you,believe or not,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國王,笑,住,話,：,「,我,梗係,唔,信,啦,，,街市,邊,可能,有,老虎,呀,？,笑死,我,咩,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwok3-wong4,siu3,zyu6,waa6,#,#,ngo5,gang2-hai6,m4,seon3,laa1,#,gaai1-si5,bin1,ho2-nang4,jau5,lou5-fu2,aa3,#,siu3-sei2,ngo5,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The King,laugh,-ing,say,#,#,I,of course,not,believe,(particle),#,wet market,how,possible,have,tiger,(particle),#,laugh very hard,I,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龐恭,話,：,「,大王,，,我,收到,第二,個,人,嘅,消息,，,佢,話,街市,真係,有,老虎,喎,，,唔知,大王,你,信唔信,呢,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pong4-gung1,waa6,#,#,daai6-wong4,#,ngo5,sau1-dou2,dai6-ji6,go3,jan4,ge3,siu1-sik1,#,keoi5,waa6,gaai1-si5,zan1-hai6,jau5,lou5-fu2,wo3,#,m4-zi1,daai6-wong4,nei5,seon3-m4-seon3,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pong Gung,say,#,#,my lord,#,I,received,second,(measure),person,(linker),tidings,#,he / she,say,wet market,really,have,tiger,(particle),#,don't know,my lord,you,believe or not,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國王,話,：,「,街市,係,賣,餸,嘅,地方,，,冇,理由,有,老虎,㗎,。,不過,有,兩個,人,噉,講,，,話唔定,真係,有,老虎,喎,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwok3-wong4,waa6,#,#,gaai1-si5,hai6,maai6,sung3,ge3,dei6-fong1,#,mou5,lei5-jau4,jau5,lou5-fu2,gaa3,#,bat1-gwo3,jau5,loeng5-go3,jan4,gam2,gong2,#,waa6-m4-ding6,zan1-hai6,jau5,lou5-fu2,wo3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The King,say,#,#,wet market,is,sell,grocery,(linker),place,#,don't have,reason,have,tiger,(particle),#,only,have,two,people,this way,say,#,perhaps,really,have,tiger,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龐恭,話,：,「,大王,，,我,收到風,，,有,第三,個,人,話,街市,真係,有,老虎,，,仲,咬,死,咗,好多,人,，,啲人,嚇,到,走,晒,呀,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pong4-gung1,waa6,#,#,daai6-wong4,#,ngo5,sau1-dou2-fung1,#,jau5,dai6-saam1,go3,jan4,waa6,gaai1-si5,zan1-hai6,jau5,lou5-fu2,#,zung6,ngaau5,sei2,zo2,hou2-do1,jan4,#,di1-jan4,haak3,dou3,zau2,saai3,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pong Gung,sat,#,#,my lord,#,I,received some words,#,have,third,(measure),person,say,wet market,really,have,tiger,#,even,bite,die,-en,many,people,#,those people,frighten,to,flee,all,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國王,話,：,「,我,唔,會,畀,隻,老虎,繼續,傷害,我,嘅,子民,！,人嚟,，,快啲,派,士兵,去,街市,捉,老虎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwok3-wong4,waa6,#,#,ngo5,m4,wui5,bei2,zek3,lou5-fu2,gai3-zuk6,soeng1-hoi6,ngo5,ge3,zi2-man4,#,jan4-lai4,#,faai3-di1,paai3,si6-bing1,heoi3,gaai1-si5,zuk1,lou5-fu2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The King,say,#,#,I,not,will,let,(measure),tiger,continue to,harm,I,’s,subject,#,come forth,#,hurry,send,soldier,to go,wet market,catch,tiger,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龐恭,話,：,「,哎,！,大王,咪住,先,。,其實,我,頭先,係,同,你,講笑,咋,。,街市,入面,冇,老虎,，,更加,冇人,同,我,報告,街市,有,老虎,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pong4-gung1,waa6,#,#,aai3,#,daai6-wong4,mai5-zyu6,sin1,#,kei4-sat6,ngo5,tau4-sin1,hai6,tung4,nei5,gong2-siu3,zaa3,#,gaai1-si5,jap6-min6,mou5,lou5-fu2,#,gang3-gaa1,mou5-jan4,tung4,ngo5,bou3-gou3,gaai1-si5,jau5,lou5-fu2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pong Gung,say,#,#,Sigh!,#,my lord,hold on,first,#,actually,I,just now,is,with,you,joke,(particle),#,wet market,inside,don't have,tiger,#,moreover,no people,to,I,report,wet market,have,tiger,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國王,先,知道,龐恭,喺度,玩嘢,。,佢,問,龐恭,：,「,龐恭,呀,，,點解,你,要,呃,我,呢,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwok3-wong4,sin1,zi1-dou6,pong4-gung1,hai2-dou6,waan2-je5,#,keoi5,man6,pong4-gung1,#,#,pong4-gung1,aa3,#,dim2-gaai2,nei5,jiu3,aak3,ngo5,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The King,then,know,Pong Gung,right here,mess around,#,he,ask,Pong Gung,#,#,Pong Gung,(particle),#,why,you,have to,deceive,I,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龐恭,話,：,「,噉,係,因為,我,嚟緊,要,去,好,遠,嘅,地方,出差,，,我,驚,有,人,喺,背後,講,我,壞話,。,一個人,講,，,你,可能,唔,信,。,兩個,人,講,，,你,就,會,開始,半信半疑,。,到,三,個,人,講,，,無論,件,事,係,幾咁,假,、,幾咁,荒謬,都好,，,多數,人,都會,信,到,十足十,。,而,我,走,咗,之後,，,講,我,壞話,嘅,人,一定,唔止,三,個,。,大王,你,一定,要,細心,分析,佢哋,講,嘅,嘢,真,唔,真,呀,！,」,結果,之後,真係,有,好多,人,背後,講,龐恭,壞話,，,而,大王,又,真係,信,咗,，,從此,遠離,龐恭,……
